fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-10-31|USD|13073561000|6469666000|3896532000|4050401000|361849000|978636000|6991320000|563006000|929981000|3644014000|195164000|3448850000|153869000||153869000|1122946000|583700000|4050355000|2650120000|207333000|3465136000||94791000|1786992000|668856000|15601000||15601000|684457000|956259000|469738000|8990702000|1025770000|8984105000|1541000|154112000|SNPS
2024-07-31|USD|11648684000|5127753000|1839815000|1994246000|386009000|805198000|6894931000|571408000||3710441000|266092000|3444349000|154431000||154431000|1248426000|579773000|3903269000|2534950000|78547000|3351768000||179738000|1741625000|658276000|15599000||15599000|673875000|916689000|465233000|7709396000|1188435000|7884044000|1536000|153613000|SNPS
2024-04-30|USD|11011837000|4653120000|1502920000|1659700000|377875000|834918000|6708455000|566832000||3704301000|276877000|3427424000|156780000||156780000|1249656000|554913000|3822996000|2508350000|92299000|3530494000||169100000|1663662000|627757000|16960000||16960000|644717000|772420000|446514000|7153160000|1321554000|7478366000|1532000|153204000|SNPS
2024-01-31|USD|10558259000|3407928000|1118944000|1273434000|382727000|1064135000|7500070000|567038000||4508833000|377415000|4131418000|154490000||154490000|687632000|568513000|3851642000|2644507000|76808000|4091360000||178388000|1556138000|653009000|16951000||16951000|669960000|572031000|436528000|6670984000|1539340000|7188550000|1525000|152536000|SNPS
2023-10-31|USD|10333131000|3430624000|1433966000|1585605000|325590000|1006983000|7203963000|549837000|923446000|4444530000|239577000|3346065000|151639000||151639000|567515000|444820000|4148830000|2985451000|154608000|3902256000||171380000|1464110000|669725000|18078000||18078000|687803000|655418000|381531000|6147308000|1675650000|6741699000|1521000|152053000|SNPS
2023-07-31|USD|9923231000|3268312000|1686144000|1834587000|282791000|666577000|6985888000|535973000||4224583000|336723000|3887860000|148443000||148443000|484357000|505826000|3923350000|2729982000|66550000|3878372000||80192000|1523592000|671019000|18165000||18165000|689184000|838914000|389516000|5958555000|1542889000|6389825000|1521000|152125000|SNPS
2023-04-30|USD|9790732000|3160935000|1544592000|1695438000|256426000|779892000|6940669000|546439000||4245362000|357113000|3888249000|150846000||150846000|429179000|486878000|3917910000|2748680000|84397000|4320442000||78056000|1480102000|669723000|20201000||20201000|689924000|617419000|365949000|5831859000|1428748000|6075009000|1523000|152251000|SNPS
2023-01-31|USD|9565624000|3028399000|1154873000|1301923000|220881000|1035323000|6851069000|516925000||4225987000|361154000|3864833000|147050000||147050000|470272000|488339000|3886873000|2724997000|70245000|4335742000||66326000|1475720000|669864000|20569000||20569000|690433000|593349000|364975000|5636754000|1321180000|5805843000|1524000|152380000|SNPS
2022-10-31|USD|9418087000|3012669000|1417608000|1565521000|211927000|842345000|6684514000|483300000|866355000|4228680000|386446000|3842234000|147913000||147913000|465487000|463695000|3858897000|2774499000|37580000|4130588000|0|54274000|1363494000|635547000|20824000||20824000|656371000|771823000|327829000|5515725000|1272955000|5534307000|1524000|152375000|SNPS
2022-07-31|USD|9329547000|2899028000|1383559000|1531158000|219736000|682647000|6725934000|486872000||4259541000|404652000|3854889000|147599000||147599000|417201000|492176000|3677905000|2545863000|71998000|3841116000|0|0|1427455000|647100000|21960000||21960000|0|664101000|352188000|5604026000|1034841000|5377586000|1530000|153004000|SNPS
