fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|143956000000|11040000000|1018000000|1018000000|3385000000|3172000000|13962000000|||5502000000|341000000|5161000000|2105000000|2071000000|2650000000|562000000|1484000000|107051000000|12165000000|3950000000|181000000|2364000000|722000000|87568000000|1464000000|62600000000|1642000000||63322000000|1104000000|1075000000|36905000000||14005000000|5441000000|1097000000|SO
2024-06-30|USD|141937000000|10993000000|1152000000|1152000000|3287000000|2711000000|116058000000|101888000000|38995000000|5511000000|350000000|5161000000|2099000000|2069000000||525000000|1449000000|105826000000|12028000000|2445000000|235000000|4134000000|1334000000|86441000000|1502000000|62400000000|2800000000||63734000000|1271000000|1160000000|36111000000||13259000000|5436000000|1096000000|SO
2024-03-31|USD|140120000000|10543000000|713000000|713000000|3268000000|2625000000|122840000000|100470000000|38347000000|5520000000|359000000|5161000000|2097000000|10100000000||763000000|1578000000|104506000000|11458000000|2154000000|207000000|4409000000|2445000000|85721000000|1476000000|61000000000|1964000000||63445000000|1108000000|1074000000|35614000000||12844000000|5431000000|1094000000|SO
2023-12-31|USD|139331000000|10432000000|748000000|748000000|3352000000|2481000000|122726000000|99844000000|37725000000|5529000000|368000000|5161000000|2065000000|9986000000||569000000|1468000000|104106000000|13467000000|2898000000|116000000|4790000000|2314000000|83293000000|287000000|61865000000|2465000000|59400000000|17198000000|1029000000|1031000000|31444000000|59000000|12482000000|5423000000|1092000000|SO
2023-09-30|USD|138321000000|11088000000|1676000000|1676000000|3148000000|2705000000|120220000000|98254000000|37199000000|5538000000|377000000|5161000000|2070000000|9772000000||544000000|1479000000|103017000000|13214000000|2942000000|62000000|4802000000|1726000000|82390000000|1501000000|58800000000|3076000000||60526000000|943000000|1166000000|35304000000||12391000000|5422000000|1092000000|SO
2023-06-30|USD|137116000000|10979000000|2123000000|2123000000|2963000000|1768000000|119125000000|96767000000|36500000000|5547000000|386000000|5161000000|2057000000|9845000000||310000000|1469000000|102468000000|13240000000|2493000000|73000000|5710000000|1647000000|81640000000|1551000000|58900000000|4063000000||60547000000|870000000|1092000000|34648000000||11732000000|5422000000|1092000000|SO
2023-03-31|USD|134756000000|9555000000|1053000000|1053000000|2750000000|1810000000|118157000000|95630000000|35990000000|5558000000|397000000|5161000000|2073000000|9827000000||395000000|1456000000|100194000000|13893000000|2365000000|61000000|6917000000|2554000000|78583000000|1573000000|56100000000|4363000000||58654000000|915000000|1118000000|34562000000||11658000000|5421000000|1091000000|SO
2022-12-31|USD|134891000000|10416000000|1917000000|1917000000|2677000000|2067000000|115858000000|94570000000|35297000000|5567000000|406000000|5161000000|2186000000|9757000000|6169000000|344000000|1485000000|100359000000|15724000000|3525000000|45000000|6894000000|2609000000|76764000000|296000000|58867000000|4267000000|54600000000|71088000000|787000000|1167000000|30408000000|53000000|11538000000|5417000000|1090000000|SO
2022-09-30|USD|134005000000|10363000000|2009000000|2009000000|2681000000|2143000000|114158000000|93529000000|34922000000|5695000000|415000000|5280000000|2273000000|9608000000|6285000000|322000000|1492000000|98287000000|12801000000|3079000000|56000000|4639000000|1398000000|77729000000|1584000000|53400000000|3241000000||54798000000|844000000|1366000000|35718000000||12374000000|5417000000|1082000000|SO
2022-06-30|USD|130769000000|9781000000|1724000000|1724000000|2281000000|2183000000|114677000000|92822000000|35203000000|5705000000|425000000|5280000000|2245000000|9736000000|6281000000|212000000|2393000000|97514000000|11487000000|2908000000|70000000|3562000000|2510000000|78180000000|1696000000|52000000000|1052000000||54510000000|1062000000|1198000000|33255000000||11645000000|5288000000|1065000000|SO
2022-03-31|USD|128639000000|9297000000|1662000000|1662000000|2103000000|1917000000|113800000000|91790000000|34645000000|5715000000|435000000|5280000000|2445000000|10044000000|6348000000|201000000|1898000000|95719000000|10434000000|2251000000|72000000|3523000000|2330000000|77364000000|1766000000|51600000000|1193000000||53930000000|1105000000|966000000|32920000000||11261000000|5286000000|1063000000|SO
2021-12-31|USD|127534000000|8965000000|1798000000|1798000000|2355000000|1728000000|113752000000|91108000000|34079000000|5725000000|445000000|5280000000|2148000000|10202000000||231000000|1366000000|94967000000|10921000000|2169000000|57000000|3597000000|1440000000|76057000000|199000000|64981000000|2141000000||66421000000|872000000|816000000|27874000000|47000000|10929000000|5279000000|1064000000|SO
2021-09-30|USD|127861000000|9674000000|2078000000|2078000000|2258000000|1759000000|113233000000|90859000000|33723000000|5735000000|455000000|5280000000|2353000000|10620000000|1278000000|282000000|1586000000|94351000000|11259000000|2229000000|65000000|3993000000|707000000|75092000000|1741000000|51900000000|3286000000||52607000000|795000000|637000000|33510000000|-46000000|11844000000|5278000000|1061000000|SO
2021-06-30|USD|125907000000|9551000000|1582000000|1582000000|2122000000|1595000000|111730000000|89623000000|33240000000|5746000000|466000000|5280000000|2122000000|10553000000|1287000000|184000000|1307000000|92870000000|11660000000|2075000000|67000000|4231000000|1402000000|73171000000|1849000000|50400000000|2829000000||51802000000|956000000|587000000|33037000000|-48000000|11442000000|5274000000|1061000000|SO
