fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|7486291000|1499303000|243235000|243235000|639938000|470257000|6005299000|512224000||5243667000|2325105000|2918562000|21004000|||145873000|111423000|3004574000|618753000|119255000||96875000|96875000|2385821000|102938000|1661546000|96875000|1661546000|1861359000|66884000|148579000|4481717000||4268259000|48096000|46724000|TFX
2024-06-30|USD|7441640000|1438088000|238567000|238567000|636908000|448897000|6003552000|491996000||5272545000|2379916000|2892629000|19864000||16409000|132606000|120577000|2882921000|556751000|113450000||93750000|93750000|2326170000|102572000|1624222000|93750000|1624222000|1820544000|57534000|120051000|4558719000||4173045000|48091000|47151000|TFX
2024-03-31|USD|7477922000|1433608000|237423000|237423000|627866000|448532000|6044314000|485535000||5327803000|2429460000|2898343000|28714000||18873000|127950000|111828000|2974712000|571014000|115945000||90625000|90625000|2403698000|104376000|1667896000|90625000|1667896000|1862897000|55871000|148604000|4503210000||4109024000|48081000|47068000|TFX
2023-12-31|USD|7532546000|1407406000|222848000|222848000|626216000|443467000|6125140000|479913000|573165000|5416015000|2501960000|2914055000|24755000||16883000|114875000|98943000|3091558000|606745000|132247000||87500000|87500000|2484813000|111300000|1815072000|87500000|1727572000|1815072000|46547000|162502000|4440988000|152101000|4109736000|48046000|47002000|TFX
2023-09-30|USD|7493634000|2097271000|881499000|881499000|625075000|425194000|5396363000|464467000||4708844000|2180539000|2528305000|76707000||67500000|138657000|93281000|3179586000|585422000|130686000||87500000|87500000|2594164000|111810000|2037623000|87500000|1950123000|2037623000|65265000|106555000|4314048000||4094608000|47999000|46992000|TFX
2023-06-30|USD|6895725000|1445799000|250816000|250816000|631555000|429309000|5449926000|464609000||4774077000|2227947000|2546130000|61492000||41906000|120190000|81747000|2680633000|555449000|142081000||87500000|87500000|2125184000|112229000|1470674000|87500000|1470674000|1670403000|65853000|119948000|4215092000||3973446000|47998000|46981000|TFX
2023-03-31|USD|6917922000|1428054000|264138000|264138000|614106000||5489868000|458861000||4817375000|2269535000|2547840000|||52526001|134948000|80380000|2807669000|575712000|136239000||87500000|87500000|2231957000|115838000|1549474000|87500000|1549474000|1752812000|79403000|141072000|4110253000||3878083000|47975000|46949000|TFX
2022-12-31|USD|6928063000|1410983000|292034000|292034000|578507000|408834000|5517080000|447205000|556682000|4842895000|2306165000|2536730000|73707000||48503000|125084000|89367000|2906095000|581492000|126807000||87500000|87500000|2324603000|120437000|1711523000|87500000|1624023000|1711523000|63381000|154058000|4021968000|154889000|3817304000|47957000|46910000|TFX
2022-09-30|USD|6758087000|1459382000|397259000|397259000|530088000|391251000|5298705000|422355000||4591556000|2176259000|2415297000|141097000||28536000|113916000|166985000|2862926000|610943000|121508000||114375000|114375000|2251983000|99606000|1593504000|114375000|1593504000|1807485000|55407000|122188000|3895161000||3754664000|47941000|46906000|TFX
2022-06-30|USD|6731846000|1385345000|308121000|308121000|510531000|415297000|5346501000|429372000||4687958000|2226875000|2461083000|85162000||22034000|151396000|104308000|2879116000|610446000|121418000||110000000|110000000|2268670000|104702000|1605954000|110000000|1605954000|1820656000|56004000|127443000|3852730000||3668717000|47940000|46901000|TFX
