fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|21903800000|2028200000|127200000|127200000|414900000|1301200000|19944600000|17425200000|11207200000|2070700000|2070700000|1|217300000|177300000|75000000|109900000|167100000|19329900000|2627300000|1467900000|119300000|53300000|706600000|14865500000|237300000|14254700000|600000000||14254700000|452800000|340000000|2573900000|1602300000|1004700000|200000|218328522|TRGP
2024-06-30|USD|21264200000|1866600000|166400000|166400000|320600000|1216900000|19466500000|16891200000|10951800000|2164000000|2164000000||168200000|159800000|62800000|99900000|165700000|18796700000|2890600000|1686800000|118300000|51200000|652400000|14081900000|242500000|13567000000|550000000||13567000000|551400000|308700000|2467500000|1416500000|783900000|200000|219170473|TRGP
2024-03-31|USD|20846100000|1973000000|109900000|109900000|224500000|1483700000|18946900000|16282800000|10701100000|2257300000|2257300000||180900000|152200000|72600000|82300000|163700000|18142200000|2814500000|1709500000|119100000|46100000|546100000|13511400000|233000000|13056000000|500000000||13056000000|558900000|304100000|2703900000|1057700000|654100000|200000|222150320|TRGP
2023-12-31|USD|20671800000|2194600000|141700000|141700000|371500000|1471000000|19051500000|15806400000|10458800000|2395800000|2350600000|45200000|234300000|146300000|111900000|98500000|140600000|17932100000|2760900000|1574900000|248800000|45700000|666400000|13342800000|244100000|12953900000|575000000||12953900000|519600000|415100000|2739700000|896900000|492000000|200000|222611259|TRGP
2023-09-30|USD|20189600000|2139300000|139500000|139500000|536200000|1241100000|18098600000|15333500000|10240700000|2446600000|2446600000||167000000|138300000|84200000|138300000|114200000|17683500000|2682100000|1581300000|202100000|42000000|602000000|13147300000|238400000|12920400000|560000000||12920400000|105800000|358200000|2506100000|855800000|305500000|200000|223080697|TRGP
2023-06-30|USD|19461800000|1728800000|169400000|169400000|312300000|988100000|17778900000|14890400000|10115200000|2542600000|2542600000||253900000|131800000||64800000|119700000|16786600000|2320600000|1173300000|200100000|38100000|586000000|12619500000|224800000|12398800000|547900000||12398800000|51100000|359000000|2675200000|701100000|199500000|200000|224052233|TRGP
2023-03-31|USD|19025500000|1638800000|211800000|211800000|156200000|1023400000|17431600000|14470000000|9912400000|2638600000|2638600000|45200000|218100000|134700000||100900000|107200000|16474800000|2466600000|1255300000|204500000|35000000|739000000|12140200000|208900000|12178600000|704000000||12178600000|472300000|346400000|2550700000|550500000|-129800000|200000|226135558|TRGP
2022-12-31|USD|19560000000|2356600000|219000000|219000000|393800000|1408400000|17620400000|14214600000|9698600000|2779800000|2734600000|45200000|183500000|131300000|179900000|155500000|98400000|16894300000|3066700000|1448800000|198800000|34300000|834300000|11500100000|193000000|11536400000|800000000||11536400000|455900000|341200000|2665700000|464700000|-626800000|200000|226042229|TRGP
2022-09-30|USD|19389900000|2497300000|192900000|192900000|471300000|1534900000|16931500000|13716400000|9542800000|2839700000|2839700000||187500000|136400000|185800000|112400000|149900000|17005400000|3393700000|1806400000|197100000|16500000|766500000|11282900000|39900000|11197800000|750000000||11197800000|519400000|367000000|2384500000|432000000|-944800000|200000|226257924|TRGP
2022-06-30|USD|15334300000|2164100000|154000000|154000000|202200000|1612600000|13201100000|11878300000|9342000000|1038800000|1038800000||145200000|137100000|80800000|114500000|95500000|13264400000|3153400000|1901000000|169400000|14600000|414600000|7547700000|19600000|7460800000|400000000||7460800000|624400000|288100000|2069900000|350400000|-1137900000|200000|227062130|TRGP
