fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-09-30|USD|9767897000|3483161000|186294000|186294000|3082519000||6284736000|2632895000||269520000||||||199967000|86643000|7479137000|2345709000|1349817000||3402000|781960000|5133428000|28831000|1831200000|0|1831218000|1831200000|213932000|141926000|2288760000|5869286000|6791610000|1423000|106921000|TSCO
2024-06-30|USD|9784524000|3639625000|394748000|394748000|3000033000||6144899000|2566723000||269520000|269520000|||||244844000|83500000|7479192000|2544535000|1436520000||3405000|771032000|4934657000|29661000|1730500000|0|1730467000|1730500000|242125000|139235000|2305332000|5717944000|6667975000|1423000|107447000|TSCO
2024-03-31|USD|9554954000|3519484000|264085000|264085000|3048719000||6035470000|2496948000||269520000|269520000|||||206680000|80029000|7430943000|2517755000|1515681000||3359000|760350000|4913188000|30530000|1729700000|0|1729715000|1729700000|202393000|140452000|2124011000|5577398000|6361317000|1422000|107892000|TSCO
2023-12-31|USD|9188151000|3263939000|397071000|397071000|2645854000||5953412000|2437184000|2291528000|269520000|23100000|246419000||||218553000|75537000|7038389000|2177082000|1179803000||3311000|745544000|4861307000|31388000|150000000|0|1728964000|150000000|251735000|138065000|2149762000|5458855000|6281959000|1419000|107976000|TSCO
2023-09-30|USD|9205014000|3534114000|421693000|421693000|2834247000||5670900000|2273646000||267329000|267329000|||||278174000|44978000|7093883000|2318796000|1412186000||3304000|368493000|4775087000|32156000|1728300000|0|1728255000|1728300000|504470000|136285000|2111131000|5347302000|6145455000|1418000|108474000|TSCO
2023-06-30|USD|9032823000|3577274000|620031000|620031000|2660052000||5455549000|2185476000||267088000|267088000|||||297191000|45193000|6945671000|2237464000|1272232000||2860000|641180000|4708207000|32999000|1727500000|0|1727500000|1727500000|209858000|125670000|2087152000|5210524000|6002453000|1418000|109058000|TSCO
2023-03-31|USD|8848815000|3458921000|190078000|190078000|3030712000||5389894000|2144769000||253262000|253262000|||||235510000|41253000|6934269000|2349700000|1526540000||2818000|633254000|4584569000|33831000|1606600000|0|1601563000|1606600000|177622000|120969000|1914546000|5053077000|5693993000|1417000|109660000|TSCO
2022-12-31|USD|8489990000|3157775000|202502000|202502000|2709597000||5364315000|2083616000|2016301000|253262000|23100000|230161000||||245676000|41536000|6447574000|2376212000|1398288000||3179000|699152000|4071406000|34651000|150000000|0|1164056000|150000000|269301000|120003000|2042416000|4855909000|5624352000|1415000|110251000|TSCO
2022-09-30|USD|7911728000|3109805000|211241000|211241000|2678193000||4801923000|1843324000||55520000|55520000|230161000||||211941000|99281000|5970583000|2095200000|1219593000||3140000|673056000|3875357000|35460000|1716776000|0|1077900000|1716776000|197608999|113625000|1941145000|4763862000|5455134000|1414000|110587000|TSCO
2022-06-30|USD|7869194000|3230396000|530822000|530822000|2485138000||4638798000|1744556000||55520000|55520000||12302000|||428872000|78574000|5955327000|2242178000|1280518000||3502000|736290000|3713149000|35859000|1625932000|0|987400000|1625932000|144411000|110490000|1913867000|4640236000|5322859000|1414000|111197000|TSCO
