fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|91888000000|32622000000|12367000000|12367000000||2590000000|54635000000|3974000000||45437000000|25889000000|19548000000|1967000000|1757000000|1967000000|12015000000|3467000000|53592000000|29091000000|405000000||3929000000|3929000000|24501000000||16680000000|3929000000|16680000000|20609000000|24757000000|2629000000|38296000000||17438000000||1985000000|V
2024-09-30|USD|94511000000|34033000000|11975000000|11975000000||3393000000|56723000000|3824000000|5473000000|45830000000|26889000000|18941000000|3200000000|2545000000|3200000000|11843000000|3651000000|55374000000|26517000000|479000000||||30942000000||42080000000|0|20836000000|20836000000|26038000000|2720000000|39137000000||17289000000||1993000000|V
2024-06-30|USD|91040000000|31039000000|12947000000|12947000000||2521000000|55868000000|3766000000||45059000000|26243000000|18816000000|3697000000|3037000000|3697000000|9746000000|4006000000|51311000000|22612000000|331000000||||28699000000||20602000000|0|20602000000|20602000000|22281000000|2978000000|39729000000||18578000000||1835000000|V
2024-03-31|USD|92399000000|32775000000|12993000000|12993000000||2272000000|55626000000|3630000000||45212000000|26375000000|18837000000|4710000000|3092000000|4710000000|9242000000|3692000000|51914000000|23443000000|338000000||||28471000000||20603000000|0|20603000000|20603000000|23105000000|2723000000|40485000000||19347000000||1828000000|V
2023-12-31|USD|91409000000|32732000000|13591000000|13591000000|4780000000|2506000000|54736000000|3472000000||44859000000|26739000000|18120000000|5005000000|2809000000|5005000000|9105000000|3596000000|51676000000|22634000000|348000000||||29042000000||20703000000|0|20703000000|20703000000|22286000000|3064000000|39733000000||18422000000|22105000000|1836000000|V
2023-09-30|USD|90499000000|33532000000|16286000000|16286000000|4769000000|2497000000|53666000000|3425000000|5355000000|44101000000|26104000000|17997000000|3842000000|1921000000|3842000000|8930000000|3731000000|51766000000|23098000000|375000000|||106000000|30980000000||41713000000|0|20463000000|20463000000|22723000000|3091000000|38733000000||18040000000|22150000000|1849000000|V
2023-06-30|USD|89234000000|31670000000|15590000000|15590000000|4534000000|2282000000|53753000000|3370000000||44658000000|26576000000|18082000000|3166000000|2122000000|3166000000|3644000000|3603000000|50253000000|21230000000|281000000|||3675000000|29023000000||20560000000|0|20560000000|20560000000|20949000000|3083000000|38981000000||17908000000|22076000000|1862000000|V
2023-03-31|USD|86755000000|28657000000|13842000000|13842000000|4355000000|2122000000|54361000000|3359000000||44652000000|26574000000|18078000000|2752000000|2840000000|2752000000|3644000000|3510000000|48190000000|19097000000|280000000|||3069000000|29093000000||20606000000|0|20606000000|20606000000|18817000000|3025000000|38565000000||17610000000|21980000000|1874000000|V
2022-12-31|USD|85387000000|27859000000|13334000000|13334000000|4296000000|2113000000|53871000000|3236000000||44331000000|26307000000|18024000000|2785000000|2735000000|2785000000|3204000000|3569000000|48463000000|19353000000|258000000|||3573000000|29110000000||20487000000|0|20487000000|20487000000|19095000000|3180000000|36924000000||16403000000|21808000000|1881000000|V
2022-09-30|USD|85501000000|30205000000|15689000000|15689000000|6459000000|2210000000|52428000000|3223000000|5658000000|42852000000|25065000000|17787000000|2833000000|2136000000|2833000000|1272000000|3737000000|49920000000|20853000000|340000000||2250000000|2250000000|31789000000||45717000000|2250000000|20200000000|22450000000|18263000000|3535000000|35581000000||16116000000|21869000000|1890000000|V
2022-06-30|USD|85410000000|28971000000|14047000000|14047000000|6411000000|2021000000|53118000000|3146000000||44070000000|26093000000|17977000000|3309000000|2240000000|3309000000|7734000000|3662000000|49927000000|20309000000|228000000||3249000000|3249000000|29618000000||20546000000|3249000000|20546000000|23795000000|16832000000|3387000000|35483000000||14960000000|189200|1892000000|V
