fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2025-01-31|USD|17977000000|10545000000|1543000000|8017000000||1950000000|7801000000|1239000000|1324000000|3839000000|361000000|3478000000|13484000000|247000000|6474000000|578000000|418000000|8943000000|5548000000|108000000|9094000000||99000000|3395000000|378000000|2984000000||2984000000|2984000000|874000000|52000000|9034000000|1308000000|-1205000000||265842000|WDAY
2024-10-31|USD|16424000000|9078000000|1311000000|8006000000||1452000000|7667000000|1263000000|1310000000|3862000000|383000000|3479000000|12131000000|245000000|6695000000|517000000|365000000|7800000000|4422000000|74000000|7022000000||102000000|3378000000|380000000|2983000000||2983000000|2983000000|799000000|53000000|8624000000|1208000000|-1299000000||265411000|WDAY
2024-07-31|USD|16234000000|9200000000|1635000000|8129000000||1336000000|7005000000|1259000000|1274000000|3257000000|357000000|3257000000|12290000000|239000000|6494000000|535000000|339000000|7889000000|4513000000|87000000|7222000000||196000000|3376000000|382000000|3982000000||2982000000|3982000000|681000000|48000000|8345000000|1051000000|-1492000000||265317000|WDAY
2024-04-30|USD|15941000000|8874000000|1752000000|7182000000||1133000000|7032000000|1238000000|1228000000|3257000000|376000000|3257000000|11836000000|240000000|5430000000|559000000|353000000|7778000000|4428000000|76000000|7226000000||190000000|3350000000|363000000|2981000000||2981000000|2981000000|610000000|40000000|8163000000|742000000|-1624000000||264444000|WDAY
2024-01-31|USD|16452000000|9939000000|2012000000|7813000000||1639000000|6585000000|1234000000|1272000000|2846000000|233000000|2846000000|12655000000|248000000|5801000000|487000000|337000000|8370000000|5055000000|78000000|8254000000||178000000|3315000000|316000000|2980000000||2980000000|2980000000|742000000|38000000|8082000000|608000000|-1731000000||263135000|WDAY
2023-10-31|USD|13925933000|8574163000|1564000000|6879984000|207566000|1224818000|5420170000|1206564000|1255124000|2846464000|276417000|2846464000|11603683000|250311000|5316045000|469361000|351262000|7301016000|4029390000|79333000|6558796000||196650000|3271626000|297168000|2978800000||2978800000|2978800000|556759000|31835000|6625000000|471481000|-2918829000|264000|262153000|WDAY
2023-07-31|USD|13735315000|8381694000|1436000000|6657091000|198677000|1270936000|5402711000|1221834000|1228699000|2840044000|263056000|2840044000|11458284000|261506000|5221401000|254990000|350860000|7460762000|4181959000|88814000|3369461000||98810000|3278803000|290948000|2977845000||2977845000|2977845000|685337000|48357000|6274000000|323695000|-3032538000|263000|261191000|WDAY
2023-04-30|USD|13252796000|7873093000|1444000000|6328961000|191966000|1089286000|5428504000|1218117000|1191926000|2840044000|312882000|2840044000|10772491000|271122000|4885310000|262880000|376639000|7310933000|4044089000|113263000|3289750000||95008000|3266844000|278023000|2976889000||2976889000|2976889000|608268000|44740000|5942000000|185047000|-3111198000|261000|258820000|WDAY
2023-01-31|USD|13486000000|8108000000|1886000000|6121394000|191054000|1570086000|5399448000|1201000000|1179000000|2840044000|44000|2840000000|9312572000|263485000|4235083000|225690000|348000000|7901000000|4628000000|154000000|3633933000||91343000|3272504000|273142000|2976000000|0|2976000000|2975934000|823679000|40000000|5585000000|185047000|-3111334000|259000|257351000|WDAY
2022-10-31|USD|12389787000|6970275000|1575955000|5492085000|1|1040468000|5466420000|1219127000|1143719000|2840044000|347591000|2840044000|8934950000|268543000|3916130000|437722000|405937000|6980679000|3723399000|75803000|2879335000||90237000|3257280000|286315000|2974979000|0|2974979000|2974979000|741760000|22487000|5409108000|110382000|-2985637000|257000|255753000|WDAY
2022-07-31|USD|13249550000|7804657000|2486540000|6292967000|165012000|1105288000|5450745000|1233151000|1079040000|2840044000|368937000|2840044000|9461208000|265565000|3806427000|241390000|383549000|8121742000|4857857000|60710000|2942730000|1148982000|1240463000|3263885000|305018000|4123005000|1148982000|2974023000|4123005000|667892000|22387000|5127808000|12588000|-2910916000|255000|254355000|WDAY
2022-04-30|USD|12799106000|7443226000|2776336000|6255355000||778076000|5329871000|1186004000|1023521000|2840044000|369387000|2840044000|9077285000|260553000|3479019000|409795000|368497000|8018299000|4781387000|123361000|2879427000|1148126000|1228699000|3236912000|262810000|4121194000|1148126000|2973068000|4121194000|609208000|22299000|4780807000|12584000|-2846758000|253000|251743000|WDAY
2022-01-31|USD|10498505000|5214065000|1534273000|3644161000||1242545000|5211085000|1123075000|958275000|2840044000|391002000|2840044000|4936771000|256759000|2109888000|327359000|341252000|5963423000|5067855000|55487000|3182480000|1222443000|1302946000|895568000|262959000|1839797000|1222443000|617354000|1839797000|598475000|24225000|4535082000|12467000|-2744585000|251000|249952000|WDAY
2021-10-31|USD|9440883000|4693708000|1297259000|3554981000||865040000|4653601000|1120196000|907068000|2428481000|387176000|2428481000|5315230000|194597000|2257722000|273687000|269508000|5225067000|4275050000|47928000|2493911000|1212215000|1295667000|950017000|286421000|1848209000|1212215000|635994000|1848209000|508150000|40448000|4215816000|12437000|-2671332000|249000|248468000|WDAY
2021-07-31|USD|9113845000|4461114000|1087070000|3307958000||872764000|4500966000|1135593000|849993000|2362166000|397652000|2362166000|4823223000|151929000|2220888000|280392000|219636000|5245855000|4274095000|53082000|2518589000|1201964000|1284039000|971760000|291268000|1856597000|1201964000|654633000|1856597000|482595000|43724000|3867990000|12431000|-2714744000|248000|246943000|WDAY
2021-04-30|USD|8624007000|3905797000|959358000|2994529000||647163000|4585678000|1155697000|804256000|2362166000|418223000|2362166000|4595113000|182152000|2035171000|264105000|252796000|5218566000|4210755000|48097000|2426009000|1191722000|1272828000|1007811000|294674000|1864995000|1191722000|673273000|1864995000|528735000|56056000|3405441000|12420000|-2820480000|246000|243739000|WDAY
2021-01-31|USD|8718411000|4802061000|1384181000|3535653000||1032484000|3850871000|972403000|749183000|1819625000|248626000|1819625000|4859633000|134090000|2151472000|233924000|189757000|5440577000|4282648000|75596000|2636735000|1103101000|1196101000|1157929000|443051000|1795014000|1103101000|691913000|1795014000|454327000|35854000|3277834000|12384000|-2909990000|242000|241021000|WDAY
2020-10-31|USD|7845027000|3958242000|1067038000|2947810000||742744000|3799823000|976610000|704002000|1819625000|262603000|1819625000|4225248000|124336000|1880772000|267688000|179987000|4766973000|3625205000|54949000|2069291000|1091050000|1175602000|1141768000|437452000|1792228000|1091050000|701178000|1792228000|394237000|18816000|3078054000|269083000|-2838283000|240000|238059000|WDAY
2020-07-31|USD|7501451000|3714181000|1239696000|1239696000||694289000|3870099000|957434000|655956000|2096108000|276847000|1819261000|3265895000|48228000|1513842000|266354000|185077000|4662973000|2553115000|57764000|2067920000|37500000|113298000|2109858000|347405000|1789504000|37500000|1752004000|1789504000|378598000|21782000|2838478000|303201000|-2813943000|238000|236002000|WDAY
2020-04-30|USD|7227503000|3450367000|1214213000|1214213000||584219000|3883664000|937008000|608320000|2111853000|292592000|1819261000|3000731000|48976000|1384793000|267142000|203655000|4625499000|2770963000|35430000|2090398000|336901000|336901000|1854536000|324946000|1774921000|266137000|1508784000|1774921000|386554000|13250000|2602004000||-2785927000|235000|232939000|WDAY
2020-01-31|USD|6816365000|3094622000|731141000|731141000||877578000|3743079000|936179000|556653000|2127662000|308401000|1819261000|2675659000|75004000|0|272471000|144605000|4329814000|2969404000|57556000|2309203000|310466000|310466000|1360410000|307572000|1262286000|244319000|1017967000|1262286000|378204000|14993000|2486551000|0|-2627359000|231000|232000000|WDAY
2019-10-31|USD|6155645000|2955420000|912748000|912748000||615508000|3235000000|929667000|526229000|1651367000|262018000|1389349000|2588218000|70844000|0|235316000|141006000|3836466000|2491389000|35581000|1880890000|308609000|308609000|1345077000|304695000|1247652000|241294000|1006358000|1247652000|351875000|15773000|2319179000||-2499401000|229000|230000000|WDAY
2019-07-31|USD|5992156000|2789032000|619514000|619514000||613425000|3214736000|919523000|481069000|1667302000|277953000|1389349000|2809411000|61258000|0|249087000|138895000|3781871000|3434264000|32540000|1885642000|1298743000|1298743000|347607000|309417000|1233189000|1233189000|0|1233189000|306558000|14525000|2210285000||-2383672000|227000|228000000|WDAY
2019-04-30|USD|5824174000|2665134000|781772000|781772000||542843000|2893405000|885789000|437426000|1673022000|293897000|1379125000|2528343000|52879000|0|230378000|140468000|3779426000|2443079000|35146000||235408000|299515000|1090310000|310144000|1218915000|235408000|983507000|1218915000|373976000|11095000|2044748000||-2262960000|225000|225000000|WDAY
2019-01-31|USD|5520746000|2700596000|638554000|682681000||704680000|2837126000|796907000|400237000|1692365000|313240000|1379125000|2569114000|50546000|44127000|217498000|147360000|3562304000|2430691000|29093000|1949270000|232514000|232514000|1131613000||1204778000|232514000|972264000|1204778000|331466000|47697000|1958442000||-2146304000|221000|222000000|WDAY
2018-10-31|USD|5000299000|2271279000|540430000|572763000||486044000|1362143000|735443000|373812000|332583000|10980000|1377615000|2399251000|40203000|32333000|203096000|132229000|3167150000|2055885000|28779000||229684000|229684000|150126000||229684000|229684000||229684000|336772000|40432000|1833149000|178801000|-2041823000|220000|218000000|WDAY
2018-07-31|USD|4765060000|3614038000|1693743000|3145704000||457496000|985318000|678525000|346050000|35927000|11396000|175073000|4065261000|32405000|1451961000|171447000|121074000|2989836000|1913947000|32910000||226877000|226877000|125757000||226877000|226877000||226877000|260312000|36381000|1775224000|193679000|-1887995000|218000|217000000|WDAY
2018-04-30|USD|4927832000|3880809000|1036045000|1036045000||354209000|899028000|611293000|334263000|29146000|10790000|159398000|2336107000|31605000|2329623000|160932000|110938000|3270532000|2196654000|30249000|1415064000|570251000|570251000|134636000||570251000|570251000||570251000|276360000|39366000|1657300000||-1801839000|215000|215000000|WDAY
2018-01-31|USD|4947424000|3956978000|1134355000|1134355000||528208000|860275000|546609000|308978000|34234000|34234000|159376000|2162798000|29205000|551804000|160920000|109718000|3367059000|2058874000|20998000|1537147000|341509000|341509000|158340000||341509000|341509000|1149845000|341509000|270126000|47434000|1580365000|0|-1727856000|211000|212000000|WDAY
2017-10-31|USD|4564716000|3693772000|1336984000|1336984000||349309000|736846000|487234000|280644000|34305000|34305000|158418000|1901339000|24320000|1874139000|133340000|70814000|3024442000|1749546000|35837000|1229166000|336936000|336936000|138402000||336936000|336936000||336936000|247742000|38267000|1540274000||-1638756000|210000|210000000|WDAY
2017-07-31|USD|3407127000|2586224000|748599000|748599000||370557000|681611000|438754000|266301000|39110000|39110000|158540000|1368696000|19248000|1349191000|117877000|66763000|2036730000|1676574000|39948000|1222743000|332422000|332422000|144118000||332422000|332422000||332422000|185639000|39940000|1370397000||-1553210000|208000|208000000|WDAY
2017-04-30|USD|3308741000|2533820000|498931000|498931000||297894000|631182000|404102000|248724000|43915000|43915000|158193000|1638158000|14454000|1616770000|120225000|54207000|1987884000|1289444000|28182000|1200263000||541393000|157047000||541393000|541393000||541393000|181388000|36658000|1320857000||-1470678000|205000|206000000|WDAY
2017-01-31|USD|3268282000|2524445000|539923000|539923000||383908000|525548000|365877000|230761000|48787000|48787000|107658000|1478735000|14004000|1456822000|115873000|53570000|1991674000|1285243000|26824000|1233387000||534423000|172647000||534423000|534423000||534423000|172207000|36677000|1276608000||-1520567000|202000|203000000|WDAY
2016-10-31|USD|2922569000|2294595000|386557000|386557000||268945000|641978000|334265000|206209000|212087000|53892000|158195000|1548620000|14004000|1527238000|111855000|48071000|1785110000|1098096000|28374000|1023620000|||159467000||527547000|||527547000|169281000|36288000|1137459000||-1415002000|200000|201000000|WDAY
2016-07-31|USD|2829804000|2430090000|405529000|405529000||248658000|413306000|255118000|187450000|68623000|15804000|52819000|1679395000|13592000|1662381000|113522000|43485000|1688958000|1007553000|17135000|979114000|||160640000||520765000|||520765000|135573000|36371000|1140846000||-1300936000|198000|199000000|WDAY
2016-04-30|USD|2776153000|2372131000|404604000|404604000||193100000|432864000|254697000|169093000|64887000|14160000|50727000|1705622000|28842000|1675486000|98941000|55166000|1647997000|970252000|18975000|926056000|||163670000||514075000|||514075000|153191000|35700000|1128156000||-1192911000|195000|197000000|WDAY
2016-01-31|USD|2730094000|2362308000|300087000|300087000||293407000|396528000|214158000|150403000|15491000|15491000|50325000|1703414000|28742000|1669372000|99442000|57738000|1593937000|922679000|19605000|899729000||507476000|163782000||507476000|507476000||507476000|134333000|32794000|1226280000||-1112289000|193000|195000000|WDAY
2015-10-31|USD|2511153000|2157075000|219893000|219893000||170851000|390101000|195004000|133817000|70353000|18408000|51945000|1705496000|29042000|1676454000|89877000|65173000|1385626000|751681000|16953000|718025000|80000|80000|125998000||507947000|80000||507947000|109829000|32792000|1125527000||-1031161000|191000|192000000|WDAY
2015-07-31|USD|2443884000|2140528000|230578000|230578000||156282000|338750000|172701000|124537000|42953000|3023000|39930000|1704243000|27892000|1676351000|77317000|66915000|1311909000|706271000|23668000|683088000|743000|743000|103593000||502045000|743000||502045000|80053000|22312000|1131975000||-953350000|190000|192000000|WDAY
2015-04-30|USD|2382561000|2120993000|270484000|270484000||128493000|261568000|154537000|108851000|34479000|2167000|32312000|1651051000||1651051000|70965000|52571000|1266534000|666554000|13320000|653423000|1759000|1759000|103750000||496230000|1759000||496230000|79263000|22539000|1116027000||-883929000|188000|191000000|WDAY
2015-01-31|USD|2350090000|2108387000|298192000|298192000||188357000|249594000|140136000|94123000|34779000|2467000|32312000|1559517000|12910000|1559517000|62973000|45790000|1224115000|641265000|10623000|632744000|3207000|3207000|100892000||490501000|3207000||490501000|80284000|15299000|1201228000||-822371000|186000|188000000|WDAY
2014-10-31|USD|2232318000|2009746000|192142000|192142000||118943000|222572000|116640000|86650000|35079000|2767000|32312000|1642517000||1642517000|56144000|52511000|1103102000|537633000|9610000|508131000|4681000|4681000|80614000||484855000|4681000||484855000|82018000|13807000|1129216000||-762905000|185000|187000000|WDAY
2014-07-31|USD|2194898000|1980810000|262634000|262634000||100534000|214088000|105855000|74458000|35379000|3067000|32312000|1559748000||1559748000|57894000|54152000|1056057000|489465000|6561000|481473000|5133000|5133000|87299000|671000|479293000|5133000||479293000|68745000|14181000|1138841000||-702993000|183000|185800000|WDAY
2014-04-30|USD|2206690000|2013893000|246001000|246001000||99136000|192797000|89125000|63869000|35679000|3367000|32312000|1619950000||1619950000|48806000|47949000|1051254000|487320000|12033000||8442000|8442000|90122000|1780000|473812000|8442000||484034000|78791000|14453000|1155436000||-633778000|182000|184500000|WDAY
2014-01-31|USD|2176265000|2023658000|581326000|581326000||92184000|168963000|77664000|60782000|8488000|14856000|8488000|1305253000||1305253000|44895000|45658000|989048000|421890000|6212000||9377000|9377000|98746000|3589000|468412000|9377000||468412000|73619000|14274000|1187217000||-574389000|181000|183000000|WDAY
2013-10-31|USD|1528185000|1405602000|183460000|183460000||86961000|114095000|73960000|55236000|8488000|8488000|8488000|1099235000||1099235000|35946000|22096000|914783000|361702000|8228000||10044000|10044000|89989000|5546000|463092000|10044000||478682000|64140000|11964000|613402000||-518407000|172000|174800000|WDAY
2013-07-31|USD|1505973000|1395395000|437432000|437432000||66972000|102090000|64097000|47396000|8488000|8488000|8488000|857169000||857169000|33822000|19122000|867232000|310721000|6337000||10720000|10720000|98662000|7687000|457849000|10720000||476256000|46344000|12677000|638741000||-470873000|171000|173500000|WDAY
2013-04-30|USD|981255000|893684000|219264000|219264000||60345000|79083000|54197000|40426000|8488000|8488000|8488000|586503000||586503000|27572000|5794000|409470000|309132000|16408000||11179000|11179000|100338000||10163000|11179000||21342000|57182000|13600000|571785000||-434895000|169000|172400000|WDAY
2013-01-31|USD|959080000|884302000|84158000|84158000||67437000|74778000|44585000|34755000|8488000|8488000|8488000|706181000||706181000|26526000|3130000|366797000|254774000|2665000||12008000|12008000|112023000||12972000|12008000||24980000|40761000|13131000|592283000||-401880000|162000|166000000|WDAY
2012-10-31|USD|950148000|881654000|442980000|442980000||61099000|59985000|39760000|29656000|8509000|8509000||354397000||354397000|23178000|3165000|334647000|214894000|3481000|164421000|6946000|6946000|119464000||17433000|6946000||24379000|40046000|14578000|615501000||-370936000|160000|166000000|WDAY
