fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|51044308000|3506586000|3506586000|3506586000|||7947690000|5271418000||815169000|665944000|149225000|45620449000|1768772000||204871000||18471722000|1369771000||430836000|||2338155000|1258099000|15500257000|||15500257000|568921000|330594000|31956208000|114176000|10096724000|637002000|635289329|WELL
2024-09-30|USD|48953698000|3564942000|3564942000|3564942000|4302795000||7468020000|5075391000||552310000|483989000|68321000|43610932000|1742836000||219466000||17889695000|1733712000||||96016000|16155983000|392360000|15763623000|||15763623000|1733712000||30334281000|114876000|9976753000|620107000|618395510|WELL
2024-03-31|USD|44553585000|2388488000|2388488000|2388488000|1||7107136000|4754699000||544908000|476587000|68321000|40477094000|1719646000||89847000||16005677000|1419212000||||307236000|14586465000|381320000|14205145000|||14205145000|1419212000||27547943000|114842000|9272190000|592637000|590934192|WELL
2023-12-31|USD|44012166000|1993646000|1993646000|1993646000|||7010539000|4697824000||583135000|514814000|68321000|40240399000|1636531000||82437000||17640439000|1099922000||374545000||1800010000|16540517000|383230000|15735549000|||15735549000|-184640000|325715000|25404376000|111578000|9145044000|565894000|564241181|WELL
2023-09-30|USD|41654702000|2582055000|2582037000|2582055000|3226515000||6492821000|4373058000||454158000|385837000|68321000|37258595000|1568096000|18000|-3121841000||17836083000|1636730000||||221074000|16199353000|365115000|15834238000|||15834238000|1415656000||22954036000|112313000|9061133000|533918000|532268482|WELL
2023-06-30|USD|40064135000|2203815000|2203788000|2203815000|2810372000||6480918000|4262745000||465717000|397396000|68321000|36191286000|1650133000|27000|-2715091000||17871021000|1531114000||||398560000|16339907000|348770000|15991137000|||15991137000|1132554000|1879884000|21204441000|112032000|8933663000|509805000|508159453|WELL
2023-03-31|USD|38493889000|571968000|571902000|571968000|1087605000||6436648000|4324541000||515694000|447373000|68321000|36270180000|1596413000|66000|-1020711000||16897734000|1521499000||||550304000|15376235000|415169000|15122207000|||15122207000|971195000|1936668000|20448155000|112925000|8830623000|497928000|496294516|WELL
2022-12-31|USD|37893233000|631792000|631681000|631792000|1||6279355000|4249834000||529731000|461410000|68321000|35491171000|1499790000|111000|-1067343000||16499237000|1535325000||432941000||12853097000|14963912000|415824000|14714483000|||14714483000|-11967445000|415824000|20294814000|111001000|8804950000|491919000|490508937|WELL
2022-09-30|USD|37414488000|343582000|343446000|343582000|||6112506000|4156985000||572275000|503954000|68321000|36410900000|1383246000|136000|81738000||16956838000|2100194000||||654715000|14856644000|410415000|14600333000|654715000||14600333000|1445479000|1855894000|19169307000|111772000|8808678000|473930000|472516526|WELL
2022-06-30|USD|36573671000|364297000|363339000|364297000|955059000||6005700000|4109851000||594874000|526553000|68321000|35945715000|1300975000|958000|-876147000||16699758000|1608497000||||354000000|15091261000|410717000|14814953000|354000000||14814953000|1254497000|1665214000|18556180000|111691000|8815446000|464778000|463369237|WELL
