fiscalDateEnding|reportedCurrency|totalAssets|totalCurrentAssets|cashAndCashEquivalentsAtCarryingValue|cashAndShortTermInvestments|inventory|currentNetReceivables|totalNonCurrentAssets|propertyPlantEquipment|accumulatedDepreciationAmortizationPPE|intangibleAssets|intangibleAssetsExcludingGoodwill|goodwill|investments|longTermInvestments|shortTermInvestments|otherCurrentAssets|otherNonCurrentAssets|totalLiabilities|totalCurrentLiabilities|currentAccountsPayable|deferredRevenue|currentDebt|shortTermDebt|totalNonCurrentLiabilities|capitalLeaseObligations|longTermDebt|currentLongTermDebt|longTermDebtNoncurrent|shortLongTermDebtTotal|otherCurrentLiabilities|otherNonCurrentLiabilities|totalShareholderEquity|treasuryStock|retainedEarnings|commonStock|commonStockSharesOutstanding|ticker
2024-12-31|USD|1929845000000|330826000000|201902000000|324566000000|||34303000000|5011000000||25167000000|7779000000|25167000000|395916000000|480781000000|121205000000|||1748779000000|108806000000|||108806000000|108806000000|1670023000000|16000000|173078000000|13571000000||281884000000|78756000000||179120000000|111463000000|214198000000|9136000000|3312100000|WFC
2024-09-30|USD|1922125000000|313498000000|184128000000|306223000000|||34195000000|4605000000||25173000000|7493000000|25173000000|423644000000|494643000000|120677000000|-52095000000||1737114000000|111894000000|||111894000000|111894000000|1625220000000||182015000000|14350000000||293909000000|528661000000||183265000000|107479000000|210749000000|9136000000|3384800000|WFC
2024-06-30|USD|1940073000000|360101000000|230780000000|352789000000|253519000000||34397000000|4243000000||25172000000|8027000000|25172000000|432488000000|484129000000|120766000000|483695000000||1761925000000|118834000000|||118834000000|118834000000|1283499000000||179136000000|13001000000||297970000000|-118834000000||176430000000|104247000000|207281000000|9136000000|3448300000|WFC
2024-03-31|USD|1959153000000|384444000000|268596000000|378971000000|-154781000000||34132000000|3917000000||25173000000|8248000000|25173000000|426637000000|490167000000|109324000000|447722000000||1776479000000|109014000000|||109014000000|109014000000|1311303000000||187764000000|22528000000||296778000000|-22528000000||180943000000|98256000000|203870000000|9136000000|3560100000|WFC
2023-12-31|USD|1932468000000|339457000000|236052000000|334521000000|-524614000000||34145000000|3708000000||25175000000|8508000000|25175000000|417779000000|480202000000|97302000000|470890000000||1745025000000|89559000000|||89559000000|89559000000|207588000000|19000000|207588000000|11883000000||297147000000|-11883000000||185735000000|92960000000|201136000000|9136000000|3620500000|WFC
2023-09-30|USD|1909261000000|319279000000|216716000000|314971000000|-438852000000||35419000000|3082000000||26375000000|1201000000|25174000000|425117000000|546752000000|97075000000|438852000000||1726888000000|93330000000|||93330000000|93330000000|190035000000||190035000000|93330000000||283365000000|-93330000000||180715000000|91215000000|199287000000|9136000000|3648800000|WFC
2023-06-30|USD|1876320000000|258219000000|154418000000|252190000000|-385883000000||35583000000|2882000000||26414000000|1239000000|25175000000|439705000000|570939000000|96857000000|385883000000||1694368000000|84255000000|||84255000000|84255000000|170632000000||170632000000|84255000000||254887000000|-84255000000||180191000000|89860000000|195164000000|9136000000|3699900000|WFC
2023-03-31|USD|1886400000000|258687000000|156431000000|252488000000|-379152000000||35858000000|2783000000||26443000000|1270000000|25173000000|430155000000|572207000000|90052000000|379152000000||1703180000000|81007000000|||81007000000|81007000000|81007000000||173466000000|81007000000||254473000000|-81007000000||181168000000|86049000000|191688000000|9136000000|3785600000|WFC
2022-12-31|USD|1881020000000|252416000000|159157000000|245312000000|-369987000000||36122000000|2560000000||26495000000|1322000000|25173000000|455178000000|116033000000|86155000000|369987000000||1698807000000|51145000000|||51145000000|51145000000|51145000000|22000000|174870000000|51145000000||226015000000|-51145000000||180227000000|82853000000|187968000000|9136000000|3799800000|WFC
2022-09-30|USD|1877719000000|260655000000|165455000000|251221000000|-362019000000||36234000000|2601000000||26538000000|1366000000|25172000000|460935000000|561595000000|85766000000|362019000000||1699336000000|48382000000|||48382000000|48382000000|977883000000||156412000000|48382000000||204794000000|-34583000000||176189000000|84781000000|186551000000|9136000000|3796500000|WFC
2022-06-30|USD|1881141000000|253971000000|155140000000|244297000000|-325982000000||36363000000|2498000000||26582000000|1404000000|25178000000|1533773000000|578546000000|89157000000|360730000000||1701349000000|37075000000|||37075000000|37075000000|13188000000||150291000000|37075000000||187366000000|-23887000000||177532000000|84906000000|184475000000|9136000000|3793800000|WFC
2022-03-31|USD|1939709000000|308391000000|201895000000|288567000000|-390789000000||36441000000|2433000000||26619000000|1438000000|25181000000|1532117000000|606671000000|86672000000|419781000000||1758020000000|33601000000|||33601000000|33601000000|13632000000||153337000000|33601000000||186938000000|-19969000000||179243000000|85059000000|182623000000|9136000000|3831100000|WFC
2021-12-31|USD|1948068000000|346112000000|234230000000|322495000000|-416461000000||36679000000|2389000000||26674000000|1494000000|25180000000|1514120000000|1193508000000|88265000000|440907000000||1757958000000|34409000000|||34409000000|34409000000|4900000000|26000000|160689000000|34409000000||195098000000|-21191000000||187606000000|79757000000|180322000000|9136000000|3926300000|WFC
2021-09-30|USD|1954901000000|386441000000|266687000000|361630000000|-772289000000||38359000000|1988000000||27758000000|1567000000|26191000000|1489050000000|609519000000|94943000000|476824000000||1763830000000|41980000000|||41980000000|41980000000|4500000000||162982000000|12535000000||204962000000|29445000000||189028000000|74169000000|175709000000|9136000000|4056300000|WFC
2021-06-30|USD|1945996000000|417825000000|274173000000|392231000000|-769013000000||31840000000|1972000000||27787000000|1593000000|26194000000|1467225000000|598112000000|118058000000|479467000000||1752869000000|45635000000|||45635000000|45635000000|4200000000||179656000000|45635000000||225291000000|1440472000000||191262000000|69038000000|171765000000|9136000000|4124600000|WFC
2021-03-31|USD|1957264000000|426352000000|286733000000|390918000000|140000000||32045000000|1662000000||27908000000|1618000000|26290000000|1444821000000|844644000000|104185000000|964123000000||1771195000000|58920000000|||58920000000|58920000000|4100000000||183312000000|58920000000||242232000000|47033000000||187218000000|67589000000|166772000000|9136000000|4141300000|WFC
2020-12-31|USD|1952911000000|410100000000|264612000000|373716000000|159000000||32352000000|1504000000||28046000000|1654000000|26392000000|1469193000000|563467000000|109104000000|964905000000||1767199000000|58999000000|||58999000000|58999000000|4200000000|28000000|212950000000|58999000000||271949000000|-58999000000||184680000000|67791000000|161945000000|9136000000|4137800000|WFC
2020-09-30|USD|1920399000000|348150000000|246770000000|345076000000|156000000||41476000000|8977000000||28078000000|1691000000|26387000000|1465600000000|900619000000|98306000000|1001699000000||1740188000000|55224000000|||55224000000|55224000000|4000000000||215711000000|55224000000||270935000000|1383215000000||181173000000|68384000000|160913000000|9136000000|4123800000|WFC
2020-06-30|USD|1967048000000|364521000000|262503000000|364521000000|195000000||41708000000|9025000000||28135000000|1750000000|26385000000|1478097000000|916229000000|102018000000|1041085000000||1788644000000|60485000000|||60485000000|60485000000|4200000000||230921000000|10826000000||291406000000|1410711000000||179386000000|69050000000|159952000000|9136000000|4105500000|WFC
2020-03-31|USD|1981349000000|259410000000|150809000000|259410000000|252000000||41958000000|9108000000||28200000000|1819000000|26381000000|1584744000000|998580000000|108601000000|1125708000000||1798019000000|92289000000|||92289000000|92289000000|4200000000||237342000000|13253000000||329631000000|1376532000000||182718000000|70215000000|165308000000|9136000000|4104800000|WFC
