fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-11-29|USD|2921000000|134000000||352000000|88000000|218000000|48000000|271000000||1683000000|19000000|-2501000000||2500000000|2500000000||||||||-2500000000|0|||1683000000|ADBE
2024-08-30|USD|2021000000|46000000||-131000000|348000000|213000000|57000000|190000000||1684000000|-47000000|-2453000000||2500000000|2500000000||||||||-2236000000|264000000|||1684000000|ADBE
2024-05-31|USD|1940000000|1000000||239000000|30000000|214000000|41000000|-438000000||1573000000|111000000|-642000000||2500000000|2500000000||||||||-2500000000|0|||1573000000|ADBE
2024-03-01|USD|1174000000|47000000||-152000000|7000000|212000000|37000000|-166000000||620000000|66000000|-2128000000||2000000000|2000000000||||||||-1903000000|97000000|||620000000|ADBE
2023-12-01|USD|1597000000|100000000||-463000000|407000000|222000000|47000000|376000000|378000000|1483000000|153000000|-1217000000||1000000000|1000000000||||||||-1000000000|0|||1483000000|ADBE
2023-09-01|USD|1873000000|47000000||193000000|393000000|218000000|91000000|168000000|186000000|1403000000|145000000|-871000000||1000000000|0||||||0||0|244000000|||1403000000|ADBE
2023-06-02|USD|2139000000|1000000||582000000|188000000|220000000|121000000|-116000000|-142000000|1295000000|322000000|-1080000000||1000000000|1000000000||||||||-999000000|1000000|||1295000000|ADBE
2023-05-31|USD|2139000000|||||220000000|121000000||-142000000|1295000000|145000000|-1080000000|||0||||||0||0||||1295000000|ADBE
2023-03-03|USD|1693000000|55000000||-226000000|-11000000|212000000|101000000|-269000000||1247000000|156000000|-2014000000||1400000000|1400000000||||||||-1331000000|69000000|||1247000000|ADBE
2022-12-02|USD|2325000000|109000000||316000000|305000000|215000000|91000000|344000000||1176000000|-69000000|-1911000000||1750000000|1750000000||||||||-1750000000|0|||1176000000|ADBE
2022-09-02|USD|1704000000|51000000||-77000000|134000000|216000000|125000000|141000000||1136000000|-103000000|-1060000000||1200000000|1200000000||||||||-1013000000|187000000|||1136000000|ADBE
2022-06-03|USD|2040000000|0||200000000|-143000000|212000000|126000000|-96000000||1178000000|-138000000|-1250000000||1200000000|1200000000||||||||-1200000000|0|||1178000000|ADBE
2022-03-04|USD|1769000000|50000000||-347000000|-4000000|213000000|100000000|-191000000||1266000000|-260000000|-2604000000||2400000000|2400000000||||||||-2309000000|91000000|||1266000000|ADBE
2021-12-03|USD|2066000000|116000000||160000000|377000000|205000000|99000000|325000000|363000000|1233000000|-1739000000|-1078000000||1000000000|1000000000||||||||-999000000|1000000|-751000000|-28000000|1233000000|ADBE
2021-09-03|USD|1404000000|50000000||-76000000|231000000|193000000|95000000|66000000|47000000|1212000000|-133000000|-899000000||1000000000|1000000000||||||||-797000000|203000000|1212000000|1000000|1212000000|ADBE
2021-06-04|USD|1988000000|0||290000000|-27000000|194000000|95000000|-43000000|-101000000|1116000000|-107000000|-1080000000||1000000000|1000000000||||||||-1000000000|0|1116000000|-3000000|1116000000|ADBE
2021-03-05|USD|1772000000|50000000||-230000000|324000000|196000000|59000000|82000000|141000000|1261000000|-1558000000|-1244000000||950000000|950000000||||||||-863000000|87000000|-1030000000|4000000|1261000000|ADBE
2020-11-27|USD|1782000000|25000000||86000000|88000000|190000000|103000000|81000000|4000000|1197000000|-131000000|-940000000||850000000|850000000||||||||-850000000|0|1197000000|0|2250000000|ADBE
2020-08-28|USD|1436000000|76000000||0|-54000000|191000000|126000000|-32000000|29000000|955000000|-315000000|-414000000||500000000|500000000||||||0||-319000000|181000000|955000000|16000000|955000000|ADBE
2020-05-29|USD|1184000000|24000000||57000000|96000000|188000000|96000000|-10000000|-35000000|1100000000|80000000|-901000000||850000000|850000000||||||0||-849000000|1000000|1100000000|-7000000|1100000000|ADBE
2020-02-28|USD|1325000000|62000000||-33000000|52000000|188000000|94000000|-145000000|-200000000|955000000|-48000000|-1233000000||850000000|850000000||3056000000|3056000000|||3144000000||-762000000|88000000|38000000|-6000000|955000000|ADBE
2019-11-29|USD|1377000000|27476000||184454000|414873000|191000000|94095000|174000000|151276000|957147000|-169000000|-766000000||750000000|750000000||2527000|2527000|||||-749308000|1000000|441174000|-1000000|852000000|ADBE
2019-08-30|USD|922000000|46593000||-97122000|247170000|193000000|89624000|100000000|81835000|792763000|-165000000|-624000000||750000000|750000000||||||0||-591672000|158000000|126137000|-7000000|793000000|ADBE
2019-05-31|USD|1110000000|27006000||166654000|-26163000|187000000|145760000|-21000000|-44948000|632593000|10000000|-772000000||750000000|750000000||2318000|2318000|||0||-748088000|2000000|344135000|-4000000|633000000|ADBE
2019-03-01|USD|1013000000|51000000||-55000000|83000000|186000000|65000000|-65000000|-23466000|702334000|-132000000|-784000000||500000000|500000000||71594000|71594000|||0||-428000000|72000000|96000000|-1000000|674000000|ADBE
2018-11-30|USD|1107689000|19504000||-58329000|188387000|106228000|62563000|201002000|171427000|699217000|-3138583000|1925299000||300000000|300000000||2247095000|2247095000|||0||-298753000|1257000|-104369000|1523000|678240000|ADBE
2018-08-31|USD|955304000|24251000||126136000|-75110000|86890000|63558000|-58321000|-80027000|666291000|-1520334000|-671661000||750000000|750000000||46405000|46405000|||0||-624939000|125061000|-1240842000|-4151000|666291000|ADBE
2018-06-01|USD|976406000|11093000||51798000|55376000|76360000|45316000|13717000|27613000|690799000|67679000|-717365000||700000000|700000000||298000|298000|||||-699702000|298000|321005000|-5715000|663167000|ADBE
2018-03-02|USD|989601000|26410000||458336000|-89445000|76522000|95142000|-154398000|-171950000|702502000|-93762000|-541273000||300000000|300000000||64384000|64384000|||||-235616000|64384000|360909000|6343000|583076000|ADBE
2017-12-01|USD|833220000|9661000||-130805000|217418000|81234000|37684000|213634000|190423000|643012000|20366000|-319509000||300000000|300000000||669000|669000|||||-299331000|669000|531522000|-2555000|501549000|ADBE
2017-09-01|USD|704436000|25811000||174868000|88755000|82319000|54238000|105814000|93392000|541379000|-36814000|-218299000||300000000|300000000||22735000|22735000|||||-195148000|104852000|457600000|8277000|419569000|ADBE
2017-06-02|USD|644827000|9070000||107458000|26452000|81635000|55297000|51975000|165610000|492618000|-87547000|-314432000||300000000|300000000||1043000|1043000|||||-298957000|1043000|248054000|5206000|374390000|ADBE
2017-03-03|USD|730370000|24888000||-80096000|-173492000|80809000|30903000|-184250000|-217066000|460632000|-338882000|-331495000||200000000|200000000||51787000|51787000|||||-148213000|51787000|57581000|-2412000|398446000|ADBE
2016-12-02|USD|695601000|13847000||239055000|88054000|81860000|48633000|103383000|98803000|456700000|-143098000|-300469000||300000000|300000000||5874000|5874000|||||-294126000|5874000|243643000|-8391000|399613000|ADBE
2016-09-02|USD|517885000|28216000||138930000|48961000|84014000|55213000|65655000|57793000|356301000|-306588000|-324957000||400000000|400000000||||||||-312462000|87538000|-118707000|-5047000|270788000|ADBE
2016-06-03|USD|488715000|58299000||211073000|83864000|84461000|53759000|65652000|62774000|329830000|-251505000|-180888000||225000000|225000000||6741000|6741000|||||-218259000|6741000|55683000|-639000|244074000|ADBE
2016-03-04|USD|497527000|40936000||37594000|10558000|81200000|46200000|-74274000|-52673000|292307000|-258842000|-284392000||150000000|150000000||||||||-104456000|45544000|-45864000|-157000|254307000|ADBE
2015-11-27|USD|454515000|17219000||170084000|62646000|86359000|64676000|79398000|55914000|296940000|-285987000|-115150000||100000000|125000000||602189000|602189000|||0||-115489000|9511000|47268000|-6110000|222705000|ADBE
