fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|1150300000|139300000||247300000|559500000|151100000|134200000|210100000||963200000|-1257900000|13974000000|0|272300000|272300000||572500000|572500000|||0||-272300000||||963200000|ADP
2024-09-30|USD|824400000|169500000||-275400000|371500000|138600000|139700000|-115400000||956300000|-1644400000|-6491500000|4375400000|372600000|372600000||572600000|572600000|||988900000||-372600000||||956300000|ADP
2024-06-30|USD|1300600000|1577100000||364600000|324300000|135700000|146500000|-12500000|390700000|829300000|-217200000|-11115500000|0|435500000|435500000||575100000|575100000|||0||-435500000||||829300000|ADP
2024-03-31|USD|1498100000|100100000||226200000|353900000|144600000|157100000|113900000||1184900000|-1094000000|5867700000|0|291500000|291500000||575900000|575900000|||0||-291500000||||1184900000|ADP
2023-12-31|USD|1032400000|128900000||242900000|559200000|140100000|133500000|274400000|222800000|878400000|138300000|5719800000|0|254700000|254700000||516300000|516299999|||0||-254700000||||878400000|ADP
2023-09-30|USD|326500000|127500000||-339000000|674700000|141500000|126300000|107900000|-613500000|859400000|-216100000|-1903700000|0|250000000|250000000||515800000|515799999|||0||-250000000||||859400000|ADP
2023-06-30|USD|1185700000|1496100000||346700000|322600000|140400000|140900000|-49100000||776700000|-464500000|-9994500000|0|303900000|303900000||517500000|517500000|||0||-303900000||-9273300000||776700000|ADP
2023-03-31|USD|1404100000|74500000||42000000|116600000|137000000|157200000|-81200000||1043100000|-583400000|3938100000|0|264000000|264000000||520600000|520600000|||0||-264000000||4758800000||1043100000|ADP
2022-12-31|USD|899700000|79600000||126200000|486500000|136800000|141800000|202600000||813100000|108200000|6678300000|0|220200000|220200000||432600000|432600000|||0||-220200000||7686200000||813100000|ADP
2022-09-30|USD|718100000|90200000||-225400000|302500000|135100000|131700000|-201500000||779000000|-1577600000|-16302600000|0|333300000|333300000||432900000|432900000|||0||-333300000||-17162100000||779000000|ADP
2022-06-30|USD|912900000|1166000000||44200000|274400000|130500000|144300000|-47100000|3286000000|625500000|-1050700000|-8725300000|0|487500000|487500000||434300000|434300000|||-7300000||-487500000||-8863100000||625500000|ADP
2022-03-31|USD|971000000|55600000||445600000|775900000|129000000|152600000|507600000||928500000|-2495300000|12714000000|0|491400000|491400000||437700000|437700000|||7300000||-491400000||928500000||928500000|ADP
2021-12-31|USD|1093700000|40600000||92500000|148600000|126500000|127400000|-25800000||694400000|-2232000000|-1520100000|0|462500000|462500000||393800000|393800000|||0||-462500000||694400000||694400000|ADP
2021-09-30|USD|121900000|57000000||-475700000|546000000|129100000|129100000|51800000|-3286000000|700500000|-1236400000|11184800000|0|528000000|528000000||393200000|393200000|||0||-528000000||10070300000||700500000|ADP
2021-06-30|USD|652800000|1244800000||100900000|210000000|126000000|120400000|-25400000|-2808600000|538200000|-1148600000|-6486200000|0|469800000|469800000||396000000|396000000|||990400000||-469800000||-6982000000||538200000|ADP
2021-03-31|USD|1252200000|59100000||479600000|429400000|126900000|156400000|278700000|-1807900000|810700000|-1416800000|4172200000|0|427400000|427400000||397800000|397800000|||0||-427400000||810700000||810700000|ADP
2020-12-31|USD|706400000|32500000||-131300000|196300000|126700000|109200000|7800000|-135800000|647500000|-1213800000|6227400000|0|261500000|261500000||390700000|390700000|||0||-261500000||647500000||647500000|ADP
2020-09-30|USD|481900000|72600000||-17400000|533500000|131100000|119900000|78700000|-23100000|602100000|264200000|2524100000|0|213600000|213600000||391000000|391000000|||991100000||-213600000||3270200000||602100000|ADP
2020-06-30|USD|776600000|955900000||-58200000|-19700000|124500000|216100000|-167800000|-43500000|531300000|2677700000|-4926600000|0|0|0||391600000|391600000|||0||0||531300000||411500000|ADP
2020-03-31|USD|1118700000|144300000||99900000|239700000|120600000|131900000|82800000|115800000|820900000|603500000|-6489100000|0|391200000|391200000||392900000|392900000|||0||-391200000||820900000||820900000|ADP
2019-12-31|USD|698100000|52600000||-30800000|315700000|117600000|123400000|102000000|-58200000|651600000|-247100000|10571000000|-3536700000|305400000|305400000||342700000|342700000|||0||-305400000||651600000||651600000|ADP
2019-09-30|USD|432800000|93800000||-106700000|488500000|117300000|145000000|96800000|-91600000|582400000|122200000|-5045900000|3536700000|309700000|309700000||343300000|343300000|||0||-309700000||-4490900000||582400000|ADP
2019-06-30|USD|732300000|742600000||35400000|185500000|109400000|116300000|-52800000|71500000|633300000|-999800000|-7153100000|0|177100000|177100000||343400000|343400000|||||-177100000||633300000||475500000|ADP
2019-03-31|USD|1024500000|37900000||-86300000|11200000|103100000|230900000|-143300000|-92700000|753700000|-728700000|8433700000|0|234000000|234000000||344600000|344600000|||||-234000000||753700000||753700000|ADP
2018-12-31|USD|782300000|30100000||386300000|554000000|97500000|102300000|430800000|365000000|558200000|-16500000|329400000|1206000000|299500000|299500000||302400000|302400000|||||-299500000||558200000||558200000|ADP
2018-09-30|USD|149200000|60900000||-80100000|710400000|99000000|117000000|239200000|-77800000|505400000|-452700000|-1817700000|0|227100000|227100000||302600000|302600000|||||-227100000||-2121200000||505400000|ADP
2018-06-30|USD|705200000|772100000||31500000|-79600000|99300000|115400000|52500000|2300000|204500000|-546600000|-7014100000|0|393100000|393100000||278600000|278600000|||||-393100000||204500000|-8400000|140900000|ADP
2018-03-31|USD|1134900000|41300000||11600000|-303900000|96300000|104700000|-97800000|40000000|643100000|-631700000|-922100000|0|187900000|187900000||278400000|278400000|||||-187900000||643100000||661000000|ADP
2017-12-31|USD|430400000|22500000||82600000|240600000|94800000|107700000|255400000|60800000|467500000|-1033700000|8345000000|0|158200000|158200000||253000000|253000000|||||-158200000||467500000||670400000|ADP
2017-09-30|USD|244700000|52000000||-19900000|341200000|87200000|143000000|81700000|4600000|401500000|-292600000|-2064700000|0|250100000|250100000||253700000|253700000|||||-250100000||-2098400000|14200000|412600000|ADP
