fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|125000000|3771000000||-1523000000|1268000000|882000000||||901000000|2653000000|-3004000000|0|1822000000|1822000000|0|244000000|244000000|||660000000||-1660000000||||898000000|AIG
2024-09-30|USD|1699000000|3454000000||-218000000|25000000|863000000|3533000000|||457000000|315000000|-1911000000|0|1505000000|1505000000|0|254000000|254000000|||0||-1505000000||||459000000|AIG
2024-06-30|USD|930000000|3452000000||730000000|59000000|576000000||||-3884000000|-1604000000|993000000|0|1685000000|1685000000|0|261000000|261000000|||1000000||-1685000000||||-3977000000|AIG
2024-03-31|USD|519000000|3324000000||1352000000|1320000000|1104000000||||1600000000|308000000|-1141000000|0|1640000000|2125000000|485000000|243000000|243000000|||0||-2125000000||||1216000000|AIG
2023-12-31|USD|1622000000|4554000000||-1315000000|1119000000|-1135000000|303000000|||-473000000|-2949000000|1021000000|0|1034000000|1034000000|0|256000000|249000000|7000000||744000000||-991000000||||93000000|AIG
2023-09-30|USD|3510000000|3751000000||-665000000|40000000|-1190000000|487000000|||2747000000|-3431000000|-124000000|0|810000000|810000000|0|261000000|254000000|7000000|0|496000000|0|-810000000|0|||2027000000|AIG
2023-06-30|USD|614000000|3875000000||558000000|43000000|-1190000000|866000000|||1691000000|833000000|-932000000|0|540000000|540000000|0|268000000|260000000|8000000|0|-1000000|0|-540000000|0|515000000||1493000000|AIG
2023-03-31|USD|497000000|4003000000||3015000000|1740000000|-1293000000||||-87000000|-1474000000|817000000|0|577000000|577000000|0|241000000|234000000|7000000|0|743000000|0|-577000000|0|-160000000||30000000|AIG
2022-12-31|USD|240000000|4337000000||-4052000000|933000000|-1531000000||||549000000|-1361000000|843000000|-2000000|802000000|802000000||243000000|236000000|7000000|0|4000000|0|-734000000|0|-277000000||601000000|AIG
2022-09-30|USD|3369000000|3805000000||318000000|16000000|-1170000000||||3087000000|-4799000000|1240000000|0|1293000000|1293000000||247000000|240000000|7000000|0|997000000|0|-1293000000|0|-190000000||2748000000|AIG
2022-06-30|USD|559000000|3563000000||-332000000|-30000000|-1116000000||||3079000000|1681000000|-2182000000|0|1711000000|1711000000||256000000|248000000|8000000|0|6465000000|0|-1711000000|0|-141000000||2754000000|AIG
2022-03-31|USD|39000000|4008000000||1734000000|1386000000|-1137000000||||4560000000|853000000|-577000000|0|1394000000|1394000000||265000000|258000000|7000000|0|11000000|0|-1394000000|0|315000000||4173000000|AIG
2021-12-31|USD|515000000|5146000000||-702000000|1048000000|1091000000|274000000|||4106000000|-356000000|-975000000|0|941000000|941000000||271000000|264000000|7000000|0|28000000|0|-941000000|0|-816000000||3746000000|AIG
2021-09-30|USD|2954000000|3596000000||940000000|-45000000|1260000000|868000000|||1737000000|-1279000000|-1460000000|0|1059000000|1059000000||276000000|269000000|7000000|0|25000000|0|-1151000000|0|-1859000000||1667000000|AIG
2021-06-30|USD|2170000000|3515000000||1261000000|-13000000|915000000||||150000000|-3150000000|814000000|0|230000000|230000000||282000000|274000000|8000000|0|27000000|0|-230000000|0|-3365000000||99000000|AIG
2021-03-31|USD|640000000|4167000000||3628000000|1422000000|1304000000||||3930000000|1505000000|-2114000000|0|362000000|362000000||283000000|276000000|7000000|0|27000000|0|-270000000|0|31000000||3876000000|AIG
2020-12-31|USD|429000000|5411000000||-1357000000|1036000000|1089000000|710000000|||-16000000|-981000000|153000000|0|0|0||283000000|276000000|7000000|0|-1429000000|0|0|0|-399000000||-53000000|AIG
2020-09-30|USD|848000000|4431000000||-39000000|1032000000|707000000||||299000000|-2318000000|1201000000|0|0|0||283000000|276000000|7000000|0|116000000|0|0|0|-4132000000||288000000|AIG
2020-06-30|USD|347000000|4700000000||206000000|845000000|754000000||||-7766000000|-2270000000|2472000000|0|0|0||283000000|275000000|8000000|0|4836000000|0|0|0|-12466000000||-7928000000|AIG
2020-03-31|USD|-586000000|5016000000||1651000000|1379000000|1862000000||||1654000000|-633000000|1232000000|0|500000000|500000000||283000000|276000000|7000000|0|673000000|0|-500000000|0|13000000||1749000000|AIG
2019-12-31|USD|-1018000000|4948000000||-3078000000|1222000000|1363000000|1408000000|||869000000|-682000000|1303000000|0|0|0||279000000|279000000|7000000|0|1317000000|0|0|0|869000000||929000000|AIG
2019-09-30|USD|483000000|6354000000||-1089000000|1338000000|1252000000|1834000000|||973000000|-646000000|737000000|0|0|0||271000000|278000000|8000000|0|365000000|0|0|0|-5381000000||656000000|AIG
2019-06-30|USD|-296000000|5710000000||-1653000000|1423000000|1439000000||||1390000000|-2168000000|2454000000|0|0|0||286000000|279000000|7000000|0|750000000|0|0|0|-4320000000||1109000000|AIG
2019-03-31|USD|-976000000|6779000000||596000000|1420000000|1289000000||||937000000|-1979000000|2764000000|0|0|0||278000000|278000000|0|0|1449000000|485000000|485000000|0|-191000000||654000000|AIG
2018-12-31|USD|-356000000|8182000000||969000000|1466000000|1827000000|1164000000|||-560000000|694000000|-84000000|0|745000000|750000000||280000000|280000000||0|675000000|0|-750000000|0|-560000000||-622000000|AIG
2018-09-30|USD|302000000|6317000000||841000000|1238000000|1118000000|1521000000|||-1259000000|553000000|-90000000|0|348000000|350000000||283000000|283000000||0|555000000|0|-350000000|0|-7576000000||-1259000000|AIG
2018-06-30|USD|598000000|5545000000||-882000000|83000000|1337000000|1876000000|||931000000|502000000|-1063000000|0|348000000|350000000||286000000|286000000||0|465000000|0|-350000000|0|-4614000000||937000000|AIG
2018-03-31|USD|-938000000|5746000000||137000000|1549000000|1358000000|1453000000|||949000000|-1972000000|2486000000|0|298000000|300000000||289000000|289000000||0|3039000000|0|-300000000|0|-424000000||938000000|AIG
