fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|436500000|673500000||41400000|971300000|962500000|47100000|||133800000|-207200000|-140800000||99400000|99400000||37500000|37500000|||0||-99400000||||133800000|AIZ
2024-06-30|USD|710900000|625400000||81400000|174500000|1015300000|55400000|||188700000|-193400000|-80800000||41600000|41600000||39900000|39900000|||0||-41600000||||188700000|AIZ
2024-03-31|USD|82500000|586900000||-39300000|8300000|1022700000|50800000|||236400000|-328200000|-96200000||46100000|46100000||37400000|37400000|||0||-46100000||||236400000|AIZ
2023-12-31|USD|362600000|1000000000||8500000|18800000|1483100000|54300000||-135300000|989300000|3100000|-162000000||126000000|126000000||38500000|38500000|||0||-126000000||||182500000|AIZ
2023-09-30|USD|330500000|615600000||-61400000|22100000|1005400000|50400000||176600000|190100000|-157000000|-141500000|0|49300000|49300000||37100000|37100000|||0||-49300000||||190100000|AIZ
2023-06-30|USD|185400000|606800000||-67500000|-20300000|1033400000|49400000|33800000|77900000|156300000|-254400000|-57400000|0|17800000|17800000||39700000|39700000|||0||0||-126400000||156300000|AIZ
2023-03-31|USD|259600000|540200000||51900000|-360300000|984300000|48400000|367300000||113600000|-229400000|-43000000|0|0|0||37000000|37000000|||173200000||0||-12800000||113600000|AIZ
2022-12-31|USD|277100000|857100000||-30100000|-574800000|1425300000|52400000|579400000||68100000|-127200000|-51200000|0|15200000|15200000||37500000|37500000|0||0||-15200000||98700000||68100000|AIZ
2022-09-30|USD|647900000|540900000||53300000|1414500000|951400000|46600000|-1436100000||7300000|-241900000|-142300000|0|91000000|91000000||36700000|36700000|0||0||-91000000||263700000||7300000|AIZ
2022-06-30|USD|173000000|544500000||21300000|50100000|900000000|46200000|-51400000||52200000|120300000|-347400000|0|236600000|236600000||38600000|38600000|0||0||-236600000||-54100000||52200000|AIZ
2022-03-31|USD|-501100000|470600000||-2800000|-62700000|889500000|41100000|103500000||145500000|-13300000|-277500000|0|230000000|230000000||37400000|37400000|0||0||-230000000||-791900000||149000000|AIZ
2021-12-31|USD|254700000|939300000||50400000|-100500000|3996400000|56100000|22400000|-159500000|120900000|120900000|-332400000|0|295000000|295000000||39100000|39100000|0||0||-295000000||288500000||120900000|AIZ
2021-09-30|USD|-2000000|544900000||-54200000|420600000|700000|46100000|148000000|364000000|879800000|3400000|-736600000|0|321200000|321200000||38500000|38500000|0||0||-321200000||882400000||879800000|AIZ
2021-06-30|USD|947700000|550700000||21400000|184300000|800000|45600000|-185400000|319800000|206000000|18800000|132200000|0|181100000|181100000||41800000|41800000|0||0||-181100000||203600000||205800000|AIZ
2021-03-31|USD|-418700000|504100000||64000000|-61500000|700000|39600000|70500000|-99400000|162800000|14500000|-153000000|0|42000000|42000000||42900000|38200000|4700000||0||-42000000||-557200000||163000000|AIZ
2020-12-31|USD|440400000|933200000||-77000000|102800000|3804300000|40100000|-83500000|86300000|138000000|-460000000|32000000|0|142500000|142500000||44200000|39500000|4700000||243700000||-142500000||183400000||138200000|AIZ
2020-09-30|USD|609400000|645100000||67300000|174200000|700000|34900000|-180200000|606900000|-30500000|-243000000|-308800000|-200000000|68300000|68300000||42200000|37500000|4700000||0||-68300000||-30500000||-30200000|AIZ
