fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|343788000|86252000|389000|70754000|71006000|167949000|162859000|50392000||139905000|-244186000|-140840000|0|138371000|138371000||||||||-124566000||||139905000|AKAM
2024-09-30|USD|392542000|86242000|466000|886000|-10573000|165729000|185117000|-11290000||57907000|-116228000|-162369000|0|165839000|165839000||||||||-146397000||||57907000|AKAM
2024-06-30|USD|430963000|72825000|4508000|8528000|-18791000|158549000|163537000|-17538000||131688000|-286682000|-160445000|0|127809000|127809000||||||||-119853000||||131688000|AKAM
2024-03-31|USD|351878000|73948000|525000|-32277000|26752000|156183000|173754000|736000||175418000|-151583000|-215981000|0|125449000|125449000||||||||-105139000||||175418000|AKAM
2023-12-31|USD|389193000|70791000|3544000|-4527000|5564000|147634000|133887000|2941000||161165000|-315833000|-56777000|0|54891000|54891000||||||||-41465000||||161165000|AKAM
2023-09-30|USD|359436000|76451000|6771000|-3145000|21490000|148560000|197619000|23484000|-11861000|160542000|-1164163000|974645000|-90000000|113197000|113197000||18222000|18222000|||0|0|-4780000||||160542000|AKAM
2023-06-30|USD|366311000|59724000|466000|4391000|-10385000|139125000|176289000|-2473000|-1777000|128816000|-248354000|-117200000|90000000|137358000|137358000||30074000|30074000|||0|0|-127284000||757000||128816000|AKAM
2023-03-31|USD|233499000|57323000|225000|-34980000|51260000|135457000|222245000|25251000||97106000|-119888000|-357289000|0|348600000|348600000||||||0|0|-327343000||-243678000||97106000|AKAM
2022-12-31|USD|341498000|57810000|6959000|29928000|25317000|148570000|110788000|48063000||569811000|-94657000|-177960000|0|177741000|177741000||||||0|0|-167268000||||128762000|AKAM
2022-09-30|USD|369296000|58770000|6438000|-5334000|-26057000|150985000|97988000|-30796000||108154000|-95529000|-229474000|-125000000|162627000|162627000||58156000|58156000|||0|0|-145783000||44293000||123694000|AKAM
2022-06-30|USD|341431000|58035000|1036000|-26713000|-61814000|150604000|118167000|-35251000||119537000|-115226000|-165908000|50000000|164789000|164789000||||||0|0|-157585000||60297000||137840000|AKAM
2022-03-31|USD|222451000|56441000|1025000|-12985000|103893000|142595000|131359000|39198000||119163000|-316898000|-60835000|75000000|102853000|102853000||||||75000000|0|-80912000||-155282000||133376000|AKAM
2021-12-31|USD|386900000|33491000|547000|34212000|-10262000|141699000|109695000|8871000|99746000|579955000|-843954000|-269225000||270998000|270998000||||||0|0|-258308000||-726279000||160534000|AKAM
2021-09-30|USD|389737000|54461000|7711000|55237000|15071000|139747000|116247000|10821000|-5978000|178916000|392983000|-93157000||96841000|96841000||||||0|0|-81021000||178916000||178916000|AKAM
2021-06-30|USD|378133000|76054000|4704000|-32932000|-35715000|137715000|154569000|-11176000|9025000|156497000|-159620000|-98844000||96175000|96175000||||||0|0|-86463000||156497000||156497000|AKAM
2021-03-31|USD|249793000|65829000|1846000|-48263000|50968000|131471000|164719000|15580000|-36104000|155695000|-36308000|-100777000||58241000|58241000||||||0|0|-36831000||112708000||155695000|AKAM
2020-12-31|USD|291093000|60049000|817000|-6989000|8957000|127708000|167445000|4942000|-34094000|542440000|-617934000|-71076000||72510000|72510000||12529000|12529000|||0|0|-58547000||542440000||113370000|AKAM
2020-09-30|USD|401973000|52601000|9963000|90158000|-8706000|118893000|228759000|-20107000||158623000|-224665000|-10560000||13198000|13198000||47494000|47494000|||0|0|2809000||158623000||158623000|AKAM
2020-06-30|USD|298691000|53311000|5507000|-27634000|31178000|115580000|120239000|31633000||161915000|-89637000|-30166000||27300000|27300000||||||0|0|-27300000||134615000||161915000|AKAM
2020-03-31|USD|223243000|53597000|1204000|459000|84347000|116208000|215429000|73913000|-9506000|123146000|-110738000|-111839000||80550000|80550000||||||0|0|-61004000||666000||123146000|AKAM
2019-12-31|USD|282140000|49009000|985000|12569000|2975000|115800000|133666000|26327000|57413000|514373000|-589764000|-42973000||42731000|42731000||646796000|646796000|||0|0|-28823000||514373000||119100000|AKAM
2019-09-30|USD|297385000|39822000|530000|8978000|-11607000|110604000|152633000|17000||137890000|-904984000|836285000||175500000|175500000||||||0|185150000|-175500000||-37610000||137890000|AKAM
2019-06-30|USD|317929000|76697000|1040000|21998000|4619000|106065000|133349000|-5639000||113915000|-409427000|-83694000||81400000|81400000||||||0|0|-81400000||32515000||113915000|AKAM
2019-03-31|USD|160850000|8159000|1176000|-65553000|56795000|108205000|142429000|43766000||107130000|236241000|-745295000||34872000|34872000||||||0|0|-15098000||-346603000|1601000|107130000|AKAM
2018-12-31|USD|286155000|1460000|1215000|16863000|18882000|116294000|117334000|16834000|-2577000|469436000|171701000|-126124000||124075000|124075000||52060000|52060000|||0|0|-113964000||469436000|-1316000|94015000|AKAM
2018-09-30|USD|310481000|786000|8630000|55314000|7384000|107833000|86698000|-3278000||107583000|-148647000|-433534000||440400000|440400000||||||-437000|0|-440400000||-332817000|-68000|107583000|AKAM
2018-06-30|USD|219681000|8856000|4180000|-29068000|-15035000|106298000|88634000|-1530000||43061000|-418102000|823927000||165727000|165727000||||||0|0|-165727000||-122666000|-12625000|43061000|AKAM
2018-03-31|USD|192010000|13752000|4476000|7632000|23346000|104095000|113075000|18419000|8774000|53714000|-111485000|-30661000||19785000|19785000||||||0|0|2953000||51029000|1165000|53714000|AKAM
2017-12-31|USD|197441000||883000|23960000|32742000|99396000|106852000|44626000|2461000|433515000|-202153000|-50898000||54565000|54565000||||||0|0|-40625000||-54770000|631000|27520000|AKAM
2017-09-30|USD|236291000||3386000|28026000|-14587000|97178000|119740000|1326000||60512000|-102379000|-119738000||129014000|129014000||||||0|0|-112954000||15651000|2107000|63911000|AKAM
2017-06-30|USD|224633000||1681000|8314000|-9230000|89206000|97005000|-12273000||57772000|-294939000|-105511000||105148000|105148000||||||0|0|-96998000||-169818000|5233000|56752000|AKAM
2017-03-31|USD|142618000||800000|-9548000|77211000|86533000|91181000|30146000|-43549000|80930000|140306000|-88858000||72467000|72467000||||||0|0|-54937000||198150000|5019000|74583000|AKAM
2016-12-31|USD|184222000|122657000|82000|-43685000|-746000|84008000|75938000|19121000|-34211000|412649000|-164719000|-68691000||78927000|78927000||||||0|0|-61706000||-57634000|-8426000|91639000|AKAM
2016-09-30|USD|251848000|448000|1125000|35068000|-19696000|84511000|79870000|-4691000||76000000|-110472000|-86063000||95157000|95157000||||||0|0|-79913000||55159000|-154000|76000000|AKAM
2016-06-30|USD|244369000|1497000||46227000|5630000|85114000|78141000|-1880000||73635000|-138807000|-88154000||90985000|90985000||||||0|0|-82240000||13732000|-3676000|73635000|AKAM
2016-03-31|USD|191373000|1135000||-14848000|-12425000|80669000|82340000|-15906000|3395000|74858000|-55428000|-116871000||108725000|108725000||||||0|0|-90375000||23439000|4365000|74858000|AKAM
2015-12-31|USD|247092000|79483000|89000|21351000|24522000|80329000|78837000|15540000|-35571000|385947000|-86872000|-124521000||100180000|100180000||||||0|0|-92677000||33002000|-2697000|88420000|AKAM
2015-09-30|USD|182608000|2114000|1321000|-5743000|22318000|74785000|133064000|26415000||88040000|-114452000|-65085000||76358000|76358000||||||0|0|-58582000||-977000|-4048000|88040000|AKAM
2015-06-30|USD|264023000|-14522000||84609000|-32099000|73989000|96013000|-18260000||67200000|-291378000|-51210000||63388000|63388000||||||0|0|-51316000||-75109000|3456000|67200000|AKAM
2015-03-31|USD|99729000|37259000||-45714000|34369000|70460000|137069000|32552000|-1775000|77746000|57138000|-56213000||62680000|62680000||||||0|0|-38240000||93907000|-6747000|77746000|AKAM
2014-12-31|USD|195541000|56768000||57860000|46626000|67763000|92320000|8184000|-75317000|373094000|-136413000|-29550000||42134000|42134000||||||0|0|-30386000||24311000|-5267000|97107000|AKAM
2014-09-30|USD|173282000|61660000||16233000|18307000|67415000|71782000|8959000||91155000|-177895000|-27895000||39022000|39022000||||||0|0|-21660000||-39826000|-7318000|91155000|AKAM
2014-06-30|USD|200224000|10364000||43693000|15154000|58712000|70519000|23117000||72886000|-134040000|-62036000||71344000|71344000||||||-868000|0|-57674000||5439000|1291000|72886000|AKAM
2014-03-31|USD|89023000|69657000||-16065000|39098000|53516000|84006000|18137000|-19674000|72800000|-730458000|555508000||116147000|116147000||757573000|757573000|||679603000|77970000|6152000||-85165000|762000|72800000|AKAM
2013-12-31|USD|171732000|24164000||-2673000|10439000|49976000|62335000|15863000|-12975000|302029000|-26537000|-46846000||48011000|48011000|||||||0|-38722000||98876000|527000|80349000|AKAM
2013-09-30|USD|157888000|17868000||23053000|6278000|47954000|61764000|16118000||79756000|-126684000|-2373000||29626000|29626000|||||||0|-3258000||30150000|1319000|79756000|AKAM
2013-06-30|USD|141064000|25202000||15748000|11919000|44126000|72498000|6848000|-5183000|61895000|-75648000|-22914000||42504000|42504000|||||||0|-17649000||39590000|-2912000|61895000|AKAM
2013-03-31|USD|93224000|20216000||15952000|42390000|42375000|63476000|28355000|-14146000|72675000|-84239000|-43110000||40278000|40278000|||||||0|-37083000||-36714000|-2589000|71487000|AKAM
2012-12-31|USD|152713000|66026000||3550000|-14442000|54960000|60669000|-19479000|-5418000|271279000|-110883000|-21163000||29819000|29819000||||||||-13794000||19339000|-1328000|68292000|AKAM
2012-09-30|USD|135252000|16259000||45964000|25843000|53457000|60294000|27974000||48231000|-112809000|-25162000||36523000|36523000||||||||-30457000||-346000|2373000|48231000|AKAM
2012-06-30|USD|149552000|24077000||17881000|-12466000|50112000|55539000|-7803000||44239000|-57211000|-52628000||67213000|67213000||||||||-51722000||38272000|-1441000|44239000|AKAM
2012-03-31|USD|92503000|11486000||-6468000|-2893000|45634000|43344000|1416000|2165000|43227000|-498207000|-9076000||7913000|7913000||||||||-835000||-414473000|307000|43227000|AKAM
2011-12-31|USD|129630000|19048000||21869000|36952000|43650000|46570000|30016000|2084000|221196000|141169000|-65385000||76332000|76332000||||||||-64385000||203598000|-1816000|60081000|AKAM
2011-09-30|USD|116289000|8632000||1093000|9196000|41761000|47317000|8277000||42285000|192395000|-155505000||155125000|155125000||||||||-153942000||149970000|-3209000|42285000|AKAM
2011-06-30|USD|111848000|8416000||3917000|184000|41333000|42740000|7101000||47921000|-81702000|-42441000||48935000|48935000||||||||-40772000||-11545000|750000|47921000|AKAM
2011-03-31|USD|88511000|9482000||-11844000|-1481000|41134000|46235000|-7557000|-6076000|50617000|-74512000|-30707000||43678000|43678000||||||||-39719000||-14692000|2016000|50617000|AKAM
2010-12-31|USD|110359000|2662000||-2372000|-12083000|39129000|48700000|17221000|8281000|198411000|-68459000|-6875000||27299000|27299000||||||||-13469000||34299000|-726000|52510000|AKAM
2010-09-30|USD|117963000|1700000||2888000|-8955000|36479000|42058000|-10064000||39709000|-43192000|-2096000||22505000|22505000||||||||-11552000||77061000|4386000|39709000|AKAM
2010-06-30|USD|86380000|16539000||26288000|47894000|63316000|66097000|18988000||38123000|-143541000|6321000||20376000|20376000||||||||-3429000||-52718000|-1878000|38123000|AKAM
2010-03-31|USD|87753000|6557000||-15729000|8796000|63482000|35190000|-2582000|-11423000|172555000|-80167000|-15026000||22245000|22245000||||||||-18199000||-8081000|-641000|40878000|AKAM
2009-12-31|USD|124869000|5383000||17302000|-653000|109284000|29244000|5054000|9099000|170725000|-139939000|-6099000||14929000|14929000||||||||-6964000||-21497000|-328000|40080000|AKAM
2009-09-30|USD|105243000|-1168000||19215000|13217000|4103000|31183000|6765000||32745000|-193334000|-30954000||34663000|34663000||||||||-31667000||-118281000|764000|32745000|AKAM
2009-06-30|USD|36007000|||||4238000|24653000|||36007000||-9573000|||||||||||-16905000||36007000||36007000|AKAM
