fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-10-27|USD|2575000000|123000000|8000000|778000000|431000000|311000000|407000000|264000000|-147000000|1731000000|-1071000000|-1769000000|1000000|1442000000|1442000000||329000000|329000000||124000000|||-1318000000||||1731000000|AMAT
2024-07-28|USD|2385000000|1000000|2000000|452000000|47000000|12000000|297000000|192000000|-123000000|1705000000|-660000000|-522000000|0|861000000|861000000||331000000|331000000||0|||-861000000||||1705000000|AMAT
2024-04-28|USD|1392000000|1000000|3000000|-405000000|143000000|11000000|257000000|78000000|45000000|1722000000|-149000000|-1022000000|0|820000000|820000000||266000000|266000000||0|||-701000000||||1722000000|AMAT
2024-01-28|USD|2325000000|200000000|2000000|-230000000|-510000000|12000000|229000000|-465000000|-79000000|2019000000|-447000000|-1157000000|0|700000000|700000000||266000000|266000000||0|||-700000000||||2019000000|AMAT
2023-10-29|USD|1555000000|680000000|2000000|-817000000|-272000000|482000000|309000000|-65000000|-84000000|2004000000|-489000000|-966000000|-101000000|700000000|700000000||268000000|268000000||116000000|||-584000000||||2004000000|AMAT
2023-07-30|USD|2583000000|257000000|0|465000000|-293000000|11000000|255000000|-286000000|-131000000|1560000000|-425000000|-720000000|-3000000|439000000|439000000||268000000|268000000||0|||-439000000||1438000000||1560000000|AMAT
2023-04-30|USD|2292000000|260000000|47000000|436000000|128000000|12000000|255000000|131000000|-114000000|1575000000|-322000000|-928000000|-3000000|800000000|800000000||219000000|219000000||0|||-689000000||1042000000||1575000000|AMAT
2023-01-29|USD|2270000000|129000000|4000000|-371000000|-649000000|11000000|287000000|-683000000|122000000|1717000000|-299000000|-418000000|198000000|250000000|250000000||220000000|220000000|||||-250000000||1553000000||1717000000|AMAT
2022-10-30|USD|857000000|352000000|23000000|571000000|1549000000|414000000|223000000|1112000000|426000000|1591000000|-190000000|-1627000000||1500000000|1500000000||223000000|223000000||103000000|||-1397000000||-960000000||1591000000|AMAT
2022-07-31|USD|1469000000|653000000|5000000|111000000|473000000|11000000|210000000|67000000|464000000|1606000000|-616000000|-1228000000|0|1000000000|1000000000||225000000|225000000||0|||-1000000000||-375000000||1606000000|AMAT
2022-05-01|USD|415000000|1041000000|5000000|286000000|1595000000|9000000|210000000|478000000|483000000|1536000000|-413000000|-1936000000||1800000000|1800000000||211000000|211000000||0|||-1704000000||-1934000000||1536000000|AMAT
2022-01-30|USD|2658000000|135000000|123000000|-45000000|-679000000|10000000|144000000|-548000000|217000000|1792000000|-138000000|-2252000000||1803000000|1803000000||214000000|214000000|||||-1803000000||268000000||1792000000|AMAT
2021-10-31|USD|1148000000|299000000|1000000|1172000000|1874000000|357000000|206000000|1131000000|192000000|1712000000|-587000000|-1634000000|0|1500000000|1500000000||216000000|216000000||89000000|||-1411000000||-1073000000||1712000000|AMAT
2021-08-01|USD|1686000000|285000000|3000000|315000000|509000000|11000000|137000000|447000000|64000000|1716000000|-194000000|-1731000000||1500000000|1500000000||219000000|219000000||0|||-1500000000||-239000000||1716000000|AMAT
2021-05-02|USD|1187000000|387000000|4000000|243000000|553000000|13000000|204000000|330000000|128000000|1330000000|-219000000|-883000000||750000000|750000000||202000000|202000000||86000000|||0||1330000000||1330000000|AMAT
2021-01-31|USD|1421000000|164000000|19000000|-78000000|-20000000|13000000|121000000|81000000|21000000|1130000000|-216000000|-343000000|0|0|0||201000000|201000000||0|||0||862000000||1130000000|AMAT
2020-10-25|USD|1315000000|110000000|63000000|153000000|144000000|336000000|162000000|156000000|-48000000|2130000000|-141000000|-173000000||50000000|50000000||200000000|200000000||83000000|||33000000||2130000000||1131000000|AMAT
2020-07-26|USD|867000000|296000000|0|177000000|348000000|14000000|87000000|179000000|217000000|841000000|8000000|-1806000000||200000000|200000000||202000000|202000000||0|||-200000000||841000000||841000000|AMAT
2020-04-26|USD|635000000|296000000|4000000|-65000000|224000000|12000000|71000000|-54000000|254000000|755000000|165000000|1172000000||199000000|199000000||193000000|193000000||76000000|||-123000000||755000000||755000000|AMAT
2020-01-26|USD|987000000|129000000|1000000|106000000|213000000|14000000|102000000|146000000|-2000000|892000000|-162000000|-530000000||200000000|200000000||192000000|192000000||15000000|||-185000000||295000000||892000000|AMAT
2019-10-27|USD|826000000|145000000|2000000|65000000|95000000|320000000|97000000|160000000|-66000000|1634000000|-86000000|-625000000||500000000|500000000||194000000|194000000||72000000|||-428000000||1634000000||698000000|AMAT
2019-07-28|USD|787000000|254000000|2000000|115000000|45000000|15000000|93000000|107000000|-138000000|571000000|-162000000|-727000000||528000000|528000000||196000000|196000000||0|||-528000000||571000000||571000000|AMAT
2019-04-28|USD|800000000|274000000|10000000|-145000000|-130000000|14000000|118000000|-181000000|-26000000|666000000|-129000000|-747000000||625000000|625000000||189000000|189000000||73000000|||-552000000||666000000||666000000|AMAT
2019-01-27|USD|834000000|68000000|8000000|-105000000|-14000000|14000000|133000000|121000000|-18000000|771000000|-66000000|-1016000000||750000000|750000000||192000000|192000000||0|||-750000000||-248000000||771000000|AMAT
2018-10-28|USD|1077000000|95000000|12000000|87000000|-163000000|308000000|165000000|-317000000|155000000|1780000000|-129000000|-882000000||751000000|751000000||195000000|195000000||68000000|||-683000000||66000000||757000000|AMAT
2018-07-29|USD|633000000|97000000|10000000|-281000000|342000000|50000000|133000000|217000000|319000000|1173000000|-674000000|-1455000000||1250000000|1250000000||199000000|199000000||0|||-1250000000||-1496000000||1016000000|AMAT
2018-04-29|USD|611000000|215000000|1000000|217000000|918000000|49000000|121000000|482000000|329000000|1129000000|22000000|-2562000000||2500000000|2500000000||105000000|105000000||0|||-2444000000||-1929000000||1100000000|AMAT
2018-01-28|USD|1466000000|112000000|40000000|1067000000|-80000000|50000000|203000000|-156000000|211000000|135000000|1352000000|-1029000000||782000000|782000000||106000000|106000000|||||-782000000||1789000000||165000000|AMAT
2017-10-29|USD|709000000|106000000|44000000|-241000000|177000000|264000000|124000000|63000000|-16000000|1787000000|-529000000|-448000000||385000000|385000000||107000000|107000000|||||-335000000||-268000000||982000000|AMAT
2017-07-30|USD|1377000000|141000000|9000000|510000000|229000000|49000000|80000000|-124000000|266000000|925000000|-349000000|-694000000||375000000|375000000||107000000|107000000|||||-374000000||334000000||925000000|AMAT
2017-04-30|USD|911000000|75000000|6000000|263000000|341000000|46000000|77000000|9000000|328000000|824000000|-1281000000|1823000000|0|282000000|282000000||108000000|108000000||46000000|||-236000000||1453000000||824000000|AMAT
2017-01-29|USD|792000000|113000000|2000000|164000000|337000000|48000000|64000000|89000000|231000000|703000000|-367000000|-340000000||130000000|130000000||108000000|108000000|||||-130000000||85000000||703000000|AMAT
2016-10-30|USD|897000000|59000000|9000000|492000000|469000000|247000000|88000000|430000000|24000000|1399000000|11000000|-330000000||171000000|171000000||108000000|108000000|||||-127000000||578000000||610000000|AMAT
2016-07-31|USD|981000000|88000000|1000000|349000000|18000000|47000000|50000000|-63000000|100000000|505000000|-322000000|-301000000|0|196000000|196000000||108000000|108000000||0|||-196000000||358000000||505000000|AMAT
2016-05-01|USD|481000000|96000000|98000000|347000000|332000000|47000000|47000000|288000000|90000000|1004000000|-5000000|-968000000||900000000|900000000||113000000|113000000|||||-856000000||-492000000||320000000|AMAT
2016-01-31|USD|207000000|88000000|5000000|-341000000|-112000000|48000000|68000000|-113000000|2000000|286000000|-109000000|-1933000000|0|625000000|625000000||115000000|115000000||0|||-625000000||-1835000000||286000000|AMAT
2015-10-25|USD|471000000|158000000|2000000|-30000000|-61000000|233000000|51000000|-261000000|94000000|959000000|-57000000|1809000000||700000000|700000000||119000000|119000000|||||-697000000||2223000000||336000000|AMAT
2015-07-26|USD|334000000|93000000|5000000|-117000000|75000000|46000000|51000000|194000000|26000000|329000000|-84000000|-744000000||625000000|625000000||123000000|123000000|||||-667000000||-493000000||329000000|AMAT
2015-04-26|USD|298000000|137000000|2000000|177000000|438000000|46000000|64000000|218000000|72000000|364000000|-90000000|-69000000||0|0||123000000|123000000|||||0||138000000|-1000000|364000000|AMAT
2015-01-25|USD|60000000|167000000|3000000|-364000000|-17000000|46000000|49000000|-90000000|74000000|348000000|-50000000|-83000000||0|0||122000000|122000000|||||||-73000000||348000000|AMAT
2014-10-26|USD|407000000|94000000|78000000|-20000000|118000000|239000000|63000000|32000000|21000000|959000000|-53000000|-78000000||0|0||122000000|122000000|||||0||276000000||256000000|AMAT
2014-07-27|USD|584000000|88000000|21000000|65000000|-14000000|45000000|65000000|7000000|-18000000|301000000|-192000000|-119000000||0|0||121000000|121000000|||||2000000||273000000||301000000|AMAT
2014-04-27|USD|437000000|40000000|3000000|127000000|107000000|45000000|65000000|105000000|32000000|262000000|-69000000|-59000000||0|0||122000000|122000000|||||63000000||309000000||262000000|AMAT
2014-01-26|USD|372000000|65000000|9000000|57000000|-41000000|46000000|48000000|-123000000|119000000|253000000|153000000|-92000000||0|0||120000000|120000000|||||28000000||433000000||253000000|AMAT
2013-10-27|USD|19000000|19000000|35000000|38000000|592000000|257000000|56000000|455000000|56000000|795000000|57000000|-110000000||47000000|47000000||120000000|120000000|||||-47000000||-34000000|0|183000000|AMAT
2013-07-28|USD|364000000|69000000|0|101000000|-113000000|46000000|41000000|-105000000|39000000|168000000|-34000000|-130000000||50000000|50000000||120000000|120000000|||||-50000000||200000000|0|168000000|AMAT
2013-04-28|USD|224000000|129000000|2000000|142000000|315000000|54000000|51000000|166000000|40000000|-129000000|-61000000|-141000000||100000000|100000000||108000000|108000000|||||-100000000||22000000|0|-129000000|AMAT
2013-01-27|USD|16000000|71000000|65000000|-206000000|-186000000|53000000|49000000|-112000000|6000000|34000000|253000000|-138000000||48000000|48000000||108000000|108000000|||||-48000000||131000000|0|34000000|AMAT
2012-10-28|USD|411000000|17000000|74000000|-73000000|-423000000|97000000|41000000|-310000000|-108000000|586000000|37000000|-582000000||516000000|516000000||111000000|111000000|||||-516000000||-137000000|-3000000|-515000000|AMAT
2012-07-29|USD|656000000|93000000|1000000|-48000000|-468000000|105000000|45000000|-250000000|-214000000|218000000|-281000000|-609000000||500000000|500000000||115000000|115000000|||||-500000000||-232000000|2000000|218000000|AMAT
2012-04-29|USD|603000000|153000000|1000000|50000000|132000000|55000000|39000000|220000000|-178000000|289000000|-259000000|-261000000||200000000|200000000||104000000|104000000|||||-200000000||80000000|-3000000|289000000|AMAT
2012-01-29|USD|181000000|74000000|3000000|-408000000|778000000|112000000|37000000|-153000000|-179000000|117000000|-4157000000|-302000000||200000000|200000000||104000000|104000000|||||-200000000||-4279000000|-1000000|117000000|AMAT
2011-10-30|USD|701000000|107000000|285000000|-261000000|-358000000|59000000|73000000|-275000000|-147000000|851000000|489000000|-250000000||175000000|175000000||106000000|106000000|||||-175000000||942000000|2000000|456000000|AMAT
2011-07-31|USD|599000000|105000000|2000000|-38000000|-41000000|59000000|55000000|-102000000|64000000|476000000|252000000|1606000000|0|25000000|25000000||105000000|105000000||5000000|||-20000000||2460000000|3000000|476000000|AMAT
2011-05-01|USD|704000000|398000000|1000000|122000000|119000000|65000000|57000000|-29000000|146000000|-48000000|45000000|-166000000||118000000|118000000||93000000|93000000|||||-118000000||584000000|1000000|489000000|AMAT
2011-01-30|USD|425000000|165000000|1000000|-153000000|214000000|63000000|24000000|114000000|100000000|506000000|-79000000|-230000000||150000000|150000000||93000000|93000000|||||-150000000||116000000|0|506000000|AMAT
2010-10-31|USD|525000000|140629000|1660000|140958000|93098000|68773000|35000000|120034000|-45000000|1216798000|-15000000|-214000000|-441000|150000000|150000000||94000000|93490000||30000000|||-42168000||294000000|-2000000|468000000|AMAT
