fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|45636000000|3295000000||10337000000|3256000000|15631000000|27834000000||-934000000|20004000000|-37443000000|-3308000000|-53000000|0|0||||||0||0||||20004000000|AMZN
2024-09-30|USD|25971000000|3011000000||-56000000|6046000000|13442000000|22620000000||1509000000|15328000000|-16899000000|-2758000000|-95000000|0|0||||||0||0||||15328000000|AMZN
2024-06-30|USD|25281000000|2916000000||6412000000|6140000000|12038000000|17620000000||3085000000|13485000000|-22138000000|-4490000000|296000000|0|0||||||0||0||||13485000000|AMZN
2024-03-31|USD|18989000000|3406000000||-9714000000|925000000|11684000000|14925000000||-1776000000|10431000000|-17862000000|-1256000000|-66000000|0|0||||||0||0||||10431000000|AMZN
2023-12-31|USD|42465000000|2840000000||14517000000|9622000000|13820000000|14588000000||-2643000000|10644000000|-12601000000|-6746000000|-5604000000|0|0||||||0||0||||10624000000|AMZN
2023-09-30|USD|21217000000|2768000000||2795000000|-808000000|12131000000|12479000000||-808000000|9879000000|-11753000000|-8948000000|-7879000000|0|0||||||0||0||||9879000000|AMZN
2023-06-30|USD|16476000000|2605000000||3185000000|2373000000|11589000000|11455000000|-5167000000|2373000000|6750000000|-9673000000|-6539000000|-3242000000|0|0||||||0||0||264000000||6750000000|AMZN
2023-03-31|USD|4788000000|2548000000||-10446000000|-371000000|11123000000|14207000000|1521000000|-371000000|3172000000|-15806000000|6354000000|9177000000|0|0||||||0||0||-4664000000||3172000000|AMZN
2022-12-31|USD|29173000000|2449000000||1300000000|-3180000000|12685000000|16592000000|-8788000000|-3180000000|-2720000000|-10821000000|86000000|0|0|0||||||8235000000||0||18438000000||278000000|AMZN
2022-09-30|USD|11404000000|1901000000||-1172000000|-732000000|10327000000|16378000000|-4794000000|-732000000|2872000000|-15608000000|3016000000|4422000000|0|0||||||107000000||0||-1188000000||2872000000|AMZN
