fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|25914000000||||-5846000000|559000000||||6665000000|9410000000|-36768000000|-61249000000|3535000000|4935000000|1400000000|2275000000|2275000000|||14090000000||-4935000000||||6665000000|BAC
2024-09-30|USD|6896000000||||13534000000|20000000||||6896000000|35402000000|17188000000|0|6258000000|0||2476000000|2493000000|||0|0|0||||6896000000|BAC
2024-03-31|USD|-15539000000||||11869000000|538000000||||6674000000|-71322000000|68658000000|52568000000|2500000000|2500000000|0|2519000000|2519000000|||15662000000|0|-2500000000||||6674000000|BAC
2023-12-31|USD|32724000000||||21133000000|527000000||||-4200000000|-64183000000|11291000000|-24918000000|811000000|811000000|0|2233000000|2233000000|||12441000000|0|-811000000||||3144000000|BAC
2023-09-30|USD|11772000000||||4469000000|517000000||||7802000000|-59934000000|27628000000|11255000000|1000000000|1000000000|0|2411000000|2411000000||0|22246000000|0|-1000000000||||7802000000|BAC
2023-06-30|USD|11786000000||||-4400000000|510000000||||7408000000|57884000000|-71695000000|-41300000000|550000000|550000000|0|2091000000|2091000000||0|16390000000|0|-550000000||||7408000000|BAC
2023-03-31|USD|-11300000000||||18363000000|503000000||||8161000000|30846000000|126121000000|148377000000|2215000000|2215000000|0|2352000000|2352000000||0|14319000000|0|-2215000000||145667000000||8161000000|BAC
2022-12-31|USD|30998000000||||-7050000000|502000000||||7132000000|14380000000|-24385000000|-14104000000|998000000|1652000000|654000000|2105000000|2105000000||0|10708000000|0|-1652000000||20993000000||7132000000|BAC
2022-09-30|USD|13154000000||||-844000000|491000000||||7082000000|34761000000|-37889000000|4478000000|450000000|450000000|0|2254000000|2254000000||0|14521000000|0|-450000000||7082000000||7082000000|BAC
2022-06-30|USD|-5049000000||||-9751000000|491000000||||6247000000|16738000000|-84651000000|-7281000000|975000000|975000000|0|1995000000|1995000000||0|19558000000|1997000000|1022000000||6247000000||6247000000|BAC
2022-03-31|USD|-45430000000||||21708000000|494000000||||7067000000|-68408000000|40886000000|23392000000|2650000000|2650000000|0|2222000000|2222000000||0|21123000000|2429000000|-221000000||-72952000000||7067000000|BAC
2021-12-31|USD|44651000000||||43750000000|495000000||||7013000000|-58907000000|83040000000|-11624000000|7533000000|7533000000|0|1965000000|1965000000||0|11216000000|1267000000|-6266000000||68784000000||7013000000|BAC
2021-09-30|USD|9795000000||||9429000000|473000000||||7691000000|-32698000000|43663000000|-7716000000|9914000000|9914000000|0|2145000000|2145000000||0|17282000000|0|-9914000000||7691000000||7691000000|BAC
2021-06-30|USD|-9311000000||||3081000000|469000000||||9224000000|-108606000000|51320000000|14255000000|4209000000|5087000000|878000000|1831000000|1831000000||0|35045000000|0|-5087000000||9224000000||9224000000|BAC
2021-03-31|USD|-52328000000||||21830000000|461000000||||8050000000|-113080000000|113627000000|31523000000|3470000000|4563000000|1093000000|2114000000|2114000000||0|13132000000|902000000|-3661000000||-51781000000||8050000000|BAC
2020-12-31|USD|54594000000||||2405000000|487000000||||5470000000|-53882000000|77938000000|-18986000000|263000000|263000000|0|1828000000|1828000000||0|16155000000|1083000000|820000000||78650000000||5470000000|BAC
2020-09-30|USD|-32638000000||||12638000000|476000000||||4881000000|54977000000|-12398000000|11608000000|114000000|114000000|0|1983000000|1983000000||0|10154000000|0|-114000000||4881000000||4881000000|BAC
2020-06-30|USD|-3006000000||||-22160000000|448000000||||3533000000|-88349000000|129132000000|-3139000000|286000000|286000000|0|1833000000|1833000000||0|11976000000|0|-286000000||3533000000||3533000000|BAC
2020-03-31|USD|19043000000||||19600000000|432000000||||4010000000|-90411000000|161147000000|10838000000|6362000000|7434000000|1072000000|2083000000|2083000000||0|18728000000|1098000000|-6336000000||89779000000||4010000000|BAC
2019-12-31|USD|59103000000||||10868000000|439000000||||6994000000|-43279000000|-11866000000|-32372000000|7748000000|7953000000|205000000|1848000000|1848000000||0|7271000000|0|-7953000000||3958000000||6994000000|BAC
2019-09-30|USD|-5702000000||||6134000000|438000000||||5777000000|-30133000000|22828000000|3438000000|7626000000|9989000000|2363000000|464000000|464000000||0|12656000000|1280000000|-8709000000||5777000000||5777000000|BAC
2019-06-30|USD|-6725000000||||714000000|434000000||||7348000000|-2451000000|7923000000|13236000000|6507000000|6507000000|0|1696000000|1696000000||0|17777000000|2363000000|-4144000000||7348000000||7348000000|BAC
2019-03-31|USD|15101000000||||-8329000000|418000000||||7311000000|-4767000000|-15508000000|-6181000000|6263000000|6263000000|0|1926000000|1926000000||0|14716000000|0|-6263000000||-5174000000||7311000000|BAC
2018-12-31|USD|-13922000000||||7169000000|524000000||||7278000000|-24317000000|30556000000|-8847000000|5231000000|5231000000|0|1745000000|1745000000||0|3405000000|0|-5231000000||-7454000000|229000000|7278000000|BAC
2018-09-30|USD|19606000000||||-5237000000|361000000|||6391000000|7167000000|-26282000000|21045000000|-11587000000|5040000000|6739000000|1699000000|1905000000|1905000000||0|18447000000|844000000|-5895000000||13659000000|-710000000|7167000000|BAC
2018-06-30|USD|-6518000000||||352000000|135000000|||5537000000|6784000000|1980000000|-27085000000|2549000000|4965000000|7778000000||1571000000|1571000000||0|21492000000|1322000000|-6456000000||-33042000000|-1419000000|6784000000|BAC
2018-03-31|USD|40354000000||||-15333000000|610000000|||4131000000|6918000000|-22849000000|28602000000|5407000000|4858000000|4858000000||1674000000|1674000000||0|20934000000|2349000000|-2509000000||46807000000|700000000|6918000000|BAC
2017-12-31|USD|-7100000000||||8852000000|-17000000||||2520000000|-11917000000|3843000000|-45000000|4869000000|4869000000||1576000000|1576000000||0|2784000000|0|-4869000000||-14947000000|227000000|2365000000|BAC
2017-09-30|USD|20304000000||||8631000000|151000000||||5587000000|-15699000000|8658000000|-3821000000|2981000000|2981000000||1721000000|1721000000||0|17069000000|0|-2981000000||13677000000|414000000|5424000000|BAC
2017-06-30|USD|9649000000||||2550000000|160000000|||2640000000|5269000000|-9984000000|-9637000000|-7727000000|2236000000|2236000000||1148000000|1148000000||0|16255000000|0|-2236000000||-9321000000|651000000|5106000000|BAC
