fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|1190000000|99000000||312000000|248000000|292000000|353000000|362000000|-48000000|1191000000|-217000000|-234000000||8000000|8000000||208000000|208000000|||||-8000000||||1179000000|BKR
2024-09-30|USD|1010000000|49000000||-192000000|-171000000|278000000|300000000|-208000000|26000000|774000000|-269000000|-364000000||152000000|152000000||209000000|209000000|||||-152000000||||766000000|BKR
2024-06-30|USD|348000000|102000000||-99000000|146000000|283000000|292000000|204000000|-141000000|581000000|-261000000|-502000000||166000000|166000000||209000000|209000000|||||-166000000||||579000000|BKR
2024-03-31|USD|784000000|48000000||343000000|134000000|283000000|333000000|-199000000|265000000|463000000|-269000000|-427000000||158000000|158000000||210000000|210000000|||||-158000000||||455000000|BKR
2023-12-31|USD|932000000|104000000||534000000|511000000|274000000|356000000|519000000|51000000|451000000|-314000000|-1167000000||319000000|319000000||200000000|200000000|||||-319000000||||440000000|BKR
2023-09-30|USD|810000000|48000000||99000000|256000000|267000000|281000000|144000000|78000000|524000000|-89000000|-311000000|0|120000000|120000000||202000000|202000000|||0||-120000000||||518000000|BKR
2023-06-30|USD|859000000|107000000||385000000|146000000|276000000|277000000|-9000000|67000000|414000000|-185000000|-300000000|0|99000000|99000000||192000000|192000000|||0||0||374000000||410000000|BKR
2023-03-31|USD|461000000|50000000||682000000|745000000|269000000|310000000|332000000|265000000|581000000|-229000000|-250000000|0|0|0||192000000|192000000|||0||0||-18000000||576000000|BKR
2022-12-31|USD|898000000|101000000||740000000|394000000|255000000|269000000|210000000|259000000|188000000|-984000000|-295000000|0|101000000|101000000||190000000|190000000|||0||-101000000||-381000000||182000000|BKR
2022-09-30|USD|597000000|50000000||159000000|302000000|254000000|226000000|55000000|218000000|-9000000|-150000000|-429000000|0|265000000|265000000||182000000|182000000|||0||-265000000||18000000||-17000000|BKR
2022-06-30|USD|321000000|92000000||455000000|443000000|275000000|226000000|156000000|203000000|-837000000|-164000000|-399000000|0|226000000|226000000||182000000|182000000|||0||-226000000||-242000000||-839000000|BKR
2022-03-31|USD|72000000|48000000||354000000|447000000|277000000|268000000|204000000|205000000|80000000|-266000000|-469000000|0|236000000|236000000||172000000|172000000|||0||-236000000||-663000000||72000000|BKR
2021-12-31|USD|774000000|101000000||341000000|331000000|273000000|266000000|434000000|-19000000|336000000|-251000000|-558000000|0|328000000|328000000||156000000|156000000|||1250000000||-328000000||-35000000||293000000|BKR
2021-09-30|USD|416000000|47000000||-240000000|-139000000|262000000|198000000|-41000000|-32000000|16000000|-82000000|-300000000|0|106000000|106000000||156000000|156000000|||0||0||278000000||8000000|BKR
2021-06-30|USD|506000000|106000000||103000000|-63000000|278000000|171000000|74000000|-31000000|-77000000|44000000|-1030000000|0|0|0||149000000|149000000|||0||0||201000000||-68000000|BKR
2021-03-31|USD|678000000|51000000||-30000000|-435000000|292000000|221000000|-341000000|-88000000|-605000000|-174000000|-255000000|0|0|0||131000000|131000000|||0||0||249000000||-452000000|BKR
2020-12-31|USD|377000000|101000000||-264000000|-225000000|307000000|173000000|-101000000|-103000000|951000000|-67000000|-269000000|0|0|0||129000000|129000000|||0||0||41000000||652000000|BKR
2020-09-30|USD|219000000|47000000||-154000000|-21000000|315000000|199000000|19000000|-92000000|-270000000|-114000000|-201000000|0|0|0||123000000|123000000|||0||0||-270000000||-170000000|BKR
2020-06-30|USD|230000000|92000000||-26000000|-231000000|340000000|237000000|-419000000|135000000|-344000000|-119000000|1022000000|0|0|0||118000000|118000000|||0||0||-355000000||-195000000|BKR
2020-03-31|USD|478000000|49000000||129000000|-54000000|355000000|365000000|-179000000|140000000|-16098000000|-318000000|-327000000|0|0|0||118000000|118000000|||0||0||-167000000||-10227000000|BKR
2019-12-31|USD|1357000000|89000000||737000000|98000000|353000000|367000000|208000000|-124000000|94000000|-386000000|-538000000|-351000000|0|0||117000000|117000000|||525000000||0||1136000000||48000000|BKR
2019-09-30|USD|360000000|59000000||191000000|186000000|356000000|279000000|148000000|21000000|117000000|-96000000|-569000000|-150000000|0|0||93000000|93000000|||||0||188000000||57000000|BKR
2019-06-30|USD|593000000|81000000||499000000|196000000|359000000|300000000|23000000|83000000|-11000000|-307000000|-195000000|-5000000|0|0||92000000|92000000|||||0||39000000||-9000000|BKR
2019-03-31|USD|-184000000|56000000||-31000000|363000000|350000000|294000000|204000000|220000000|71000000|-256000000|-232000000|-36000000|0|0||93000000|93000000|||||0||-672000000||32000000|BKR
2018-12-31|USD|1089000000|83000000||309000000|96000000|353000000|342000000|168000000|4000000|302000000|-374000000|-1716000000|-57000000|0|0||91000000|91000000|||||0||1177000000||131000000|BKR
2018-09-30|USD|240000000|61000000||277000000|127000000|353000000|242000000|1000000|53000000|38000000|-42000000|-275000000|-19000000|0|0||74000000|74000000|||||0||-114000000|-37000000|13000000|BKR
2018-06-30|USD|139000000|85000000||204000000|322000000|392000000|234000000|160000000|148000000|-38000000|-28000000|-819000000|-119000000|197000000|197000000||74000000|74000000|||||-197000000||-752000000|-44000000|-19000000|BKR
2018-03-31|USD|294000000|72000000||-23000000|-131000000|388000000|177000000|-125000000|134000000|-19000000|-134000000|-1553000000|-181000000|190000000|190000000||76000000|76000000|||||-190000000||-1399000000|-6000000|70000000|BKR
2017-12-31|USD|-214000000|78000000||113000000|681000000|387000000|248000000|941000000|-223000000|-80000000|-244000000|2707000000|-338000000|174000000|174000000||79000000|79000000|||||-174000000||2246000000|4000000|31000000|BKR
2017-09-30|USD|-196000000|17000000||46000000|545000000|426000000|274000000|148000000|-19000000|-357000000|-3749000000|6668000000|-280000000|0|||70000000|76000000|||||||2755000000|31000000|-134000000|BKR
2017-06-30|USD|346000000|||||158000000|67000000||152000000|-20000000||-457000000||||||||||||||||BKR
2017-03-31|USD|-346000000|||||132000000|76000000||-24000000|66000000|-67000000|457000000||0||||0|||||||46000000|2000000|0|BKR
2016-12-31|USD|457000000|||||111000000|94000000||-356000000|-2000000|-126000000|-331000000|||||||||||||-17000000|-17000000|0|BKR
2016-09-30|USD|41000000|||||277000000|166000000||-6000000|91000000||-52000000|||||||||||||||0|BKR
