fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|286096000|-607000||37589000|72041000|222890000|207958000|15811000||108452000|-297283000|745170000|-2718150000||||172787000|172787000|||||408000||||83628000|BXP
2024-06-30|USD|367064000|-244000||-24001000|-68009000|219542000|166678000|-10289000||106949000|-266885000|-129312000|0||||172780000|172780000|||||0||||79615000|BXP
2024-03-31|USD|197595000|1241000||-33571000|44501000|218716000|213723000|-29454000||106604000|-286619000|-756909000|0||||171794000|171794000|||||-2136000||||79883000|BXP
2023-12-31|USD|387148000|403000||14303000|-51282000|212067000|164338000|18003000|66334000|153155000|-318103000|613134000|0||||172835000|172835000|||0||0||||119925000|BXP
2023-09-30|USD|301189000|-422000||50113000|43411000|207435000|126294000|17188000|-73733000|-103543000|-320714000|-678577000|0||||171649000|171649000|||0|0|406000||||-111826000|BXP
2023-06-30|USD|379173000|391000||-23513000|-69207000|202577000|115649000|3797000|7399000|136184000|-269272000|554307000|0||||172055000|172055000|||0|0|-625000||664208000||104299000|BXP
2023-03-31|USD|234010000|-251000||8060000|90244000|208734000|119682000|-7518000||105628000|-285592000|279052000|0||||171270000|171270000|||0|0|586000||227470000||77890000|BXP
2022-12-31|USD|369996000|322000||-14574000|-54449000|198330000|116190000|11754000||155723000|-289582000|207512000|-340000000||||171533000|171533000|||0|0|7000||||121803000|BXP
2022-09-30|USD|295764000|-365000||24045000|58464000|190675000|739339000|6034000||420661000|-333050000|-16678000|175000000||||171535000|171535000|||0|0|7000||-53964000||360977000|BXP
2022-06-30|USD|397149000|34000||-12422000|-70445000|183146000|861124000|7612000||267243000|-828835000|452193000|-90000000||||171463000|171463000|||0|0|-34000||252804000||222989000|BXP
2022-03-31|USD|219490000|-116000||-43946000|54104000|177624000|103893000|-17627000||176957000|-151335000|-86970000|110000000||||170488000|170488000|||0|0|-332000||-18815000||143047000|BXP
2021-12-31|USD|346368000|-424000||17127000|-31164000|177521000|136355000|9044000|43838000|223285000|-41588000|-885543000|1346388000||||170372000|170372000|||0|0|4186000||-580763000||184543000|BXP
2021-09-30|USD|226383000|22457000||21978000|50411000|179412000|264030000|3514000|-122342000|139250000|-434757000|653015000|0||||170264000|170264000|||849651000|0|448000||150568000||108297000|BXP
2021-06-30|USD|408413000|236000||-2064000|-73182000|183838000|183540000|9047000|52804000|141250000|-321338000|-398978000|0||||171551000|171551000|||0|0|-63000||143389000||111703000|BXP
2021-03-31|USD|152063000|1330000||-45755000|70471000|176565000|152213000|-25880000|-160381000|128147000|-242273000|-679936000|0||||171566000|171566000|||846345000|0|19643000||-770146000||100596000|BXP
2020-12-31|USD|374417000|-944000||30165000|-77236000|168013000|125961000|-4383000|122827000|24905000|-225308000|-194569000|0||||172332000|172332000|||0|0|1000||-45460000||10311000|BXP
2020-09-30|USD|228151000|-358000||25810000|48418000|166456000|113501000|110000|-99951000|118060000|-267889000|-187128000|0||||172333000|172333000|||0|0|93000||119467000||92479000|BXP
2020-06-30|USD|379075000|-406000||27482000|-82364000|178188000|237861000|-602000|78214000|298580000|-46729000|800731000|-250000000||||172275000|172275000|||0|0|-166000||300661000||269150000|BXP
2020-03-31|USD|175197000|-393000||-69887000|76163000|171094000|143160000|-17656000|-149779000|577146000|-73793000|65288000|250000000||||171964000|171964000|||0|0|3349000||166692000||500121000|BXP
2019-12-31|USD|361373000|-425000||9040000|-63003000|169897000|155904000|3819000|65979000|176009000|-278625000|-195627000|0||||166667000|166667000|||0|0|11148000||176009000||140824000|BXP
2019-09-30|USD|254188000|-411000||-32937000|63827000|165862000|292867000|9289000|-90079000|141370000|-408514000|-203833000|0||||166666000|166666000|||699678000|0|301000||156190000||110396000|BXP
2019-06-30|USD|358370000|||4528000|-61596000|177411000|117627000|-2361000|25027000|203461000|-104437000|476693000|0||||166599000|166599000|||0|0|469000||195700000||166943000|BXP
2019-03-31|USD|207234000|||-17573000|82679000|164594000|128693000|14125000|-101870000|131159000|-223515000|-190612000|0||||166362000|166362000|||0|0|1792000||-206893000||100730000|BXP
2018-12-31|USD|379618000|112816000||1515000|-92023000|165439000|164402000|-27613000|65147000|185241000|-78809000|-85402000|-170000000||||166364000|166364000|||0|0|-397000||215407000||148529000|BXP
2018-09-30|USD|209781000|110305000||3121000|78731000|157996000|149824000|31434000|-60328000|150445000|-534266000|21209000|170000000||||140510000|140510000|||0|0|351000||150445000||119118000|BXP
