fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|-16674000000|22973000000||-9918000000|16508000000|1081000000|1561000000|||3273000000|51388000000|15391000000|-24183000000|982000000|4232000000|3250000000|1342000000|1342000000|||30080000000|1495000000|-2737000000||||3238000000|C
2024-06-30|USD|-16960000000|22064000000||-7591000000|16314000000|1101000000|1644000000|||3263000000|12269000000|-18740000000|12603000000|111000000|1361000000|1250000000|1252000000|1252000000|||27671000000|1743000000|382000000||||3217000000|C
2024-03-31|USD|-10831000000|22115000000||-2965000000|21172000000|1110000000|1607000000|||3407000000|14844000000|12351000000|15733000000|413000000|963000000|550000000|1291000000|1291000000|||20412000000|548000000|-415000000||||3371000000|C
2023-12-31|USD|-4666000000|21830000000||-1977000000|4856000000|1172000000|1765000000|||-1808000000|-38466000000|45733000000|26767000000|548000000|3943000000|3395000000|1313000000|1313000000|||13354000000|0|-3943000000||||-1839000000|C
2023-09-30|USD|15794000000|20070000000||-6654000000|-15229000000|1141000000|1693000000|||3587000000|-12710000000|-43965000000|-2029000000|429000000|1179000000|750000000|1352000000|1352000000||0|19776000000|1494000000|315000000||||3546000000|C
2023-06-30|USD|-54059000000|17445000000||-11315000000|38138000000|1136000000|1491000000|||2951000000|45790000000|-16847000000|2597000000|1000000000|1000000000|0|1280000000|1280000000||0|16948000000|0|-1000000000||||2915000000|C
2023-03-31|USD|-30485000000|14358000000||8231000000|54505000000|1111000000|1634000000|||4651000000|-3073000000|15766000000|48328000000|0|0|0|1267000000|1267000000||0|15741000000|1245000000|1245000000||-17792000000||4606000000|C
2022-12-31|USD|12813000000|10783000000||-21792000000|-22796000000|1108000000|1965000000|||2534000000|-36207000000|66195000000|-20380000000|0|0|0|1226000000|1226000000||0|19289000000|0|0||||2513000000|C
2022-09-30|USD|-1988000000|6273000000||19446000000|17720000000|1065000000|1202000000|||3509000000|17566000000|1123000000|12271000000|50000000|50000000|0|1263000000|1263000000||0|25155000000|0|-50000000||16701000000||3479000000|C
2022-06-30|USD|23491000000|3502000000||-10033000000|-22427000000|1074000000|1236000000|||4568000000|-21994000000|12091000000|3888000000|367000000|367000000|0|1228000000|1228000000||0|30636000000|0|-367000000||13588000000||4547000000|C
2022-03-31|USD|-9247000000|2782000000||26840000000|30347000000|1015000000|1229000000|||4323000000|-38820000000|58354000000|15380000000|2833000000|2833000000|0|1286000000|1286000000||0|29668000000|0|-2833000000||10287000000||4306000000|C
2021-12-31|USD|-12095000000|1055000000||-19907000000|-9849000000|985000000|1308000000|||3179000000|1323000000|-50594000000|-19609000000|153000000|153000000|0|1239000000|1239000000||0|16697000000|1000000000|847000000||3179000000||3173000000|C
2021-09-30|USD|35622000000|2349000000||10269000000|-28638000000|1035000000|1040000000|||4668000000|-33958000000|23252000000|-14412000000|3067000000|3067000000|0|1296000000|1296000000||0|12450000000|0|-3067000000||4668000000||4644000000|C
2021-06-30|USD|365000000|2816000000||-4158000000|16959000000|982000000|941000000|||6203000000|-37177000000|11359000000|2024000000|2900000000|5185000000|2285000000|1307000000|1307000000||0|25995000000|0|-5185000000||6203000000||6193000000|C
2021-03-31|USD|23198000000|1729000000||14137000000|-15583000000|962000000|830000000|||7975000000|-40934000000|33255000000|22216000000|1481000000|2981000000|1500000000|1356000000|1356000000||0|15516000000|2300000000|-681000000||15519000000||7942000000|C
2020-12-31|USD|-1234000000|2610000000||22665000000|28065000000|1051000000|1146000000|||4331000000|-9245000000|-2437000000|-15627000000|0|0|0|1328000000|1328000000||0|10859000000|1495000000|1495000000||4331000000||4309000000|C
