fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|-578500000|6400000||-7400000|5600000|31800000|12000000|3700000||218500000|35400000|-78100000||26400000|26400000||66300000|66300000|||0||-26400000||||218500000|CBOE
2024-06-30|USD|1493900000|7600000||-1300000|35000000|31800000|17800000|31600000||140400000|-37100000|-177600000||101300000|101300000||58200000|58200000|||0||-101300000||||140400000|CBOE
2024-03-31|USD|895600000|97000000||-107100000|-22700000|37300000|7300000|-27000000||209500000|-13300000|-168600000||76600000|76600000||58500000|58500000|||0||-76600000||||209500000|CBOE
2023-12-31|USD|-189000000|95500000||16500000|-13400000|38000000|17100000|-18400000|141000000|212000000|-38200000|-142500000||5800000|5800000||58500000|58500000|||0||-5800000||||212000000|CBOE
2023-09-30|USD|736900000|5400000||-2900000|35900000|38800000|7700000|28200000|-119800000|208200000|25900000|-164900000|0|0|0||58500000|58500000|||0||0||||208200000|CBOE
2023-06-30|USD|-503100000|6600000||-12000000|3200000|39800000|7800000|700000|-21200000|167800000|-44700000|-207500000|0|8100000|8100000||53200000|53200000|||0||-8100000||-755300000||167800000|CBOE
2023-03-31|USD|1030800000|37100000||-30100000|-21400000|41400000|12400000|-23600000||173400000|1900000|-141200000|0|70000000|70000000||53300000|53300000|||0||-70000000||891500000||173400000|CBOE
2022-12-31|USD|-143600000|80800000||8300000|-8300000|44700000|27400000|-8700000||159700000|-90500000|-193000000|0|15300000|15300000||53400000|53400000|||0||-15300000||-427100000||159700000|CBOE
2022-09-30|USD|169300000|5000000||-2000000|-11800000|41000000|10200000|-14600000||150200000|28300000|-161100000|0|0|0||53400000|53400000|||0||0||36500000||150200000|CBOE
2022-06-30|USD|-634400000|5500000||-15500000|66100000|40200000|11400000|65000000||-184500000|-748000000|289300000|0|15600000|15600000||51200000|51200000|||365000000||-15600000||-149800000||-184500000|CBOE
2022-03-31|USD|1259800000|24400000||27200000|13200000|40900000|10800000|13500000||109600000|-24900000|146500000|0|70000000|70000000||51400000|51400000|||298600000||-70000000||1381400000||109600000|CBOE
2021-12-31|USD|-688600000|87000000||40300000|-12800000|42000000|13700000|-3000000|27600000|165900000|-216200000|-53800000|0|0|0||51500000|51500000|||0||0||-958600000||165900000|CBOE
2021-09-30|USD|563600000|4500000||-2900000|-9300000|42800000|16000000|-1800000|-110500000|120400000|-90700000|-52400000|0|0|0||51500000|51500000|||0||0||158700000||120400000|CBOE
2021-06-30|USD|122700000|8600000||4900000|6900000|40600000|11400000|-2000000|-19700000|105500000|-32500000|25400000|0|33700000|33700000||45000000|45000000|||0||-33700000||137500000||105500000|CBOE
2021-03-31|USD|599100000|20700000||18700000|-2700000|42000000|9900000|-15500000|-6700000|137200000|-13300000|-119500000|0|47600000|47600000||45300000|45300000|||0||-47600000||466300000||137200000|CBOE
2020-12-31|USD|269400000|50500000||34000000|17300000|40500000|10200000|41500000|119900000|87300000|-325900000|130900000|-70000000|88000000|88000000||45300000|45300000|||423700000||-88000000||87300000||87300000|CBOE
2020-09-30|USD|701100000|3200000||-40700000|-40200000|39500000|20000000|-44300000|-278300000|109900000|87000000|-17700000||41800000|41800000||45800000|45800000|||0||-41800000||146200000||109900000|CBOE
2020-06-30|USD|325000000|2600000||19900000|-28800000|38000000|6600000|-31400000|139900000|113600000|-140600000|-139200000||99800000|99800000||39500000|39500000|||0||-99600000||149000000||113600000|CBOE
2020-03-31|USD|163300000|17900000||48500000|118000000|40500000|10600000|118800000|75900000|157400000|-51000000|-175700000||119500000|119500000||40000000|40000000|||0||-119500000||-63400000||157400000|CBOE
2019-12-31|USD|237700000|48600000||13400000|-6500000|42800000|8200000|-8600000|84100000|86300000|-47200000|-113900000||69500000|69500000||40000000|40000000|||0||-69300000||86300000||86300000|CBOE
2019-09-30|USD|77500000|2700000||7200000|-4100000|42900000|7800000|-13700000|-90900000|105900000|54700000|-142500000||52400000|52400000||40400000|40400000|||0||-51800000||146100000||106000000|CBOE
2019-06-30|USD|199600000|2700000||8700000|27000000|43700000|13300000|26100000|44400000|84500000|-45400000|-334800000||0|0||34800000|34800000|||0||400000||128200000||88300000|CBOE
2019-03-31|USD|118000000|18600000||-63000000|-63300000|47200000|5800000|-67600000|-6000000|94100000|22000000|-71700000||35000000|35000000||34800000|34800000|||0||-26900000||68300000||95400000|CBOE
2018-12-31|USD|226600000|57700000||49900000|79800000|49100000|8500000|77100000|90200000|138400000|-43500000|-39300000||0|0||34700000|34700000|||0||500000||138400000||138800000|CBOE
2018-09-30|USD|-41200000|55300000||-26300000|-12600000|50300000|15200000|-18300000|-194500000|85700000|115300000|-82500000||49100000|49100000||34600000|34600000|||0||-48000000||136000000||86000000|CBOE
2018-06-30|USD|185800000|125300000||-22800000|32700000|50400000|5300000|31600000|-15200000|83000000|-72200000|-135600000||48200000|48200000||30400000|30400000|||0||-48500000||-26300000|-4300000|83300000|CBOE
2018-03-31|USD|163500000|27800000||40100000|39400000|54200000|7300000|33100000|63200000|118100000|-25200000|-114200000||43600000|43600000||30600000|30600000|||300000000||-42800000||22800000|-1300000|118400000|CBOE
2017-12-31|USD|195500000|231400000||14300000|-2700000|55900000|11400000|600000|112100000|257100000|-66900000|-114600000||0|0||30700000|30700000|||-300000||200000||18700000|4700000|257400000|CBOE
2017-09-30|USD|6800000|-1400000||-12300000|-5400000|55400000|6900000|-7600000|-152700000|60300000|97800000|-132200000||0|0||30700000|30700000|||0||500000||-23800000|3800000|60500000|CBOE
2017-06-30|USD|189800000|-4100000||-7700000|2800000|55800000|11800000|-900000|72400000|68000000|-80600000|-111200000||0|0||28400000|28400000|||300000000||0||-4700000|-2700000|68300000|CBOE
2017-03-31|USD|-17700000|-1600000||-26400000|-8800000|25100000|7400000|-13500000|26400000|15200000|-1386800000|1457700000||0|0||28300000|28300000|||1644200000||0||56000000|2800000|15500000|CBOE
2016-12-31|USD|55500000|142056000||13262000|7170000|10000000|8000000|10308000|-4372000|45100000|-7100000|-23900000||0|0||20400000|20400000|||0||0||24500000||45400000|CBOE
2016-09-30|USD|59200000|0||13030000|7309000|10200000|11000000|9684000|-21313000|40500000|-13400000|-25200000||0|0||20400000|20400000|||0||0||20600000|0|40800000|CBOE
2016-06-30|USD|17500000|0|5500000|2610000|44005000|12300000|16500000|41236000|19059000|50900000|-36000000|-36800000||18100000|18086000||18800000|18800000|||0||-18086000||-55300000|0|51200000|CBOE
2016-03-31|USD|97400000|0||1848000|-25588000|11900000|8900000|-28054000|-5848000|49200000|-27900000|-64300000||42400000|42412000||18900000|18900000|||0||-42412000||5200000|0|49400000|CBOE
2015-12-31|USD|-112988000|||-4915000|1916000|46241000|12409000|5644000|-614000|50403000|-16763000|-53751000||34797000|34764000||18987000|19018000|||||-34764000||-19351000||50379000|CBOE
2015-09-30|USD|70701000|||3182000|-3071000|23000|9295000|-1358000|-8971000|67516000|-14312000|-41956000||18771000|18771000||19125000|19125000|||||-18771000||32044000||67516000|CBOE
2015-06-30|USD|47992000|||3786000|34300000|25000|10100000|33496000|5797000|44845000|-10566000|-64728000||47217000|47217000||17563000|17563000|||||-47217000||-47924000||44845000|CBOE
2015-03-31|USD|144789000|||-790000|-22199000|11000|7536000|-26537000|7085000|42259000|-37759000|-51065000||31415000|31415000||17725000|17725000|||||-31415000||-10369000||42259000|CBOE
2014-12-31|USD|49342000|||10085000|-174000|27000|10180000|2428000|-6382000|49342000|-10668000|-46515000||28727000|28727000||61609000|17778000|||||-28727000||49342000||49342000|CBOE
2014-09-30|USD|50475000|||-1882000|-4190000|11000|11648000|-1274000|-1438000|48366000|-12174000|-69248000||51329000|51329000||17914000|17914000|||||-51329000||-18592000||48366000|CBOE
2014-06-30|USD|47438000|||6645000|23066000|31000|16154000|20147000|-9880000|42981000|-16624000|-70250000||51135000|51135000||15580000|15580000|||||-51135000||-53954000||42981000|CBOE
2014-03-31|USD|88316000|||3049000|-11870000|18000|12172000|-13339000|20310000|49024000|-12672000|-97920000||37137000|37137000||15727000|59558000|||||-37137000||-22276000||49024000|CBOE
2013-12-31|USD|46110000|||-129000|4811000|28000|8906000|5354000|-6054000|46110000|-9920000|-47133000||31313000|31313000||15820000|15820000|||||-31313000||46110000||46110000|CBOE
2013-09-30|USD|45274000|||-2054000|-6131000|28000|6695000|-4601000|-7518000|41356000|-7093000|-29799000||13977000|13977000||15945000|15945000|||||0||18612000||41356000|CBOE
2013-06-30|USD|52371000|||-17594000|21284000|29000|6632000|19556000|4675000|46161000|-7076000|-17207000||0|0||13307000|13307000|||||0||-2720000||46161000|CBOE
2013-03-31|USD|95297000|||34264000|-3409000|29000|6440000|-5766000|7603000|42373000|-7108000|-13300000||0|0||13297000|13297000|||||0||74889000||42373000|CBOE
2012-12-31|USD|59667000|||3262000|-7615000|22000|3237000|-4805000|10539000|39724000|-4914000|-79437000||0|0||13239000|79436000|||||0||-24684000||39724000|CBOE
2012-09-30|USD|54134000|||-3343000|2428000|22000|7337000|4772000|-1610000|45758000|-7749000|-13241000||0|0||13241000|13241000|||||0||33144000||45758000|CBOE
2012-06-30|USD|23391000|||4085000|10699000|22000|11623000|8617000|-26787000|38496000|-12051000|-32832000||19103000|19103000||10603000|10603000|||||-19103000||-21492000||38496000|CBOE
2012-03-31|USD|63343000|||6554000|7033000|22000|7869000|4465000|22076000|33417000|-8263000|-41387000||30641000|30641000||10745000|10745000|||||-30641000||13693000||32964000|CBOE
2011-12-31|USD|38832000|||-9162000|-3562000|23000|5658000|-2041000|-4757000|31807000|-6853000|-44263000||32103000|32103000||10896000|10896000|||||-32103000||-12284000||31807000|CBOE
2011-09-30|USD|71733000|||9203000|-10756000|22000|5151000|-8862000|19357000|41327000|-5151000|-25907000||14887000|14887000||11020000|11020000|||||||40675000||41327000|CBOE
2011-06-30|USD|14340000|||||9019000|11200000||-25513000|33401000|-11181000|-12303000||0|||9228000|9228000000|||||||-9144000||33401000|CBOE
2011-03-31|USD|78224000|||||8718000|7134000||18926000|32871000|-7096000|-9228000||0|||9228000|9228000|||||||61900000||32871000|CBOE
2010-12-31|USD|50109000|||||8207000|8507000||8483000|31376000|-9505000|-309751000|||||9229000|19606000|||||||-269147000||31377000|CBOE
2010-09-30|USD|13525000|||||7117000|4277000||-7328000|20454000|-4278000|-10377000|||||10432000|55000|||||||-1130000||20453000|CBOE
2010-06-30|USD|8782000|||||7318000|4210000||-20169000|24890000||-112014000|||||113417000|113417000|||||||||24890000|CBOE
2010-03-31|USD|62332000|||||7318000|6562000||17665000|22676000||-3000|||||||||||||||22676000|CBOE
