fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|342100000|32700000||175600000|229400000|69100000|33600000|159400000|-47200000|316400000|-244900000|178900000|0|100000000|100000000||82700000|82700000|||||-93400000||||316400000|CDW
2024-06-30|USD|149900000|91700000||400400000|636700000|69400000|30900000|415000000|54000000|280700000|-30900000|-257000000|0|201900000|201900000||83000000|83000000|||||-195800000||||281100000|CDW
2024-03-31|USD|440000000|22500000||-62300000|-193800000|67300000|29500000|-253500000|3700000|216100000|-29700000|-192600000|0|52100000|52100000||83300000|83300000|||||-23200000||||216100000|CDW
2023-12-31|USD|536500000|133700000||250300000|108900000|68100000|33500000|97200000|-42900000|296100000|-33700000|-359000000|0|50000000|50000000||83100000|83100000|||||-33200000||||296100000|CDW
2023-09-30|USD|468600000|24200000||-211700000|-266900000|66000000|43400000|-55700000|-79100000|315500000|-49100000|-180200000|0|53900000|53900000||79100000|79100000|||0||-41900000||||315500000|CDW
2023-06-30|USD|228200000|92100000||100700000|245400000|65900000|39600000|221900000|5000000|262600000|-92600000|-211300000|-25300000|196100000|196100000||79400000|79400000|||0||-188400000||-75700000||262600000|CDW
2023-03-31|USD|365400000|24900000||-288300000|-322500000|70700000|31700000|-208900000|-22000000|230300000|-54200000|-348200000|-49100000|200000000|200000000||79900000|79900000|||0||-187200000||-37000000||230100000|CDW
2022-12-31|USD|241900000|135500000||-450800000|-308500000|72500000|30600000|-121400000|-128000000|287200000|-39300000|-271700000|-37100000|0|0||79900000|79900000|||0||9500000||-69100000||287200000|CDW
2022-09-30|USD|332900000|25200000||69000000|143200000|75600000|33600000|136400000|-93600000|298000000|-33600000|-455500000|200000|0|0||67700000|67700000|||0||5600000||-156200000||297800000|CDW
2022-06-30|USD|380300000|88900000||79400000|79300000|71100000|22300000|-105200000|-20600000|279300000|-50300000|-166800000|0|0|0||67500000|67500000|||0||6800000||163200000||279300000|CDW
2022-03-31|USD|380800000|17500000||267600000|236000000|71400000|41300000|125000000|130300000|250200000|-41300000|-208100000|-192900000|0|0||67500000|67500000|||0||8300000||131400000||250200000|CDW
2021-12-31|USD|147900000|85100000||417900000|495000000|51200000|33800000|293300000|63500000|215300000|-2399700000|2264600000|150500000|315100000|315100000||67700000|67700000|||3917500000||-305900000||12800000||215300000|CDW
2021-09-30|USD|291800000|18700000||128600000|164800000|48200000|27700000|183000000|-40400000|266600000|-155800000|-389300000|112200000|450000000|450000000||54800000|54800000|||0||-431100000||314800000||266600000|CDW
2021-06-30|USD|300000|47200000||3200000|305900000|46600000|17800000|124800000|143300000|274200000|19500000|-399000000|0|376900000|376900000||55800000|55800000|||0||-372800000||320800000||274100000|CDW
2021-03-31|USD|344600000|19200000||89300000|39600000|45200000|20700000|15700000|-15400000|232600000|-233600000|-643500000|56500000|358400000|358400000||56500000|56500000|||0||-320700000||-532500000||232600000|CDW
2020-12-31|USD|575900000|84700000||187800000|-52500000|76600000|24400000|-78500000|37200000|332200000|-28900000|-392900000|0|199800000|199800000||57200000|57200000|||0||-199800000||332200000||238300000|CDW
2020-09-30|USD|222600000|23300000||59300000|208800000|132400000|33600000|224500000|-55100000|193200000|-72100000|137400000|-50000000|0|0||54100000|54100000|||700000000||0||325600000||193200000|CDW
2020-06-30|USD|292800000|38600000||-223800000|-193400000|125200000|74600000|-128600000|22900000|189100000|-74600000|524300000|-162500000|0|0||54100000|54100000|||0||0||314300000||189100000|CDW
2020-03-31|USD|223000000|28600000||260800000|336500000|91400000|25400000|209000000|66400000|167900000|-25400000|-130000000|161500000|140800000|140800000||54200000|54200000|||0||-140800000||67600000||167900000|CDW
2019-12-31|USD|344900000|37900000||133100000|58000000|69600000|161300000|73000000|1900000|283800000|-181400000|-181300000|25000000|163900000|163900000||54500000|54500000|||0||-163900000||283800000||185600000|CDW
2019-09-30|USD|267800000|100900000||-154600000|-120900000|68200000|31100000|-58300000|-46200000|201700000|-31100000|-263300000|-50000000|161100000|161100000||42600000|42600000|||600000000||-161100000||269900000||201700000|CDW
2019-06-30|USD|162100000|59300000||276300000|391600000|65000000|24500000|242000000|63100000|196600000|-30800000|-225000000|0|155100000|155100000||42900000|42900000|||0||-155100000||261600000||196600000|CDW
2019-03-31|USD|252400000|44100000||187600000|167900000|64300000|19400000|-11900000|134200000|152600000|-88100000|-80200000|76000000|177100000|177100000||43400000|43400000|||0||-177100000||84100000||152900000|CDW
2018-12-31|USD|303600000|31400000||-4500000|-68900000|66900000|32700000|30800000|-25300000|242900000|-32700000|-319500000|-7000000|289800000|289800000||43900000|43900000|||0||-322600000||-49300000|-700000|159300000|CDW
2018-09-30|USD|270000000|42900000||-35400000|-41500000|65800000|19800000|39100000|-95600000|183400000|-19800000|-97100000|-6700000|56100000|56100000||31700000|31700000|||0||-48600000||154400000|1300000|183700000|CDW
2018-06-30|USD|110100000|31800000||399100000|543300000|66300000|17700000|355700000|95300000|173000000|-17700000|-207000000|13700000|67200000|67200000||31800000|31800000|||0||-51600000||-120300000|-5700000|173000000|CDW
2018-03-31|USD|222200000|42700000||29300000|9900000|66600000|15900000|-60500000|72400000|126700000|-15900000|-131200000|0|109200000|109200000||32000000|32000000|||0||-99500000||76800000|1700000|127000000|CDW
2017-12-31|USD|338600000|29900000||30000000|-36400000|65700000|22500000|8000000|-100500000|221600000|-22500000|-271100000|-191600000|0|0||32200000|32200000|||0||6600000||46300000|1300000|194800000|CDW
2017-09-30|USD|62900000|41800000||-72500000|70100000|65700000|21800000|-35900000|31100000|129200000|-21800000|-20900000|137600000|174600000|174600000||24400000|24400000|||0||-170000000||18900000|-1300000|129300000|CDW
2017-06-30|USD|6300000|28400000||270300000|480300000|65400000|17200000|340900000|16500000|141000000|-17200000|-164500000|16000000|184000000|184000000||24800000|24800000|||0||-178400000||-172700000|2700000|140900000|CDW
2017-03-31|USD|369900000|48400000||68800000|-105000000|64200000|19600000|-184600000|36000000|57600000|-19600000|-362200000|38000000|175400000|175400000||25500000|25500000|||2083000000||-168900000||-12000000|-100000|58200000|CDW
2016-12-31|USD|104700000|26900000||64400000|137200000|63800000|22100000|162000000|3400000|197200000|-22400000|66300000|0|12400000|12400000||25600000|25600000|||0||-8600000||145400000|-3200000|103200000|CDW
2016-09-30|USD|186200000|44400000||-26100000|40200000|63100000|15700000|-57000000|-34400000|125900000|-17800000|-178200000|0|131900000|131900000||17400000|17400000|||1483000000||-127300000||-11100000|-1300000|125900000|CDW
2016-06-30|USD|-114700000|28900000||114900000|397100000|63700000|14700000|312500000|30800000|117500000|-14700000|13900000|0|105100000|105100000||17700000|17700000|||0||-99900000||-118800000|-3300000|117500000|CDW
2016-03-31|USD|427800000|44100000||122000000|-178800000|64000000|11000000|-237600000|68200000|77800000|-11000000|-206600000|0|118000000|118000000||18000000|18000000|||0||-114900000||210600000|400000|77800000|CDW
2015-12-31|USD|-17400000|29200000||-48400000|110400000|62400000|46200000|164200000|-23300000|179900000|-46200000|3400000|0|48000000|48000000||18300000|18300000|||0||-45100000||-59900000|300000|89300000|CDW
2015-09-30|USD|195800000|44100000||98900000|58200000|59900000|21000000|20700000|-44100000|150900000|-284800000|-146800000|0|101600000|101600000||11400000|11400000|||0||-98600000||-238200000|-2400000|150900000|CDW
2015-06-30|USD|-78700000|28200000||116100000|339300000|52600000|12900000|263100000|79200000|108200000|-12900000|-20400000|0|91700000|91700000||11500000|11500000|||0||-88700000||-111700000|300000|108200000|CDW
2015-03-31|USD|177800000|53100000||2800000|-62600000|52500000|10000000|-105400000|19700000|54700000|-10500000|-62700000|0|0|0||11700000|11700000|||525000000||2200000||102900000|-1700000|54700000|CDW
2014-12-31|USD|84500000|68600000||-85500000|-45500000|52000000|20600000|91400000|-85900000|164300000|-108800000|11700000|0|0|0||11700000|11700000|||575000000||2300000||-13300000|-700000|51800000|CDW
2014-09-30|USD|174600000|27400000||13300000|-25200000|51800000|13400000|-49500000|-25900000|55600000|-14100000|-29000000|0|0|0||7300000|7300000|||600000000||2000000||130200000|-1300000|55600000|CDW
2014-06-30|USD|-70400000|83700000||48300000|243800000|52000000|11700000|188900000|61100000|86600000|-11700000|2300000|0|0|0||7300000|7300000|||0||2700000||-79100000|700000|86600000|CDW
2014-03-31|USD|246300000|16100000||74200000|-81000000|52000000|9300000|-113200000|6500000|50900000|-30200000|-97000000|0|0|0||7300000|7300000|||0||100000||118600000|-500000|50900000|CDW
2013-12-31|USD|-4500000|98100000||6000000|109100000|51900000|16600000|142900000|28300000|142000000|-16600000|-140900000|0|100000|100000||7300000|7300000|||0||424600000||-162100000|-100000|60000000|CDW
2013-09-30|USD|163700000|26800000||-72600000|-100800000|52000000|10500000|-81000000|-24800000|-2200000|-10500000|16900000|0|0|0|||0|||188600000||424700000||170900000|800000|-2200000|CDW
2013-06-30|USD|-900000|126500000||90200000|195400000|52300000|11200000|127700000|20100000|46700000|-11200000|45200000|0|0|0|||0|||1346600000||0||32200000|-900000|46700000|CDW
2013-03-31|USD|208000000|16200000||177700000|44700000|52000000|8800000|-18800000|43900000|28300000|-8800000|-89500000|0|100000|100000|||0|||0||-100000||109200000|-500000|28300000|CDW
2012-12-31|USD|-49700000|137100000||-222100000|-81400000|51100000|16000000|-9800000|-32200000|130900000|-16300000|-88700000|0|300000|300000||||||0||-300000||-155100000|-400000|33300000|CDW
2012-09-30|USD|62400000|14200000||38000000|60200000|53400000|9700000|37100000|25200000|38000000|-9700000|-19200000|0|100000|100000||||||0||-100000||34300000|800000|38000000|CDW
2012-06-30|USD|81700000|135100000||142000000|143300000|53200000|7400000|145400000|-25100000|36800000|-7400000|48300000|0|0|0||||||0||0||122200000|-400000|36800000|CDW
2012-03-31|USD|223000000|16300000||39800000|-115000000|52500000|8300000|-162300000|25000000|10900000|-8300000|-278400000|0|300000|300000||||||135700000||-300000||-63400000|300000|10900000|CDW
2011-12-31|USD|43200000|136300000||-89300000|-53400000|51300000|19800000|-3300000|6500000|111100000|-19800000|49500000|-5100000|200000|200000||||||||-200000||74000000|1100000|19000000|CDW
2011-09-30|USD|41700000|18400000||-104400000|39700000|51100000|9200000|82500000|-33500000|37100000|-9700000|-49200000|-155000000|0|||||||||||-18700000|-1500000|37100000|CDW
2011-06-30|USD|-11800000|||||50800000|8300000||40200000|-34800000|-10300000|-6900000||200000|||||||||||-29100000|-100000|-34800000|CDW
