fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|108055000|24267000||7420000|109120000|2979000|17288000|108017000||97229000|-17288000|-64179000|-38000000|0|0||72973000|72973000|||0||60888000||||97229000|CHRW
2024-06-30|USD|166422000|23426000||28453000|70137000|3303000|19337000|64640000||126251000|-19337000|-154760000|-92000000|0|0||72703000|72703000|||0||13621000||||126251000|CHRW
2024-03-31|USD|-33323000|25223000||84971000|282385000|3313000|22474000|225402000||92904000|-22474000|34695000|120000000|0|0||74580000|74580000|||0||5405000||||92904000|CHRW
2023-12-31|USD|47331000|274314000||-110942000|-65313000|42870000|16136000|-81498000|17612000|30973000|-16136000|-66314000|-3000000|0|0||72627000|72627000|||0||10853000||||30973000|CHRW
2023-09-30|USD|205239000|-2503000||32830000|-23901000|5724000|16674000|-24551000|20191000|81949000|-15350000|-219401000|-153000000|1130000|1130000||72747000|72747000|||0||8247000||||81949000|CHRW
2023-06-30|USD|224832000|34583000||-44200000|-154237000|5773000|24351000|-174966000|-37803000|97316000|-24351000|-226126000|-137000000|31572000|31572000||72760000|72760000|||0||-14561000||-25645000||97316000|CHRW
2023-03-31|USD|254544000|39993000||-217390000|-392801000|5815000|26950000|-326244000||114891000|-26950000|-205992000|-101000000|31182000|31182000||73435000|73435000|||0||-11509000||21602000||114891000|CHRW
2022-12-31|USD|773382000|527074000||-227661000|-921672000|43774000|27843000|-856988000||96193000|-27472000|-725528000|-225000000|436322000|436322000||69059000|69059000|||0||-429678000||20382000||96193000|CHRW
2022-09-30|USD|625460000|24002000||-78746000|-628627000|5782000|31251000|-445177000||225798000|-31251000|-636841000|-70000000|532879000|532879000||70990000|70990000|||0||-493038000||-42632000||225798000|CHRW
2022-06-30|USD|265257000|22556000||-146735000|-29215000|5957000|43174000|-45384000||348185000|17784000|-278947000|102000000|329420000|329420000||72413000|72413000|||0||-301212000||4094000||348185000|CHRW
