fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|5763000000|224000000||66000000|-559000000|2390000000|2916000000|-508000000|43000000|2059000000|-2658000000|-2198000000||1167000000|1167000000||910000000|910000000||-9000000|||-1176000000||||2059000000|COP
2024-06-30|USD|4919000000|150000000||-98000000|-1000000|2334000000|2969000000|-224000000|2000000|2329000000|-4151000000|-2043000000||1021000000|1021000000||915000000|915000000||4000000|||-1017000000||||2329000000|COP
2024-03-31|USD|4985000000|254000000||-85000000|57000000|2211000000|2916000000|76000000|55000000|2551000000|-2141000000|-2825000000||1325000000|1325000000||924000000|924000000||-61000000|||-1386000000||||2551000000|COP
2023-12-31|USD|5263000000|493000000||446000000|-48000000|2223000000|2883000000|-186000000|-11000000|3007000000|-5852000000|-2639000000||1100000000|1100000000||1408000000|1408000000||5000000|||-1095000000||||3007000000|COP
2023-09-30|USD|5445000000|175000000||777000000|999000000|2095000000|2545000000|1099000000|91000000|2798000000|-2384000000|29000000|0|1300000000|1300000000||1337000000|1337000000||38000000|||-1262000000||||2798000000|COP
2023-06-30|USD|3854000000|149000000||-348000000|-607000000|2010000000|2923000000|-545000000|-22000000|2232000000|-2316000000|-2725000000|0|1300000000|1300000000||1350000000|1350000000||2000000|||-1298000000||-1187000000||2232000000|COP
2023-03-31|USD|5403000000|209000000||-1266000000|-1911000000|1942000000|2897000000|-1701000000|45000000|2920000000|-1448000000|-3326000000|0|1700000000|1700000000||1488000000|1488000000||-97000000|||-1797000000||629000000||2920000000|COP
2022-12-31|USD|6592000000|576000000||628000000|-676000000|1999000000|2533000000|-354000000|-26000000|3249000000|-2934000000|-5508000000|0|2746000000|2746000000||2390000000|2390000000||17000000|||-2729000000||-1850000000||3249000000|COP
2022-09-30|USD|8740000000|220000000|0|463000000|-347000000|1872000000|2497000000|-544000000|11000000|4527000000|-3105000000|-4330000000|0|2799000000|2799000000||1484000000|1484000000||-5000000|||-2804000000||1305000000||4527000000|COP
2022-06-30|USD|7914000000|199000000|-1000000|839000000|747000000|1810000000|1968000000|326000000|80000000|5145000000|-2091000000|-5078000000|0|2300000000|2300000000||988000000|988000000||79000000|||-2221000000||9586000000||5145000000|COP
2022-03-31|USD|5068000000|287000000|26000000|-204000000|1450000000|1823000000|3161000000|1535000000|-27000000|5759000000|-611000000|-3137000000|0|1425000000|1425000000||864000000|864000000||271000000|||-1154000000||1320000000||5759000000|COP
2021-12-31|USD|5868000000|501000000|8000000|994000000|877000000|1783000000|1557000000|881000000|147000000|2627000000|-8595000000|-2031000000|0|1399000000|1399000000||609000000|609000000||118000000|||-1281000000||6642000000||2627000000|COP
2021-09-30|USD|4797000000|242000000|0|422000000|1161000000|1672000000|1302000000|825000000|-76000000|2379000000|532000000|-2086000000|0|1243000000|1243000000||579000000|579000000||52000000|||-1191000000||4216000000||2379000000|COP
2021-06-30|USD|4251000000|289000000|0|-100000000|392000000|1867000000|1265000000|9000000|38000000|2091000000|734000000|-1203000000|0|606000000|606000000||583000000|583000000||3000000|||-631000000||4131000000||2091000000|COP
2021-03-31|USD|2080000000|266000000|7000000|525000000|879000000|1886000000|1200000000|785000000|51000000|982000000|-1215000000|-1015000000|0|375000000|375000000||588000000|588000000||-28000000|||-375000000||-150000000||982000000|COP
2020-12-31|USD|1672000000|553000000||218000000|437000000|1541000000|1058000000|611000000|-49000000|-772000000|-543000000|-652000000|0|166000000|166000000||464000000|464000000||-3000000|||-169000000||6642000000||-772000000|COP
2020-09-30|USD|868000000|194000000||171000000|561000000|1411000000|1132000000|614000000|47000000|-450000000|-1116000000|-177000000|300000000|0|0||454000000|454000000||-4000000|||-4000000||1370000000||-450000000|COP
2020-06-30|USD|157000000|193000000||-124000000|120000000|1158000000|876000000|-705000000|304000000|278000000|-530000000|-649000000||0|0||455000000|455000000||0|||2000000||1318000000||260000000|COP
2020-03-31|USD|2105000000|204000000||-292000000|-1239000000|1411000000|1649000000|-1041000000|-277000000|-1711000000|-1932000000|-1230000000||726000000|726000000||458000000|458000000||0|||-726000000||-1057000000||-1739000000|COP
