fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-10-26|USD|3661000000|829000000||-2763000000|-2439000000|265000000|217000000|-2400000000|-229000000|2711000000|479000000|-2784000000|68000000|2003000000|2003000000||1592000000|1592000000||0|5732000000||-2003000000||||2711000000|CSCO
2024-07-27|USD|3730000000|481000000||2801000000|2135000000|270000000|198000000|1591000000|255000000|2162000000|-828000000|-4507000000|-1069000000|2015000000|2015000000||1606000000|1606000000||367000000|7659000000||-1648000000||||2162000000|CSCO
2024-04-27|USD|3971000000|576000000||-763000000|-579000000|297000000|168000000|-470000000|-88000000|1886000000|-22815000000|14072000000|149000000|1268000000|1268000000||1615000000|1615000000||-2000000|21622000000||-1270000000||||1886000000|CSCO
2024-01-27|USD|808000000|290000000||-2797000000|74000000|66000000|170000000|96000000|-135000000|2634000000|2213000000|1079000000|1398000000|1204000000|1204000000||1583000000|1583000000||0|2537000000||-855000000||||2634000000|CSCO
2023-10-28|USD|2371000000|321000000||-2930000000|-1021000000|67000000|134000000|-1004000000|-307000000|3638000000|952000000|-3800000000|0|1300000000|1300000000||1580000000|1580000000||0|0||-1300000000||||3638000000|CSCO
2023-07-29|USD|5966000000|209000000||2238000000|526000000|488000000|233000000|784000000|175000000|3958000000|-1220000000|-2650000000|0|1264000000|1264000000||1589000000|1589000000||384000000|0||-880000000||||3958000000|CSCO
2023-04-29|USD|5219000000|446000000||1442000000|150000000|70000000|270000000|-393000000|325000000|3212000000|-2594000000|-3495000000|0|1269000000|1269000000||1593000000|1593000000||0|0||-1269000000||-870000000||3212000000|CSCO
2023-01-28|USD|4739000000|211000000||1232000000|-197000000|71000000|170000000|-552000000|461000000|2773000000|-494000000|-2626000000|0|1204000000|1204000000||1560000000|1560000000||0|0||-888000000||1619000000||2773000000|CSCO
2022-10-29|USD|3962000000|211000000||-642000000|-1251000000|71000000|176000000|-1675000000|108000000|2670000000|-799000000|-2855000000|-602000000|556000000|556000000||1560000000|1560000000|||||-556000000||308000000||2670000000|CSCO
2022-07-30|USD|3677000000|167000000||1804000000|1732000000|560000000|139000000|1065000000|347000000|2815000000|869000000|-3618000000|597000000|2342000000|2342000000||1567000000|1567000000||354000000|0||-1988000000||1050000000||2815000000|CSCO
