fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|920000000|||-9000000|-243000000|143000000|83000000|-117000000||546000000|-79000000|-602000000||154000000|154000000||150000000|150000000|||||-140000000||||546000000|CTSH
2024-09-30|USD|847000000|||417000000|202000000|133000000|56000000|45000000||582000000|-1250000000|212000000||242000000|242000000||149000000|149000000|||||-228000000||||582000000|CTSH
2024-06-30|USD|262000000|||-153000000|168000000|133000000|79000000|160000000||566000000|-79000000|-221000000||76000000|76000000||150000000|150000000|||||-61000000||||566000000|CTSH
2024-03-31|USD|95000000|||-374000000|308000000|133000000|79000000|-39000000||546000000|-238000000|-304000000||133000000|133000000||151000000|151000000|||||-113000000||||546000000|CTSH
2023-12-31|USD|737000000|||67000000|48000000|136000000|78000000|29000000|-17000000|558000000|168000000|-455000000||313000000|313000000||146000000|146000000|||||-299000000||||558000000|CTSH
2023-09-30|USD|828000000|||155000000|-174000000|146000000|73000000|64000000|388000000|525000000|-199000000|-450000000|0|315000000|315000000||147000000|147000000|||0||-299000000||||525000000|CTSH
2023-06-30|USD|36000000|||-306000000|118000000|141000000|68000000|39000000|-371000000|463000000|-85000000|-354000000|0|214000000|214000000||148000000|148000000|||0||-196000000||-403000000||463000000|CTSH
2023-03-31|USD|729000000|||-181000000|-72000000|132000000|98000000|-89000000||580000000|-215000000|-350000000|0|222000000|222000000||150000000|150000000|||0||-199000000||164000000||580000000|CTSH
2022-12-31|USD|702000000|||95000000|-17000000|141000000|90000000|65000000||521000000|-78000000|-431000000|0|315000000|315000000||139000000|139000000|||0||-300000000||193000000||521000000|CTSH
2022-09-30|USD|1032000000|||89000000|-208000000|141000000|79000000|-78000000||629000000|-257000000|-458000000|0|315000000|315000000||141000000|141000000|||0||-296000000||317000000||629000000|CTSH
2022-06-30|USD|528000000|||-188000000|-70000000|144000000|43000000|134000000||577000000|-471000000|-450000000|0|318000000|318000000||141000000|141000000|||0||-297000000||-387000000||577000000|CTSH
2022-03-31|USD|306000000|||-399000000|190000000|143000000|120000000|117000000||563000000|700000000|-600000000|0|474000000|474000000||143000000|143000000|||0||-443000000||400000000|-6000000|563000000|CTSH
2021-12-31|USD|825000000|||23000000|-55000000|144000000|65000000|36000000|110000000|576000000|-498000000|-196000000|0|82000000|82000000||127000000|127000000|||0||-56000000||128000000|-3000000|576000000|CTSH
2021-09-30|USD|948000000|||103000000|-105000000|144000000|51000000|92000000|356000000|544000000|-407000000|-239000000|0|129000000|129000000||127000000|127000000|||0||-100000000||512000000|-6000000|544000000|CTSH
2021-06-30|USD|541000000|||-77000000|52000000|145000000|75000000|148000000|63000000|512000000|-721000000|-428000000|0|320000000|320000000||127000000|127000000|||0||-288000000||512000000|3000000|512000000|CTSH
2021-03-31|USD|181000000|||-497000000|167000000|141000000|88000000|131000000|-594000000|505000000|-538000000|-340000000|0|240000000|240000000||128000000|128000000|||0||-197000000||-707000000|-10000000|505000000|CTSH
2020-12-31|USD|898000000|||344000000|-29000000|148000000|89000000|-52000000|295000000|316000000|-49000000|-2626000000|-1740000000|788000000|788000000||118000000|118000000|||0||-755000000||-1756000000|21000000|316000000|CTSH
2020-09-30|USD|925000000|||74000000|-59000000|138000000|104000000|-134000000|19000000|348000000|-658000000|-347000000|0|248000000|248000000||120000000|120000000|||0||-215000000||348000000|94000000|348000000|CTSH
2020-06-30|USD|979000000|||277000000|-210000000|137000000|93000000|-65000000|363000000|361000000|-259000000|-171000000|0|74000000|74000000||121000000|121000000|||0||-38000000||361000000|-13000000|361000000|CTSH
2020-03-31|USD|497000000|||-284000000|-39000000|136000000|112000000|-13000000|-302000000|367000000|-272000000|1135000000|1740000000|511000000|511000000||121000000|121000000|||1740000000||-471000000||1241000000|-119000000|367000000|CTSH
2019-12-31|USD|938000000|954000000||-134000000|-452000000|133000000|93000000|-213000000|118000000|626000000|-375000000|-253000000|0|163000000|163000000||110000000|110000000|||||-131000000||302000000|-8000000|395000000|CTSH
