fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|1513000000|104000000||-110000000|-11000000|591000000|298000000|108000000|-35000000|818000000|-606000000|-845000000|-14000000|640000000|640000000||196000000|196000000|||||-640000000||||818000000|DHR
2024-06-30|USD|1417000000|134000000||-492000000|-276000000|580000000|287000000|-74000000|34000000|907000000|-360000000|-5715000000|-53000000||||200000000|200000000|||||-4530000000||||907000000|DHR
2024-03-31|USD|1739000000|42000000||-434000000|-377000000|586000000|291000000|-516000000|118000000|1088000000|-321000000|-133000000|68000000||||177000000|177000000|||||||||1088000000|DHR
2023-12-31|USD|1619000000|-75000000||1051000000|1293000000|493000000|402000000|387000000|-210000000|1337000000|-6017000000|-2246000000|-997000000||||200000000|200000000|||||-38000000||||1079000000|DHR
2023-09-30|USD|1672000000|104000000||-133000000|18000000|554000000|365000000|56000000|-103000000|1129000000|-329000000|2443000000|-2000000||||199000000|199000000||0|0|0|0||||1129000000|DHR
2023-06-30|USD|1926000000|103000000||-512000000|-629000000|562000000|341000000|-134000000|-129000000|1106000000|-431000000|-208000000|-3000000||||218000000|218000000||0|0|0|0||1287000000||1106000000|DHR
2023-03-31|USD|1947000000|82000000||-521000000|-404000000|557000000|275000000|-631000000|255000000|1450000000|-304000000|-262000000|-4000000||||204000000|204000000||0|0|0|0||1381000000||1450000000|DHR
2022-12-31|USD|2541000000|1809000000||226000000|633000000|565000000|329000000|343000000|-243000000|2232000000|-816000000|-906000000|-4000000||||203000000|203000000||0|0|0|0||819000000||2232000000|DHR
2022-09-30|USD|2010000000|83000000||-200000000|55000000|540000000|277000000|-11000000|61000000|1572000000|-515000000|-230000000|-50000000||||204000000|204000000||0|0|0|0||1265000000||1572000000|DHR
2022-06-30|USD|2000000000|83000000||108000000|539000000|552000000|296000000|225000000|237000000|1680000000|-400000000|-1160000000|-679000000||||220000000|220000000|||||-23000000||440000000||1680000000|DHR
2022-03-31|USD|1968000000|84000000||-53000000|373000000|565000000|250000000|-80000000|431000000|1725000000|-503000000|-274000000|10000000||||191000000|191000000|||||-46000000||1191000000||1725000000|DHR
2021-12-31|USD|2333000000|1759000000||719000000|858000000|587000000|420000000|459000000|64000000|1702000000|-879000000|-1422000000|-1231000000||||191000000|191000000||0|0|0|0||32000000||1788000000|DHR
2021-09-30|USD|2034000000|129000000||107000000|268000000|554000000|318000000|81000000|146000000|1158000000|-10048000000|3305000000|3483000000||||191000000|191000000||0|||63000000||-4709000000||1158000000|DHR
2021-06-30|USD|2120000000|67000000||303000000|347000000|525000000|305000000|130000000|121000000|1785000000|-1067000000|-139000000|14000000||||191000000|191000000||0|||25000000||914000000||1785000000|DHR
2021-03-31|USD|1871000000|83000000||-441000000|-127000000|502000000|251000000|-59000000|171000000|13000000|-993000000|-449000000|-1000000||||169000000|169000000|||||-12000000||13000000||1702000000|DHR
2020-12-31|USD|2221000000|1171000000||164000000|-228000000|508000000|316000000|476000000|-120000000|1241000000|-581000000|-1420000000|-1298000000||||170000000|169600000||0|0|0|154000000||220000000||1241000000|DHR
2020-09-30|USD|1723000000|117000000||137000000|64000000|492000000|187000000|62000000|-24000000|883000000|-329000000|-1319000000|38000000||||162000000|162000000||0||0|0||883000000||883000000|DHR
2020-06-30|USD|1445000000|79000000||268000000|10000000|478000000|155000000|-92000000|92000000|455000000|539000000|-889000000|-3767000000||||145000000|145000000||1729000000||0|0||455000000||927000000|DHR
2020-03-31|USD|819000000|39000000||-197000000|-79000000|297000000|133000000|-182000000|175000000|595000000|-20868000000|4634000000|390000000||||138000000|138000000||0|||379900000||-15415000000||595000000|DHR
2019-12-31|USD|1111600000|813400000||467800000|575500000|202100000|117100000|130100000|-142900000|961700000|-266000000|4754500000|2057700000||||142000000|365700000||-200000|3975700000|0|0||5660200000|59700000|1274900000|DHR
2019-09-30|USD|965600000|170800000||-62500000|18100000|327700000|181900000|33700000|-4900000|673900000|-244600000|8127700000|144500000||||151100000|151100000||0|0|0|-2482400000||8818500000|-30200000|668000000|DHR
2019-06-30|USD|1171500000|77800000||109500000|46300000|330800000|180800000|66400000|45200000|731300000|-228900000|605000000|685700000||||121700000|121700000||0||0|45700000||1523600000|-24000000|731300000|DHR
2019-03-31|USD|703300000|42000000||-92200000|-94100000|328400000|155700000|-73800000|124600000|333800000|-498500000|2877800000|-86100000||||112200000|112200000||1443200000|0|1599600000|3080100000||3122200000|39600000|333800000|DHR
2018-12-31|USD|1237600000|169100000||543900000|425800000|201100000|214400000|186900000|-121400000|962600000|-297000000|-914700000|-816400000||||111800000|112200000||0|0|0|151700000||11600000|-13500000|746800000|DHR
2018-09-30|USD|919500000|255200000||-74000000|29900000|321500000|149600000|31000000|58300000|663700000|-286700000|-732700000|-148000000||||111900000|111900000||0|0|0|27600000||-127800000|-27900000|663700000|DHR
2018-06-30|USD|1036000000|194600000||53900000|66400000|334600000|153800000|59400000|68200000|673800000|-2242600000|1172100000|1266700000||||111800000|111800000||0|0|0|26500000||-141700000|-107200000|673800000|DHR
2018-03-31|USD|828900000|181200000||-306900000|-215100000|320800000|137900000|-219000000|128900000|566600000|-122700000|-321700000|-236600000||||97500000|97500000||0||0|23200000||415400000|30900000|566600000|DHR
2017-12-31|USD|834700000|473200000||521400000|830000000|196700000|173800000|236000000|-101300000|946100000|-315500000|-553900000|-459400000||||97300000|97300000||-49000000|98100000||136800000||-18300000|16400000|856600000|DHR
2017-09-30|USD|1072400000|171000000||149700000|-5800000|311400000|139300000|-2500000|52800000|572100000|-155000000|-1028900000|-931600000||||97100000|97100000||13200000|0||13200000||-77800000|33700000|572100000|DHR
2017-06-30|USD|1010500000|134200000||20800000|-42100000|303200000|147900000|96200000|-11500000|557300000|-209200000|-925000000|-1952600000||||97300000|97300000||15300000|1684000000||15300000||-77500000|46200000|557300000|DHR
2017-03-31|USD|560200000|190500000||-433600000|-170800000|305600000|158600000|-168300000|56900000|506100000|-163700000|-590700000|-434900000||||86600000|86600000||20500000|0||20500000||-159800000|34400000|506100000|DHR
2016-12-31|USD|649000000|623600000||121500000|558600000|305600000|167500000|88300000|-147900000|728600000|-4923500000|4347000000|4552300000||||86500000|86500000||7900000|0||7900000||-7700000|-80200000|747000000|DHR
2016-09-30|USD|818200000|195100000||-40800000|-800000|277200000|148600000|33300000|33600000|391600000|-153600000|-3778400000|-1156200000||||110500000|110500000||11800000|0||11800000||-3126200000|-12400000|391600000|DHR
2016-06-30|USD|1281800000|172200000||357700000|107200000|277600000|150900000|145000000|19300000|948800000|-174200000|2364700000|-100900000||||110100000|110100000||100900000|2978600000||100900000||3433300000|-39000000|656700000|DHR
2016-03-31|USD|772800000|162900000||-97600000|-45000000|267700000|122600000|-83500000|85600000|785700000|8300000|-890600000|-1077100000||||92700000|92700000||43900000|262300000||43900000||-126500000|-17000000|758400000|DHR
2015-12-31|USD|1231600000|429300000||491200000|429300000|272000000|281400000|137200000|-187300000|932200000|-260400000|-1979700000|-2637200000||||92500000|92500000||50900000|732500000||50900000||-1042700000|-34200000|688600000|DHR
2015-09-30|USD|952600000|140400000||-99800000|-262900000|136300000|98400000|-83800000|-61800000|1614100000|-13753000000|11329300000|6408300000||||95700000|95700000||66600000|4950400000||66600000||-1508500000|-37400000|1403300000|DHR
2015-06-30|USD|1094000000|144500000||144500000|23900000|237000000|136200000|102900000|-8500000|914600000|-246900000|-38600000|-12400000||||95500000|95500000||69900000|0||69900000||831000000|22500000|695700000|DHR
2015-03-31|USD|523600000|138300000||-314100000|-19900000|235500000|117000000|-104200000|111100000|766900000|-690700000|-260800000|-247500000||||70400000|70400000||61600000|0||61600000||-494600000|-66700000|569800000|DHR
2014-12-31|USD|1239400000|319900000||376000000|-30800000|17400000|176100000|44500000|-157900000|887300000|-2446100000|280400000|323500000||||70300000|70300000||57900000|||57900000||-1019700000|-93400000|661700000|DHR
2014-09-30|USD|1016100000|179800000||33800000|-65400000|240600000|142800000|-61000000|30300000|680600000|-149100000|-55100000|2100000||||70000000|70000000||14100000|||14100000||704200000|-107700000|680600000|DHR
2014-06-30|USD|991700000|193200000||172500000|99400000|235400000|147700000|152800000|-8200000|676400000|-564400000|-458200000|-16500000||||70000000|70000000||30900000|||30900000||-25400000|5500000|676400000|DHR
2014-03-31|USD|511200000|105400000||-285500000|36700000|224700000|130900000|5900000|67000000|579700000|-284700000|14700000|3100000||||17400000|17400000||30000000|||30000000||231300000|-9900000|579700000|DHR
2013-12-31|USD|1078200000|552700000||109400000|138900000|188900000|159700000|43300000|-162500000|888000000|19500000|15100000|4700000||||17400000|17400000||28700000|||28700000||1119600000|6800000|789300000|DHR
2013-09-30|USD|971400000|66600000||58600000|-60900000|225300000|139300000|-23500000|6500000|597000000|-683000000|-635200000|0||||17400000|17400000||38700000|||38700000||-329300000|17500000|597000000|DHR
