fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|814000000|1857000000||-323000000|-741000000|751000000|610000000|-594000000|-147000000|-35000000|-912000000|-445000000|18000000|0|0||520000000|492000000||115000000|24000000||115000000||||-53000000|DOW
2024-09-30|USD|800000000|151000000||57000000|626000000|741000000|736000000|333000000|293000000|240000000|-691000000|-594000000|-19000000|94000000|94000000||492000000|490000000||0|47000000||-94000000||||214000000|DOW
2024-06-30|USD|836000000|148000000||146000000|-29000000|682000000|723000000|-115000000|86000000|458000000|-494000000|-695000000|79000000|200000000|200000000||524000000|491000000||9000000|15000000||-191000000||||439000000|DOW
2024-03-31|USD|464000000|160000000||398000000|897000000|720000000|766000000|600000000|297000000|538000000|-271000000|566000000|-13000000|200000000|200000000||507000000|493000000||42000000|1381000000||-158000000||||516000000|DOW
2023-12-31|USD|1656000000|1680000000||125000000|-863000000|657000000|578000000|-796000000|-67000000|-95000000|-1082000000|-711000000|-127000000|125000000|125000000||529000000|491000000||125000000|28000000||0||||-105000000|DOW
2023-09-30|USD|1658000000|158000000||127000000|-485000000|657000000|597000000|-209000000|-276000000|327000000|-1012000000|-497000000|133000000|125000000|125000000||507000000|492000000||8000000|21000000||-117000000||||302000000|DOW
2023-06-30|USD|1347000000|143000000||-355000000|-562000000|649000000|561000000|-224000000|-338000000|501000000|-684000000|-1053000000|-164000000|250000000|250000000||516000000|493000000||0|42000000||-250000000||||485000000|DOW
2023-03-31|USD|535000000|154000000||-631000000|-95000000|648000000|497000000|68000000|-163000000|-73000000|-150000000|-854000000|-91000000|125000000|125000000||509000000|496000000||55000000|13000000||-70000000||||-93000000|DOW
2022-12-31|USD|2078000000|1658000000||-395000000|-1465000000|654000000|460000000|-864000000|-601000000|647000000|-1631000000|1152000000|181000000|125000000|125000000||536000000|495000000||113000000|1585000000||-12000000||||613000000|DOW
2022-09-30|USD|1940000000|168000000||-929000000|-1744000000|668000000|452000000|-1090000000|-654000000|760000000|-576000000|-1417000000|-108000000|800000000|800000000||513000000|493000000||2000000|33000000||-798000000||||739000000|DOW
