fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|199500000|||50200000|25900000|55300000|111200000|55600000|1900000|134600000|210300000|-736500000||750000000|750000000|||||14800000|||-735200000||||134600000|DXCM
2024-06-30|USD|279400000|||68400000|4700000|52100000|66100000|-33800000|-18300000|143500000|-188900000|-1400000||0|0|||||0|||0||||143500000|DXCM
2024-03-31|USD|209200000|||112800000|31100000|52500000|56900000|5800000|36700000|146400000|74800000|4700000||0|0|||||13400000|||13400000||||146400000|DXCM
2023-12-31|USD|133600000|||-38500000|240100000|52500000|52500000|187200000|59000000|256300000|414900000|-631900000||500000000|500000000|||||0|||-500000000||||256300000|DXCM
2023-09-30|USD|269200000|||221000000|97800000|48200000|50400000|35800000|78600000|120700000|-179500000|-637400000|0|0|0|||||14300000|0||14300000||||120700000|DXCM
2023-06-30|USD|190300000|||193500000|159100000|43700000|59000000|113700000|55400000|115900000|-555900000|939500000|0|0|0|||||0|0||-188700000||573900000||115900000|DXCM
2023-03-31|USD|155400000|||87900000|-3600000|41600000|74700000|-76600000|59600000|48600000|-186700000|11200000|0|0|0|||||12300000|0||12300000||-20100000||48600000|DXCM
2022-12-31|USD|132500000|||104200000|193000000|36300000|63500000|148300000|-5700000|91800000|-194100000|-1000000|0|0|0|||||0|0||0||-62600000||91800000|DXCM
2022-09-30|USD|293200000|||100300000|-23700000|39200000|108200000|4500000|-26900000|101200000|229300000|-552500000|0|557700000|557700000|||||12400000|0||-545300000||-30000000||101200000|DXCM
2022-06-30|USD|172800000|||45400000|-65000000|43600000|91500000|17000000|-1100000|50900000|-144900000|-4300000|0|||||||0|0||0||23600000||50900000|DXCM
