fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|786700000|9400000||293500000|102500000|73300000|236400000|-800000|71300000|740800000|639100000|-548300000|1600000|464300000|464300000||162200000|162200000|||||-385900000||||736500000|ECL
2024-06-30|USD|611100000|19000000||134300000|216300000|75100000|196900000|159100000|26800000|495000000|-244400000|-446400000|-5500000|323000000|323000000||165500000|165500000|||||-274100000||||490900000|ECL
2024-03-31|USD|649400000|15300000||30200000|-4800000|234800000|201500000|-49000000|65500000|416600000|-201000000|-889300000|7200000|196400000|196400000||175200000|175200000|||0||-90900000||||412100000|ECL
2023-12-31|USD|852500000|974400000||118100000|-105500000|230500000|262600000|-4600000|-53900000|410800000|-348400000|-585500000|-1600000|2000000|2000000||154700000|154700000|||0||33600000||||405200000|ECL
2023-09-30|USD|787700000|1700000||102700000|-85400000|77400000|166500000|36100000|-115500000|409400000|-178600000|-147000000|-2000000|800000|800000||154000000|154000000|||0||9800000||||404000000|ECL
2023-06-30|USD|573400000|23900000||-600000|-2200000|76800000|172000000|93800000|-80300000|334700000|-274100000|-155800000|-3800000|300000|300000||150900000|150900000|||0||34800000||143500000||329700000|ECL
2023-03-31|USD|198200000|14600000||-365700000|-115100000|234300000|173700000|-41000000|-70600000|238100000|-189400000|-166400000|5500000|10600000|10600000||157700000|157700000|||0||4900000||-157600000||233400000|ECL
2022-12-31|USD|859200000|693900000||179600000|-80800000|237000000|202800000|-31200000|17200000|269500000|-210400000|-161700000|-491900000|72800000|72800000||157800000|157800000|||0||-64500000||487100000||264400000|ECL
2022-09-30|USD|436700000|16700000||434800000|553500000|80600000|192500000|116800000|134900000|352000000|-195600000|-247400000|-120400000|42600000|42600000||144900000|144900000|||0||-34500000||352000000||347100000|ECL
2022-06-30|USD|322400000|25000000||82700000|276400000|78700000|168800000|204400000|156000000|312700000|-181600000|-122900000|125900000|140700000|140700000||146100000|146100000|||0||-137200000||312700000||308300000|ECL
