fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|777000000|28000000||-219000000|-65000000|383000000|83000000|-156000000|86000000|593000000|-142000000|-1291000000|2000000|899000000|899000000||301000000|301000000|||||-899000000||||585000000|EMR
2024-09-30|USD|1084000000|1240000000||31000000|6000000|426000000|168000000|143000000|-156000000|968000000|3204000000|-3038000000|-2571000000|260000000|260000000||300000000|300000000|||||-260000000||||996000000|EMR
2024-06-30|USD|1090000000|38000000||167000000|-30000000|417000000|92000000|-79000000|-12000000|352000000|-75000000|-1030000000|-12000000|0|0||301000000|301000000|||0||0||||329000000|EMR
2024-03-31|USD|743000000|56000000||18000000|144000000|424000000|82000000|129000000|-51000000|503000000|-37000000|-442000000|-84000000|0|0||300000000|300000000|||0||0||||501000000|EMR
2023-12-31|USD|415000000|59000000||-241000000|6000000|422000000|77000000|-94000000|97000000|132000000|-8452000000|2055000000|2647000000|175000000|175000000||300000000|300000000|||0||-175000000||||142000000|EMR
2023-09-30|USD|-643000000|3555000000||185000000|6000000|271000000|169000000|77000000|-99000000|738000000|-685000000|-521000000|416000000|1900000000|1900000000||298000000|298000000|||0||-1900000000||||744000000|EMR
2023-06-30|USD|794000000|33000000||107000000|86000000|257000000|73000000|51000000|40000000|9366000000|10366000000|-3266000000|-1968000000|-1900000000|-1900000000||297000000|297000000|||0||1900000000||7894000000||9352000000|EMR
2023-03-31|USD|68000000|30000000||58000000|159000000|263000000|62000000|141000000|26000000|770000000|-152000000|-141000000|508000000|0|0||297000000|297000000|||0||0||1047000000||792000000|EMR
2022-12-31|USD|418000000|12000000||-188000000|101000000|260000000|59000000|-78000000|193000000|2326000000|2886000000|-2895000000|-539000000|2000000000|2000000000||306000000|306000000|||0||-2000000000||409000000||2331000000|EMR
2022-09-30|USD|1217000000|987000000||222000000|31000000|271000000|196000000|174000000|-19000000|708000000|-359000000|-1509000000|-1112000000|500000000|82000000||305000000|305000000|||0||-82000000||2317000000||740000000|EMR
2022-06-30|USD|740000000|32000000||79000000|197000000|222000000|110000000|14000000|91000000|952000000|-5134000000|58000000|439000000|-285000000|133000000||305000000|305000000|||0||-133000000||1222000000||921000000|EMR
2022-03-31|USD|442000000|20000000||22000000|425000000|171000000|109000000|127000000|85000000|675000000|-126000000|1898000000|2246000000|32000000|32000000||306000000|306000000|||0||-32000000||896000000||674000000|EMR
2021-12-31|USD|523000000|29000000||-90000000|95000000|178000000|116000000|-172000000|177000000|895000000|285000000|1601000000|-335000000|253000000|253000000||307000000|307000000|||2975000000||-253000000||2409000000||896000000|EMR
2021-09-30|USD|855000000|951000000||194000000|237000000|42000000|231000000|94000000|-149000000|674000000|-212000000|-1131000000|-606000000|232000000|232000000||301000000|301000000|||0||-232000000||1996000000|6000000|670000000|EMR
2021-06-30|USD|1105000000|33000000||331000000|155000000|237000000|128000000|-1000000|99000000|633000000|-136000000|-449000000|42000000|190000000|190000000||303000000|303000000|||0||-190000000||870000000||627000000|EMR
