fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|354225000|64493000||-50440000|17364000|270150000|313612000|||433871000|187132000|-507750000|-242882000|0|0|0|256416000|256060000|355000||||6377000||||419115000|EQR
2024-09-30|USD|401414000|76632000||54643000|24746000|237948000|1292550000|||148517000|-1361259000|947983000|1213631000|0|0|0|257012000|255879000|711000||||11216000||||143446000|EQR
2024-06-30|USD|396937000|43806000||-18793000|-7560000|224398000|92432000|||183555000|-138363000|-316713000|-55037000|0|0|0|256551000|255777000|356000||||2884000||||177483000|EQR
2024-03-31|USD|421031000|77149000||60940000|-22737000|229488000|26328000|||305032000|136006000|-500472000|-183210000|38474000|58599000|20125000|254621000|251334000|964000||||-52554000||||295787000|EQR
2023-12-31|USD|344274000|42910000||-50361000|22090000|232365000|18018000|||322269000|58851000|-389857000|-88505000||||254542000|251564000|771000||||-36021000||||311692000|EQR
2023-09-30|USD|442544000|80562000||47004000|-25145000|224736000|151185000|||181286000|-197076000|-243383000|863162000|0|0||251407000|251101000|0|0|0||583000||||172508000|EQR
2023-06-30|USD|352701000|45825000||-11249000|39515000|221355000|216705000|||144862000|-315002000|-132142000|193280000|0|0||252329000|250922000|775000|0|0||3918000||||139203000|EQR
2023-03-31|USD|393279000|79693000||29113000|-26257000|219769000|16786000|||220071000|43723000|-355089000|-115865000|0|0||240703000|236561000|1544000|0|0||9564000||81913000||212035000|EQR
2022-12-31|USD|334528000|46394000||-67042000|9841000|219933000|27456000|||165354000|-135544000|-183279000|-48977000|0|0||235274000|235104000|0|0|0||144569000||15705000||159020000|EQR
2022-09-30|USD|429354000|84431000||54083000|-22830000|214129000|26398000|||335165000|288671000|-715209000|27454000|0|0||236851000|235074000|773000|0|0||2995000||2816000||323025000|EQR
2022-06-30|USD|322818000|55396000||-26616000|32270000|223806000|31236000|||232678000|151702000|-467569000|66848000|0|0||237135000|234966000|773000|0|0||5993000||6951000||224101000|EQR
2022-03-31|USD|368056000|81391000||28714000|-30174000|235818000|137301000|||73798000|-197037000|-419555000|-182346000|0|0||243247000|226639000|772000|0|0||15313000||-248536000||70765000|EQR
2021-12-31|USD|281971000|53039000||-53406000|10363000|229955000|723427000|||560978000|-125031000|-23453000|292160000|0|0||228050000|225937000|772000|0|0||17448000||133487000||526974000|EQR
2021-09-30|USD|402088000|73057000||75859000|-20731000|215397000|788543000|||447332000|-254234000|-313606000|-100761000|0|0||227082000|225548000|773000|0|0||29972000||662729000||431951000|EQR
2021-06-30|USD|230072000|52684000||-52848000|25208000|200673000|341983000|||328040000|70990000|-6397000|212284000|0|0||226264000|224675000|772000|0|0||17677000||528713000||316386000|EQR
2021-03-31|USD|346053000|74058000||55723000|-20746000|205742000|64599000|||60364000|-126345000|-221600000|52415000|0|0||227964000|224308000|773000|0|0||24613000||-1892000||57539000|EQR
