fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|1562372000|||293480000|72505000|614766000|3636780000|85566000|-18329000|645754000|-1535124000|29400000|190058000||||246300000|241720000|4580000||1873596000||50466000|50466000|||645754000|ETR
2024-06-30|USD|1025364000|||332051000|216646000|505363000|0|295475000|-12937000|51732000|-1178619000|213560000|-981153000||||245875000|241296000|4579000||2861928000||39223000|39223000|||48922000|ETR
2024-03-31|USD|521092000|||-192644000|-443091000|499661000|172614000|-107921000|-5387000|76536000|-1287872000|1929091000|775333000||||245539000|240959000|4580000|0|2206338000||6759000|6759000|||75281000|ETR
2023-12-31|USD|1063335000|-660874000||20196000|-468416000|688949000|4661000|-319284000|10565000|988284000|-1049915000|-1400646000|-212934000||||244074000|239494000|4580000|0|668060000||135288000|4639000|||987636000|ETR
2023-09-30|USD|1405021000|||-166449000|193107000|439873000|0|282742000|-8892000|669714000|-1133631000|54042000|242719000|0|0|0|230837000|226257000|4580000|0|1115351000|0|1106000|1106000|||666800000|ETR
2023-06-30|USD|866429000|||197042000|251777000|468938000|30433000|207274000|14009000|392014000|-1161840000|-480759000|242770000|0|0|0|230827000|226248000|4579000|0|875364000|0|61000|61000|-776170000||391244000|ETR
2023-03-31|USD|959543000|||-303456000|-1228341000|453916000|0|-272533000|29484000|312299000|-1283591000|2070396000|37995000|0|0|0|230774000|226194000|4580000|0|1614522000|0|4017000|4017000|1746348000||310935000|ETR
2022-12-31|USD|776049000|||-753129000|-616386000|437497000|0|-211505000|12490000|97652000|-1340930000|-214446000|-559011000|0|0|0|244059000|225740000|4580000|852555000|703142000|0|852795000|240000|-779327000||106466000|ETR
2022-09-30|USD|993478000|||-184982000|432459000|453288000|1044000|144273000|-3052000|555882000|-1144985000|575109000|-11239000|0|0|0|4580000|205471000|4580000|0|1465632000|0|4850000|4850000|670302000||560600000|ETR
2022-06-30|USD|277997000|||560907000|-1194282000|444759000|-1396429000|347486000|-1586000|164011000|-1672763000|1273064000|55060000|0|0|0|4580000|205408000|4580000|0|1297692000|0|17323000|17323000|492431000||159703000|ETR
