fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|89972000|||158062000|30657000|15774000|12291000|||229926000|-12516000|-76330000|10445000|140031000|140031000||0|0|||||-86775000||||229574000|EXPD
2024-06-30|USD|126769000|||346759000|122258000|14979000|7943000|||175151000|-7877000|-207393000|1259000|102300000|102300000||102638000|102638000|||||-95851000||||175469000|EXPD
2024-03-31|USD|256904000|||152899000|64062000|15161000|10181000|||170400000|-10084000|-374922000|-17242000|360524000|360524000||0|0|||||-352495000||||169152000|EXPD
2023-12-31|USD|158353000|||5118000|-8082000|21386000|10714000||97834000|159145000|-10624000|-289129000|739000|193592000|193592000||100855000|99766000|||||-189008000||||158719000|EXPD
2023-09-30|USD|189980000|||115620000|56917000|15607000|7993000||-4017000|170843000|-7983000|-229349000|6913000|298103000|298103000||0|0|||||-236262000||||171353000|EXPD
2023-06-30|USD|158446000|||-173789000|-18166000|15506000|10481000||-93817000|195793000|-11275000|-791521000|1311000|687689000|687689000||102263000|102263000|||||-678513000||||196800000|EXPD
2023-03-31|USD|546412000|||-287370000|-67621000|15261000|10126000|508606000||225998000|-9551000|-226566000|-14907000|213502000|213502000||0|0|||||-204214000||310295000||226011000|EXPD
2022-12-31|USD|486699000|||-763751000|-277805000|14922000|18326000|711977000||214737000|-18571000|-636992000|24523000|563802000|563802000||105373000|103971000|||||-556140000||-168864000||219276000|EXPD
2022-09-30|USD|670384000|||-600817000|-226087000|15187000|15928000|634421000||414162000|-16518000|-428816000|-21117000|469041000|469041000||543000|0|||||-407156000||225050000||414209000|EXPD
2022-06-30|USD|558646000|||-178745000|-37138000|14254000|38158000|378291000||382226000|-38292000|-636491000|28571000|549065000|549065000||109828000|109828000|||||-543383000||-109699000||377805000|EXPD
2022-03-31|USD|413946000|||-53166000|-173930000|12975000|14412000|-132348000||349480000|-14333000|17759000|19490000|0|0||0|0|||||5751000||410934000|-6438000|346109000|EXPD
2021-12-31|USD|304997000|||440831000|149701000|12897000|11447000|-491830000|25845000|454011000|-11792000|-380293000|-56000|289530000|289530000||97379000|97379000|||||-282858000||-91414000|-4326000|452832000|EXPD
2021-09-30|USD|177371000|||817535000|328932000|12753000|9870000|-714300000|33378000|359910000|-10027000|-13786000|7479000|76595000|76595000||1631000|0|||||-19630000||145985000|-7573000|359068000|EXPD
2021-06-30|USD|30297000|||274622000|150382000|12675000|6539000|-410783000|-47994000|316974000|-6401000|-151867000|174000|62472000|62472000||98387000|98387000|||||-39761000||-119272000|8699000|316372000|EXPD
2021-03-31|USD|355829000|||312743000|71258000|12987000|8391000|-252914000|46638000|287950000|-8425000|-67600000|-85000|85997000|85997000||0|0|||||-66240000||265602000|-14202000|287220000|EXPD
2020-12-31|USD|141660000|||334010000|89560000|14339000|10124000|-372753000|19146000|199525000|-9571000|-93915000|32000|18162000|18162000||88114000|88114000|||||-5833000||199525000|24107000|198620000|EXPD
2020-09-30|USD|161568000|||185901000|81486000|15851000|9178000|-106065000|-41286000|191719000|-8004000|121461000|31000|0|0||0|0|||||121430000||285055000|10030000|191307000|EXPD
