fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|-362000000|84000000||35000000||97000000|74000000||-128000000|388000000|-162000000|-206000000||250000000|250000000||3000000|3000000|||||-250000000||||373000000|FOXA
2024-09-30|USD|158000000|133000000||-110000000||91000000|64000000||-303000000|832000000|-78000000|-347000000||250000000|250000000||131000000|131000000|||||-250000000||||827000000|FOXA
2024-06-30|USD|899000000|266000000||177000000||98000000|112000000||-83000000|320000000|-128000000|-243000000||250000000|250000000||9000000|9000000|||||-216000000||||319000000|FOXA
2024-03-31|USD|1476000000|151000000||2000000||98000000|83000000||185000000|704000000|-181000000|-1626000000||250000000|250000000||130000000|130000000|||||-250000000||||666000000|FOXA
2023-12-31|USD|-536000000|29000000||7000000||97000000|79000000||-152000000|115000000|-85000000|914000000||250000000|250000000||7000000|7000000|||||-250000000||||109000000|FOXA
2023-09-30|USD|1000000|158000000||-187000000||96000000|71000000||-253000000|415000000|-58000000|-386000000||250000000|250000000||135000000|135000000|||0||-250000000||||407000000|FOXA
2023-06-30|USD|493000000|194000000||132000000||103000000|120000000|588000000|-77000000|369000000|-120000000|-247000000||250000000|250000000||8000000|8000000|||0||-233000000||126000000||375000000|FOXA
2023-03-31|USD|1568000000|150000000||-48000000||106000000|84000000|260000000|642000000|-50000000|-97000000|-1383000000||1250000000|1250000000||136000000|136000000|||0||-1250000000||88000000||-54000000|FOXA
2022-12-31|USD|-531000000|23000000||-25000000||103000000|79000000|-692000000|-87000000|321000000|-103000000|-258000000||250000000|250000000||8000000|8000000|||0||-250000000||-892000000||313000000|FOXA
2022-09-30|USD|270000000|151000000||-127000000||99000000|74000000|-260000000|-333000000|613000000|-118000000|-402000000||250000000|250000000||147000000|147000000|||0||-225000000||-250000000||605000000|FOXA
2022-06-30|USD|933000000|147000000||151000000||99000000|116000000|230000000|-145000000|308000000|-127000000|-240000000||252000000|252000000||12000000|12000000|||0||-210000000||566000000||306000000|FOXA
2022-03-31|USD|1607000000|163000000||9000000||92000000|70000000|631000000|338000000|290000000|-90000000|-1138000000||251000000|251000000||145000000|145000000|||0||-251000000||290000000||283000000|FOXA
2021-12-31|USD|-685000000|32000000||-43000000||93000000|68000000|-766000000|5000000|-73000000|-221000000|-250000000||247000000|247000000||0|145000000|||0||-247000000||-73000000||-85000000|FOXA
2021-09-30|USD|29000000|168000000||-171000000||79000000|53000000|-174000000|-499000000|708000000|-75000000|-429000000||250000000|250000000||150000000|150000000|||0||-250000000||-475000000||701000000|FOXA
2021-06-30|USD|773000000|219000000||194000000||84000000|151000000|113000000|-67000000|272000000|-199000000|-453000000||288000000|288000000||148000000|148000000|||0||-276000000||2890000000||2890000000|FOXA
2021-03-31|USD|1629000000|164000000||-68000000||78000000|91000000|629000000|317000000|582000000|0|-366000000||297000000|297000000||6000000|6000000|||0||-297000000||582000000||567000000|FOXA
2020-12-31|USD|-30000000|37000000||218000000||70000000|125000000|-818000000|380000000|230000000|-180000000|-349000000||149000000|149000000||161000000|161000000|||0||-149000000||230000000||224000000|FOXA
2020-09-30|USD|267000000|169000000||-62000000||68000000|117000000|-193000000|-440000000|1117000000|-149000000|298000000||267000000|267000000||15000000|15000000|||0||-267000000||416000000||1106000000|FOXA
2020-06-30|USD|1020000000|465000000||27000000||15000000|167000000|644000000|14000000|145000000|-703000000|1132000000||0|0||14000000|14000000|||1191000000||0||1534000000||1534000000|FOXA
2020-03-31|USD|1601000000|43000000||-90000000||8000000|82000000|341000000|521000000|90000000|-48000000|-348000000||179000000|179000000||152000000|152000000|||||-179000000||47000000||78000000|FOXA
2019-12-31|USD|-458000000|43000000||-94000000||57000000|71000000|-561000000|4000000|314000000|-309000000|-582000000||421000000|421000000||155000000|169000000|||||-421000000||271000000||300000000|FOXA
2019-09-30|USD|202000000|209000000||-149000000||50000000|39000000|-79000000|-358000000|513000000|-40000000|-56000000||0|0||14000000|169000000|||||||106000000||499000000|FOXA
2019-06-30|USD|900000000|23000000||266000000||60000000|88000000||60000000|465000000|-326000000|-158000000|||||155000000|176000000|||||||2513000000||2513000000|FOXA
2019-03-31|USD|1588000000|10000000||85000000|-391000000|58000000|59000000|-391000000|305000000|539000000|-60000000|-661000000|||||11000000|6490000000|||||||539000000||529000000|FOXA
2018-12-31|USD|-211000000|||||51000000|46000000||34000000|24000000|-44000000|-550000000|||||9000000|9000000|||||||24000000||8000000|FOXA
2018-09-30|USD|247000000|||||43000000|42000000||-202000000|615000000|-207000000|216000000|||||13000000|13000000|||||||||615000000|FOXA
2018-06-30|USD|532000000|||||45000000|67000000||72000000|480000000|-69000000|256000000|||||12000000|12000000|||||||||480000000|FOXA
2018-03-31|USD|820000000|||||43000000|36000000||-57000000|466000000|-42000000|947000000|||||28000000|28000000|||||||||466000000|FOXA
2017-12-31|USD|-300000000|||||42000000|83000000||-143000000|882000000|-84000000|427000000|||||27000000|27000000|||||||||882000000|FOXA
