fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|522000000|||||15000000|42000000|||522000000||3358000000|0||||262000000|262000000|||0|0|0||||517000000|HBAN
2024-03-31|USD|464000000|1070000000|||44000000|16000000|32000000|||424000000|-2262000000|3849000000|-505000000|0|0|0|262000000|226000000|36000000||2786000000|0|0||||419000000|HBAN
2023-12-31|USD|898000000|1094000000|||-72000000|17000000|60000000|||248000000|-3309000000|1105000000|-229000000|0|0|0|263000000|226000000|37000000||68000000|0|-82000000||||243000000|HBAN
2023-09-30|USD|999000000|909000000|||73000000|18000000|23000000|||552000000|1444000000|-2087000000|-859000000|0|0|0|265000000|225000000|40000000|0|1303000000|0|0||||547000000|HBAN
2023-06-30|USD|630000000|871000000|||233000000|21000000|32000000|||565000000|1167000000|-1087000000|-5335000000|0|0|0|252000000|224000000|28000000|0|10053000000|0|0||710000000||559000000|HBAN
2023-03-31|USD|130000000|562000000|||-45000000|28000000|25000000|||606000000|-2299000000|5834000000|5128000000|0|0|0|254000000|225000000|29000000|0|3541000000|317000000|317000000||3665000000||602000000|HBAN
2022-12-31|USD|1357000000|438000000|||-223000000|9000000|49000000|||649000000|-1263000000|2234000000|1378000000|0|0|0|253000000|224000000|29000000|0|5625000000|0|0||2328000000||645000000|HBAN
2022-09-30|USD|846000000|156000000|||18000000|24000000|42000000|||597000000|-1141000000|763000000|-2426000000|0|0|0|252000000|224000000|28000000|0|3304000000|0|0||468000000||594000000|HBAN
2022-06-30|USD|975000000|52000000|||-64000000|24000000|50000000|||541000000|-3850000000|2259000000|2652000000|0|0|0|252000000|224000000|28000000|0|2036000000|0|0||-616000000||539000000|HBAN
2022-03-31|USD|849000000|61000000|||-433000000|28000000|73000000|||462000000|-5355000000|3508000000|557000000|0|0|0|253000000|225000000|28000000|0|39000000|0|0||-998000000||460000000|HBAN
2021-12-31|USD|497000000|100000000|||-90000000|34000000|90000000|||402000000|-4751000000|31000000|-183000000|150000000|250000000|100000000|248000000|219000000|29000000|0|129000000|0|-250000000||-4223000000||401000000|HBAN
2021-09-30|USD|577000000|48000000|||149000000|32000000|58000000|||378000000|-3197000000|-890000000|90000000|500000000|1100000000||266000000|223000000|43000000|0|587000000|1000000|-1099000000||378000000||377000000|HBAN
2021-06-30|USD|1099000000|38000000|||-414000000|16000000|77000000|||-15000000|4362000000|-795000000|-1205000000|0|0||186000000|155000000|31000000|0|24000000|0|0||-15000000||-15000000|HBAN
2021-03-31|USD|-111000000|49000000|||395000000|10000000|22000000|||532000000|-376000000|2481000000|53000000|0|0||188000000|153000000|35000000|0|35000000|485000000|485000000||1994000000||532000000|HBAN
2020-12-31|USD|64000000|199000000|||147000000|10000000|37000000|||316000000|-2487000000|2743000000|-67000000|4000000|4000000||183000000|154000000|29000000|0|38000000|0|-4000000||320000000||316000000|HBAN
2020-09-30|USD|549000000|10000000|||223000000|10000000|33000000|||303000000|-1783000000|1216000000|-13000000|0|0||171000000|153000000|18000000|0|27000000|494000000|494000000||303000000||303000000|HBAN
2020-06-30|USD|212000000|100000000|||170000000|10000000|38000000|||150000000|-47000000|4361000000|-2751000000|0|0||171000000|152000000|19000000|0|35000000|494000000|494000000||150000000||150000000|HBAN
2020-03-31|USD|498000000|197000000|||-43000000|11000000|11000000|||48000000|-4322000000|4421000000|458000000|88000000|88000000||173000000|155000000|18000000|0|1286000000|0|-88000000||597000000||48000000|HBAN
2019-12-31|USD|676000000|244000000|||-161000000|12000000|25000000|||317000000|-1114000000|-28000000|390000000|196000000|196000000||174000000|155000000|19000000|0|59000000|0|-196000000||317000000||317000000|HBAN
2019-09-30|USD|46000000|291000000|||239000000|12000000|31000000|||372000000|-184000000|176000000|-1961000000|68000000|68000000||165000000|147000000|18000000|0|880000000|0|-68000000||38000000||372000000|HBAN
2019-06-30|USD|355000000|259000000|||179000000|12000000|27000000|||364000000|-64000000|-29000000|1381000000|152000000|152000000||166000000|147000000|19000000|0|22000000|0|-152000000||262000000||364000000|HBAN
2019-03-31|USD|497000000|249000000|||-11000000|13000000|24000000|||358000000|-515000000|-1318000000|776000000|25000000|25000000||166000000|148000000|18000000|0|835000000|0|-25000000||-1336000000||358000000|HBAN
2018-12-31|USD|582000000|215000000|||121000000|13000000|48000000|||334000000|-1686000000|2477000000|588000000|200000000|200000000||171000000|152000000|19000000|0|108000000|0|-200000000||1373000000||334000000|HBAN
2018-09-30|USD|542000000|207000000|||108000000|13000000|24000000|||378000000|-519000000|-106000000|-1034000000|691000000|691000000||143000000|122000000|21000000|0|790000000|0|-695000000||-83000000||378000000|HBAN
2018-06-30|USD|308000000|161000000|||247000000|13000000|22000000|||355000000|-682000000|687000000|-398000000|0|0||133000000|122000000|11000000|0|1280000000|0|1000000||313000000||355000000|HBAN
2018-03-31|USD|294000000|159000000|||26000000|14000000|16000000|||326000000|-776000000|31000000|-2181000000|48000000|48000000||137000000|118000000|19000000|0|51000000|495000000|450000000||-451000000||326000000|HBAN
2017-12-31|USD|848000000|101507000|||-178598000|13386000|49363000||12000000|432000000|-2164000000|1642000000|3236000000|137000000|136796000||106775000|87000000|19000000|0|42904000|0|-135112000||326000000||432000000|HBAN
2017-09-30|USD|547000000|122386000|||-62548000|14017000|32071000|||274568000|-1122000000|254000000|-2703000000|123000000|123204000||106314000|88000000|19000000|0|712399000|0|-120772000||-321000000||275000000|HBAN
2017-06-30|USD|163000000|98630000|||241200000|14242000|57081000|||271741000|-844000000|886000000|3271000000|0|0||106031000|87000000|19000000|0|31466000|0|2062000||205000000||272000000|HBAN
2017-03-31|USD|396000000|86477000|||-59054000|14355000|55485000||23544000|208094000|-736000000|265000000|-2433000000|0|0||105880000|87000000|19000000|0|1029231000|0|4822000||-75000000||207000000|HBAN
2016-12-31|USD|529194000|81716000|||25536000|14099000|56750000|||238963000|-585013000|-220964000|1536482000|0|0||84523000|76344000|7591000|-584936000|46107000|0|10897000||-276783000||239000000|HBAN
2016-09-30|USD|399168000|51929000|||-112363000|9046000|43842000|||127004000|-263994000|659585000|-972370000|0|0||75106000|56569000|18537000|-51000|1029849000|-51000|2146000||794759000||127000000|HBAN
2016-06-30|USD|94848000|66030000|||257743000|3600000|7689000|||174540000|-1006550000|962634000|1483227000|0|0||75766000|55892000|19874000|198639000|27726000|198639000|201400000||50932000||175000000|HBAN
2016-03-31|USD|191790000|41398000|||48429000|3712000|12157000|||171314000|-1589443000|1366745000|-147339000|0|0||64193000|56195000|7998000|386348000|1024068000|386348000|387474000||-30908000||171000000|HBAN
2015-12-31|USD|632174000|95994000|||-322871000|3788000|24076000||53765000|178309000|-1669328000|859361000|-852072000|29017000|28861000||54917000|47428000|8099000|0|905186000||-237491000||-177793000||178309000|HBAN
2015-09-30|USD|314731000|-12972000|||33979000|3913000|25928000|||-743051000|-1737769000|1067427000|-77949000|72136000|72136000||56230000|48262000|7968000|0|580103000||-1870000||-355611000||152588000|HBAN
2015-06-30|USD|104352000|40709000|||35216000|11787000|29999000|||196206000|-353097000|728838000|-531148000|99140000|99140000||56540000|48572000|7968000|0|751328000||2717000||480093000||196206000|HBAN
2015-03-31|USD|-18257000|26672000|||194717000|10167000|13094000|||165854000|-1168806000|866374000|-357831000|51707000|51707000||56703000|48738000|7965000|0|995610000||3800000||-320689000||165854000|HBAN
2014-12-31|USD|259560000|33408000|||-32892000|10653000|27303000|||163614000|-1471191000|1552334000|-715043000||||53645000|45682000|7963000|0|-2605499000||17710000||340703000||163614000|HBAN
2014-09-30|USD|246627000|28403000|||42108000|9813000|9687000|||155016000|-186335000|-398883000|-444727000||||46631000|38669000|7962000|0|480499000||0||-338591000||155016000|HBAN
2014-06-30|USD|226635000|34336000|||12090000|9520000|12205000|||164619000|-2390737000|2409291000|116576000||||49403000|41438000|7965000|0|3300000000||0||245189000||164619000|HBAN
2014-03-31|USD|155964000|35341000|||18723000|9291000|10613000|||149143000|-956518000|772686000|1161892000||||49110000|41146000|7964000|2597000|825000000||2597000||-27868000||149143000|HBAN
2013-12-31|USD|199951000|38887000|||-51682000|10320000|13108000||172155000|157823000|-3027565000|2721088000|699104000||||49521000|41562000|7959000|0|2301273000||-91395000||-106526000||158172000|HBAN
2013-09-30|USD|404206000|40988000|||-125182000|10362000|39973000||159067000|178487000|-606845000|316391000|45974000||||49444000|41477000|7967000|0|1073727000||-16197000||113752000||178836000|HBAN
2013-06-30|USD|197179000|37645000|||20660000|10362000|25185000||40645000|150651000|-90242000|58281000|-45010000||||41856000|33886000|7970000|0|2100000000||-75198000||165218000||151000000|HBAN
2013-03-31|USD|211909000|38312000|||-71583000|10320000|23942000||66898000|151780000|-515681000|-130346000|154490000||||41656000|33683000|7973000|0|175000000||-33600000||-434118000||153274000|HBAN
2012-12-31|USD|327452000|51630000|||-45628000|11647000|46779000|||167279000|529557000|-391804000|-648712000||||42199000|34216000|7983000|0|1700000000||-83578000||465205000||167279000|HBAN
2012-09-30|USD|113903000|51842000|||87777000|11431000|27385000|||167767000|-108375000|-426515000|40114000||||42267000|34283000|7984000|0|0||-25073000||-420987000||167767000|HBAN
2012-06-30|USD|283505000|55072000|||127241000|11940000|26135000|||152706000|-700881000|524747000|-401987000||||42518000|34469000|8049000|0|0||||107371000||152706000|HBAN
2012-03-31|USD|277270000|73353000|||-40977000|11531000|29342000||54741000|153270000|-803279000|521258000|70606000||||42351000|34648000|7703000|0|0||||-4751000||153270000|HBAN
2011-12-31|USD|208073000|80297000|||-22339000|13175000|41332000||406625000|126858000|-686744000|-595637000|-774236000||||42252000|34549000|7703000|0|350000000||||-1074308000||126858000|HBAN
2011-09-30|USD|196359000|55724000|||81125000|13387000|30604000||424098000|143391000|-543009000|1553044000|176203000||||17501000|9798000|7703000|0|0||||1206394000||143391000|HBAN
2011-06-30|USD|435394000|99280000|||1206635000|13386000|45240000||518283000|145918000|-416637000|-243695000|-56145000||||16330000|8626000|7704000|0|0||||-224938000||145918000|HBAN
2011-03-31|USD|754961000|121911000|||-1811551000|13370000|26587000||581966000|126446000|341684000|-735713000|73843000||||16321000|8618000|7703000|0|0||||360932000||126446000|HBAN
2010-12-31|USD|-25293000|117683000|||-2764982000|15046000|22249000|||122900000|-942268000|676223000|235386000||||39525000|7161000|32364000|886172000|358180000||-14752000||-291338000||122900000|HBAN
2010-09-30|USD|81467000|125852476|||-1993504000|15145000|13830000|||100946000|-1271294000|1203277000|726968000||||32369000|7190000|25179000||||||13450000||100946000|HBAN
2010-06-30|USD|468516000|||||15141000|18888000||46419000|48764000|-437726000|-215654000|52767000||||32282000|7103000|25179000||||||-184864000||48764000|HBAN
