fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-10-27|USD|4233000000|1503000000||390000000|805000000|857000000|818000000|277000000|897000000|3648000000|-814000000|-3476000000|-1183000000|0|0||2234000000|2234000000||21000000|31000000||21000000||||3648000000|HD
2024-07-28|USD|5409000000|2746000000||-1479000000|-1492000000|778000000|719000000|-404000000|-1238000000|4561000000|-18268000000|10259000000|2519000000|0|0||2231000000|2231000000||148000000|0||148000000||||4561000000|HD
2024-04-28|USD|5497000000|870000000||3121000000|2277000000|837000000|847000000|795000000|1452000000|3600000000|-830000000|-4146000000|8000000|649000000|649000000||2229000000|2229000000||62000000|0||-587000000||||3600000000|HD
2024-01-28|USD|4733000000|2965000000||-1875000000|-2924000000|832000000|858000000|-672000000|-2006000000|2801000000|-1581000000|-1520000000|0|1486000000|1486000000||2079000000|2079000000||131000000|1995000000||-1355000000||||2801000000|HD
2023-10-29|USD|4234000000|1527000000||-458000000|-99000000|827000000|671000000|46000000|-380000000|3810000000|-1246000000|-3657000000|0|1511000000|1511000000||2089000000|2089000000||17000000|0||-1494000000||||3810000000|HD
2023-07-30|USD|6591000000|3013000000||-1265000000|-2288000000|795000000|792000000|-401000000|-2208000000|4659000000|-999000000|-4078000000|0|2067000000|2067000000||2097000000|2097000000||160000000|0||-1907000000||1514000000||4659000000|HD
2023-04-30|USD|5614000000|781000000||2162000000|1469000000|793000000|905000000|893000000|457000000|3873000000|-903000000|-6188000000|0|2887000000|2887000000||2118000000|2118000000||15000000|0||-2872000000||-1477000000||3873000000|HD
2023-01-29|USD|4594000000|2833000000||-1146000000|-1607000000|759000000|903000000|-423000000|-918000000|3362000000|-895000000|-3446000000|0|1560000000|1560000000||1933000000|1933000000||118000000|0||-1442000000||253000000||3362000000|HD
2022-10-30|USD|2839000000|1563000000||-2678000000|-568000000|743000000|769000000|17000000|-261000000|4339000000|-784000000|-749000000|-539000000|1174000000|1174000000||1946000000|1946000000||4000000|2985000000||-1170000000||1306000000||4339000000|HD
2022-07-31|USD|3393000000|3142000000||-1725000000|719000000|746000000|743000000|-194000000|783000000|5173000000|-760000000|-4219000000|539000000|1654000000|1654000000||1948000000|1948000000||137000000|0||-1517000000||-1586000000||5173000000|HD
