fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|366000000|159000000||156000000|-42000000|248000000|108000000|-17000000|7000000|60000000|-78000000|-421000000|0||||102000000|102000000|||||||||59000000|IFF
2024-06-30|USD|237000000|268000000||-15000000|-249000000|246000000|82000000|3000000|30000000|172000000|742000000|-1063000000|-250000000||||102000000|102000000|||||-13000000||||170000000|IFF
2024-03-31|USD|99000000|161000000||9000000|256000000|278000000|118000000|290000000|-34000000|61000000|-78000000|40000000|250000000||||207000000|207000000|||||0||||60000000|IFF
2023-12-31|USD|644000000|294000000||474000000|-245000000|287000000|113000000|-129000000|-116000000|-2609000000|-64000000|-558000000|1000000||||220000000|207000000|||||0||||-2610000000|IFF
2023-09-30|USD|420000000|168000000||-79000000|-148000000|292000000|100000000|8000000|-156000000|27000000|86000000|-427000000|0|0|0||206000000|206000000|||0||0||||25000000|IFF
2023-06-30|USD|248000000|371000000||-152000000|-107000000|287000000|115000000|7000000|-114000000|27000000|719000000|-944000000|0|0|0||207000000|207000000|||0||0||23000000||27000000|IFF
2023-03-31|USD|127000000|341000000||-265000000|-156000000|276000000|175000000|63000000|-219000000|-8000000|-167000000|78000000|-100000000|0|0||206000000|206000000|||0||0||38000000||-9000000|IFF
2022-12-31|USD|208000000|212000000||-256000000|-107000000|282000000|160000000|-192000000|85000000|-24000000|-142000000|-142000000|102000000|0|0||206000000|206000000|||0||0||||-25000000|IFF
2022-09-30|USD|240000000|151000000||243000000|181000000|293000000|108000000|-54000000|235000000|-2195000000|1233000000|-1464000000|-349000000|0|0||202000000|202000000|||0||0||58000000||-2197000000|IFF
2022-06-30|USD|-47000000|296000000||-102000000|353000000|301000000|104000000|91000000|262000000|109000000|-225000000|282000000|350000000|0|0||201000000|201000000|||0||0||-39000000||107000000|IFF
2022-03-31|USD|-4000000|172000000||116000000|583000000|303000000|134000000|272000000|311000000|246000000|-121000000|95000000|1000000|0|0||201000000|201000000|||0||7000000||-30000000||244000000|IFF
2021-12-31|USD|311000000|242000000||121000000|88000000|295000000|151000000|-45000000|133000000|92000000|-93000000|-282000000|0|0|0||203000000|201000000|||0||1000000||-79000000|-15000000|90000000|IFF
2021-09-30|USD|428000000|171000000||109000000|109000000|297000000|81000000|9000000|100000000|197000000|45000000|-595000000|-1000000|0|0||192000000|192000000|||0||3000000||197000000|-26000000|194000000|IFF
2021-06-30|USD|340000000|256000000||221000000|507000000|322000000|72000000|30000000|66000000|30000000|-85000000|-212000000|0|0|0||192000000|192000000|||0||2000000||30000000|19000000|28000000|IFF
2021-03-31|USD|358000000|114000000||68000000|-172000000|242000000|93000000|175000000|64000000|-40000000|115000000|-215000000|-104000000|0|0||82000000|82000000|||0||3000000||221000000|-37000000|-42000000|IFF
2020-12-31|USD|299000000|67185000||-5820000|-181603000|81000000|67724000|-33313000|-61000000|66000000|-68000000|-94000000|655000|0|0||82311000|83000000|||0||0||176346000|39000000|67228000|IFF
2020-09-30|USD|207000000|122223000||64836000|2303000|83000000|44037000|-38146000|-24000000|86000000|-42000000|-203000000|345000|0|0||80173000|80000000|||200000000||0||86231000|10000000|85000000|IFF
2020-06-30|USD|191000000|65105000||148725000|116249000|80000000|31739000|-853000|66000000|88000000|-34000000|-108000000|-1000000|0|0||80062000|80000000|||0||0||87366000|15000000|87000000|IFF
2020-03-31|USD|17000000|94273000||-105666000|91397000|81000000|48294000|133291000|1000000|127000000|-43000000|-107000000|0|0|0||80038000|80000000|||0||0||-175561000|-43000000|124000000|IFF
2019-12-31|USD|315965000|63615000||74023000|-95810000|87571000|81599000|-82433000|-22140000|80110000|-68158000|-139192000|-1011000|0|0||80033000|80523000|||0||0||119891000|10853000|83543000|IFF
2019-09-30|USD|198119000|105285000||-30783000|-23611000|80615000|41355000|-64233000|12595000|129807000|-11604000|-131375000|3000|0|0||77899000|77899000|||0||0||129807000|-5906000|127124000|IFF
2019-06-30|USD|137684000|93646000||33691000|98013000|73039000|61485000|31176000|46826000|138869000|-55939000|-122254000|-2887000|0|0||77799000|77799000|||0||0||137039000|-1800000|136377000|IFF
2019-03-31|USD|47232000|85788000||-46196000|90632000|81775000|57609000|55935000|24719000|111214000|-90299000|-112179000|2895000|0|0||77779000|77779000|||0||200000||-151393000|3853000|108829000|IFF
2018-12-31|USD|235617000|61623000||79365000|-60682000|77798000|70999000|-43240000|24936000|15500000|-4910948000|49608000|-113410000|0|0||66900000|66900000|||330328000||0||-4625937000|-214000|15500000|IFF
2018-09-30|USD|146789000|52335000||-7660000|13977000|31026000|35000000|-6765000|24765000|95716000|-32820000|4845632000|2224000|0|0||54494000|54494000|||2926414000||0||4952036000|-7565000|95716000|IFF
2018-06-30|USD|66564000|92632000||52655000|116002000|31584000|34316000|38662000|37755000|99685000|-34228000|-9922000|56571000|4858000|4858000||54404000|54404000|||0||-4858000||17147000|-5267000|99149000|IFF
2018-03-31|USD|-11395000|49562000||-65273000|117521000|33384000|33105000|61301000|30185000|130136000|-35239000|-14615000|53688000|10617000|10617000||54420000|54420000|||0||-10617000||-62770000|-1521000|129416000|IFF
2017-12-31|USD|191267000|49268000||139368000|6718000|32521000|51655000|-26094000|25122000|-40155000|-36750000|-100054000|-40497000|4858000|4858000||54440000|54440000|||0||-4858000||52044000|-2419000|-40155000|IFF
2017-09-30|USD|141568000|48524000||25807000|21109000|29641000|31165000|17365000|-10439000|110261000|-31153000|-286115000|14403000|0|0||50494000|50494000|||0||0||-175384000|316000|110261000|IFF
2017-06-30|USD|39426000|42363000||-20711000|31850000|29003000|19491000|16722000|4119000|109795000|-69839000|226678000|-78886000|15599000|15599000||50507000|50507000|||498250000||-15270000||191319000|-4946000|109795000|IFF
2017-03-31|USD|18495000|61973000||-53469000|31951000|26802000|26662000|60858000|109000|115764000|-162188000|116933000|100481000|37612000|37612000||50677000|50677000|||0||-37612000||-23925000|2835000|115764000|IFF
2016-12-31|USD|208302000|35407000||59611000|-37851000|27360000|56233000|-14526000|-15612000|80135000|-289228000|-87718000|-2750000|33295000|33295000||50846000|50846000|||0||-33076000||-174738000|-6094000|79917000|IFF
2016-09-30|USD|169541000|52214000||34524000|-32593000|25366000|26943000|-34291000|-7111000|89777000|-25988000|-182088000|9818000|22434000|22434000||44588000|44588000|||0||-22334000||-41262000|-2727000|89777000|IFF
2016-06-30|USD|132353000|65177000||-8932000|21579000|23046000|20724000|9706000|10527000|116733000|-19101000|-95572000|-13540000|31707000|31707000||44637000|44637000|||0||-31376000||11115000|-6565000|116733000|IFF
2016-03-31|USD|39943000|52023000||-30517000|57399000|26697000|22512000|60655000|-3256000|118603000|-21146000|330951000|-124602000|40007000|40007000||44826000|44826000|||555559000||-39844000||346889000|-2859000|118603000|IFF
2015-12-31|USD|172620000|42228000||25712000|-10878000|24498000|34398000|-16851000|5973000|79167000|-31089000|-231911000|-111962000|40956000|40956000||44995000|44995000|||-279998000||-40358000||-90288000|92000|79167000|IFF
2015-09-30|USD|128377000|47772000||47838000|38055000|24058000|28695000|16234000|21821000|106447000|-331093000|113845000|280281000|42424000|42424000||37948000|37948000|||193836000||-42422000||-104978000|-16107000|106447000|IFF
2015-06-30|USD|134842000|33012000||37920000|52444000|21056000|18556000|29438000|23006000|105374000|-197043000|-7425000|-30548000|28153000|28153000||37956000|37956000|||86162000||-28094000||-66435000|3191000|105374000|IFF
2015-03-31|USD|31476000|94379000||-10472000|49719000|19985000|19381000|62891000|-13172000|128258000|-17931000|-39542000|265000|10660000|10660000||37971000|37971000|||0||-10433000||-34884000|-8887000|128258000|IFF
2014-12-31|USD|200887000|48779000||-17217000|-32369000|20676000|45362000|-45294000|18433000|90135000|-40797000|-74208000|-594000|35750000|35750000||38126000|38126000|||-491000||-35247000||73737000|-12145000|90135000|IFF
