fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|1878200000|180200000||69400000|-52700000|123600000|35300000|27200000|-79900000|231900000|-234900000|-75200000||62500000|62500000||8100000|8100000|||0||-58600000||||229800000|IR
2024-09-30|USD|404000000|3900000||26500000|-13700000|95000000|29700000|9800000|-23500000|223400000|-38700000|-79300000||62700000|62700000||8100000|8100000|||0||-57100000||||221600000|IR
2024-06-30|USD|304900000|8900000||-13800000|2000000|91200000|21800000|-3400000|5400000|186500000|-2628500000|1941600000||62600000|62600000||8000000|8000000|||0||-51100000||||185000000|IR
2024-03-31|USD|161600000|62500000||-103300000|69700000|117200000|62300000|11500000|58200000|204500000|-205600000|-79600000||72900000|72900000||8100000|8100000|||0||-61700000||||202200000|IR
2023-12-31|USD|1572300000|74800000||129600000|-120900000|117600000|29600000|-13600000|-107300000|231500000|-68800000|-143700000||130100000|130100000||8100000|8100000|||0||-121700000||||229800000|IR
2023-09-30|USD|397300000|2600000||15000000|-40100000|92200000|28600000|-500000|-39600000|209600000|-336300000|-28100000||100000|100000||8100000|8100000|||0||6200000||||208300000|IR
2023-06-30|USD|228400000|7200000||-59600000|-36700000|89700000|24800000|-21000000|-15700000|180800000|-73900000|-76400000||55800000|55800000||8100000|8100000|||0||-49400000||-9200000||179500000|IR
2023-03-31|USD|170300000|39700000||-14100000|129000000|114000000|22400000|83700000|45300000|163200000|-581500000|-89300000||77000000|77000000||8100000|8100000|||0||-67800000||-541700000||161100000|IR
2022-12-31|USD|1133600000|87500000||55000000|500000|104800000|33500000|35100000|-34600000|218700000|-217800000|-19200000||3300000|3300000||8100000|8100000|||0||1300000||106500000||217400000|IR
2022-09-30|USD|175100000|3900000||108500000|120900000|93800000|21800000|51900000|69000000|146000000|-49600000|-20000000||4100000|4100000||8100000|8100000|||0||2200000||31700000||145100000|IR
2022-06-30|USD|136000000|3300000||54900000|132300000|83600000|21400000|40500000|91800000|139300000|-17300000|-798700000||152600000|152600000||8000000|8000000|||0||-148800000||-220700000||138500000|IR
2022-03-31|USD|-14300000|22000000||3200000|167100000|108500000|17900000|67700000|99400000|104500000|-48200000|-116100000||101100000|101100000||8200000|8200000|||0||-96500000||-182700000||103700000|IR
2021-12-31|USD|-6600000|71500000||-56300000|26500000|111800000|22900000|18700000|7800000|293700000|-147200000|-14800000||300000|300000||8200000|8200000|||0||3400000||-6600000|-7200000|293000000|IR
2021-09-30|USD|123800000|3000000||-129200000|16700000|80300000|15300000|-29200000|45900000|126800000|-610100000|-1132100000||733300000|733300000||145000000|0|||0||-726100000||123800000|-10100000|126000000|IR
2021-06-30|USD|230400000|4200000||60400000|44000000|80300000|11600000|26200000|30700000|234600000|1879800000|-2300000||200000|200000||148100000|0|||0||7500000||230400000|15000000|233900000|IR
2021-03-31|USD|-52900000|27500000||23300000|109700000|119000000|14300000|46800000|50000000|-90100000|-208200000|-7800000||3000000|3000000||143700000|0|||0||2100000||-269500000|-43400000|-90400000|IR
2020-12-31|USD|411800000|98000000||110800000|-67800000|52900000|12900000|-6900000|-68700000|151100000|-15400000|10800000||700000|700000||905900000|905900000|||0||9300000||407200000|56900000|151600000|IR
2020-09-30|USD|186700000|12300000||-112100000|-99600000|114200000|6400000|19100000|-98800000|29900000|-39800000|-19000000||100000|100000||127000000|127000000|||0||5800000||29900000|26500000|29500000|IR
