fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|338499000|93586000||-54394000|-18441000|187982000|175383000|11257000||152066000|-72446000|-199556000|48100000|199998000|199998000||43686000|43686000|||||-199998000||||152066000|JBHT
2024-06-30|USD|360554000|186219000||24529000|-89752000|184659000|262313000|-20451000||135873000|-242671000|-128563000|116900000|203145000|203145000||44009000|44009000|||||-203145000||||135873000|JBHT
2024-03-31|USD|466467000|34345000||-95499000|-154818000|182996000|203387000|-62797000||127493000|-162397000|-293229000|40000000|25140000|25140000||44418000|44418000|||||-25140000||||127493000|JBHT
2023-12-31|USD|215006000|135812000||-32315000|169911000|194456000|303844000|-35062000|-38955000|153535000|-280310000|43450000|130000000|24540000|24540000||43354000|43354000|||||-24540000||||153535000|JBHT
2023-09-30|USD|432322000|85086000||-38441000|-48194000|187714000|499617000|17445000|-19730000|187431000|-551127000|-101926000|0|51101000|51101000||43432000|43432000|||0||-51101000||||187431000|JBHT
2023-06-30|USD|609669000|54216000||33202000|-143750000|179972000|597656000|-96653000|58685000|189552000|-473947000|107603000|203200000|53086000|53086000||43528000|43528000|||0||-53086000||243325000||189552000|JBHT
2023-03-31|USD|487621000|32032000||-186559000|-198065000|175812000|461314000|-145179000||197768000|-379831000|-107113000|-20700000|30849000|30849000||43584000|43584000|||0||-30849000||677000||197768000|JBHT
2022-12-31|USD|421476000|128862000||-22114000|-11977000|171606000|452915000|-198375000||201303000|-413941000|-39942000|17500000|0|0||41496000|41496000|||0||0||-32407000||201303000|JBHT
2022-09-30|USD|570879000|72022000||-30567000|-91471000|166580000|420139000|-50618000||269382000|-451096000|-159290000|0|60690000|60690000||41554000|41554000|||0||-60690000||-39507000||269382000|JBHT
2022-06-30|USD|492742000|89849000||36990000|4104000|157571000|358404000|30023000||255342000|-308968000|-204462000|0|164322000|164322000||41734000|41734000|||0||-164322000||-20688000||255342000|JBHT
2022-03-31|USD|291785000|43127000||34570000|197186000|148763000|309338000|232920000||243325000|-376065000|-126740000|0|75018000|75018000||41940000|41940000|||0||-75018000||-211020000||243325000|JBHT
2021-12-31|USD|254049000|123621000||47771000|210676000|141254000|374846000|63671000|-137893000|242209000|-365864000|-62231000|0|14803000|14803000||31551000|31551000|||0||-14803000||-174046000||242209000|JBHT
2021-09-30|USD|301101000|69926000||23621000|102928000|138923000|265990000|149024000|17354000|199829000|-250355000|-92069000|505000|50337000|50337000||31590000|31590000|||0||-50337000||199829000||199829000|JBHT
2021-06-30|USD|304090000|91587000||29787000|35490000|139371000|197952000|74762000|63066000|172162000|-174949000|-111193000|506000|81341000|81341000||31704000|31704000|||0||-81341000||172162000||172162000|JBHT
2021-03-31|USD|364658000|25122000||57319000|48374000|137545000|108775000|94759000|60424000|146606000|-85850000|-39140000|505000|5239000|5239000||29597000|29597000|||0||-5239000||239668000||146606000|JBHT
2020-12-31|USD|211865000|87913000||-70231000|25710000|134589000|178782000|-238000|-3830000|207691000|-164285000|-52827000|506000|17355000|17355000||28526000|28526000|||0||-17355000||207691000||154007000|JBHT
2020-09-30|USD|271044000|44502000||114976000|136833000|132393000|217454000|171189000|72991000|125496000|-184146000|-43003000|505000|0|0||28533000|28533000|||0||0||125496000||125496000|JBHT
2020-06-30|USD|390787000|38244000||39401000|-61227000|130298000|175495000|-27644000|57066000|121698000|-135818000|-28769000|506000|0|0||28487000|28487000|||0||0||226200000||121698000|JBHT
2020-03-31|USD|249163000|22846000||-28768000|26480000|130095000|166814000|-33549000|-83405000|104834000|-128708000|-107001000|507000|75193000|75193000||28688000|28688000|||0||-75193000||13454000||104834000|JBHT
2019-12-31|USD|160752000|54353000||-164114000|-19400000|128417000|131744000|-40731000|-35540000|205074000|-119046000|-81838000|508000|49977000|49977000||27730000|27730000|||0||-49977000||-40132000||144676000|JBHT
2019-09-30|USD|330934000|12100000||5413000|-28826000|126804000|167240000|10933000|13609000|118410000|-110997000|-151680000|-77593000|35946000|35946000||27809000|27809000|||0||-35946000||68257000||118410000|JBHT
2019-06-30|USD|355920000|10900000||47314000|6579000|123994000|297473000|37597000|30992000|133633000|-263215000|-138193000|78581000|189734000|189734000||28006000|28006000|||0||0||-45488000||133633000|JBHT
2019-03-31|USD|250741000|26126000||-54028000|-3688000|119930000|257658000|-58109000|-94124000|119601000|-310704000|104726000|-314482000|0|0||28272000|28272000|||700000000||0||44763000||119601000|JBHT
2018-12-31|USD|310238000|10910000||49424000|-33160000|114086000|319553000|-43940000|17864000|122740000|-300518000|-9707000|68353000|50311000|50311000||26209000|26209000|||0||-50311000||13000||88681000|JBHT
2018-09-30|USD|248570000|66024000||56074000|44676000|108801000|264353000|76016000|43873000|131110000|-230831000|-25343000|69734000|50000000|50000000||26202000|26202000|||0||-50000000||-7604000||131110000|JBHT
2018-06-30|USD|267415000|33186000||60412000|96223000|107423000|205636000|118719000|38542000|151652000|-176080000|-83226000|-7908000|0|0||26242000|26242000|||0||0||8109000||151652000|JBHT
2018-03-31|USD|261618000|13603000||13521000|29325000|105583000|206108000|-19864000|-25018000|118142000|-179344000|-89804000|-63364000|0|0||26341000|26341000|||0||0||-7530000||118142000|JBHT
2017-12-31|USD|226604000|7614000||17948000|41447000|102320000|198710000|52679000|36062000|455014000|-195173000|-24526000|764000|0|0||25242000|25242000|||0||0||6905000||385308000|JBHT
2017-09-30|USD|185102000|74759000||83205000|98722000|95960000|151558000|109678000|10982000|100385000|-287553000|102884000|146863000|0|0||25243000|25243000|||0||0||433000||100385000|JBHT
2017-06-30|USD|157814000|125552000||38410000|29398000|93049000|77885000|41609000|17690000|97869000|-74082000|-88719000|-14337000|50052000|50052000||25275000|25275000|||0||-50052000||-4987000||97869000|JBHT
2017-03-31|USD|285633000|11643000||-29137000|-72918000|92189000|98775000|-37855000|29917000|102702000|-94474000|-185275000|-29636000|129761000|129761000||25602000|25602000|||0||-129761000||5884000||102702000|JBHT
2016-12-31|USD|170180000|28017000||-15256000|90010000|91793000|139517000|-11942000|-115697000|194361000|-126617000|-42667000|56363000|75000000|75000000||24513000|24513000|||0||-75000000||896000||117556000|JBHT
2016-09-30|USD|209825000|78523000||48118000|25883000|91001000|147406000|48752000|14041000|109425000|-100806000|-114815000|-3790000|74760000|74760000||24879000|24879000|||0||-74760000||-5796000||109425000|JBHT
2016-06-30|USD|169242000|50051000||-27186000|37613000|90364000|194721000|52930000|26420000|105011000|-143505000|-20452000|3157000|0|0||24788000|24788000|||0||0||5285000||105011000|JBHT
2016-03-31|USD|304896000|11843000||49953000|4589000|88352000|156786000|31254000|38470000|100098000|-114460000|-190010000|-64668000|100000000|100000000||24810000|24810000|||0||-100000000||426000||100098000|JBHT
2015-12-31|USD|176348000|61427000||-19794000|36470000|88374000|163348000|-16856000|-50504000|192893000|-125777000|-50547000|25249000|50048000|50048000||24069000|24069000|||0||-50048000||24000||116746000|JBHT
2015-09-30|USD|243423000|60871000||12513000|-14470000|86201000|180093000|6157000|25423000|115139000|-131412000|-112055000|288000|177870000|177870000||24350000|24350000|||0||-177870000||-44000||115139000|JBHT
2015-06-30|USD|197994000|53827000||16139000|24783000|83660000|201523000|34069000|8693000|103419000|-157999000|-40056000|12106000|28003000|28003000||24477000|24477000|||0||-28003000||-61000||103419000|JBHT
2015-03-31|USD|255543000|14424000||-10847000|-28301000|81378000|180158000|-22623000|-4434000|91932000|-161344000|-94513000|-65309000|6354000|6354000||24468000|24468000|||0||-6354000||-314000||91932000|JBHT
2014-12-31|USD|160414000|57889000||-14318000|41416000|78387000|208745000|-17503000|-40145000|182905000|-180477000|20165000|94978000|50000000|50000000||23437000|23437000|||0||-50000000||102000||110306000|JBHT
2014-09-30|USD|185364000|55592000||-13028000|-7000|75416000|161811000|3678000||102414000|-126361000|-59014000|-27992000|0|0||23420000|23420000|||0||0||-11000||102414000|JBHT
2014-06-30|USD|141956000|93694000||29202000|15327000|71726000|239749000|32509000|38738000|93408000|-194631000|-65667000|123590000|0|0||23297000|23297000|||0||0||-118342000||93408000|JBHT
2014-03-31|USD|159045000|12465000||26163000|58333000|68967000|198264000|66592000|8210000|68664000|-158212000|117548000|-209132000|0|0||23450000|23450000|||499642000||0||118381000||68664000|JBHT
2013-12-31|USD|163123000|31772000||-9286000|-23327000|66076000|120867000|-16395000|-18166000|153533000|-108882000|-54378000|14262000|50000000|50000000||17585000|17585000|||0||-40808000||-137000||91864000|JBHT
2013-09-30|USD|117657000|31149000||-64647000|-1613000|64291000|134070000|5271000||89472000|-121966000|4354000|71214000|0|0||17671000|17671000|||0||-14827000||45000||89472000|JBHT
2013-06-30|USD|86812000|90876000||-363000|170114000|62283000|112957000|176954000|32341000|87697000|-96623000|9987000|80057000|0|65000000||17555000|17555000|||0||-65000000||176000||87697000|JBHT
2013-03-31|USD|206759000|12893000|1066000|88153000|-67488000|60730000|125537000|-63322000|-21851000|73349000|-115070000|-91531000|-42957000|0|-277000||||||0||360000||158000||73349000|JBHT
2012-12-31|USD|130705000|33158000|1802000|-38809000|-110501000|59046000|109896000|-147305000|18887000|143335000|-90187000|-40588000|40453000|0|0||34106000|34106000|||0||-46326000||-70000||83977000|JBHT
2012-09-30|USD|156760000|37159000|9376000|23609000|119759000|57773000|114850000|153371000|-125000|78241000|-108551000|-48437000|17479000|0|0||16545000|16545000|||0||-8747000||-228000||78241000|JBHT
2012-06-30|USD|114307000|75127000|6776000|9664000|-7442000|56227000|102029000|-24371000|13351000|80451000|-87090000|-27043000|-21280000|0|0||16394000|16394000|||0||3855000||174000||80451000|JBHT
2012-03-31|USD|146272000|13722000|2136000|22807000|-40379000|56120000|112719000|-36227000|-29687000|67684000|-83766000|-62243000|-49211000|0|0||16386000|16386000|||0||1218000||263000||67684000|JBHT
2011-12-31|USD|147483000|3061000|2092000|-13233000|100234000|55631000|136359000|13155000|27010000|122287000|-121613000|-28167000|-16511000|0|0||15192000|15192000|||0||1444000||-2297000||72565000|JBHT
