fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|665000000|||-377000000|-98000000|193000000|116000000|-284000000|15000000|451000000|-115000000|201000000|12000000|330000000|330000000||245000000|245000000|||775000000||-330000000||||419000000|JCI
2024-09-30|USD|3632000000|723000000||39000000|-495000000|129000000|170000000|-226000000|-198000000|678000000|89000000|-1758000000|-631000000|370000000|370000000||126000000|247000000|||0||-370000000||||633000000|JCI
2024-06-30|USD|1021000000|8000000||71000000|440000000|220000000|99000000|104000000|-13000000|1052000000|-99000000|-999000000|-840000000|402000000|402000000||319000000|249000000|||859000000||-402000000||||975000000|JCI
2024-03-31|USD|-203000000|7000000||692000000|758000000|236000000|133000000|720000000|25000000|-234000000|-137000000|-551000000|411000000|474000000|474000000||303000000|252000000|||0||0||||-277000000|JCI
2023-12-31|USD|-246000000|6000000||-423000000|333000000|208000000|82000000|-61000000|106000000|404000000|-74000000|1228000000|1108000000|0|0||252000000|252000000|||422000000||0||||374000000|JCI
2023-09-30|USD|-156000000|690000000||69000000|-799000000|227000000|173000000|-499000000|-302000000|581000000|-608000000|-1063000000|197000000|12000000|12000000||251000000|251000000|||0||30000000||||549000000|JCI
2023-06-30|USD|813000000|12000000||-197000000|242000000|212000000|111000000|307000000|-110000000|1122000000|-262000000|-1373000000|-1536000000|366000000|366000000||325000000|248000000|||855000000||-366000000||-822000000||1049000000|JCI
2023-03-31|USD|314000000|9000000||173000000|518000000|206000000|121000000|272000000|145000000|174000000|-125000000|253000000|1021000000|93000000|93000000||312000000|240000000|||162000000||-93000000||442000000||133000000|JCI
2022-12-31|USD|-296000000|17000000||-285000000|504000000|203000000|134000000|88000000|348000000|156000000|-189000000|9000000|267000000|154000000|154000000||241000000|241000000|||154000000||-154000000||-476000000||118000000|JCI
2022-09-30|USD|2221000000|606000000||6000000|-112000000|197000000|162000000|-210000000|12000000|809000000|-105000000|-545000000|-1314000000|14000000|14000000||242000000|242000000|||683000000||-12000000||529000000||761000000|JCI
