fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|1388000000|||-375000000|-421000000|234000000|247000000|56000000|-386000000|2132000000|-174000000|-962000000||450000000|450000000||479000000|479000000|||0||-442000000||||2131000000|KHC
2024-09-30|USD|1083000000|||159000000|276000000|245000000|234000000|-30000000|291000000|-290000000|-217000000|-481000000||1000000|1000000||483000000|483000000|||1000000||-1000000||||-290000000|KHC
2024-06-30|USD|942000000|4000000||-81000000|95000000|239000000|389000000|-32000000|45000000|100000000|-345000000|-1326000000||208000000|208000000||483000000|483000000|||0||-208000000||||102000000|KHC
2024-03-31|USD|771000000|5000000||-109000000|233000000|230000000|294000000|145000000|56000000|804000000|-287000000|-239000000||329000000|329000000||486000000|486000000|||593000000||-329000000||||801000000|KHC
2023-12-31|USD|1356000000|1061000000||-159000000|-205000000|251000000|234000000|-34000000|-171000000|757000000|-178000000|-862000000||0|0||491000000|491000000|||0||0||||757000000|KHC
2023-09-30|USD|1036000000|7000000||-367000000|-194000000|274000000|271000000|-98000000|45000000|254000000|-263000000|-629000000|0|0|0||492000000|492000000|||0||0||||262000000|KHC
2023-06-30|USD|1098000000|5000000||-331000000|-262000000|216000000|242000000|-37000000|-174000000|998000000|-211000000|-748000000|0|0|0||491000000|491000000|||0||0||139000000||1000000000|KHC
2023-03-31|USD|486000000|6000000||0|610000000|220000000|266000000|151000000|406000000|837000000|-264000000|-439000000||22000000|22000000||491000000|491000000|||0||-22000000||-217000000||836000000|KHC
2022-12-31|USD|952000000|1127000000||237000000|292000000|248000000|284000000|20000000|94000000|887000000|-53000000|-903000000|0||||490000000|490000000|||0||0||-4000000||890000000|KHC
2022-09-30|USD|729000000|3000000||66000000|311000000|229000000|197000000|-14000000|259000000|435000000|-117000000|-1089000000|0||||490000000|490000000|||0||||435000000||432000000|KHC
2022-06-30|USD|302000000|4000000||-247000000|464000000|236000000|221000000|99000000|386000000|265000000|-452000000|-1237000000|||||490000000|490000000|||0||||265000000||265000000|KHC
2022-03-31|USD|486000000|7000000||124000000|596000000|220000000|214000000|123000000|382000000|781000000|-469000000|-485000000|||||490000000|490000000|||||||-468000000||776000000|KHC
2021-12-31|USD|2916000000|1387000000||501000000|-179000000|233000000|250000000|5000000|-120000000|-255000000|1294000000|-3011000000|||||490000000|490000000|||0||0||-2480000000||-257000000|KHC
2021-09-30|USD|419000000|7000000||-612000000|36000000|228000000|224000000|-30000000|37000000|736000000|-283000000|-1778000000|||||490000000|490000000|||0||||736000000||733000000|KHC
2021-06-30|USD|1219000000|5000000||847000000|43000000|227000000|204000000|-96000000|126000000|-25000000|3243000000|-2912000000|||||490000000|490000000|||0||||-25000000||-27000000|KHC
2021-03-31|USD|810000000|9000000||-241000000|189000000|222000000|227000000|34000000|101000000|568000000|-216000000|-1643000000|||||489000000|489000000|||||||-1049000000||563000000|KHC
2020-12-31|USD|1603000000|1491000000||149000000|-230000000|247000000|199000000|20000000|-192000000|1034000000|-160000000|-822000000|0||||491000000|491000000|||||0||1034000000||1032000000|KHC
2020-09-30|USD|1110000000|5000000||-36000000|82000000|232000000|139000000|-54000000|239000000|598000000|-125000000|-1072000000|0||||490000000|490000000|||||||598000000||597000000|KHC
2020-06-30|USD|2004000000|6000000||541000000|-403000000|247000000|127000000|-363000000|-29000000|-1652000000|-115000000|-4542000000|-4000000000||||489000000|489000000|||||||-1652000000||-1651000000|KHC
2020-03-31|USD|212000000|9000000||39000000|797000000|243000000|131000000|423000000|231000000|381000000|-122000000|3105000000|4000000000||||488000000|488000000|||||0||3195000000||378000000|KHC
