fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|780000000|||73000000|-482000000|324000000|78000000|-188000000|-40000000|404000000|-93000000|-709000000|-924000000|190000000|190000000||220000000|220000000|||0||-79000000||||400000000|LHX
2024-06-30|USD|754000000|47000000||-23000000|2000000|536000000|97000000|32000000|-27000000|367000000|58000000|-744000000|-101000000|89000000|89000000||221000000|221000000|||0||-124000000||||366000000|LHX
2024-03-31|USD|-104000000|13000000||-331000000|455000000|103000000|115000000|-7000000|21000000|285000000|-116000000|144000000|601000000|233000000|233000000||224000000|224000000|||0||-198000000||||283000000|LHX
2023-12-31|USD|789000000|||130000000|-168000000|896000000|137000000|-71000000|-13000000|126000000|-83000000|-660000000|-432000000|0|0||216000000|216000000|||0||6000000||||158000000|LHX
2023-09-30|USD|543000000|||-128000000|-31000000|102000000|148000000|-158000000|96000000|382000000|-4864000000|4460000000|1452000000|0|0||216000000|216000000|||0||5000000||||383000000|LHX
2023-06-30|USD|414000000|||95000000|211000000|83000000|93000000|153000000|13000000|351000000|-26000000|-567000000|579000000|122000000|122000000||216000000|216000000|||0||-120000000||||349000000|LHX
2023-03-31|USD|350000000|||135000000|462000000|85000000|71000000|-48000000|86000000|339000000|-2048000000|1361000000|0|396000000|396000000||220000000|220000000|||0||-385000000||||337000000|LHX
2022-12-31|USD|782000000|||-11000000|91000000|695000000|71000000|117000000|-47000000|417000000|-62000000|-385000000||183000000|183000000||214000000|214000000|||4000000||-166000000||||416000000|LHX
2022-09-30|USD|588000000|||317000000|264000000|81000000|64000000|-53000000|98000000|-301000000|-67000000|-392000000||171000000|171000000||215000000|215000000|||0||-165000000||||-300000000|LHX
2022-06-30|USD|749000000|||-6000000|98000000|82000000|62000000|-93000000|151000000|470000000|-57000000|-661000000||421000000|421000000||217000000|217000000|||0||-417000000||||471000000|LHX
2022-03-31|USD|39000000|||-225000000|627000000|80000000|55000000|239000000|108000000|475000000|-64000000|-513000000||308000000|308000000||218000000|218000000|||0||-278000000||||475000000|LHX
2021-12-31|USD|822000000|||305000000|132000000|719000000|135000000|16000000|-40000000|484000000|-6000000|-1000000000||800000000|800000000||199000000|199000000|||0||-797000000||||484000000|LHX
2021-09-30|USD|484000000|||196000000|128000000|84000000|79000000|-171000000|154000000|479000000|93000000|-1476000000||1325000000|1325000000||202000000|202000000|||||-1269000000||||481000000|LHX
2021-06-30|USD|720000000|||149000000|397000000|80000000|61000000|151000000|15000000|413000000|1368000000|-1037000000||850000000|850000000||207000000|207000000|||||-822000000||||413000000|LHX
2021-03-31|USD|661000000|||-66000000|105000000|84000000|67000000|-213000000|-61000000|466000000|-61000000|-900000000||700000000|700000000||209000000|209000000|||||-690000000||-300000000||468000000|LHX
2020-12-31|USD|698000000|||325000000|452000000|249000000|174000000|215000000|79000000|184000000|-47000000|-739000000||440000000|440000000||179000000|179000000|||0||-423000000||1389000000||193000000|LHX
2020-09-30|USD|757000000|||106000000|144000000|262000000|86000000|-24000000|36000000|430000000|-47000000|-1331000000||1150000000|1150000000||179000000|179000000|||||-1148000000||430000000||426000000|LHX
2020-06-30|USD|802000000|||-291000000|-395000000|287000000|60000000|-105000000|-135000000|278000000|903000000|-430000000||0|0||184000000|184000000|||||4000000||278000000||283000000|LHX
2020-03-31|USD|533000000|||131000000|263000000|234000000|48000000|164000000|-40000000|194000000|-58000000|-612000000||700000000|700000000||183000000|183000000|||||-667000000||194000000||217000000|LHX
2019-12-31|USD|858000000|215000000||-341000000|-251000000|363000000|89000000|-43000000|-83000000|399000000|-94000000|-957000000||750000000|750000000||160000000|160000000|||||-736000000||-193000000||393000000|LHX
2019-09-30|USD|81000000|83000000||37000000|4000000|79000000|84000000|-31000000|-75000000|435000000|1414000000|-1014000000||750000000|750000000||177000000|177000000|||||-655000000||481000000||429000000|LHX
2019-06-30|USD|311000000|||-6000000|-73000000|156000000|57000000|22000000|-21000000|268000000|-55000000|-59000000||0|0||81000000|81000000|||||26000000||196000000|-1000000|268000000|LHX
2019-03-31|USD|405000000|||63000000|19000000|34000000|37000000|-41000000|8000000|243000000|-37000000|-380000000||0|0||81000000|81000000|||||6000000||-9000000|3000000|243000000|LHX
2018-12-31|USD|352000000|||109000000|32000000|33000000|36000000|62000000|11000000|225000000|-36000000|-273000000||0|0||81000000|81000000|||||3000000||38000000|-5000000|225000000|LHX
2018-09-30|USD|117000000|||-103000000|57000000|35000000|31000000|-34000000|3000000|213000000|-31000000|-69000000||200000000|200000000||82000000|82000000|||||-185000000||17000000|0|213000000|LHX
