fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|670000000|||-590000000|-93000000|381000000|368000000|-191000000|98000000|573000000|-483000000|-484000000|0|42000000|42000000||437000000|437000000|||0||-42000000||||573000000|LYB
2024-06-30|USD|1348000000|||177000000|114000000|387000000|484000000|-113000000|227000000|924000000|-313000000|-481000000|0|75000000|75000000||438000000|438000000|||0||0||||924000000|LYB
2024-03-31|USD|-114000000|||196000000|825000000|365000000|483000000|717000000|108000000|473000000|-510000000|-412000000|0|0|0||408000000|408000000|||744000000||0||||473000000|LYB
2023-12-31|USD|1504000000|||110000000|-606000000|380000000|484000000|-392000000|-214000000|185000000|-606000000|-405000000|0|0|0||406000000|406000000|||0||0||||-384000000|LYB
2023-09-30|USD|1666000000|||95000000|-63000000|367000000|394000000|90000000|-153000000|747000000|-429000000|-844000000|0|41000000|41000000||407000000|407000000||0|0||-41000000||||747000000|LYB
2023-06-30|USD|1290000000|||-104000000|-57000000|391000000|301000000|-87000000|30000000|715000000|-371000000|-224000000|-200000000|100000000|100000000||408000000|408000000||0|0||-100000000||695000000||715000000|LYB
2023-03-31|USD|482000000|||40000000|598000000|396000000|352000000|279000000|319000000|474000000|-371000000|-477000000|0|70000000|70000000||389000000|389000000||0|0||-70000000||-366000000||474000000|LYB
2022-12-31|USD|1604000000|||-664000000|-1381000000|334000000|473000000|-871000000|-510000000|353000000|-544000000|-478000000|-100000000|0|0||387000000|387000000||0|0||0||582000000||353000000|LYB
2022-09-30|USD|1414000000|||-550000000|-777000000|318000000|439000000|-963000000|186000000|572000000|-399000000|-537000000|-9000000|158000000|158000000||395000000|395000000||0|0||-158000000||478000000||572000000|LYB
2022-06-30|USD|1599000000|||26000000|498000000|304000000|532000000|200000000|298000000|1644000000|-578000000|-1679000000|274000000|45000000|45000000||2093000000|2093000000||0|0||-45000000||-642000000||1644000000|LYB
2022-03-31|USD|1502000000|||724000000|746000000|311000000|446000000|629000000|117000000|1320000000|-456000000|-713000000|-169000000|217000000|217000000||371000000|371000000||0|0||-217000000||317000000|-16000000|1320000000|LYB
2021-12-31|USD|3079000000||870000000|162000000|-395000000|377000000|674000000|-396000000|1000000|726000000|-705000000|-2758000000|-193000000|385000000|385000000||376000000|376000000||0|0||-385000000||870000000|-37000000|726000000|LYB
2021-09-30|USD|2143000000|||657000000|613000000|351000000|514000000|413000000|200000000|1762000000|-435000000|-1157000000|-103000000|78000000|78000000||380000000|380000000||0|0||0||1654000000|-36000000|1762000000|LYB
2021-06-30|USD|1902000000|||155000000|1090000000|330000000|431000000|909000000|181000000|2059000000|-303000000|-1688000000|0|0|0||378000000|378000000||0|0||0||2175000000|9000000|2059000000|LYB
2021-03-31|USD|571000000|||327000000|953000000|335000000|340000000|593000000|360000000|1070000000|-59000000|-782000000|0|0|0||352000000|352000000||0|0||0||-302000000|-32000000|1070000000|LYB
2020-12-31|USD|743000000|||307000000|510000000|329000000|274000000|398000000|112000000|855000000|-2599000000|1079000000|43000000|0|0||352000000|352000000||0|3886000000||0||878000000|58000000|855000000|LYB
2020-09-30|USD|827000000|||395000000|346000000|358000000|425000000|335000000|11000000|114000000|-580000000|-376000000|-22000000|0|0||352000000|352000000||0|0||0||562000000|35000000|114000000|LYB
2020-06-30|USD|1292000000|||-250000000|-825000000|356000000|588000000|-483000000|-342000000|314000000|-1064000000|684000000|-783000000|0|0||350000000|350000000||0|1992000000||0||670000000|33000000|314000000|LYB
2020-03-31|USD|542000000|||-235000000|-125000000|342000000|660000000|-4000000|-121000000|144000000|-663000000|884000000|1016000000|4000000|4000000||351000000|351000000||0|500000000||-4000000||745000000|-18000000|144000000|LYB
2019-12-31|USD|1242000000|408000000||-244000000|-296000000|335000000|731000000|-413000000|117000000|612000000|-425000000|-453000000|-2052000000|0|0||351000000|351000000||0|2935000000||0||612000000|12000000|612000000|LYB
2019-09-30|USD|1876000000|||95000000|-378000000|327000000|742000000|-217000000|-161000000|965000000|-754000000|-1900000000|605000000|3240000000|3240000000||351000000|351000000||0|0||-3240000000||1292000000|-18000000|965000000|LYB
2019-06-30|USD|1186000000|||-207000000|227000000|328000000|622000000|57000000|170000000|1003000000|-278000000|39000000|431000000|0|0||388000000|388000000||0|0||0||1534000000|3000000|1003000000|LYB
2019-03-31|USD|657000000|||105000000|209000000|322000000|599000000|206000000|3000000|817000000|-178000000|-521000000|1441000000|512000000|512000000||372000000|372000000||0|0||-512000000||-43000000|-1000000|817000000|LYB
2018-12-31|USD|1297000000|||-456000000|-622000000|333000000|698000000|-561000000|-61000000|692000000|-658000000|-766000000|670000000|1053000000|1053000000||378000000|378000000||0|0||-1053000000||692000000|-4000000|692000000|LYB
2018-09-30|USD|1441000000|||42000000|15000000|309000000|482000000|-196000000|211000000|1113000000|-2312000000|-977000000|140000000|331000000|331000000||389000000|389000000||0|0||-331000000||1422000000|-6000000|1113000000|LYB
2018-06-30|USD|1727000000|||143000000|64000000|300000000|496000000|128000000|-64000000|1654000000|-400000000|-745000000|0|351000000|351000000||392000000|392000000||0|0||-351000000||2029000000|-36000000|1654000000|LYB
2018-03-31|USD|1006000000|||72000000|251000000|299000000|429000000|196000000|55000000|1231000000|-189000000|-520000000|0|119000000|119000000||395000000|395000000||0|0||-119000000||312000000|15000000|1231000000|LYB
2017-12-31|USD|1482000000|||44000000|261000000|298000000|401000000|243000000|18000000|1894000000|-502000000|-668000000|-315000000|0|0||355000000|355000000||0|0||0||1894000000|5000000|1894000000|LYB
2017-09-30|USD|1486000000|||350000000|264000000|294000000|318000000|140000000|124000000|1056000000|-200000000|-832000000|-179000000|296000000|296000000||356000000|356000000||0|0||-296000000||1362000000|17000000|1057000000|LYB
2017-06-30|USD|1560000000|||-282000000|-243000000|286000000|407000000|-294000000|51000000|1130000000|-513000000|-822000000|-49000000|410000000|410000000||361000000|361000000||0|0||-410000000||1596000000|29000000|1131000000|LYB
2017-03-31|USD|678000000|||53000000|476000000|296000000|421000000|432000000|44000000|797000000|-541000000|-537000000|50000000|160000000|160000000||343000000|343000000||0|990000000||-160000000||-390000000|8000000|797000000|LYB
2016-12-31|USD|1713000000|||309000000|-101000000|273000000|567000000|60000000|-100000000|763000000|-771000000|-782000000|0|437000000|437000000||346000000|346000000||0|0||-437000000||135000000|-26000000|763000000|LYB
2016-09-30|USD|1332000000|||-87000000|-2000000|257000000|586000000|42000000|3000000|953000000|-459000000|-1195000000|-23000000|819000000|819000000||351000000|351000000||0|0||-819000000||-320000000|2000000|952000000|LYB
2016-06-30|USD|1261000000|||111000000|95000000|266000000|563000000|146000000|-11000000|1091000000|-474000000|-1039000000|23000000|696000000|696000000||362000000|362000000||0|0||-696000000||-258000000|-9000000|1091000000|LYB
2016-03-31|USD|1300000000|||50000000|42000000|268000000|527000000|135000000|-15000000|1030000000|-597000000|-333000000|177000000|986000000|986000000||336000000|336000000||0|812000000||-986000000||394000000|24000000|1030000000|LYB
2015-12-31|USD|1160000000|||-285000000|-121000000|265000000|483000000|-372000000|228000000|795000000|57000000|-1744000000|-170000000|1220000000|1220000000||347000000|347000000||0|0||-1220000000||-550000000|-18000000|795000000|LYB
2015-09-30|USD|1768000000|||-289000000|-244000000|248000000|373000000|-443000000|153000000|1186000000|67000000|-1684000000|-7000000|1299000000|1299000000||361000000|361000000||0|0||-1299000000||149000000|-2000000|1185000000|LYB
2015-06-30|USD|1446000000|||34000000|51000000|247000000|278000000|232000000|-145000000|1329000000|-727000000|-1021000000|69000000|778000000|778000000||368000000|368000000||0|0||-778000000||-291000000|11000000|1330000000|LYB
2015-03-31|USD|1468000000|||-246000000|-105000000|287000000|306000000|-197000000|4000000|1164000000|-443000000|-401000000|169000000|1359000000|1359000000||334000000|334000000||0|984000000||-1359000000||585000000|-39000000|1166000000|LYB
2014-12-31|USD|2016000000|||-361000000|-652000000|247000000|403000000|-598000000|-69000000|791000000|-636000000|-1519000000|262000000|1441000000|1441000000||348000000|348000000||0|0||-1441000000||-154000000|-15000000|793000000|LYB
2014-09-30|USD|1434000000|||-159000000|211000000|262000000|338000000|-6000000|221000000|1257000000|-638000000|-1621000000|0|1280000000|1280000000||358000000|358000000||0|0||-1280000000||-845000000|-20000000|1258000000|LYB
2014-06-30|USD|1797000000|||51000000|-386000000|254000000|415000000|141000000|-252000000|1176000000|-246000000|-2217000000|0|1866000000|1866000000||370000000|370000000||0|0||-1866000000||-672000000|-6000000|1178000000|LYB
2014-03-31|USD|801000000|||91000000|518000000|256000000|343000000|105000000|305000000|944000000|-2011000000|-550000000|0|1201000000|1201000000||327000000|327000000||0|992000000||-1201000000||-1748000000|12000000|945000000|LYB
2013-12-31|USD|1674000000||5000000|259000000|-187000000|252000000|360000000|-42000000|-131000000|1175000000|-367000000|-1299000000|0|698000000|698000000||610000000|610000000||0|1000000||-698000000||36000000|28000000|1174000000|LYB
2013-09-30|USD|1116000000||0|-77000000|195000000|262000000|423000000|-37000000|131000000|851000000|-438000000|452000000|0|981000000|981000000||27000000|27000000||0|1471000000||-981000000||1181000000|51000000|853000000|LYB
2013-06-30|USD|1246000000||3000000|110000000|-7000000|254000000|387000000|121000000|-91000000|927000000|-389000000|-508000000|0|270000000|270000000||261000000|261000000||0|0||-270000000||354000000|5000000|929000000|LYB
2013-03-31|USD|799000000||2000000|-17000000|379000000|253000000|391000000|22000000|242000000|900000000|-408000000|-234000000|0|0|0||229000000|229000000||0|0||0||147000000|-10000000|901000000|LYB
2012-12-31|USD|1328000000||15000000|-89000000|-438000000|266000000|333000000|-213000000|-187000000|623000000|-317000000|-1826000000|0||||1812000000|1812000000||0|0||0||-795000000|20000000|632000000|LYB
2012-09-30|USD|2042000000||3000000|245000000|-416000000|236000000|266000000|158000000|-633000000|844000000|-266000000|-234000000|0||||230000000|230000000||0|0||0||1577000000|35000000|846000000|LYB
2012-06-30|USD|504000000||100000000|-425000000|310000000|244000000|233000000|-218000000|725000000|768000000|-245000000|55000000|0||||230000000|230000000||0|0||0||280000000|-34000000|770000000|LYB
2012-03-31|USD|913000000||244000000|80000000|302000000|237000000|228000000|374000000|-346000000|599000000|-185000000|-140000000|-9000000||||143000000|143000000||0|0||1000000||605000000|17000000|600000000|LYB
2011-12-31|USD|82000000||7000000|151000000|-441000000|255000000|289000000|-193000000|-132000000|-218000000|-50000000|-4538000000|||||2722000000|2722000000||0|1000000000||||-4544000000|-38000000|-215000000|LYB
2011-09-30|USD|1531000000|||-588000000|-432000000|237000000|279000000|-720000000|245000000|895000000|-320000000|-118000000|||||114000000|114000000||0|||||922000000|-171000000|895000000|LYB
2011-06-30|USD|1026000000|||||224000000|261000000||-180000000|803000000|-435000000|-327000000|||||57000000|57000000||0|||||304000000|40000000|804000000|LYB
2011-03-31|USD|221000000|||||215000000|221000000||799000000|660000000|-216000000|28000000||||||0|||||37000000||161000000|128000000|663000000|LYB
