fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|407000000|||-1000000|-159000000|37000000|56000000|-103000000|-56000000|193000000|-62000000|-344000000|0|269000000|269000000||75000000|63000000|||||-266000000||||182000000|MAS
2024-09-30|USD|416000000|||-7000000|-114000000|37000000|38000000|-123000000|9000000|180000000|92000000|-269000000|0|192000000|192000000||76000000|63000000|||||-191000000||||167000000|MAS
2024-06-30|USD|346000000|||20000000|6000000|38000000|43000000|7000000|-1000000|272000000|-47000000|-270000000|-49000000|145000000|145000000||76000000|64000000|||||-145000000||||258000000|MAS
2024-03-31|USD|-94000000|||-107000000|302000000|38000000|31000000|258000000|44000000|229000000|-33000000|-134000000|49000000|145000000|145000000||64000000|64000000|||||-70000000||||215000000|MAS
2023-12-31|USD|485000000|||71000000|-196000000|42000000|62000000|-162000000|-34000000|201000000|-62000000|-356000000|-66000000|227000000|227000000||64000000|64000000|||||-226000000||||191000000|MAS
2023-09-30|USD|480000000|||-69000000|-227000000|37000000|48000000|-123000000|-104000000|260000000|-184000000|-112000000|-11000000|45000000|45000000||64000000|64000000||0|0||-31000000||||249000000|MAS
2023-06-30|USD|415000000|||68000000|-1000000|35000000|72000000|49000000|-50000000|278000000|-78000000|-464000000|-133000000|28000000|28000000||113000000|64000000||0|0||-14000000||-127000000||263000000|MAS
2023-03-31|USD|33000000|||-104000000|149000000|35000000|61000000|194000000|-45000000|221000000|-59000000|78000000|210000000|53000000|53000000||65000000|65000000||0|0||-44000000||52000000||205000000|MAS
2022-12-31|USD|320000000|||-162000000|-313000000|40000000|87000000|-192000000|-121000000|126000000|-86000000|-264000000|0|0|0||63000000|63000000||0|0||0||-30000000||115000000|MAS
2022-09-30|USD|346000000|||-30000000|-84000000|34000000|67000000|-89000000|5000000|233000000|-70000000|-234000000|0|0|0||132000000|64000000||0|0||0||42000000||218000000|MAS
