fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|4169000000|6822000000|||-58000000|32000000||||1341000000|-2162000000|-1146000000||774000000|774000000||450000000|383000000|67000000||277000000||-774000000||||1342000000|MET
2024-06-30|USD|3490000000|7261000000|||-27000000|29000000||||953000000|-1340000000|-1205000000||855000000|855000000||423000000|389000000|34000000||512000000||-855000000||||946000000|MET
2024-03-31|USD|2328000000|6910000000|||-50000000|537000000||||875000000|-2627000000|-261000000||1172000000|1172000000||444000000|377000000|67000000||758000000||-1172000000||||867000000|MET
2023-12-31|USD|5182000000|7914000000|||1437000000|-918000000|383000000|||614000000|576000000|-176000000||859000000|859000000||419000000|386000000|33000000||-14000000||-848000000||||607000000|MET
2023-09-30|USD|3475000000|6575000000|||12000000|-499000000|423000000|||495000000|-2972000000|-848000000|0|792000000|792000000|0|459000000|392000000|67000000|0|1003000000|0|-792000000||||489000000|MET
2023-06-30|USD|3038000000|6999000000|||-34000000|-479000000|774000000|||408000000|-6346000000|379000000|0|672000000|672000000|0|431000000|399000000|32000000|0|0|0|-672000000||-2929000000||402000000|MET
2023-03-31|USD|2026000000|6978000000|||-38000000|-470000000||||85000000|-1504000000|-2295000000|0|780000000|780000000|0|455000000|389000000|66000000|0|1000000000|0|-780000000||-1773000000||80000000|MET
2022-12-31|USD|2461000000|8068000000|||-825000000|3084000000||-101000000||1581000000|-197000000|-4628000000|0|596000000|596000000|0|422000000|393000000|29000000|0|0|0|-548000000||-2364000000||1578000000|MET
2022-09-30|USD|4310000000|6509000000|||30000000|-441000000||||1167000000|-4112000000|1743000000|0|674000000|674000000|0|464000000|400000000|64000000|0|1007000000|0|-674000000||1941000000||1162000000|MET
2022-06-30|USD|4393000000|6999000000|||78000000|-458000000||||915000000|2115000000|-9088000000|0|1116000000|1116000000|0|437000000|408000000|29000000|0|6000000|0|-1116000000||-2580000000||910000000|MET
2022-03-31|USD|2040000000|7024000000|||37000000|-475000000||||1639000000|-426000000|1865000000|0|940000000|940000000|0|460000000|397000000|63000000|0|0|0|-940000000||3479000000||1634000000|MET
2021-12-31|USD|5340000000|8106000000|||974000000|-161000000|1412000000|378000000||1211000000|-2862000000|-1335000000|0|1176000000|1176000000|0|434000000|405000000|29000000|0|0|0|-1057000000||1143000000||1205000000|MET
2021-09-30|USD|3506000000|6794000000|||-15000000|31000000|113000000|||1589000000|-8280000000|-1108000000|0|1015000000|1015000000|0|476000000|413000000|63000000|0|14000000|0|-1015000000||12347000000||1584000000|MET
2021-06-30|USD|2254000000|7161000000|||-58000000|31000000|2094000000|||3412000000|1009000000|1632000000|0|1113000000|1607000000|0|456000000|421000000|35000000|0|15000000|0|-1607000000||3470000000||3407000000|MET
2021-03-31|USD|1496000000|7493000000|||803000000|30000000|741000000|||363000000|-1054000000|-564000000|0|999000000|999000000|0|476000000|408000000|68000000|0|0|0|-999000000||-122000000||358000000|MET
2020-12-31|USD|5153000000|7891000000|||-38000000|-197000000|1090000000|946000000||158000000|-2162000000|-6993000000|0|571000000|1560000000|989000000|449000000|415000000|34000000|0|0|0|-1471000000||158000000||158000000|MET
2020-09-30|USD|3793000000|6745000000|||-44000000|33000000|331000000|||709000000|-6679000000|2885000000|0|80000000|80000000|0|478000000|419000000|59000000|0|50000000|989000000|989000000||1742000000||706000000|MET
2020-06-30|USD|846000000|6196000000|||-80000000|31000000|1717000000|||150000000|-1391000000|680000000|0|0|0|0|496000000|419000000|77000000|0|0|0|0||230000000||145000000|MET
2020-03-31|USD|1847000000|6819000000|||40000000|28000000|1793000000|||4401000000|-8337000000|14157000000|0|500000000|500000000|0|436000000|404000000|32000000|0|1074000000|972000000|472000000||7667000000||4398000000|MET
2019-12-31|USD|5181000000|7254000000|||125000000|-369000000|1632000000|-506000000||588000000|-7093000000|-1009000000|0|250000000|250000000|0|463000000|406000000|57000000|0|0|0|-125000000||588000000||593000000|MET
2019-09-30|USD|4146000000|6241000000|||-59000000|368000000|1180000000|||2190000000|-5351000000|2327000000|0|785000000|785000000|0|445000000|413000000|32000000|0|0|0|-785000000||1017000000|-105000000|2184000000|MET
2019-06-30|USD|2387000000|7385000000|||-41000000|368000000|170000000|||1746000000|557000000|934000000|0|750000000|750000000|0|476000000|419000000|57000000|0|1382000000|0|-750000000||3929000000|51000000|1741000000|MET
2019-03-31|USD|2072000000|6392000000|||-76000000|368000000|3011000000|||1385000000|-5699000000|2316000000|0|500000000|500000000|0|437000000|405000000|32000000|0|0|0|-500000000||-1315000000|-4000000|1381000000|MET
2018-12-31|USD|1301000000|6857000000|||-2045000000|-385000000|2910000000|-1930000000||2062000000|5358000000|-3332000000|0|1200000000|1200000000|0|472000000|415000000|57000000|0|0|0|-1146000000||3331000000|4000000|2067000000|MET
2018-09-30|USD|3533000000|6571000000|||-40000000|352000000|2005000000|||915000000|-6228000000|-1081000000|0|636000000|636000000|0|451000000|419000000|32000000|0|10000000|0|-636000000||-3822000000|-46000000|912000000|MET
2018-06-30|USD|5608000000|5866000000||||352000000|67000000|||894000000|-4279000000|1394000000|0|1115000000|1115000000|0|474000000|428000000|46000000|0|0|780000000|780000000||2385000000|-338000000|891000000|MET
2018-03-31|USD|1296000000|6301000000||||352000000|2087000000|||1257000000|-485000000|218000000|0|1041000000|1041000000|0|422000000|416000000|6000000|0|14000000|494000000|-547000000||1226000000|197000000|1253000000|MET
2017-12-31|USD|2050000000|6015000000||||-249000000|890000000|-1271000000||2315000000|282000000|-2595000000|0|622000000|622000000|0|467000000|422000000|45000000|0|0|0|-506000000||-322000000|-59000000|2317000000|MET
2017-09-30|USD|4734000000|5664000000|||||794000000|||-85000000|-10009000000|883000000|0|495000000|495000000|0|433000000|427000000|6000000|0|668000000|0|-495000000||-4296000000|96000000|-91000000|MET
2017-06-30|USD|3401000000|6505000000|||||902000000|||914000000|-2873000000|-693000000|0|952000000|952000000|0|477000000|431000000|46000000|0|2989000000|0|-952000000||-92000000|73000000|911000000|MET
2017-03-31|USD|2098000000|6730000000|||||1976000000|||876000000|-4276000000|1499000000|18000000|858000000|858000000|0|443000000|437000000|6000000|0|0|0|-858000000||-466000000|213000000|873000000|MET
2016-12-31|USD|5643000000|25014000000||||-458000000|3932000000|-2156000000||-2341000000|8736000000|-11777000000|41000000|302000000|302000000|0|486000000|441000000|45000000|0|0|0|-302000000||1994000000|-608000000|-2343000000|MET
2016-09-30|USD|2927000000|252000000|||||1869000000|||538000000|-4678000000|613000000|-6000000|0|0|0|447000000|441000000|6000000|0|0|0|0||-1184000000|-46000000|542000000|MET
2016-06-30|USD|4291000000|374000000|||||1085000000|||325000000|-4169000000|3376000000|3000000|0|0|0|487000000|441000000|46000000|0|0|0|0||3777000000|279000000|321000000|MET
2016-03-31|USD|1913000000|249000000|||||1648000000|||2332000000|-5739000000|4291000000|0|70000000|70000000|0|419000000|413000000|6000000|0|0|0|-70000000||538000000|73000000|2330000000|MET
2015-12-31|USD|4525000000|9717000000||||-448000000|2195000000|-699000000||842000000|-3491000000|1634000000|0|823000000|823000000|0|468000000|419000000|49000000|0|2315000000|0|-823000000||2536000000|-132000000|834000000|MET
2015-09-30|USD|2639000000|249000000|||||525000000|||1198000000|-147000000|-288000000|0|107000000|662000000|555000000|426000000|420000000|6000000|0|86000000|-2000000|-664000000||2142000000|-62000000|1203000000|MET
2015-06-30|USD|4202000000|373000000|||||1180000000|||1119000000|140000000|-4287000000|0|14000000|919000000||451000000|420000000|31000000|0|0||566000000||-53000000|-108000000|1115000000|MET
2015-03-31|USD|2686000000|214000000|||||2707000000|||2163000000|-6900000000|1723000000|0|986000000|986000000||424000000|394000000|30000000|0|1492000000||-986000000||-2681000000|-190000000|2158000000|MET
2014-12-31|USD|5426000000|9469000000||||102000000|2909000000|-443000000||1527000000|-3386000000|279000000|0|557000000|557000000||429000000|398000000|31000000|1000000000|0||443000000||2025000000|-294000000|1521000000|MET
2014-09-30|USD|4029000000|218000000|||||1728000000|||2094000000|-4969000000|2411000000|0|439000000|439000000||425000000|395000000|30000000|0|0||-439000000||1390000000|-81000000|2094000000|MET
2014-06-30|USD|4437000000|378000000|||||166000000|||1376000000|-8864000000|3225000000|0|4000000|4000000||426000000|395000000|31000000|0|1000000000||0||-1180000000|22000000|1366000000|MET
2014-03-31|USD|2484000000|245000000|||||170000000|||1339000000|2164000000|-3659000000|-75000000|0|0||341000000|311000000|30000000|0|0||0||988000000|-1000000|1328000000|MET
2013-12-31|USD|6147000000|379000000||||547000000|1101000000|-289000000|373000000|916000000|-8590000000|-1323000000|75000000||0||342000000|311000000|31000000|0|1372000000||0||-3791000000|-25000000|908000000|MET
2013-09-30|USD|2670000000|273000000|||||1977000000|||975000000|1278000000|-1794000000|0||0||333000000|303000000|30000000|0|0||0||2192000000|38000000|972000000|MET
2013-06-30|USD|4581000000|354000000|||-11000000||708000000|||510000000|1866000000|-7114000000|0||0||333000000|302000000|31000000|0|0||0||-799000000|-132000000|502000000|MET
2013-03-31|USD|2733000000|264000000|||21000000||354000000|||992000000|-9719000000|1324000000|0||0||233000000|203000000|30000000|0|0||0||-5755000000|-93000000|986000000|MET
2012-12-31|USD|1872000000|501000000|||-7260000000|1304000000|3796000000||3370000000|136000000|2146000000|-5217000000|0||0||842000000|811000000|31000000|1000000000|0||911000000||-1212000000|-13000000|127000000|MET
2012-09-30|USD|3186000000|592000000|||24000000|712000000|316000000|||-957000000|-1298000000|-1039000000|-1000000||0||30000000|0|30000000||750000000||10000000||915000000|66000000|-954000000|MET
2012-06-30|USD|6344000000|447000000|||-1000000|1111000000|1320000000|||2303000000|-14944000000|6051000000|0||0||31000000|0|31000000||0||4000000||-2632000000|-83000000|2295000000|MET
2012-03-31|USD|5758000000|349000000|||45000000|393000000|373000000|||-120000000|2167000000|240000000|-585000000||0||30000000|0|30000000||0||75000000||8206000000|41000000|-144000000|MET
2011-12-31|USD|1239000000|389000000|||2388000000|1604000000|2274000000|||988000000|1125000000|-1800000000|235000000||0||818000000|818000000|31000000||0||11000000||409000000|-155000000|990000000|MET
2011-09-30|USD|2246000000|432000000|||-38000000|1232000000|1788000000|||3450000000|-6450000000|4596000000|349000000||0||30000000|30000000|30000000||125000000||4000000||379000000|-13000000|3456000000|MET
2011-06-30|USD|3289000000|672000000|||16000000|777000000|1353000000|||1093000000|-8801000000|4324000000|-470000000||0||31000000|31000000|31000000||941000000||-2893000000||-1135000000|53000000|1100000000|MET
2011-03-31|USD|3499000000|748000000|||28000000|505000000|407000000|||884000000|-8092000000|2262000000|266000000||2805000000||30000000|30000000|30000000||280000000||161000000||-2238000000|93000000|877000000|MET
2010-12-31|USD|2792000000|514000000|||438000000||1248000000|||85000000|1066000000|-5248000000|-1751000000||0||815000000|815000000|31000000||500000000||20000000||-1511000000|-121000000|82000000|MET
2010-09-30|USD|1265000000|373000000|||194000000||1719000000|||320000000|-9249000000|11768000000|1178000000||0||30000000|30000000|30000000||3912000000||6000000||3855000000|71000000|316000000|MET
2010-06-30|USD|1057000000|563000000|||-56000000||129000000|||1547000000|-2522000000|3016000000|561000000||0||31000000|31000000|31000000||515000000||0||1500000000|-51000000|1557000000|MET
2010-03-31|USD|2871000000|170000000|||15000000||176000000|||834000000|-7598000000|3845000000|-594000000||0||30000000|30000000|30000000||163000000||0||-910000000|-28000000|835000000|MET
2009-12-31|USD|1085000000|477000000|||-4869000000|-259000000|213000000|||313000000|-6578000000|23000000|-1219000000||||641000000|641000000|31000000||336000000||2000000||-5450000000|20000000|320000000|MET
2009-09-30|USD|3945000000|239000000|||163000000||121000000|||-625000000|1524000000|-3124000000|-2626000000||||30000000|30000000|30000000||400000000||5000000||2349000000|4000000|-620000000|MET
2009-06-30|USD|-242000000||||130000000|130000000|39000000|||-1418000000|-7263000000|1166000000|-1121000000||||31000000|31000000|31000000||||691000000||-6211000000|128000000|-1402000000|MET
2009-03-31|USD|-985000000|||||129000000|174000000|||-548000000|-1618000000|-2168000000|3219000000||||30000000|30000000|30000000||||||-4815000000|-44000000|-544000000|MET
2008-12-31|USD|3700000000||||||642000000|||976000000|3586000000|-3019000000|1553000000||||623000000|623000000|31000000||||-11905000000||4030000000|-237000000|985000000|MET
2008-09-30|USD|1584000000||||||3499000000|||646000000|3266000000|1713000000|483000000||||30000000|30000000|30000000||||||6394000000|-169000000|630000000|MET
2008-06-30|USD|1885000000||||||345000000|||996000000||2841000000|||||31000000|31000000|||||17000000||||946000000|MET
