fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|27988000000|904000000||3204000000|3708000000|4460000000|14425000000|2978000000||20838000000|-21498000000|-5465000000||0|0||1270000000|1270000000|||0||0||||20838000000|META
2024-09-30|USD|24724000000|827000000||2140000000|70000000|4027000000|8258000000|-143000000||15688000000|-8620000000|-4371000000||8818000000|8818000000||1263000000|1263000000|||10432000000||-8818000000||||15688000000|META
2024-06-30|USD|19370000000|778000000||460000000|1201000000|3637000000|8173000000|1170000000||13465000000|-8298000000|-11178000000||6299000000|6299000000||1266000000|1266000000|||0||-6299000000||||13465000000|META
2024-03-31|USD|19246000000|830000000||-2303000000|-2526000000|3374000000|6400000000|-2520000000||12369000000|-8734000000|-19767000000||15008000000|15008000000||1273000000|1273000000|||0||-15008000000||||12369000000|META
2023-12-31|USD|19404000000|699000000||983000000|2254000000|3172000000|7665000000|2843000000|-1270000000|14017000000|-6472000000|-8401000000|0|5942000000|5942000000||0||||0||-5942000000||||14017000000|META
2023-09-30|USD|20402000000|816000000||627000000|1622000000|2859000000|6543000000|678000000||11583000000|-6077000000|-5875000000|0|3569000000|3569000000||0|||0|0||-3569000000||||11583000000|META
2023-06-30|USD|17309000000|521000000||4972000000|1441000000|2623000000|6216000000|1424000000||7788000000|-5203000000|5292000000|0|898000000|898000000||0|||0|0||-898000000||17398000000||7788000000|META
2023-03-31|USD|13998000000|665000000||-826000000|-3397000000|2524000000|6842000000|-2546000000||5709000000|-6743000000|-10516000000|0|9365000000|9365000000||0|||0|0||-9365000000||-3261000000||5709000000|META
2022-12-31|USD|14511000000|462000000||2686000000|790000000|2376000000|9043000000|1699000000||4653000000|-7531000000|-7060000000|0|6863000000|6863000000|||||0|0||-6863000000||-80000000||4653000000|META
2022-09-30|USD|9692000000|421000000||1539000000|964000000|2175000000|9375000000|105000000|701000000|4395000000|-9701000000|2147000000|-191000000|6354000000|6354000000|||||0|9921000000||-6354000000||2138000000||4395000000|META
2022-06-30|USD|12196000000|394000000||1400000000|981000000|1979000000|7572000000|522000000|705000000|6687000000|-6959000000|-6563000000|-79000000|5233000000|5233000000|||||0|||-5233000000||-1326000000||6687000000|META
2022-03-31|USD|14076000000|393000000||-229000000|-3022000000|2156000000|5441000000|-2557000000|1118000000|7465000000|-4779000000|-10660000000|20000000|9506000000|9506000000|||||0|||-9506000000||-1363000000||7465000000|META
2021-12-31|USD|18104000000|-7549000000||4003000000|1387000000|2014000000|5369000000|2038000000|3679000000|10285000000|5829000000|-21742000000|-1000000|20061000000|20061000000|||||0|||-20061000000||2191000000||10285000000|META
2021-09-30|USD|14090000000|1987000000||2180000000|797000000|1995000000|4314000000|555000000|1165000000|9194000000|-330000000|-15252000000|12000000|13458000000|13458000000|||||0|||-13458000000||11064000000||9194000000|META
2021-06-30|USD|13247000000|6650000000||1513000000|3403000000|1986000000|4612000000|1366000000|-642000000|10394000000|-8195000000|-8549000000|53000000|7079000000|7079000000|||||0|||-7079000000||12254000000||10394000000|META
2021-03-31|USD|12242000000|333000000||-1787000000|-378000000|1972000000|4272000000|-849000000|-2014000000|9497000000|-4874000000|-5185000000|-50000000|3939000000|3939000000|||||0|||-3939000000||2183000000||9497000000|META
2020-12-31|USD|14040000000|333000000||2349000000|2861000000|1863000000|4613000000|3059000000|2607000000|11219000000|-5173000000|-3207000000|48000000|1929000000|1929000000|||||0|||-1929000000||5660000000||11219000000|META
2020-09-30|USD|9829000000|310000000||168000000|106000000|1698000000|3689000000|377000000|187000000|7846000000|-16599000000|-2911000000|-7000000|1725000000|1725000000|||||0|||-1725000000||9426000000||7846000000|META
2020-06-30|USD|3877000000|300000000||-4512000000|445000000|1704000000|3255000000|122000000|-4793000000|5178000000|-4178000000|-2152000000|63000000|1368000000|1368000000|||||0|||-1368000000||6758000000||5178000000|META
2020-03-31|USD|11001000000|279000000||683000000|-2001000000|1597000000|3558000000|-2046000000|698000000|4902000000|-4109000000|-2022000000|-80000000|1250000000|1250000000|||||0|||-1250000000||4870000000||4902000000|META
2019-12-31|USD|9083000000|264000000||623000000|1148000000|1468000000|4100000000|1697000000|938000000|7349000000|-4036000000|-2026000000|37000000|1296000000|1296000000|||||0|||-1296000000||3021000000||7349000000|META
2019-09-30|USD|9307000000|251000000||897000000|686000000|1416000000|3532000000|328000000|1733000000|6091000000|-5050000000|-2019000000|-141000000|1148000000|1148000000|||||0|||-1148000000||6091000000||6091000000|META
2019-06-30|USD|8616000000|397000000||4365000000|1234000000|1502000000|3633000000|1006000000|4648000000|2616000000|-4010000000|-1831000000|58000000|1145000000|1145000000|||||0|||-1145000000||2616000000||2616000000|META
2019-03-31|USD|9308000000|2000000||3238000000|-1195000000|1355000000|3837000000|-1070000000|4545000000|2429000000|-6768000000|-1423000000|-177000000|613000000|613000000|||||0|||-613000000||1117000000||2429000000|META
2018-12-31|USD|7618000000|1000000||-197000000|1425000000|1225000000|4301000000|1564000000|-178000000|6882000000|-3685000000|-3541000000|500000000|3500000000|3500000000|||||0|||-3500000000||392000000||6882000000|META
2018-09-30|USD|7498000000|0||642000000|520000000|1107000000|3342000000|489000000|607000000|5137000000|-4247000000|-5157000000|0|4256000000|4256000000|||||0|||-4256000000||5137000000||5137000000|META
2018-06-30|USD|6298000000|0||52000000|1241000000|1034000000|3460000000|627000000|-501000000|5106000000|-2384000000|-4271000000|0|3349000000|3349000000|||||0|||-3349000000||5106000000||5106000000|META
2018-03-31|USD|7860000000|0||560000000|-445000000|949000000|2812000000|-788000000|223000000|4988000000|-1287000000|-2603000000|0|1774000000|1774000000|||||0|||-1774000000||3970000000||4988000000|META
2017-12-31|USD|7671000000|0||2789000000|908000000|853000000|2263000000|1374000000|3286000000|4269000000|-5003000000|-1843000000||958000000|958000000|||||0|||-958000000||878000000|43000000|4269000000|META
2017-09-30|USD|6127000000|0||162000000|467000000|772000000|1755000000|458000000|136000000|4707000000|-3729000000|-1531000000||640000000|640000000|||||0|||-640000000||949000000|67000000|4707000000|META
2017-06-30|USD|5360000000|0||225000000|547000000|729000000|1444000000|386000000|80000000|3894000000|-5466000000|-869000000||150000000|150000000|||||0|||-150000000||-852000000|97000000|3894000000|META
2017-03-31|USD|5058000000|0||263000000|-275000000|671000000|1271000000|-609000000|-54000000|3064000000|-5920000000|-992000000||228000000|228000000|||||0|||-228000000||-1799000000|26000000|3064000000|META
2016-12-31|USD|4930000000|-1420000000||1787000000|891000000|614000000|1269000000|1011000000|1128000000|4273000000|-2028000000|4000000||0|0|||||0|||0||2865000000|-94000000|3569000000|META
2016-09-30|USD|4036000000|459000000||21000000|262000000|591000000|1095000000|253000000|2000000|2379000000|-3117000000|-8000000||0|0|||||0|||0||930000000|19000000|2627000000|META
2016-06-30|USD|3665000000|467000000||464000000|657000000|585000000|995000000|492000000|332000000|2055000000|-4971000000|4000000||0|0|||||0|||0||-1348000000|-46000000|2283000000|META
2016-03-31|USD|3477000000|505000000||53000000|-176000000|552000000|1132000000|-267000000|-41000000|1510000000|-1676000000|-310000000||0|0|||||0|||0||1549000000|58000000|1738000000|META
2015-12-31|USD|4548000000|841000000||693000000|574000000|543000000|692000000|568000000|644000000|1561000000|-2726000000|-1167000000||||||||0|||0||599000000|-56000000|1561000000|META
2015-09-30|USD|2192000000|349000000||604000000|233000000|486000000|780000000|207000000|647000000|896000000|-3300000000|315000000||||||||0|||0||-815000000|-22000000|896000000|META
2015-06-30|USD|1880000000|388000000||332000000|322000000|459000000|549000000|282000000|262000000|719000000|-564000000|342000000||||||||0|||0||1704000000|46000000|719000000|META
2015-03-31|USD|1700000000|426000000||258000000|-9000000|457000000|502000000|-84000000|195000000|512000000|-2844000000|371000000||||||||0|||0||-896000000|-123000000|512000000|META
2014-12-31|USD|3452000000|584000000|0|275000000|482000000|433000000|517000000|346000000|107000000|701000000|-6616000000|-1468000000||||||||0|||11000000||-4684000000|-52000000|701000000|META
2014-09-30|USD|1248000000|531000000|4000000|232000000|413000000|289000000|482000000|182000000|53000000|806000000|2997000000|438000000||||||||0|||5000000||4615000000|-68000000|806000000|META
2014-06-30|USD|1341000000|563000000||219000000|171000000|257000000|469000000|187000000|129000000|791000000|-422000000|470000000||||||||0|||1000000||1386000000|-3000000|791000000|META
2014-03-31|USD|1285000000|389000000||-11000000|-117000000|264000000|363000000|-105000000|-24000000|642000000|-1872000000|262000000||||||||0|||1000000||-325000000|0|642000000|META
2013-12-31|USD|1231000000|350000000|2000000|600000000|418000000|274000000|483000000|277000000|380000000|523000000|-2534000000|1525000000||||||||1478000000|||1484000000||223000000|1000000|523000000|META
2013-09-30|USD|950000000|180000000|0|19000000|-819000000|274000000|284000000|-805000000|47000000|425000000|734000000|-1599000000||||||||0|||10000000||99000000|14000000|425000000|META
2013-06-30|USD|1322000000|125000000||158000000|583000000|230000000|268000000|560000000|558000000|333000000|-498000000|-149000000||||||||0|||2000000||676000000|1000000|333000000|META
2013-03-31|USD|719000000|74000000||52000000|-17000000|233000000|327000000|-54000000|-13000000|219000000|-326000000|-444000000||||||||0|||8000000||-59000000|-8000000|219000000|META
2012-12-31|USD|681000000|3000000|131000000|-60000000|0|224000000|198000000|-36000000|108000000|64000000|535000000|-1314000000||||||||0|||8000000||-94000000|4000000|64000000|META
2012-09-30|USD|250000000|486000000||-16000000|-25000000|176000000|171000000|49000000|3000000|-59000000|-389000000|507000000||||||||-1000000|||-1000000||380000000|12000000|-59000000|META
2012-06-30|USD|240000000|||||139000000|413000000||-339000000|-157000000|-6450000000|7040000000|||||||||||6761000000||816000000|-14000000|-157000000|META
