fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|3450000000|4909000000||||1197000000|937000000|||3744000000|-1444000000|-3009000000||489000000|489000000||1951000000|1951000000|||0||-477000000||||3743000000|MRK
2024-09-30|USD|9291000000|335000000||||1186000000|783000000|||3161000000|-3845000000|-2425000000||444000000|444000000||1953000000|1953000000|||0||-439000000||||3157000000|MRK
2024-06-30|USD|5637000000|470000000||||1132000000|791000000|||5461000000|-1069000000|1216000000||251000000|251000000||1986000000|1986000000|||0||-178000000||||5455000000|MRK
2024-03-31|USD|3090000000|316000000||||984000000|861000000||-816000000|4767000000|-1376000000|-2814000000|0|122000000|122000000||1950000000|1950000000|||0||-35000000||||4762000000|MRK
2023-12-31|USD|246000000|4813000000||||936000000|989000000|||-1226000000|53000000|-2245000000|0|393000000|393000000||1852000000|1852000000|||0||-387000000||||-1226000000|MRK
2023-09-30|USD|7717000000|814000000||||1014000000|902000000|||4750000000|-334000000|-4269000000|0|466000000|466000000||1855000000|1855000000|||-7000000||-459000000||||4745000000|MRK
2023-06-30|USD|3704000000|84000000||||903000000|965000000|||-5972000000|-11443000000|3758000000|0|338000000|338000000||1885000000|1885000000|||0||-256000000||-3981000000||-5975000000|MRK
2023-03-31|USD|1339000000|74000000||||991000000|1007000000|||2825000000|-2359000000|-2054000000|0|149000000|149000000||1853000000|1853000000|||0||-119000000||-3074000000||2821000000|MRK
2022-12-31|USD|38223000000|3262000000||||892000000|1149000000|-644000000|-161000000|19462000000|-1748000000|-1554000000|0|0|0||1750000000|1750000000|||0||265000000||1128000000||3017000000|MRK
2022-09-30|USD|5602000000|314000000||||959000000|1126000000||-161000000|3253000000|-962000000|-2702000000|0|0|0||1747000000|1747000000|||0||10000000||1938000000||3248000000|MRK
2022-06-30|USD|4302000000|334000000||||938000000|1129000000|||3949000000|-1077000000|-1777000000|0|0|0||1770000000|1770000000|||0||97000000||1448000000||3944000000|MRK
2022-03-31|USD|4761000000|113000000||||1120000000|984000000|||4307000000|-1173000000|-3086000000|0|0|0||1745000000|1745000000|||0||12000000||9421000000||4310000000|MRK
2021-12-31|USD|13901000000|2888000000||||835000000|1208000000|-2033000000|-674000000|7671000000|-12049000000|5207000000|-3000000|18000000|18000000||1643000000|1643000000|||7936000000||116000000||6995000000||3758000000|MRK
2021-09-30|USD|9837000000|73000000||||759000000|1172000000||-674000000|9837000000|135000000|-2274000000|0|583000000|583000000||1649000000|1649000000|||0||-566000000||9972000000||4567000000|MRK
2021-06-30|USD|3263000000|160000000||||690000000|986000000||-674000000|3263000000|-2707000000|1758000000|-4771000000|239000000|239000000||1673000000|1673000000|||0||-197000000||3263000000||1545000000|MRK
2021-03-31|USD|1791000000|227000000||||930000000|1082000000||-674000000|3186000000|-738000000|-2098000000|788000000|0|0||1645000000|1645000000|||0||9000000||-1045000000||3179000000|MRK
2020-12-31|USD|4006000000|3217000000||||904000000|1431000000|-1002000000|-895000000|-2091000000|-4778000000|1372000000|2860000000|0|0||1542000000|1542000000|||0||21000000||600000000||-2094000000|MRK
2020-09-30|USD|2173000000|141000000||||852000000|1445000000||-855000000|2945000000|-2155000000|-3851000000|-2278000000|0|0||1545000000|1545000000|||-26000000||28000000||3071000000||2941000000|MRK
2020-06-30|USD|3367000000|201000000||||1048000000|567000000||-855000000|3010000000|-882000000|1137000000|-1616000000|0|0||1577000000|1577000000|||4445000000||14000000||3131000000||3002000000|MRK
2020-03-31|USD|707000000|290000000||||821000000|986000000||-855000000|3219000000|-1628000000|-1490000000|3583000000|1281000000|1281000000||1551000000|1551000000|||0||-1255000000||-2411000000||3219000000|MRK
2019-12-31|USD|4794000000|4677000000||||936000000|1033000000|294000000|-508000000|2363000000|-763000000|-2011000000|182000000|1050000000|1050000000||1405000000|1405000000|||0||-1033000000||2020000000||2356000000|MRK
2019-09-30|USD|4226000000|71000000||||845000000|959000000||-508000000|1907000000|191000000|-3152000000|-360000000|1405000000|1405000000||1394000000|1394000000|||0||-1365000000||1937000000||1901000000|MRK
2019-06-30|USD|3084000000|65000000||||973000000|782000000||-508000000|2644000000|-2425000000|-2084000000|603000000|1235000000|1235000000||1468000000|1468000000|||0||-1104000000||2690000000||2670000000|MRK
2019-03-31|USD|1336000000|101000000||||898000000|595000000||-508000000|2862000000|368000000|-1614000000|-4135000000|1090000000|1090000000||1428000000|1428000000|||4958000000||-917000000||90000000||2915000000|MRK
2018-12-31|USD|3592000000|1682000000||||998000000|929000000|-418000000|-911000000|1778000000|2178000000|-5566000000|2830000000|5933000000|5933000000||1277000000|1277000000|||0||-5803000000||204000000||1827000000|MRK
2018-09-30|USD|2793000000|200000000||||1094000000|653000000||-911000000|1958000000|1660000000|-1905000000|225000000|996000000|996000000||1285000000|1285000000|||0||-834000000||2049000000||1950000000|MRK
2018-06-30|USD|3382000000|116000000||||1290000000|583000000||-911000000|1716000000|673000000|-2967000000|2070000000|1596000000|1596000000||1311000000|1311000000|||0||-1527000000||1806000000||1707000000|MRK
2018-03-31|USD|1155000000|389000000||||1137000000|450000000||-911000000|741000000|-197000000|-2722000000|-1000000|566000000|566000000||1299000000|1299000000|||0||-336000000||-1764000000||736000000|MRK
2017-12-31|USD|4019000000|5277000000||||1167000000|715000000|297000000|-145000000|-1038000000|-58000000|-5785000000|-1988000000|1702000000|1702000000||1283000000|1283000000|||0||-1684000000||-1809000000|19000000|-1046000000|MRK
2017-09-30|USD|-1171000000|324000000||||1154000000|441000000|||-51000000|671000000|536000000|1986000000|159000000|159000000||1283000000|1283000000|||0||-86000000||115000000|79000000|-56000000|MRK
2017-06-30|USD|3317000000|361000000||||1162000000|393000000|||1951000000|-1127000000|-6218000000|-3808000000|1134000000|1134000000||1307000000|1307000000|||0||-1039000000||-3922000000|106000000|1946000000|MRK
2017-03-31|USD|286000000|383000000||||1193000000|339000000|||1556000000|3193000000|1461000000|3784000000|1019000000|1019000000||1294000000|1294000000|||0||-706000000||5193000000|253000000|1551000000|MRK
2016-12-31|USD|3632000000|2325000000||||1185000000|551000000|-619000000|206000000|-587000000|-2563000000|-1977000000|-909000000|1016000000|1016000000||1271000000|1271000000|||1071000000||-867000000||-1392000000|-484000000|-595000000|MRK
2016-09-30|USD|2971000000|289000000||||1175000000|409000000|||2188000000|-890000000|-835000000|918000000|845000000|845000000||1274000000|1274000000|||0||-436000000||1299000000|53000000|2184000000|MRK
2016-06-30|USD|1600000000|298000000||||1550000000|375000000|||1209000000|-1498000000|-3366000000|-9000000|660000000|660000000||1300000000|1300000000|||8000000||-481000000||-3108000000|156000000|1205000000|MRK
2016-03-31|USD|2173000000|334000000||||1561000000|279000000|||1130000000|1741000000|-2866000000|0|913000000|913000000||1279000000|1279000000|||0||-711000000||1192000000|144000000|1125000000|MRK
2015-12-31|USD|4246000000|2001000000||||1560000000|493000000|-480000000|805000000|982000000|-617000000|-2406000000|-14000000|1181000000|1181000000||1263000000|1263000000|||0||-1130000000||976000000|-247000000|977000000|MRK
2015-09-30|USD|3311000000|159000000||||1570000000|316000000|||1831000000|-61000000|-2539000000|3000000|1281000000|1281000000||1272000000|1272000000|||-2000000||-1224000000||626000000|-85000000|1826000000|MRK
2015-06-30|USD|2697000000|155000000||||1608000000|271000000|||688000000|2525000000|-5597000000|-3706000000|709000000|709000000||1302000000|1302000000|||-1000000||-574000000||-1058000000|-683000000|687000000|MRK
2015-03-31|USD|2284000000|138000000||||1637000000|203000000|||958000000|-6605000000|5155000000|2177000000|1015000000|1015000000||1280000000|1280000000|||7941000000||-773000000||539000000|-295000000|953000000|MRK
2014-12-31|USD|-1035000000|8208000000||||1573000000|490000000|-554000000|79000000|7327000000|7204000000|-9772000000|-3537000000|1620000000|1620000000||1336000000|1259000000|||3145000000||-1441000000||-3929000000|-326000000|7316000000|MRK
2014-09-30|USD|4348000000|168000000||||1611000000|320000000|||842000000|-3722000000|1279000000|4963000000|2670000000|2670000000||1282000000|1282000000|||0||-2423000000||1627000000|-278000000|895000000|MRK
2014-06-30|USD|2315000000|208000000||||1753000000|302000000|||2033000000|-49000000|-8369000000|-5035000000|2246000000|2246000000||1339000000|1339000000|||1000000||-2043000000||-6085000000|18000000|2004000000|MRK
2014-03-31|USD|2361000000|168000000|25000000|||1754000000|205000000|||1731000000|-3807000000|1620000000|3149000000|1167000000|1167000000||1290000000|1290000000|||0||-236000000||207000000|33000000|1705000000|MRK
2013-12-31|USD|3026000000|2631000000||||1954000000|429000000|436000000|-365000000|815000000|1177000000|-2624000000|-310000000|196000000|196000000||1380000000|1260000000|||0||205000000||1531000000|-48000000|781000000|MRK
2013-09-30|USD|3949000000|239000000||||1705000000|355000000|||1150000000|-2037000000|-2915000000|-1551000000|215000000|215000000||1259000000|1259000000|||0||-47000000||-1000000000|3000000|1124000000|MRK
2013-06-30|USD|2338000000|141000000||||1655000000|413000000|||935000000|-1135000000|970000000|822000000|5525000000|5525000000||1332000000|1332000000|||0||-4976000000||2066000000|-107000000|906000000|MRK
2013-03-31|USD|2341000000|211000000||||1674000000|351000000|||1616000000|-1153000000|-1421000000|880000000|580000000|580000000||1306000000|1306000000|||0||-488000000||-427000000|-194000000|1593000000|MRK
2012-12-31|USD|1809000000|2815000000||||1661000000|778000000|349000000|-482000000|949000000|-4398000000|-1218000000|904000000|1152000000|1152000000||1400000000|1280000000|||58000000||-902000000||-3909000000|-102000000|907000000|MRK
2012-09-30|USD|3139000000|259000000||||1723000000|414000000|||1763000000|-1839000000|-738000000|-1917000000|454000000|454000000||1277000000|1277000000|||2504000000||5000000||608000000|46000000|1729000000|MRK
2012-06-30|USD|2920000000|137000000||||1804000000|431000000|||1820000000|-298000000|-586000000|1003000000|529000000|529000000||1280000000|1280000000|||0||-307000000||2096000000|60000000|1793000000|MRK
2012-03-31|USD|2154000000|187000000||||1790000000|331000000|||1767000000|-270000000|-725000000|634000000|456000000|456000000||1279000000|1279000000|||0||-77000000||1125000000|-34000000|1738000000|MRK
2011-12-31|USD|3233000000|3039000000||||1861000000|603000000|1168000000|678000000|1543000000|-1684000000|-2231000000|-280000000|562000000|562000000||1165000000|1165000000|||0||-435000000||-722000000|-40000000|1512000000|MRK
2011-09-30|USD|4577000000|67000000||||1903000000|431000000|||1724000000|-263000000|-2244000000|-40000000|1045000000|1045000000||1175000000|1175000000|||0||-1013000000||1911000000|-159000000|1692000000|MRK
2011-06-30|USD|2852000000|50000000||||1832000000|365000000|||2054000000|-1048000000|-1257000000|1593000000|0|0||1176000000|1176000000|||0||-189000000||647000000|100000000|2024000000|MRK
2011-03-31|USD|1721000000|144000000||||1831000000|324000000|||1071000000|105000000|-1172000000|-197000000|0|0||1175000000|1175000000|||0||37000000||795000000|141000000|1043000000|MRK
