fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|266187000|||22205000|59562000|19443000|41276000|75615000|-15293000|252301000|-51052000|-223693000||212500000|212500000||||||||-211120000||||252301000|MTD
2024-09-30|USD|254666000|||-7307000|-25378000|6800000|21421000|-15212000|-5751000|211516000|-37643000|-218898000||212499000|212499000||||||||-198296000||||211516000|MTD
2024-06-30|USD|257506000|||4505000|-17428000|6700000|23810000|-9112000|-7037000|221814000|-21832000|-234301000||212499000|212499000||||||||-206194000||||221814000|MTD
2024-03-31|USD|189987000|||688000|13131000|19322000|17391000|1708000|3954000|177509000|-8935000|-179085000||212499000|212499000||||||||-210668000||||177509000|MTD
2023-12-31|USD|281505000|||-36770000|-5917000|19345000|32416000|11682000|-11612000|184794000|-35501000|-248973000||176002000|176002000||||||||-176002000||||184794000|MTD
2023-09-30|USD|264296000|||9622000|-23803000|7000000|20960000|-1518000|-11663000|201631000|-30895000|-245550000||223999000|223999000||147000|147000|||||-223852000||||201631000|MTD
2023-06-30|USD|266811000|||12235000|-28315000|6900000|28751000|11649000|-32187000|213927000|-42912000|-227427000||250000000|250000000||7614000|7614000|||||-242386000||-3528000||213927000|MTD
2023-03-31|USD|153262000|||-75693000|-83948000|18923000|23196000|-72109000|-15559000|188426000|-22386000|-137635000||249999000|249999000||11473000|11473000|||||-238526000||-6759000||213927000|MTD
2022-12-31|USD|303643000|||-76765000|33750000|52783000|32028000|67178000|-35182000|265834000|-50037000|-285433000||274999000|274999000||13756000|13756000|||||-261243000||-31827000||265834000|MTD
2022-09-30|USD|245431000|||11155000|19105000|6700000|26822000|12004000|8221000|220597000|-48705000|-177277000||275000000|275000000||||||||-273250000||19449000||220597000|MTD
