fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|1536894000|||138553000|41866000|79539000|158674000|||1868607000|-158674000|-678698000||963748000|963748000||||||||-661736000||||1868607000|NFLX
2024-09-30|USD|2321101000|||248936000|-54956000|80914000|126863000|||2363509000|-1869109000|226596000||1700000000|1700000000||||||||-1556756000||||2363509000|NFLX
2024-06-30|USD|1290847000|||-129425000|28959000|81227000|78287000|||2147306000|-78287000|-1489381000||1599998000|1599998000||||||||-1481248000||||2147306000|NFLX
2024-03-31|USD|2212522000|||133032000|-38049000|87234000|75714000|||2332209000|-75714000|-2132944000||2000000000|2000000000||||||||-1731119000||||2332209000|NFLX
2023-12-31|USD|1663014000|||155876000|13198000|86567000|81632000|||937838000|411596000|-2452273000||2500000000|2500000000||||||||-2448573000||||937838000|NFLX
2023-09-30|USD|1992315000|||-139152000|-103766000|90660000|103929000|||1677422000|296071000|-2475108000||2500100000|2500100000|||||0|0||-2442282000||||1677422000|NFLX
2023-06-30|USD|1440232000|||265810000|183049000|89385000|100972000|||1487610000|97737000|-649349000||645146000|645146000|||||0|0||-610429000||888620000||1487610000|NFLX
2023-03-31|USD|2178740000|||93241000|88522000|90335000|62019000|||1305120000|-263653000|-374073000||400101000|400101000|||||0|0||-374073000||1541014000||1305120000|NFLX
2022-12-31|USD|443858000|||-185146000|398319000|93387000|111593000|||55284000|-1586859000|6705000||0|0|||||0|0||6959000||-1136296000||55284000|NFLX
2022-09-30|USD|556810000|||217527000|120071000|85188000|84960000|||1398242000|-84960000|4113000||0|0|||||0|0||4113000||475963000||1398242000|NFLX
2022-06-30|USD|102750000|||-371143000|-123399000|83505000|90018000|||1440951000|-158894000|11250000||0|0|||||0|0||11250000||-44894000||1440951000|NFLX
2022-03-31|USD|922839000|||152062000|-41157000|74602000|121158000|||1597447000|-245679000|-686322000||0|0|||||0|0||13678000||-9162000||1597447000|NFLX
2021-12-31|USD|-403274000|||116086000|608000|63984000|165979000|||607429000|-954328000|-136019000||0|0|||||0|0||262149000||-1493621000||607429000|NFLX
2021-09-30|USD|82379000|||289878000|95145000|70253000|167327000|||1449071000|-188631000|-81555000||100000000|100000000|||||0|0||-81555000||-187807000||1449071000|NFLX
2021-06-30|USD|-63761000|||-52024000|52373000|38434000|110278000|||1353013000|-111278000|-480273000||500022000|500022000|||||0|0||-480273000||-655312000||1353013000|NFLX
2021-03-31|USD|777266000|||62863000|221555000|35741000|81001000|||1706715000|-85616000|-451929000||0|0|||||0|0||48071000||239721000||1706715000|NFLX
2020-12-31|USD|-137672000|||9103000|40362000|31943000|148356000|||2479282000|-146399000|33987000||0|0|||||0|0||268987000||2479282000||542156000|NFLX
2020-09-30|USD|1263761000|||388645000|22974000|28589000|109811000|||789976000|-118651000|68665000||0|0|||||0|0||68665000||1213775000||789976000|NFLX
2020-06-30|USD|1041076000|||-174969000|-3066000|26661000|141741000|||720196000|-142001000|1090965000||0|0|||||0|0||89060000||1990040000||720196000|NFLX
2020-03-31|USD|259912000|||127038000|127353000|28517000|98015000|||709067000|-98303000|43694000||0|0|||||0|0||43694000||205303000||709067000|NFLX
2019-12-31|USD|-1461975000|840790000||6204000|195951000|27818000|107737000|||2001411000|-207571000|2223801000||0|0|||||0|0||87633000||2001411000||586970000|NFLX
2019-09-30|USD|-501794000|48000000||275958000|-145000|26704000|45333000|||665244000|-49354000|11989000||0|0|||||0|0||11989000||-539159000||665244000|NFLX
2019-06-30|USD|-543754000|50000000||54706000|24231000|25496000|39584000|||270650000|-50036000|2246900000||0|0|||||0|0||21896000||1653110000||270650000|NFLX
2019-03-31|USD|-379799000|61000000||80973000|32076000|23561000|60381000|||344052000|-80103000|22972000||0|0|||||0|0||22972000||-436930000||344052000|NFLX
2018-12-31|USD|-1235072000|||116231000|88359000|23219000|70120000|||1453441000|-80358000|2053864000||0|0|||||0|0||136450000||1453441000|-39682000|133934000|NFLX
2018-09-30|USD|-690411000|||148534000|30364000|21161000|39333000|||402835000|-168694000|29237000||0|0|||||0|0||29781000||-829868000||402835000|NFLX
2018-06-30|USD|-518239000|||-21270000|25564000|19736000|27323000|||384349000|-40316000|1909412000||0|0|||||0|0||26936000||1350857000||384349000|NFLX
2018-03-31|USD|-236757000|||248402000|55905000|19041000|37170000|||290124000|-49752000|56014000||0|0|||||0|0||56335000||-230495000||290124000|NFLX
2017-12-31|USD|-487957000|326904000||141997000|87090000|19073000|21585000|||1099301000|-35841000|1597943000||0|0|||||0|0||103105000||1076326000|2181000|185517000|NFLX
2017-09-30|USD|-419607000|0||140982000|41399000|19238000|33963000|||129590000|202192000|34422000||0|0|||||0|0||34669000||-172308000|10685000|129590000|NFLX
2017-06-30|USD|-534528000|0||-13872000|80199000|18551000|65231000|||65600000|-56432000|1420386000||0|0|||||0|0||14826000||840953000|11527000|65600000|NFLX
2017-03-31|USD|-343856000|0||97763000|25402000|15049000|52523000|||178222000|-75590000|24239000||0|0|||||0|0||24178000||-389752000|5455000|178222000|NFLX
2016-12-31|USD|-557160000|193092000||28224000|1679000|14189000|61048000|||823122000|24422000|1042472000||0|0|||||0|0||62392000||498418000|-11316000|66748000|NFLX
