fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|401059000|||||88810000|170919000|||263144000|-166945000|-199601000||182522000|182522000||55412000|55412000|||||-182522000||||263144000|ODFL
2024-09-30|USD|446476000|||||86668000|242761000|||308580000|-201440000|-245177000||187659000|187659000||55622000|55622000|||||-187659000||||308580000|ODFL
2024-06-30|USD|387855000|||||84566000|238127000|||322045000|-264857000|-629668000||511833000|511833000||55951000|55951000|||||-511833000||||322045000|ODFL
2024-03-31|USD|423893000|||||84534000|119511000|||292304000|-117952000|-158766000||85280000|85280000||56633000|56633000|||||-85280000||||292304000|ODFL
2023-12-31|USD|436693000|||||84652000|105946000||3875000|322815000|-79535000|-129960000||85518000|85518000||43597000|43597000|||||-85518000||||322815000|ODFL
2023-09-30|USD|429235000|||||84059000|171967000|||339287000|-167351000|-110424000|0|65900000|65900000||43665000|43665000||0|0||-65900000||||339287000|ODFL
2023-06-30|USD|287840000|||||79787000|244660000|||292362000|-213059000|-227264000|0|160529000|160529000||43775000|43775000||0|0||-160529000||||292362000|ODFL
2023-03-31|USD|415367000|||||75951000|234736000|||285038000|-199875000|-194180000|0|141666000|141666000||44052000|44052000||0|0||-141666000||21312000||285038000|ODFL
2022-12-31|USD|361348000|||||72057000|270366000|-13009000|13009000|323929000|-158637000|-233126000|0|199918000|199918000||33044000|33044000||0|0||-199918000||-30415000||323929000|ODFL
2022-09-30|USD|514181000|||||68351000|181719000|||377401000|-114587000|-379001000|0|345431000|345431000||33405000|33405000||0|0||-345431000||20593000||377401000|ODFL
2022-06-30|USD|427328000|||||68314000|229350000|||376078000|-165794000|-327522000|0|393518000|393518000||33839000|33839000||0|0||-393518000||376078000||376078000|ODFL
2022-03-31|USD|388725000|||||67344000|93713000|||299751000|-108454000|-480713000|0|338352000|338352000||34196000|34196000||0|0||-338352000||-200442000||299751000|ODFL
2021-12-31|USD|339991000|||||66793000|165389000|-125562000||278806000|-194106000|-23082000|0|0|0||22979000|22979000||0|0||0||122803000||278806000|ODFL
2021-09-30|USD|364324000|||||65164000|178579000|||286634000|-235692000|-273075000|0|256250000|256250000||22979000|22979000||0|0||-256250000||286634000||286634000|ODFL
2021-06-30|USD|197983000|||||63951000|155156000|||269576000|-2418000|-63261000|0|40000000|40000000||23176000|23176000||0|0||-40000000||269576000||269576000|ODFL
