fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|3682000000|414000000|29000000|-172000000|-804000000|1926000000|1683000000|-170000000|-561000000|1140000000|-9119000000|5335000000||0|0|0|371000000|371000000||67000000|||134000000||||1133000000|OXY
2024-06-30|USD|2394000000|88000000||513000000|1163000000|1775000000|1771000000|626000000|677000000|1170000000|-1871000000|39000000||9000000|9000000|0|366000000|366000000||416000000|||822000000||||1162000000|OXY
2024-03-31|USD|2007000000|395000000||-259000000|180000000|1693000000|1783000000|76000000|110000000|888000000|-1810000000|-328000000||0|0|0|332000000|332000000|170000000|88000000|||160000000||||888000000|OXY
2023-12-31|USD|3239000000|418000000||-52000000|-786000000|1723000000|1544000000|-479000000|47000000|7627000000|-1969000000|-455000000||187000000|187000000|0|330000000|330000000|170000000|43000000|||-144000000||||1198000000|OXY
2023-09-30|USD|3129000000|397000000|9000000|602000000|812000000|1712000000|1619000000|823000000|-31000000|1375000000|-1474000000|-1539000000|0|434000000|434000000|0|187000000|347000000|187000000|55000000|0||-379000000||||1375000000|OXY
2023-06-30|USD|3070000000|99000000|3000000|49000000|-370000000|1709000000|1646000000|-422000000|-173000000|860000000|-1939000000|-1816000000|0|445000000|-106000000|0|205000000|368000000|205000000|7000000|0||113000000||-685000000||860000000|OXY
2023-03-31|USD|2870000000|410000000|0|-923000000|-640000000|1721000000|1461000000|-1010000000|248000000|1263000000|-1598000000|-1080000000|0|732000000|1283000000|551000000|320000000|320000000|200000000|30000000|0||-1253000000||192000000||1263000000|OXY
2022-12-31|USD|3975000000|400000000||257000000|391000000|1819000000|1520000000|235000000|134000000|20135000000|-1898000000|-2330000000|0|632000000|632000000||200000000|321000000|200000000|2000000|0||-630000000||||1927000000|OXY
2022-09-30|USD|4267000000|390000000|19000000|-2018000000|-1585000000|1736000000|1147000000|-2293000000|383000000|6394000000|-1019000000|-3370000000|0|1899000000|1899000000||200000000|324000000|200000000|174000000|0||-1725000000||-122000000||2746000000|OXY
2022-06-30|USD|5329000000|248000000|0|1080000000|899000000|1728000000|972000000|917000000|152000000|8741000000|-1293000000|-4586000000|0|532000000|532000000||200000000|323000000|200000000|90000000|0||-442000000||-550000000||3755000000|OXY
2022-03-31|USD|3239000000|598000000|70000000|18000000|957000000|1643000000|858000000|1238000000|-439000000|4876000000|-662000000|-3429000000|0|36000000|36000000||216000000|216000000|200000000|27000000|0||-9000000||-852000000||4876000000|OXY
2021-12-31|USD|3092000000|||209000000|845000000|1966000000|937000000|720000000|178000000|1537000000|-51000000|-2532000000|0|8000000|8000000||200000000|209000000|200000000|0|0||-1000000||-200000000||1537000000|OXY
2021-09-30|USD|3118000000|||163000000|220000000|1916000000|656000000|187000000|-34000000|828000000|-166000000|-5424000000|0|-3000000|-3000000||200000000|210000000|200000000|0|0||13000000||2744000000||828000000|OXY
2021-06-30|USD|3314000000|||510000000|-104000000|2371000000|698000000|242000000|-369000000|103000000|-754000000|-262000000|0|0|0||200000000|209000000|200000000|0|0||8000000||2474000000||103000000|OXY
2021-03-31|USD|910000000|||-17000000|1330000000|2194000000|579000000|937000000|311000000|-146000000|-282000000|-354000000|0|3000000|3000000||211000000|211000000|200000000|0|0||3000000||274000000||-146000000|OXY
2020-12-31|USD|1404000000|1330000000||2333000000|2371000000|1754000000|614000000|2186000000|242000000|-1112000000|1579000000|-2863000000|0|8000000|8000000||211000000|211000000||0|1980000000||0||120000000||-1112000000|OXY
2020-09-30|USD|852000000|1300000000|223000000|-896000000|-67000000|1915000000|246000000|-249000000|283000000|-3575000000|-292000000|301000000|0|0|0||7000000|7000000||0|4956000000||18000000||-2737000000||-3575000000|OXY
2020-06-30|USD|360000000|498000000|70000000|-290000000|-69000000|2119000000|382000000|-90000000|-109000000|-8131000000|-576000000|-935000000|0|4000000|4000000||714000000|714000000||0|0||14000000||-6012000000||-8353000000|OXY
2020-03-31|USD|1339000000|828000000|26000000|-4353000000|-4163000000|2309000000|1293000000|-3909000000|68000000|-2013000000|-1530000000|-1019000000|0|0|0||913000000|913000000||0|0||90000000||-1210000000||-2232000000|OXY
2019-12-31|USD|2009000000|401000000||||2369000000|2171000000|-44000000|77000000|-1036000000|-1301000000|-2499000000|0|0|0||858000000|858000000||0|0||18000000||-1791000000||-1339000000|OXY
2019-09-30|USD|2405000000|677000000|3000000|||1767000000|1714000000||77000000|-752000000|-25023000000|26232000000|0|0|0||588000000|588000000||0|21665000000||9973000000||954000000||-912000000|OXY
2019-06-30|USD|2013000000|-19000000|1000000|341000000|99000000|1031000000|1211000000|-38000000|99000000|635000000|-1288000000|-726000000|0|0|0||587000000|587000000||21000000|-108000000||21000000||1666000000||635000000|OXY
2019-03-31|USD|948000000|114000000|1000000|-47000000|837000000|973000000|1259000000|417000000|221000000|631000000|-1415000000|-814000000|0|237000000|237000000||591000000|591000000||0|0||-221000000||-1281000000||631000000|OXY
2018-12-31|USD|2500000000|85000000||||1086000000|1337000000|-740000000|-108000000|706000000|-1506000000|-915000000|0|340000000|340000000||594000000|594000000||16000000|0||-324000000||79000000||706000000|OXY
2018-09-30|USD|2404000000|116000000||||1023000000|1319000000||-108000000|1869000000|586000000|-1398000000|0|811000000|811000000||595000000|595000000||4000000|0||-807000000||1592000000||1869000000|OXY
2018-06-30|USD|1756000000|85000000||||947000000|1287000000||-108000000|848000000|-1315000000|-685000000|0|97000000|97000000||593000000|593000000||3000000|0||-94000000||-244000000||848000000|OXY
2018-03-31|USD|1009000000|97000000||||921000000|1032000000||-108000000|708000000|-971000000|-104000000|0|0|0||592000000|592000000||0|978000000||10000000||-66000000||708000000|OXY
2017-12-31|USD|1421000000|-468000000||||1076000000|1160000000|-158000000|-349000000|497000000|-953000000|-602000000|0|13000000|13000000||592000000|592000000||3000000|0||-10000000||-134000000||497000000|OXY
2017-09-30|USD|1086000000|289000000|0|||995000000|947000000|||190000000|-915000000|-583000000|0|6000000|6000000||586000000|586000000||9000000|0||3000000||-412000000||190000000|OXY
2017-06-30|USD|1849000000|286000000||||989000000|770000000|||507000000|-539000000|-586000000|0|0|0||584000000|584000000||4000000|0||-2000000||724000000||507000000|OXY
2017-03-31|USD|505000000|244000000||||942000000|722000000|||117000000|-672000000|-572000000|0|0|0||584000000|584000000||0|0||12000000||-739000000||117000000|OXY
2016-12-31|USD|916000000|-354000000||||1050000000|872000000|-1091000000|17000000|-272000000|-2767000000|-289000000|0|0|0||585000000|585000000||4000000|1485000000||4000000||-947000000||-272000000|OXY
2016-09-30|USD|650000000|224000000|0|||1046000000|598000000|||-241000000|-642000000|-579000000|0|7000000|7000000||575000000|575000000||3000000|||-4000000||-571000000||-241000000|OXY
2016-06-30|USD|1129000000|353000000|302000000|||1070000000|601000000|||-139000000|-697000000|143000000|0|8000000|8000000||575000000|575000000||18000000|||10000000||575000000||-139000000|OXY
2016-03-31|USD|689000000|89000000||||1102000000|646000000|||78000000|-637000000|-77000000|0|7000000|7000000||574000000|574000000||0|||4000000||-25000000||78000000|OXY
2015-12-31|USD|965000000|46000000||||1276000000|1080000000|1431000000|-24000000|-5178000000|-305000000|-6000000|0|7000000|7000000||574000000|574000000||3000000|||-4000000||654000000||-5178000000|OXY
2015-09-30|USD|1020000000|92000000||||1123000000|1127000000|||-2609000000|-1229000000|0|0|50000000|50000000||577000000|577000000||11000000|||-39000000||-209000000||-2609000000|OXY
2015-06-30|USD|805000000|19000000||||1116000000|1390000000|||176000000|-1683000000|1481000000|0|329000000|329000000||556000000|556000000||4000000|||-325000000||603000000||176000000|OXY
2015-03-31|USD|561000000|89000000||||1029000000|1675000000|||-218000000|-2206000000|9000000|0|207000000|207000000||557000000|557000000||0|||-188000000||-1636000000||-218000000|OXY
2014-12-31|USD|2866000000|20000000||||1204000000|1405000000|1413000000|-112000000|-3407000000|-1640000000|-334000000|0|417000000|417000000||561000000|561000000||13000000|||-404000000||892000000||-3413000000|OXY
2014-09-30|USD|2638000000|89000000||||1056000000|2598000000|||1211000000|-2742000000|610000000|0|507000000|507000000||565000000|565000000||4000000|||-503000000||506000000||1208000000|OXY
2014-06-30|USD|2867000000|19000000||||1024000000|2658000000|||1434000000|-1715000000|-1093000000|0|630000000|630000000||570000000|570000000||3000000|||-627000000||59000000||1431000000|OXY
2014-03-31|USD|2697000000|91000000||||977000000|2269000000|||1392000000|-2373000000|-1385000000|0|946000000|946000000||514000000|514000000||0|||-933000000||-1061000000||1390000000|OXY
2013-12-31|USD|2992000000|23000000||||307000000|2486000000|-755000000|79000000|1643000000|-1424000000|-1946000000|0|879000000|879000000||519000000|519000000||3000000|||-876000000||-378000000||1643000000|OXY
2013-09-30|USD|3561000000|93000000||||1334000000|2271000000|||1583000000|-2321000000|-538000000|0|36000000|36000000||517000000|517000000||3000000|||-33000000||702000000||1583000000|OXY
2013-06-30|USD|3513000000|23000000||||1303000000|2210000000|||1322000000|-2104000000|-480000000|0|22000000|22000000||517000000|517000000||14000000|||-8000000||929000000||1322000000|OXY
2013-03-31|USD|2712000000|99000000||||1259000000|2070000000|||1355000000|-2195000000|31000000|0|6000000|6000000|||||0|||4000000||548000000||1355000000|OXY
2012-12-31|USD|2800000000|23000000||||265000000|2510000000||-265000000|327000000|-3771000000|-1197000000|0|379000000|379000000||876000000|876000000||24000000|||-355000000||-2168000000||336000000|OXY
2012-09-30|USD|2541000000|72000000||||1148000000|2591000000|||1379000000|-2709000000|-482000000|0|52000000|52000000||439000000|439000000||3000000|||-49000000||-650000000||1375000000|OXY
2012-06-30|USD|3193000000|23000000||||1087000000|2713000000|||1332000000|-3747000000|1204000000|0|137000000|137000000||439000000|439000000||43000000|||-94000000||650000000||1328000000|OXY
2012-03-31|USD|2765000000|72000000||||1085000000|2412000000|||1560000000|-2415000000|-371000000|0|15000000|15000000||374000000|374000000||0|||0||-21000000||1559000000|OXY
2011-12-31|USD|3643000000|23000000||||938000000|2549000000||50000000|1634000000|-3415000000|-486000000|0|115000000|115000000||376000000|376000000||3000000|||-112000000||-258000000||1634000000|OXY
2011-09-30|USD|3074000000|56000000||||924000000|2011000000|||1771000000|-2197000000|1168000000|0|116000000|116000000||375000000|375000000||42000000|||-74000000||2045000000||1771000000|OXY
2011-06-30|USD|3342000000|23000000||||839000000|1633000000|||1817000000|-2550000000|-898000000|-500000000|30000000|30000000||375000000|375000000||2000000|||-28000000||-106000000||1817000000|OXY
2011-03-31|USD|2222000000|213000000||||890000000|1325000000|||1549000000|-1741000000|-959000000|1000000000|13000000|13000000||431000000|310000000||0|||-10000000||-478000000||1549000000|OXY
2010-12-31|USD|2822000000|53000000||||800000000|1124000000||42000000|1226000000|-4588000000|2237000000||56000000|56000000||311000000|311000000||3000000|||-53000000||471000000||1212000000|OXY
2010-09-30|USD|2423000000|25000000||||792000000|1100000000|||1213000000|-2299000000|-318000000||0|0||310000000|310000000||2000000|||2000000||-194000000||1191000000|OXY
2010-06-30|USD|2094000000|54000000||||798000000|868000000|||1075000000|-1340000000|-345000000||0|0||269000000|269000000||3000000|||-8000000||409000000||1063000000|OXY
2010-03-31|USD|2227000000|29000000||||763000000|848000000|||1088000000|-1068000000|-491000000||0|0||269000000|269000000||0|||2000000||668000000||1064000000|OXY
2009-12-31|USD|2103000000|48000000||||390000000|932000000||107000000|954000000|-2218000000|-269000000||11000000|11000000||270000000|269000000||2000000|||-11000000||-384000000||938000000|OXY
2009-09-30|USD|1642000000|35000000||||769000000|747000000|||941000000|-806000000|-983000000||20000000|20000000||287000000|274000000||3000000|||-16000000||-147000000||927000000|OXY
2009-06-30|USD|1421000000|||||742000000|767000000|||694000000|-1275000000|483000000||0|||262000000|260000000|||||741000000||629000000||682000000|OXY
2009-03-31|USD|780000000|||||786000000|1135000000|||377000000|-1167000000|-264000000||9000000|||260000000|260000000|||||-9000000||-651000000||368000000|OXY
2008-12-31|USD|2518000000|||||439000000|6142000000|||455000000|-2870000000|679000000||24000000|||263000000|263000000|||||-24000000||327000000||443000000|OXY
2008-09-30|USD|3105000000|||||683000000|1239000000|||2309000000|-2249000000|-910000000||627000000|||264000000|264000000|||||-627000000||-54000000||2271000000|OXY
2008-06-30|USD|2344000000|||||621000000|1116000000|||2334000000||-607000000|||||206000000|206000000|||||-424000000||||2297000000|OXY
