fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|265000000|333000000||||96000000|51000000|||21000000|-120000000|-61000000|||||34000000|34000000|0||0||18000000||||1000000|PARA
2024-06-30|USD|59000000|254000000||||101000000|49000000|||-5404000000|-69000000|-50000000|||||48000000|33000000|15000000||0||-1000000||||-5413000000|PARA
2024-03-31|USD|260000000|297000000||||100000000|51000000|||-544000000|-128000000|-187000000|||||49000000|35000000|14000000||0||-17000000||||-554000000|PARA
2023-12-31|USD|444000000|627000000||||108000000|115000000||-15518000000|517000000|1286000000|-1097000000|||||53000000|38000000|15000000||0||-8000000||||514000000|PARA
2023-09-30|USD|432000000|279000000||||105000000|73000000|||309000000|-117000000|-197000000|0|0|0||48000000|34000000|14000000|0|0||0||||295000000|PARA
2023-06-30|USD|-23000000|207000000||||105000000|69000000|||-290000000|-138000000|-235000000|0|0|0||166000000|151000000|15000000|0|0||0||-396000000||-299000000|PARA
2023-03-31|USD|-378000000|328000000||||100000000|71000000|||-1112000000|-89000000|-312000000|0|0|0||180000000|166000000|14000000|0|0||0||-779000000||-1118000000|PARA
2022-12-31|USD|-107000000|599000000||||123000000|130000000|-180000000|-17164000000|109000000|-143000000|-300000000|0|0|0||175000000|160000000|15000000|0|0||0||-550000000||21000000|PARA
2022-09-30|USD|-265000000|308000000||||92000000|77000000||-17164000000|242000000|-125000000|-183000000|0|0|0||170000000|156000000|14000000|0|-89000000||0||-573000000||231000000|PARA
2022-06-30|USD|194000000|205000000||||94000000|99000000|||422000000|-178000000|-1227000000|0|0|0||172000000|157000000|15000000|0|50000000||0||-1211000000||419000000|PARA
2022-03-31|USD|397000000|336000000||||96000000|52000000|||441000000|-80000000|-1271000000|0|0|0||172000000|158000000|14000000|0|1028000000||0||-954000000||433000000|PARA
2021-12-31|USD|-699000000|617000000||||101000000|123000000|179000000|-16584000000|2108000000|2411000000|-253000000|0|0|0||174000000|159000000|15000000|0|0||0||1459000000||2058000000|PARA
2021-09-30|USD|-139000000|311000000||||95000000|93000000||-16584000000|551000000|-145000000|-250000000|0|0|0||171000000|156000000|15000000|0|0||0||613000000||538000000|PARA
2021-06-30|USD|68000000|245000000||||95000000|76000000||-16584000000|1049000000|43000000|-372000000|0|0|0||151000000|151000000|0|0|13000000||0||1141000000||1036000000|PARA
2021-03-31|USD|1723000000|400000000||||99000000|62000000||-16584000000|923000000|86000000|723000000|0|0|0||151000000|151000000|0|1672000000|25000000||3063000000||2532000000||911000000|PARA
2020-12-31|USD|-271000000|665000000||||95000000|111000000|-68000000|-12170000000|829000000|325000000|-196000000|0|0|0||150000000|150000000||0|10000000||5000000||829000000||810000000|PARA
2020-09-30|USD|1414000000|400000000||||98000000|81000000||-12170000000|627000000|-82000000|-543000000|-8000000|0|0||149000000|149000000||0|-5000000||0||673000000||615000000|PARA
2020-06-30|USD|795000000|262000000||||124000000|81000000||-12170000000|726000000|-236000000|1128000000|-512000000|0|0||149000000|149000000||0|0||0||783000000||481000000|PARA
2020-03-31|USD|356000000|421000000||||113000000|51000000||-12170000000|519000000|49000000|-479000000|-186000000|58000000|58000000||152000000|152000000||0|0||-58000000||-74000000||516000000|PARA
