fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|4587000000|||-530000000|-651000000|436000000|277000000|-392000000|-111000000|3180000000|-671000000|-3008000000|0|1750000000|1750000000||942000000|942000000||0|0||-1750000000||||3180000000|QCOM
2024-09-30|USD|2647000000|||383000000|1263000000|439000000|256000000|989000000|384000000|2915000000|-385000000|-2199000000|0|1303000000|1303000000||948000000|948000000||187000000|0||-1116000000||||2920000000|QCOM
2024-06-23|USD|3052000000|||639000000|-97000000|419000000|387000000|-129000000|-69000000|2108000000|-1043000000|-3449000000|0|1303000000|1303000000||949000000|949000000||1000000|0||-1302000000||||2129000000|QCOM
2024-03-31|USD|3554000000|||391000000|-686000000|411000000|184000000|-417000000|-163000000|2275000000|-939000000|-1580000000|0|731000000|731000000||895000000|895000000||0|0||-536000000||||2326000000|QCOM
2023-12-31|USD|2949000000|||315000000|45000000|437000000|214000000|325000000|-165000000|2811000000|-1256000000|-2041000000|0|784000000|784000000||895000000|895000000||0|0||-784000000||||2767000000|QCOM
2023-09-30|USD|4090000000|||777000000|-864000000|462000000|293000000|-665000000|-200000000|1629000000|-618000000|-1117000000|0|400000000|400000000||893000000|893000000||201000000|0||-199000000||||1490000000|QCOM
2023-06-30|USD|2657000000|||374000000|-36000000|479000000|306000000|157000000|-204000000|1918000000|1737000000|-1988000000|-498000000|400000000|400000000||893000000|893000000||1000000|0||-399000000||2406000000||1803000000|QCOM
2023-03-31|USD|1457000000|||-1480000000|-556000000|470000000|453000000|-270000000|-80000000|1702000000|-224000000|-2543000000|497000000|903000000|903000000||834000000|834000000||0|0||-671000000||-1310000000||1704000000|QCOM
2022-12-31|USD|3095000000|||-1550000000|-1627000000|398000000|398000000|-1694000000|476000000|2273000000|-133000000|-1015000000|-497000000|1270000000|1270000000||842000000|842000000|||1880000000||-1270000000||1947000000||2235000000|QCOM
2022-09-30|USD|1446000000|||319000000|2692000000|490000000|634000000|1850000000|936000000|2923000000|-290000000|-1192000000|-2000000|500000000|500000000||841000000|841000000||168000000|0||-332000000||14000000||2873000000|QCOM
2022-06-30|USD|2895000000|||-934000000|1127000000|438000000|554000000|-285000000|864000000|3730000000|-4876000000|-1960000000|-1000000|500000000|500000000||842000000|842000000||1000000|1477000000||-499000000||3730000000|-34000000|3730000000|QCOM
2022-03-31|USD|2698000000|||322000000|1054000000|428000000|491000000|47000000|699000000|2934000000|-526000000|-1598000000|0|951000000|951000000||764000000|764000000||0|0||-764000000||2934000000|-8000000|2934000000|QCOM
2021-12-31|USD|2057000000|||286000000|2596000000|406000000|583000000|454000000|638000000|3399000000|-112000000|-2446000000|0|1178000000|1178000000||765000000|765000000|||0||-1178000000||-509000000|-8000000|3399000000|QCOM
2021-09-30|USD|1077000000|||332000000|2427000000|425000000|430000000|626000000|113000000|2798000000|50000000|-1402000000|1000000|771000000|771000000||768000000|768000000||173000000|0||-598000000||-283000000|-8000000|2798000000|QCOM
2021-06-30|USD|3373000000|||815000000|-44000000|406000000|506000000|-394000000|449000000|2027000000|-372000000|-1608000000|0|630000000|630000000||767000000|767000000||0|0||-630000000||2027000000|6000000|2027000000|QCOM
2021-03-31|USD|2911000000|||32000000|-714000000|387000000|483000000|-799000000|122000000|1762000000|-1832000000|-2143000000|-1000000|1521000000|1521000000||734000000|734000000||0|||-1347000000||1762000000|-12000000|1762000000|QCOM
2020-12-31|USD|3175000000|||407000000|176000000|364000000|469000000|141000000|-62000000|2455000000|-1202000000|-1645000000|1000000|444000000|444000000||739000000|739000000|||||-444000000||369000000|41000000|2455000000|QCOM
2020-09-30|USD|1741000000|39000000||413000000|2341000000|339000000|348000000|2151000000|219000000|2960000000|-338000000|-836000000|1000000|0|0||734000000|734000000|||-1000000||153000000||2960000000|20000000|2960000000|QCOM
2020-06-30|USD|1872000000|40000000||243000000|-520000000|363000000|418000000|-1229000000|641000000|845000000|-3156000000|-1003000000|1000000|110000000|110000000||733000000|733000000|||||-108000000||845000000|4000000|845000000|QCOM
2020-03-31|USD|1083000000|36000000||554000000|577000000|340000000|345000000|345000000|280000000|468000000|-1566000000|-2209000000|0|1578000000|1578000000||705000000|705000000|||||-1427000000||468000000|-14000000|468000000|QCOM
2019-12-31|USD|1118000000|38000000||225000000|398000000|351000000|296000000|262000000|17000000|925000000|-203000000|-1659000000|0|762000000|762000000||710000000|710000000|||||-739000000||-730000000|14000000|925000000|QCOM
2019-09-30|USD|1227000000|||-18000000|3095000000|350000000|317000000|78000000|-368000000|506000000|-337000000|-2940000000|-498000000|705000000|705000000||711000000|711000000|||||-555000000||-6076000000|-34000000|506000000|QCOM
2019-06-30|USD|4909000000|||-1901000000|-1195000000|353000000|248000000|-1251000000|46000000|2149000000|-208000000|-915000000|1000000|69000000|69000000||755000000|755000000||87000000|||18000000||2149000000|2000000|2149000000|QCOM
2019-03-31|USD|794000000|||79000000|73000000|345000000|170000000|215000000|31000000|663000000|-109000000|-644000000|0|0|0||752000000|752000000||149000000|||149000000||663000000|3000000|663000000|QCOM
2018-12-31|USD|356000000|39000000||-979000000|-249000000|353000000|152000000|-415000000|18000000|1068000000|-152000000|-1887000000|-6000000|1019000000|1019000000||750000000|750000000|||||-991000000||-801000000|-3000000|1068000000|QCOM
2018-09-30|USD|-423000000|220000000||-625000000|-296000000|396000000|159000000|-264000000|-92000000|-513000000|-234000000|-25163000000|-2183000000|21155000000|21155000000||866000000|866000000||216000000|||-20939000000||-25842000000|-22000000|-513000000|QCOM
2018-06-30|USD|2053000000|||688000000|-398000000|414000000|214000000|-376000000|-2000000|1202000000|1134000000|-5463000000|954000000|1000000000|1000000000||911000000|911000000|||||-948000000||-2327000000|-51000000|1202000000|QCOM
2018-03-31|USD|516000000|||-147000000|280000000|388000000|185000000|487000000|-81000000|330000000|4742000000|-709000000|266000000|200000000|200000000||845000000|845000000|||||1000000||4584000000|35000000|330000000|QCOM
2017-12-31|USD|1762000000|||677000000|-687000000|363000000|226000000|-581000000|-162000000|-5983000000|-3261000000|-165000000|967000000|225000000|225000000||844000000|844000000|||||-91000000||-1667000000|-3000000|-5983000000|QCOM
2017-09-30|USD|-192000000|2000000||1636000000|43000000|397000000|262000000|-2125000000|-382000000|157000000|20805000000|-1430000000|-1000000|315000000|315000000||841000000|841000000|||||-149000000||22120000000|20000000|157000000|QCOM
2017-06-30|USD|865000000|1000000||-1737000000|-737000000|393000000|177000000|-670000000|-63000000|855000000|-1102000000|8771000000|-999000000|300000000|300000000||844000000|844000000|||||-259000000||7785000000|34000000|856000000|QCOM
2017-03-31|USD|749000000|2000000||1167000000|1590000000|342000000|122000000|1822000000|-109000000|749000000|79000000|-666000000|249000000|283000000|283000000||783000000|783000000|||||-124000000||239000000|11000000|749000000|QCOM
2016-12-31|USD|2878000000|35000000||493000000|239000000|329000000|129000000|-131000000|354000000|681000000|681000000|-1104000000|0|444000000|444000000||784000000|784000000|||||-313000000||939000000|-17000000|682000000|QCOM
2016-09-30|USD|-3306000000|37000000||323000000|396000000|336000000|150000000|271000000|218000000|1599000000|-1259000000|-989000000|1000000|225000000|225000000||782000000|782000000|||||21000000||61000000|-7000000|1599000000|QCOM
2016-06-30|USD|1443000000|33000000||-17000000|93000000|356000000|136000000|215000000|-90000000|1443000000|-794000000|-943000000|-200000000|100000000|100000000||781000000|781000000|||||51000000||110000000|7000000|1444000000|QCOM
2016-03-31|USD|1164000000|132000000||-535000000|549000000|372000000|125000000|392000000|212000000|1164000000|-719000000|-1157000000|949000000|1548000000|1548000000||710000000|710000000|||||-1376000000||-1138000000|1000000|1164000000|QCOM
2015-12-31|USD|2739000000|61000000||111000000|-1003000000|364000000|128000000|-646000000|-291000000|1496000000|-716000000|-2665000000|-1000000|2050000000|2050000000||717000000|717000000|||||-1951000000||-647000000|-5000000|1498000000|QCOM
2015-09-30|USD|1684000000|30000000||-214000000|-431000000|326000000|179000000|-112000000|-215000000|1060000000|-1352000000|-2749000000|1000000|2230000000|2230000000||738000000|738000000|||||-2014000000||-2427000000|-10000000|1061000000|QCOM
2015-06-30|USD|2116000000|20000000||-424000000|-622000000|297000000|366000000|-100000000|-281000000|1183000000|-1530000000|3904000000|-96000000|5405000000|5405000000||757000000|757000000|||||-5251000000||4495000000|5000000|1184000000|QCOM
2015-03-31|USD|-658000000|30000000||-1374000000|14000000|304000000|196000000|-165000000|100000000|1052000000|1046000000|-1213000000|1095000000|1947000000|1947000000||688000000|688000000|||||-1646000000||-833000000|-8000000|1053000000|QCOM
2014-12-31|USD|2364000000|48000000||215000000|258000000|287000000|253000000|-173000000|303000000|1971000000|-1736000000|-2203000000|0|1664000000|1664000000||697000000|697000000|||||-1548000000||-1582000000|-7000000|1972000000|QCOM
