fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|1003100000|26400000||10300000|126200000|422000000|453700000|30500000||565900000|-635800000|-753500000||153100000|153100000||168100000|168000000|||4243000000||-153100000||||565700000|RSG
2024-06-30|USD|1099400000|21100000||121700000|50200000|413000000|403400000|68300000||511900000|-433800000|-233400000||0|0||168500000|168500000|||4936300000||0||||511500000|RSG
2024-03-31|USD|811500000|15500000||-171700000|-17000000|399200000|514500000|1100000||453700000|-678900000|-201200000||0|0||168600000|168300000|||6436800000||0||||453800000|RSG
2023-12-31|USD|898500000|237700000||-74500000|61500000|402000000|547900000|-89700000||439700000|-1566000000|641100000||71400000|71400000||168600000|168600000|||12269600000||-71400000||||439581000|RSG
2023-09-30|USD|953100000|16500000||134700000|126100000|382300000|369000000|109000000||480300000|-426500000|-545500000||190400000|190400000||156500000|156500000||0|12539000000||0||||480200000|RSG
2023-06-30|USD|1078500000|30700000||211300000|-2600000|358300000|335700000|48700000||427600000|-1021000000|8300000||0|0||156600000|156600000||0|8725700000||0||65800000||427400000|RSG
2023-03-31|USD|687700000|16600000||-206100000|-83900000|358700000|378600000|3300000||383900000|-653300000|-42000000||0|0||156400000|156400000||0|7859100000||0||-7600000||383900000|RSG
2022-12-31|USD|810000000|201200000||4800000|104500000|349800000|529200000|-7300000||347000000|-722100000|-22000000||0|0||156400000|156400000||0|5949800000||-13600000||65900000||346750000|RSG
2022-09-30|USD|816800000|24900000||4600000|100300000|353900000|277500000|55700000||416900000|-417000000|-432700000||0|0||146100000|145300000||0|5157600000||0||-33000000||416924000|RSG
2022-06-30|USD|857600000|13500000||149900000|94200000|337600000|313600000|112000000||371800000|-2884500000|2113600000||0|0||145300000|145300000||0|4700000000||0||86800000||371900000|RSG
2022-03-31|USD|705600000|15900000||-53000000|-16400000|310400000|334100000|38400000||351900000|-399400000|-314700000||203500000|203500000||145900000|145900000||0|638900000||-203500000||-8500000||352000000|RSG
2021-12-31|USD|648900000|147200000||9700000|160400000|299000000|412100000|-2300000|-400000|313100000|-680500000|14300000||73200000|73200000||144900000|146100000||-4900000|1200100000||-78100000||-17300000||313105000|RSG
2021-09-30|USD|655000000|14000000||75600000|52700000|301300000|295600000|69600000|825900000|350800000|-652500000|8400000||138900000|138900000||135400000|135400000||2400000|1908600000||-136500000||356500000||350300000|RSG
2021-06-30|USD|821800000|17400000||115000000|32900000|303000000|277600000|59200000|964200000|332000000|-788500000|-9600000||27400000|27400000||136800000|135600000||2800000|1495500000||-24600000||357400000||331065000|RSG
2021-03-31|USD|661000000|12900000||-44800000|-53600000|282100000|331000000|8900000|706800000|296400000|-344600000|-342300000||12700000|12700000||135500000|135500000||-12300000|1242400000||-25000000||-25900000||295900000|RSG
2020-12-31|USD|562600000|136400000||-63800000|118100000|267500000|305600000|-10400000|-128500000|236300000|-889900000|-47700000||0|0||135600000|135400000||2600000|1275500000||2600000||236300000||235500000|RSG
2020-09-30|USD|575500000|17200000||37200000|99200000|270700000|234300000|42100000|-57100000|260200000|-311100000|-125900000||0|0||129200000|129200000||8000000|639600000||8000000||262600000||260000000|RSG
2020-06-30|USD|737700000|13500000||66400000|-121400000|269100000|281600000|-17500000|103900000|226300000|-260100000|-470300000||0|0||128700000|128700000||2800000|466000000||2800000||213800000||225500000|RSG
2020-03-31|USD|595800000|21000000||-126500000|-116200000|268600000|373100000|-28000000|88200000|246800000|-461700000|31900000||98800000|98800000||129200000|129200000||-9500000|2960500000||-108300000||166000000||246300000|RSG
2019-12-31|USD|565200000|49600000||-15100000|181000000|257400000|298800000|-27000000|-208000000|290000000|-402400000|-114000000||45600000|45600000||129500000|129300000||4000000|2132800000||-41600000||290000000||289300000|RSG
2019-09-30|USD|651300000|28500000||42000000|15300000|267300000|319700000|12300000|-3000000|298000000|-554000000|-112400000||151300000|151300000||120200000|120200000||8400000|1220600000||-142900000||215600000||298300000|RSG
2019-06-30|USD|581900000|29700000||34500000|31700000|264200000|289400000|76200000|44500000|250900000|-403500000|-171200000||91000000|91000000||120700000|120700000||6000000|1179300000||-85000000||194900000||251500000|RSG
2019-03-31|USD|553700000|11800000||-81300000|-80000000|251500000|299300000|-23200000|56800000|234900000|-359100000|-191400000||111500000|111500000||121000000|121000000||-9100000|1104900000||-120600000||3200000||234200000|RSG
2018-12-31|USD|495900000|24600000||-3200000|96500000|252400000|251300000|-42500000|-139000000|301100000|-297400000|-202100000||162000000|162000000||122400000|121800000||3300000|1050900000||-158700000||301100000||301000000|RSG
2018-09-30|USD|555900000|6100000||36500000|115900000|262400000|278300000|54400000|-61500000|262900000|-325700000|-226000000||100900000|100900000||112300000|112300000||11700000|878000000||-89200000||240900000||263400000|RSG
2018-06-30|USD|609600000|4200000||43000000|21600000|255500000|278800000|65200000|43600000|235700000|-329300000|-281800000||219500000|219500000||113300000|113300000||6900000|1324800000||-212600000||186000000||234900000|RSG
2018-03-31|USD|581400000|20000000||-37000000|-51900000|263100000|263300000|-47500000|4400000|237900000|-276700000|-349600000||254500000|254500000||114400000|114400000||1300000|1093900000||-253200000||-44900000||237700000|RSG
2017-12-31|USD|528600000|77500000||-1800000|4900000|267300000|220800000|-30100000|-35000000|664500000|-418600000|-46000000||257400000|257400000||116400000|115700000||10200000|1363000000||-247200000||19400000||664400000|RSG
2017-09-30|USD|502900000|3700000||42600000|85400000|260800000|271500000|57400000|-28000000|223300000|-321100000|-150900000||122600000|122600000||107800000|107800000||6900000|1165800000||-115700000||27900000||223200000|RSG
2017-06-30|USD|434800000|5400000||-4200000|71900000|258300000|273700000|65500000|-6400000|203400000|-299200000|-130500000||131800000|131800000||108400000|108400000||6300000|1177000000||-125500000||2800000||202900000|RSG
2017-03-31|USD|444400000|16500000||-38800000|-6900000|249900000|223900000|26100000|33000000|187800000|-291300000|-187000000||98900000|98900000||108600000|108600000||13500000|1085300000||-85400000||-34600000||187800000|RSG
2016-12-31|USD|488200000|209000000||-31100000|-69400000|245400000|189100000|-18500000|50900000|189600000|-212100000|-272200000||97200000|97200000||109700000|109000000||14300000|842800000||-82900000||12800000||189500000|RSG
2016-09-30|USD|515300000|9700000||-70700000|16500000|252400000|226700000|31600000|15100000|85700000|-235200000|-267100000||110500000|110500000||102800000|102800000||8700000|1279000000||-101800000||13000000||85600000|RSG
2016-06-30|USD|412800000|9200000||28000000|84800000|250100000|240500000|61800000|-23000000|181000000|-247000000|-157200000||110300000|110300000||103400000|103400000||13900000|977600000||-96400000||8600000||180800000|RSG
2016-03-31|USD|431500000|25500000||21300000|21500000|243200000|271500000|-22600000|-44100000|156900000|-270200000|-160300000||85800000|85800000||103700000|103700000||12800000|812000000||-73000000||1000000||156700000|RSG
2015-12-31|USD|355200000|104400000||-193600000|-79600000|244300000|213600000|-24100000|55500000|172400000|-239600000|-185700000||111400000|111400000||104800000|104300000||13600000|23000000||-97800000||-70100000||172300000|RSG
2015-09-30|USD|423300000|135200000||39300000|100600000|247100000|232800000|25400000|-75200000|215200000|-245000000|-175700000||93800000|93800000||97800000|97800000||19300000|102200000||-74500000||2600000||215000000|RSG
