fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|304651000|130269000||6612000|36808000|57385000|272297000|25481000||255891000|-273902000|-65913000||0|0||105344000|105344000|||175000000||5842000||||258534000|SBAC
2024-06-30|USD|425593000|81849000||12867000|-20477000|57432000|91590000|-25426000||159452000|-121208000|-276523000||93862000|93862000||105329000|105329000|||69990000||-89651000||||162830000|SBAC
2024-03-31|USD|294453000|128560000||-92832000|25505000|69889000|77276000|24783000||154543000|-85310000|-191412000||106157000|106157000||108135000|108135000|||2399825000||-89066000||||154543000|SBAC
2023-12-31|USD|432611000|355279000||61095000|-11770000|206656000|99832000||14287000|109528000|-106370000|-311554000||46358000|46358000||91759000|91759000|||0||-23220000||||109528000|SBAC
2023-09-30|USD|313681000|128507000||-45563000|30346000|173697000|115430000|24833000|-9107000|85362000|-103530000|-230776000|0|0|0||92131000|92131000||0|50000000||-51902000||||87419000|SBAC
2023-06-30|USD|486933000|83488000||62217000|-13271000|175344000|84032000|-27024000|-40463000|201970000|-111585000|-314160000|0|0|0||92137000|92137000||0|0||7366000||61188000||203648000|SBAC
2023-03-31|USD|311168000|134094000||-24582000|30193000|176188000|69320000|25958000|-9103000|100554000|-146761000|-160728000|0|0|0||93933000|93933000||0|140000000||11942000||3679000||101217000|SBAC
2022-12-31|USD|288634000|374615000||-42587000|-25682000|201810000|823625000|-23474000|47456000|102578000|-802343000|430594000|0|0|0||76664000|76664000||0|1484885000||4558000||-83115000||103281000|SBAC
2022-09-30|USD|332469000|114204000||41858000|42375000|173655000|123829000|25734000|25817000|99762000|-105616000|-190064000|0|0|0||76664000|76664000||0|0||13505000||36789000||100009000|SBAC
2022-06-30|USD|372115000|68573000||2725000|-14532000|175422000|193078000|-27136000|-1734000|69151000|-229814000|-224254000|0|-1000|-1000||76565000|76565000||0|0||9405000||-81953000||69516000|SBAC
