fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|759853000|9102000||86988000|-226753000|121052000|621355000|-210435000|-28169000|320894000|-851995000|277372000||309901000|309901000||71584000|71584000|||||-309901000||||317802000|STLD
2024-06-30|USD|382561000|41037000||49311000|81004000|117053000|419166000|36332000|46645000|431690000|-209586000|-382350000||309064000|309064000||72624000|72624000|||||-309064000||||427998000|STLD
2024-03-31|USD|355217000|9327000||-250538000|275954000|115252000|374310000|130753000|133025000|587500000|-292934000|-423846000||298059000|298059000||68008000|68008000|||||-298059000||||584041000|STLD
2023-12-31|USD|864640000|64740000||54848000|-304422000|111722000|514945000|-273743000|-43952000|427040000|-734788000|-494376000||386682000|386682000||69483000|69483000|||||-386682000||||424270000|STLD
2023-09-30|USD|1113699000|9848000||64230000|-349868000|107418000|558361000|-260915000|-102376000|579782000|-452547000|-371026000||331318000|331318000||70713000|70713000|||||-331318000||||577195000|STLD
2023-06-30|USD|807806000|41781000||-13402000|77052000|110970000|358280000|16971000|55158000|816177000|-473268000|-464119000||380206000|380206000||72323000|72323000|||||-380206000||-129581000||812107000|STLD
2023-03-31|USD|733783000|9596000||-300603000|-78032000|107694000|226319000|70922000|-141112000|644333000|-309646000|-447613000||353997000|353997000||58798000|58798000|||||-353997000||-23476000||637310000|STLD
2022-12-31|USD|1143428000|61598000||-103732000|-568251000|102241000|344201000|-306990000|-258871000|639011000|-468886000|-466620000||413015000|413015000||60032000|60032000|||||-413015000||||634864000|STLD
2022-09-30|USD|1496155000|9214000||-114547000|-581570000|98714000|241229000|-326731000|-270628000|918475000|-518148000|-564595000||481676000|481676000||62088000|62088000|||||-481676000||413412000||914325000|STLD
2022-06-30|USD|1001852000|41114000||327544000|440486000|95701000|164142000|297047000|130552000|1214652000|-510835000|-673460000||517024000|517024000||64344000|64344000|||||-517024000||-182443000||1209554000|STLD
2022-03-31|USD|818968000|9168000||-334628000|413517000|87546000|159330000|447234000|-14315000|1107354000|-381400000|-491909000||389190000|389190000||50699000|50699000|||||-389190000||-54341000||1103931000|STLD
2021-12-31|USD|723899000|60158000||221147000|640671000|86280000|204541000|23639000|633359000|1095697000|-200995000|-374736000||329818000|329818000||51943000|51943000|||||-329818000||148168000||1090505000|STLD
2021-09-30|USD|630816000|9174000||218543000|755084000|87407000|214629000|321771000|412952000|1000159000|-213605000|-435254000||337616000|337616000||53380000|53380000|||||-337616000||-18043000||990763000|STLD
2021-06-30|USD|587230000|41727000||175152000|473781000|87047000|277206000|204561000|264935000|712203000|-275347000|-443309000||393198000|393198000||54916000|54916000|||||-393198000||-131426000||702291000|STLD
2021-03-31|USD|262191000|11315000||357107000|763305000|86919000|309863000|394545000|374588000|438755000|-309473000|-76170000||0|0||52729000|52729000|||||0||-123452000||430507000|STLD
2020-12-31|USD|137951000|53141000||87919000|295564000|85057000|343157000|53929000|234386000|196950000|-343224000|306273000||0|0||52591000|52591000|||||0||196950000||196950000|STLD
2020-09-30|USD|151790000|8597000||56178000|100401000|81752000|327647000|58271000|38236000|104277000|-316734000|-64276000||0|0||52592000|52592000|||||0||-229220000||100143000|STLD
2020-06-30|USD|486010000|59668000||48639000|-243010000|78721000|309716000|-154352000|-77521000|78765000|-159265000|-65387000||0|0||52584000|52584000|||||0||261358000||75496000|STLD
2020-03-31|USD|211281000|8785000||-24598000|111108000|80259000|217535000|154072000|-44505000|190836000|-174036000|-183658000||106529000|106529000||51481000|51481000|||||-106529000||-146413000||187340000|STLD
2019-12-31|USD|409062000|68248000||-23600000|-226690000|80527000|158258000|-142610000|-77977000|123719000|-349169000|175964000||56214000|56214000||51807000|51778000|||||-56214000||123719000||123719000|STLD
