fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-11-30|USD|685200000||||5500000|119300000|228400000|-32900000|68900000|1302700000|-240600000|-434800000|382000000|218900000|218900000||230200000|182700000|||0||-201100000||||615900000|STZ
2024-08-31|USD|1181800000|||114100000|-68500000|109600000|327800000|-22800000|-62000000|-2517000000|-480200000|-711000000|-285100000|249200000|249200000||183300000|183300000|||0||-225500000||||-1199000000|STZ
2024-05-31|USD|690500000|||-35000000|172100000|111900000|375300000|63400000|47300000|1813600000|-377400000|-393000000|551800000|200000000|200000000||185300000|185300000|||0||-175300000||||877000000|STZ
2024-02-29|USD|433200000|||-152800000|53000000|106400000|357200000|-66300000|91900000|1085000000|-356000000|-2200000|-217500000|0|0||162700000|162700000|||399600000||15500000||||392400000|STZ
2023-11-30|USD|724800000|||151900000|136000000|108400000|329900000|-36900000|171700000|1171800000|-329000000|-400000000|-8500000|214700000|214700000||163500000|163500000|||0||-211900000||||509100000|STZ
2023-08-31|USD|956600000|||-51300000|-110400000|108700000|305000000|-1500000|-138900000|1548600000|-309000000|-757700000|-351600000|0|0||163500000|163500000|||0||70300000||||690000000|STZ
2023-05-31|USD|665400000|||-39000000|107000000|105700000|277000000|31500000|57600000|369600000|-291900000|-314700000|-346300000|35000000|35000000||164100000|164100000|||744800000||-19100000||||135900000|STZ
2023-02-28|USD|476300000|||-65300000|82500000|105800000|351600000|-21400000|97100000|961200000|-352800000|-174000000|289700000|299700000|299700000||146600000|146600000|||499100000||-294000000||||223000000|STZ
2022-11-30|USD|626300000|||39200000|74400000|95800000|248800000|-59500000|173000000|1090500000|-160600000|-447300000|211700000|0|0||145800000|145800000|||999000000||6200000||||467700000|STZ
2022-08-31|USD|896100000|||-27100000|33400000|91700000|238400000|102000000|3300000|-2149000000|-259200000|-571400000|539900000|392900000|392900000||146000000|146000000|||0||-376400000||-2295700000||-1151200000|STZ
