fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|285800000|||||113900000|86500000|||91100000|-85400000|-234300000|-121500000|0|0||123600000|123600000||0|0||0||||91100000|SWK
2024-03-31|USD|-431000000|18200000||||99100000|65700000|||19500000|-63200000|548600000|674900000|6300000|6300000|0|121800000|121800000||3800000|0||-2500000||||19500000|SWK
2023-12-31|USD|769300000|105200000||||100400000|122300000||906600000|-6700000|-120900000|-576700000|-450400000|9300000|9300000|0|121800000|121800000||7500000|0||5300000||||-304400000|SWK
2023-09-30|USD|443900000|24200000||||103000000|79900000|||4700000|-76400000|-387700000|-266400000|1200000|1200000|0|121300000|121300000||4400000|-600000|0|3200000||||4700000|SWK
2023-06-30|USD|264400000|||||116100000|68300000|||177000000|-69200000|-175800000|-42000000|800000|800000|0|119700000|119700000||4000000|0|0|3200000||19400000||177000000|SWK
2023-03-31|USD|-286300000|||||112900000|68200000|||-187800000|-61200000|324200000|-285900000|4800000|4800000||119800000|119800000||3100000|747200000||-1700000||-23300000||-187800000|SWK
2022-12-31|USD|651100000|||||97400000|115300000|109000000|-792400|-1455100000|-124600000|-600100000|-466100000|4300000|754300000|750000000|125800000|120000000|5800000|15700000|0|0|-713100000||-73600000||-45000000|SWK
2022-09-30|USD|-425600000|||||88400000|128800000||-792400000|844600000|4014900000|-3404600000|-3263400000|4600000|4600000|0|115500000|115500000|0|3400000|0||-1200000||184700000||844600000|SWK
2022-06-30|USD|-443900000|||||91900000|145700000|||87700000|-154300000|608200000|746600000|1100000|1100000|0|114000000|114000000|0|5900000|-2200000||4800000||10000000||87600000|SWK
2022-03-31|USD|-1241100000|||||92000000|139800000|||175400000|-163400000|1425400000|2844800000|2313000000|2313000000||116300000|116300000|0|13700000|994800000||-2299300000||20900000||175300000|SWK
2021-12-31|USD|371900000|||||94700000|195200000|-280600000|-1970400000|-1125800000|-2224100000|1859200000|2073900000|14200000|14200000|0|127100000|127100000|0|23300000|||9100000||-54500000|-61500000|328100000|SWK
2021-09-30|USD|4600000|||||93900000|129600000|||414100000|-143000000|7800000|149600000|2800000|2800000|0|126000000|126000000|0|7700000|||4900000||1602600000||414200000|SWK
2021-06-30|USD|444400000|||||91900000|105100000|||458500000|-108800000|-853300000|1800000|2400000|752400000|750000000|121100000|111600000|9500000|36300000|||-716100000||458500000||459500000|SWK
2021-03-31|USD|-157800000|||||93500000|88300000|||486800000|-147900000|-95000000|-700000|14900000|14900000||119500000|110100000|9400000|64100000|||49200000||486800000||487400000|SWK
2020-12-31|USD|1421900000|||||95400000|138600000|-39600000|-401500000|467700000|-92800000|-657600000|-800000|15000000|15000000|0|120200000|110800000|9400000|53200000|0|-750000000|-711800000||1785300000|22800000|467300000|SWK
2020-09-30|USD|677200000|||||94100000|62100000||-401500000|395200000|-63800000|-810200000|-712900000|1900000|1900000|0|119000000|109600000|9400000|42500000||0|40600000||-196800000||394900000|SWK
2020-06-30|USD|328200000|||||94200000|64500000||-221000000|238700000|-56800000|-391500000|-980800000|300000|300000|0|105800000|105800000|0|6700000||750000000|756400000||-120100000||238400000|SWK
2020-03-31|USD|-405200000|||||92800000|82900000||-401500000|133100000|-1363700000|2475200000|1351900000|9000000|9000000||105600000|105600000|0|44600000|||35600000||706300000||133200000|SWK
2019-12-31|USD|1243300000|||||92000000|141200000|-137800000|137700000|199100000|-68700000|-1203400000|-1136000000|15600000|34800000||104400000|104400000|0|99900000||0|944800000||199100000|19000000|199100000|SWK
2019-09-30|USD|192700000|||||93100000|96700000||137700000|231100000|-100400000|-67400000|28600000|2700000|2700000||102300000|102300000|0|21500000|||18800000||-500000|-25400000|230500000|SWK
2019-06-30|USD|501000000|||||93700000|97200000||137700000|357400000|-32200000|-429900000|-330600000|1100000|1100000||97700000|97700000||14400000|||13300000||39100000|200000|356300000|SWK
2019-03-31|USD|-431300000|||||94000000|89600000||137700000|170400000|-1007300000|1408200000|1419900000|8100000|8100000||97600000|97600000||10200000|||2100000||-25600000|4800000|169900000|SWK
2018-12-31|USD|1220800000|||||199900000|164700000|48800000|-401600000|-106000000|-140900000|-1137400000|-1011900000|12600000|12600000||98400000|98400000||5700000||0|14700000||-106000000|200000|-106800000|SWK
2018-09-30|USD|191500000|||||44500000|109400000||-401600000|248300000|-134400000|-97600000|309500000|300000000|301800000||97400000|97400000||10200000||0|-291600000||-34700000|5800000|230500000|SWK
2018-06-30|USD|198000000|15200000||||44500000|111700000||-401600000|293400000|-587500000|457500000|753600000|200000000|201300000||94200000|94200000||9500000|0|0|-191800000||-19800000|-87800000|356300000|SWK
2018-03-31|USD|-349400000|12700000||||42300000|106300000||-401600000|170100000|-126300000|215900000|382000000|11400000|68700000||94900000|94900000||13100000|0|0|-55600000||-231900000|27900000|169900000|SWK
2017-12-31|USD|715200000|||||177000000|164500000|-189800000|-303000000|282400000|107800000|-650700000|-575900000|12500000|12500000||95000000|95000000||43300000|||99200000||199600000|-500000|-106800000|SWK
2017-09-30|USD|115600000|||||44100000|91000000|||274200000|-32200000|-161900000|-64400000|600000|600000||94700000|94700000||14600000|0|0|14000000||-56200000|22300000|247800000|SWK
2017-06-30|USD|151800000|||||42100000|122200000|||277200000|-46400000|35000000|-593100000|2100000|27200000||86500000|86500000||15600000|||715900000||161500000|21100000|293600000|SWK
2017-03-31|USD|-314100000|||||33700000|64700000|||393100000|-1596000000|1072800000|1156700000|13500000|13500000||86700000|86700000||17300000|||3800000||-799200000|38100000|170600000|SWK
2016-12-31|USD|535500000|||||154800000|125300000||-23900000|258500000|286100000|13700000|-90500000|11400000|11400000||87000000|87000000||367200000|0|0|403200000||711000000|-78900000|255500000|SWK
2016-09-30|USD|246700000|||||36500000|78100000|||249000000|-61300000|-325400000|-255900000|600000|600000||84500000|84500000||19100000|||18500000||-147400000|-7400000|248900000|SWK
2016-06-30|USD|496400000|||||36400000|78700000|||271500000|-82000000|-165900000|-132900000|700000|700000||79800000|79800000||23700000|||23000000||216000000|-32500000|271500000|SWK
2016-03-31|USD|-93100000|||||35900000|64900000|||188600000|-81700000|44500000|481200000|361400000|350000000||79600000|79600000||8500000|||-352900000||-113200000|17100000|189400000|SWK
2015-12-31|USD|828200000|||||138700000|131300000|-53900000|-54700000|207800000|-101800000|-502200000|-449600000|9700000|-490100000||80700000|80700000||79500000|||69800000||172100000|-52100000|255500000|SWK
2015-09-30|USD|239000000|||||39100000|68500000|||233400000|-48700000|-250200000|32100000|192100000|192100000||79700000|79700000||9300000|||-182800000||-98600000|-38700000|248900000|SWK
2015-06-30|USD|312600000|||||39500000|65700000|||235500000|-29900000|-329800000|-180200000|100000000|100000000||76800000|76800000||31700000|||-68300000||-43600000|3500000|271500000|SWK
2015-03-31|USD|-197500000|||||39600000|45900000|||166000000|-24600000|206600000|598900000|326100000|350000000||82700000|82700000||43000000|||-350000000||-61100000|-45600000|189400000|SWK
2014-12-31|USD|761600000|||||123200000|111600000||-175900000|143400000|-121800000|-546000000|-424800000|7500000|150000000||80800000|80800000||20300000|||-7900000||9800000|-84000000|265500000|SWK
2014-09-30|USD|249100000|||||46800000|60200000|||237900000|-98600000|-113100000|-48800000|1300000|0||81400000|81400000||23400000|||23400000||-28900000|-66300000|228700000|SWK
2014-06-30|USD|437200000|||||47400000|61400000|||219400000|-96100000|-268300000|-199700000|0|0||78400000|78400000||14400000|||14400000||83100000|10300000|227200000|SWK
2014-03-31|USD|-152000000|||||46000000|62200000|||163900000|-65700000|161200000|282300000|19400000|0||80700000|80700000||13200000|||13200000||-63600000|-7100000|162300000|SWK
2013-12-31|USD|731700000|||||87700000|78200000||-101900000|42000000|-113200000|-579800000|-810800000|6600000|-227600000||77700000|77700000||15900000|||366000000||27100000|-11600000|56100000|SWK
2013-09-30|USD|99600000|||||51900000|94200000|||165700000|-104600000|-106500000|-70900000|7800000|0||77500000|77500000||32300000|||32300000||-92600000|18900000|166000000|SWK
2013-06-30|USD|184200000|||||51100000|88400000|||208600000|-39000000|-120300000|-60100000|3700000|0||78400000|78400000||23200000|||23200000||4200000|-20700000|187100000|SWK
2013-03-31|USD|-147500000|||||47300000|79500000|||81600000|-941600000|962100000|1330500000|21100000|350000000||79100000|79100000||83200000|||-266800000||-158500000|-31500000|81100000|SWK
2012-12-31|USD|548100000|||416800000||83100000|113400000|-70400000|11400000|492400000|1116900000|-1710900000|-1335300000|856100000|1103400000||82700000|82700000||23500000|||-764800000||-53500000|-7600000|492100000|SWK
2012-09-30|USD|151200000|||0||52800000|89000000|||115000000|-188300000|209000000|527400000|0|0||82500000|82500000||27400000|||27400000||191700000|19800000|115200000|SWK
2012-06-30|USD|299200000|17700000||0||49400000|109000000|||154500000|-573600000|5600000|592100000|206900000|0||68900000|68900000||10900000|0||-196000000||-305800000|-37000000|154800000|SWK
