fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|50667000000|||3222000000|981000000|5374000000|6843000000|451000000|-530000000|4408000000|-5363000000|-3184000000|0|13000000|13000000||2037000000|2037000000|||15000000||0|13000000|||4080000000|T
2024-09-30|USD|10235000000|||-143000000|558000000|5087000000|5302000000|-444000000|147000000|145000000|-5150000000|-5562000000|-2686000000|43000000|43000000||2038000000|2038000000|||2000000||-41000000|2000000|||-174000000|T
2024-06-30|USD|9093000000|||-1804000000|-138000000|5072000000|4360000000|382000000||3949000000|-4016000000|-5478000000|262000000|2000000|2000000||2099000000|2099000000|||2000000||-2000000|0|||3597000000|T
2024-03-31|USD|7547000000|||-3968000000|-1141000000|5047000000|3758000000|-512000000||3751000000|-2961000000|-7815000000|428000000|157000000|157000000||2034000000|2034000000|||0||-157000000|0|||3445000000|T
2023-12-31|USD|7853000000|10061000000||2712000000|1790000000|4766000000|4601000000|1091000000|-3431000000|2582000000|-5874000000|-2591000000|-2436000000|4000000|4000000||2020000000|2020000000|||371000000||-3000000|0|||2188000000|T
2023-09-30|USD|10336000000|1111000000||82000000|1218000000|4705000000|4647000000|169000000|482000000|3826000000|-4545000000|-7754000000|-112000000|1000000|1000000||2019000000|2019000000|||0|0|-1000000|0|||3495000000|T
2023-06-30|USD|9922000000|1219000000||-3031000000|-1464000000|4675000000|4270000000|-722000000|1125000000|4762000000|-5423000000|2181000000|534000000|1000000|1000000||2083000000|2083000000|||6267000000|0|-1000000|0|6680000000||4489000000|T
2023-03-31|USD|6678000000|1166000000||-4079000000|-984000000|4631000000|4335000000|-620000000|3431000000|4453000000|-3818000000|-3711000000|3091000000|188000000|188000000||2014000000|2014000000|||3366000000|0|-185000000|3000000|-851000000||4228000000|T
2022-12-31|USD|-44212000000|9640000000||1444000000|169000000|4595000000|4229000000|294000000|-2152000000|-23155000000|-3823000000|-2793000000|-2087000000|15000000|15000000||2014000000|2014000000|||2500000000|0|-13000000|0|1299000000||-23517000000|T
2022-09-30|USD|8513000000|1173000000||-2400000000|1081000000|4514000000|5921000000|271000000|-644000000|6399000000|-5543000000|-923000000|-724000000|3000000|3000000||2010000000|2010000000|||0|0|-3000000|0|-545000000||6026000000|T
