fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|166271000|||-11167000|-22218000|4748000|51841000|11055000|5975000|145649000|-49796000|-29283000||24747000|24747000||19566000|19566000|||||-9318000||||145649000|TER
2024-06-30|USD|216069000|||55369000|11021000|4664000|44846000|46156000|-24034000|186273000|-481067000|-22606000||8189000|8189000||19000000|19000000|||||-3287000||||186273000|TER
2024-03-31|USD|7279000|||-108413000|3898000|28120000|44023000|8055000|6932000|64197000|-24020000|-36668000||22117000|22117000||18370000|18370000|||||-5183000||||64197000|TER
2023-12-31|USD|248780000|||33296000|-60599000|27945000|44336000|-40786000|1068000|117054000|-30423000|-91102000||50749000|50749000||16797000|16797000|||||-50574000||||117054000|TER
2023-09-30|USD|174347000|||12718000|-18726000|4700000|34604000|-32884000|-20240000|128117000|-27536000|-127614000||118647000|118647000||16900000|16897000|||||-101162000||||128116000|TER
2023-06-30|USD|142768000|||55213000|44249000|4825000|39258000|39897000|-9852000|120050000|-26823000|-153695000||134537000|0||17000000|17019000|||||0||||120050000|TER
2023-03-31|USD|19336000|||-117147000|1873000|27606000|41444000|-37204000|23697000|83531000|-94863000|-129501000||93308000|93308000||17165000|17165000|||||-77311000||-205028000||83531000|TER
2022-12-31|USD|183402000|||9619000|11994000|27761000|34577000|-46380000|11992000|172301000|-1694000|-34152000||2082000|2082000||17111000|17133000|||||-2082000||147556000||172301000|TER
2022-09-30|USD|271604000|||-49409000|-128917000|4743000|38929000|-150632000|22135000|183485000|99775000|-232060000||217201000|217201000||17100000|17136000|||||-205004000||139319000||183485000|TER
2022-06-30|USD|115455000|||86898000|204240000|4935000|45744000|146592000|37202000|197787000|28383000|-372150000||331334000|331334000||17500000|17547000|||||-331273000||-230594000||197787000|TER
2022-03-31|USD|7462000|||-118964000|83577000|27736000|43999000|-208000|9480000|161928000|-82713000|-254627000||201465000|201465000||17900000|17895000|||||-184990000||-327596000|2282000|161928000|TER
2021-12-31|USD|331283000|||64327000|7209000|29993000|29310000|-45521000|15448000|224040000|-35721000|-251241000||193820000|193820000||16266000|16266000|||||-193724000||42745000|-1576000|224040000|TER
2021-09-30|USD|522660000|||-29600000|-250286000|7824000|29205000|-269399000|-2035000|256718000|63800000|-461447000||209596000|209596000||16400000|16440000|||||-209587000||125013000|0|256718000|TER
2021-06-30|USD|206284000|||101859000|260693000|8913000|34707000|285186000|-55778000|328319000|87615000|-169235000||151396000|151396000||16600000|16604000|||||-135959000||123292000|-1372000|328319000|TER
2021-03-31|USD|38139000|||-2619000|209513000|33732000|39250000|87512000|35870000|205512000|4667000|-126661000||45188000|45188000||16667000|16667000|||||-28044000||-82972000|883000|205512000|TER
2020-12-31|USD|260424000|||-6503000|-43461000|32055000|38105000|-92564000|25436000|196332000|-277207000|-14892000||0|0||16582000|16612000|||||1999000||196330000|616000|196330000|TER
2020-09-30|USD|342512000|||-25470000|-138479000|10106000|62858000|-109025000|-20726000|222717000|-119365000|-3049000||0|0||16600000|16604000|||||13771000||206118000|-349000|222718000|TER
2020-06-30|USD|222897000|||177230000|233666000|12780000|47314000|204261000|19546000|188907000|-63014000|-26450000||9426000|9426000||16600000|16580000|||||-9421000||172308000|-1496000|188908000|TER
2020-03-31|USD|43102000|||-37498000|150581000|31880000|36700000|126779000|-15818000|176191000|-110208000|-113895000||79039000|79039000||16686000|16686000|||||-66287000||-180430000|571000|176191000|TER
2019-12-31|USD|216328000|10398000||38695000|24582000|32298000|38594000|3651000|13265000|125073000|110239000|-146413000||131218000|131218000||15005000|15036000|||||-131186000||125075000|-169000|125075000|TER
2019-09-30|USD|199148000|4946000||45823000|-1942000|13346000|37092000|-12689000|11696000|135860000|22288000|-122723000||121560000|121560000||15300000|15250000|||||-107369000||123414000|119000|135860000|TER
2019-06-30|USD|145258000|4993000||47066000|35721000|13736000|33245000|37772000|-470000|97397000|-28236000|-105453000||90754000|90754000||15400000|15392000|||||-89933000||88704000|-190000|97397000|TER
2019-03-31|USD|18016000|5059000||-48078000|63271000|29593000|25711000|41706000|2917000|109138000|-260951000|-199760000||156468000|156468000||15627000|15627000|||||-142200000||-443024000|-329000|109138000|TER
2018-12-31|USD|186376000|||10948000|-34805000|30385000|26110000|-59869000|-4619000|143788000|203964000|-277385000||261215000|261215000||16002000|16002000|||||-261201000||143790000|-222000|143790000|TER
2018-09-30|USD|240584000|||15934000|-58402000|14662000|25606000|-101596000|12834000|119981000|300497000|-207918000||201468000|201468000||16600000|16638000|||||-191190000||103381000|472000|119978000|TER
2018-06-30|USD|131851000|||38272000|36602000|9793000|27866000|38656000|266000|101036000|-44343000|-243708000||226519000|226519000||17100000|17094000|||||-226492000||101037000|-1289000|101037000|TER
2018-03-31|USD|-81930000|||-38082000|162443000|7698000|34797000|140747000|21017000|86974000|462892000|-174410000||134276000|134276000||17588000|17588000|||||-123622000||208030000|1478000|86974000|TER
2017-12-31|USD|147473000|||43260000|-11121000|26519000|32128000|4961000|-21190000|-110233000|-74519000|-62466000||48483000|48483000||13717000|13717000|||||-48452000||11166000|678000|-105923000|TER
2017-09-30|USD|309830000|||-29206000|-173422000|7028000|27280000|-138566000|-31919000|103420000|-428357000|-62197000||57493000|57493000||13800000|13805000|||||-48246000||-179672000|1052000|103420000|TER
2017-06-30|USD|83971000|||45390000|33073000|8166000|23901000|90397000|-54003000|174976000|113681000|-70520000||56598000|56598000||13900000|13904000|||||-56467000||273603000|129000|174976000|TER
2017-03-31|USD|-5784000|||-10886000|184840000|7952000|22066000|123792000|62152000|85221000|126394000|-106626000||37730000|37730000||14021000|14021000|||||-22646000||16862000|1595000|85221000|TER
2016-12-31|USD|-89384000|3245000||-19136000|41673000|25297000|19020000|27335000|14338000|66346000|-372330000|347526000||61239000|61239000||12071000|12071000|||||7001000||9947000||66345000|TER
2016-09-30|USD|63794000|||-86236000|-202269000|8487000|19659000|-183890000|-18379000|63794000|-252101000|-12100000||28309000|28309000||12100000|12123000|||||-26120000||-83158000|2481000|63794000|TER
2016-06-30|USD|10800000|||112522000|64754000|16244000|26259000|95678000|-30924000|10800000|-86747000|-12200000||28782000|28782000||12200000|12172000|||||-20026000||61737000||-223546000|TER
2016-03-31|USD|49986000|||-12490000|43254000|19994000|20334000|42552000|702000|49986000|70716000|-51783000||28001000|28001000||12253000|12253000|||||-18861000||54653000||49986000|TER
2015-12-31|USD|-641000|1803000||5810000|-16033000|36083000|23151000|-33850000|17817000|-641000|12751000|-82498000||73106000|73106000||12279000|12279000|||||-73106000||-29512000||-641000|TER
2015-09-30|USD|71453000|||337000|-61252000|20053000|20617000|-51376000|-9876000|71453000|-77101000|-12600000||98527000|98527000||12600000|12577000|||||-98527000||-6468000||71453000|TER
2015-07-05|USD|102879000|||78189000|100204000|15258000|24961000|117744000|-17540000|102879000|12671000|-12800000||81666000|81666000||12800000|12808000|||||-81042000||81740000||102879000|TER
2015-04-05|USD|32787000|||-19112000|18789000|13808000|21149000|24749000|-5960000|32787000|-62043000|-50800000||46650000|46650000||13049000|13049000|||||-41868000||-75311000||32787000|TER
2014-12-31|USD|-103811000|3103000||-68080000|-184635000|37590000|22630000|-171730000|-13536000|-103811000|-78481000|-13924000||0|0||12997000|12997000|||||261000||82552000||-103811000|TER
2014-09-30|USD|82319000|||-18508000|747000|18271000|54963000|20545000|-19798000|82949000|-174342000|-12800000|||||12800000|12772000|||||10387000||-42921000||82949000|TER
2014-06-30|USD|101205000|||117555000|68409000|18271000|60192000|84243000|-15834000|101205000|-177669000|-11700000|||||11700000|11656000|||||478000||21999000||101205000|TER
2014-03-31|USD|-25821000|||-45464000|56247000|39184000|31197000|58882000|-2635000|929000|97619000|-180810000|||||180810000|180810000|||||10165000||-109012000||929000|TER
2013-12-31|USD|43846000|10379000||-16610000|-39283000|39319000|23806000|-52307000|11912000|22343000|-276212000|1136000||0|0||17596000|17596000|||||34200000||-231230000||22343000|TER
2013-09-30|USD|154452000|||19759000|-26643000|22285000|32127000|-18822000|-7821000|69459000|184452000|6363000|||||||||||7140000||345267000||69459000|TER
2013-06-30|USD|105471000|||51214000|31181000|22150000|28251000|61594000|-30413000|66556000|-184252000|1163000||0|0||||||||717000||-77618000||66556000|TER
2013-03-31|USD|-36494000|||-66489000|17231000|35999000|22547000|13191000|4040000|6589000|-5815000|8608000||0|0||||||||8921000||-33701000||6589000|TER
2012-12-31|USD|40848000|6002000|-758000|-49695000|-35801000|39912000|27948000|-52041000|7418000|-16543000|-171872000|-15748000||0|0||18476000|18476000|||||517000||-146772000||-16543000|TER
2012-09-30|USD|248972000|-5000000||-28838000|-151562000|22139000|33328000|-140660000|-3624000|88641000|-315162000|-37174000||0|0||||||||975000||-103364000||88641000|TER
2012-06-30|USD|102092000|||62239000|126767000|50893000|30730000|124577000|2190000|111387000|-61091000|14659000|||||||||||7059000||55660000||111387000|TER
2012-03-31|USD|11169000|||||18429000|27074000|-92217000|23636000|33564000|-54364000|2855000||0|0||9925000|9925000|||||9925000||-40340000||33564000|TER
2011-12-31|USD|60297000|||51902000|-32506000|37417000|19474000|-41134000|-419000|124493000|-574581000|-7143000||7312000|7312000||7312000|7312000|||||35857000||-521427000||129071000|TER
2011-09-30|USD|92975000|||-104982000|-75063000|10017000|22156000|-64300000|-13972000|56706000|575502000|-28712000|||||||||||-23699000||639765000||56706000|TER
2011-06-30|USD|101965000|||22145000|36210000|10451000|22336000|21569000|4297000|87252000|-77527000|10693000|||||||||||6976000||35131000||87252000|TER
2011-03-31|USD|19618000|||-26014000|28207000|23412000|22131000|17498000|10709000|96844000|-5942000|8854000|||||8854000|8854000|||||10076000||22530000||68124000|TER
2010-12-31|USD|176496000|||-39040000|-132148000|19437000|22085000|-129805000|5981000|60141000|-215128000|2454000|||||44679000|44679000|||||2454000||-36178000|-286000|65231000|TER
2010-09-30|USD|255813000|||46191000|86916000|10074000|18253000|57868000|14535000|147340000|-225064000|-830000|||||||||||352000||29919000|619000|147340000|TER
2010-06-30|USD|107891000|||||10096000|18119000||-7847000|122149000|-81701000|35794000|||||||||||35800000||61984000||122149000|TER
