fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|230251000|68875000|3126000|3021000|8312000|174305000|86430000|||24077000|-148258000|-80827000|-94773000|0|0||151681000|140054000|1185000|0|||0||||22597000|UDR
2024-06-30|USD|238462000|28439000|3125000|33228000|14370000|175167000|94152000|||31013000|-97782000|-138260000|14497000|0|0||151713000|139962000|1247000|0|||0||||28883000|UDR
2024-03-31|USD|167599000|69197000|3126000|-50611000|-1447000|174174000|87741000|||46310000|18447000|-188946000|4392000|0|0||149909000|138247000|1210000|0|||0||||43149000|UDR
2023-12-31|USD|219071000|27595000|3125000|13198000|13415000|175040000|113156000|||35961000|-72913000|-143747000|5966000|0|0||149109000|138166000|1230000|-78000|0||-78000||||32986000|UDR
2023-09-30|USD|203605000|65585000|3126000|-9576000|5361000|171243000|136667000|||35419000|-155531000|-46000000|136733000|25000000|25000000||148563000|138352000|1213000|0|0||-25000000||||32858000|UDR
2023-06-30|USD|241973000|26314000|3125000|34835000|7684000|172606000|134864000|||370183000|56646000|-297448000|-148805000|0|0||148174000|138251000|1230000|-11000|0||-11000||1171000||347545000|UDR
2023-03-31|USD|168015000|64707000|3126000|-41285000|7119000|172949000|101383000|||32925000|-117340000|-51659000|90756000|0|0||134358000|125083000|1097000|-462000|0||-462000||-984000||30964000|UDR
2022-12-31|USD|217433000|23323000|3125000|-10930000|-14164000|172064000|117276000|||47467000|-90869000|-126265000|-138167000|33878000|33878000||133455000|123760000|1113000|179607000|0||145729000||299000||44530000|UDR
2022-09-30|USD|204551000|59693000|3126000|6923000|8326000|170211000|110726000|||25145000|-263576000|60231000|110255000|0|0||133163000|123466000|1101000|99677000|0||84527000||1206000||23605000|UDR
2022-06-30|USD|237067000|16769000|3125000|35859000|1025000|170600000|446135000|||5364000|-488272000|252967000|38733000|0|0||131325000|120993000|1117000|350367000|0||350367000||1762000||5084000|UDR
2022-03-31|USD|161020000|55126000|3126000|-44992000|-4979000|166697000|101047000|||14603000|-86811000|-75700000|67648000|0|0||124317000|115405000|1050000|-99000|0||-99000||-1491000||13705000|UDR
2021-12-31|USD|180791000|10769000|3125000|15794000|20395000|168468000|443285000|||126144000|-350978000|169372000|-108540000|0|0||121192000|111739000|1065000|399716000|0||399716000||-815000||117461000|UDR
2021-09-30|USD|153012000|55203000|3126000|-2201000|13984000|155905000|702703000|||19040000|-606538000|446689000|-139232000|0|0||117035000|107608000|1051000|0|212776000||0||19040000||17731000|UDR
2021-06-30|USD|206552000|14725000|3125000|19201000|-907000|148771000|355232000|||12535000|-355776000|150694000|269504000|0|0||117046000|107600000|1064000|0|0||0||12535000||11720000|UDR
2021-03-31|USD|123605000|56281000|3126000|-21347000|-18000|146689000|87841000|||3274000|41039000|-154215000|9790000|0|0||116395000|106833000|1045000|0|298776000||0||10429000||3104000|UDR
2020-12-31|USD|147724000|30455000|3125000|62000|22042000|148209000|341218000|||28551000|-168111000|20358000|-34062000|0|0||115216000|106024000|1067000|0|348523000||102234000||-29000||26532000|UDR
2020-09-30|USD|139577000|57228000|3126000|-8958000|2346000|155836000|85786000|||-27217000|-130837000|-7416000|49906000|19800000|19800000||115397000|106231000|1035000|0|560506000||-19800000||-47017000||-25258000|UDR
2020-06-30|USD|181559000|27323000|3125000|38407000|20396000|157083000|75902000|||62096000|52150000|-233762000|-87617000|0|0||115429000|106165000|1100000|0|0||0||62096000||57771000|UDR
2020-03-31|USD|135456000|57320000|3126000|-31666000|-114000|157501000|200276000|||5540000|-214044000|68226000|-26786000|0|0||109563000|100930000|1015000|0|211320000||0||-10362000||5221000|UDR
2019-12-31|USD|173828000|44260000||14660000|11005000|145177000|166933000|||105237000|-303885000|139807000|222136000|0|0||108233000|100370000|1047000|63306000|401990000||63306000||105237000||97639000|UDR
2019-09-30|USD|170455000|57824000||11280000|-2215000|129010000|595045000|||29422000|-576809000|405872000|-330931000|0|0||106260000|97286000|1015000|449137000|0||449137000||29422000||27204000|UDR
2019-06-30|USD|149088000|23203000||-631000|4461000|119612000|815194000|||38318000|-346244000|197025000|281068000|0|0||105806000|96512000|1042000|20693000|0||20693000||38318000||35619000|UDR
2019-03-31|USD|137333000|44271000||-17463000|-2295000|114124000|3346000|||26602000|-459749000|137679000|43179000|0|0||98423000|88911000|959000|192179000|0||192179000||-184737000||24503000|UDR
2018-12-31|USD|153952000|28330000||15026000|681000|108085000|1887000|||89615000|89558000|-62699000|-249879000|0|0||95700000|86558000|982000|0|184994000||299825000||89615000||82139000|UDR
2018-09-30|USD|151623000|45933000||12979000|-2503000|109563000|1462000|||20258000|-91851000|-62604000|1063000|0|0||95443000|86326000|960000|0|140000000||0||20258000||18610000|UDR
2018-06-30|USD|122845000|23048000||4642000|19262000|108204000|1068000|||22444000|-86669000|-26117000|-7760000|0|0||95435000|86306000|979000|0|0||0||22444000||20601000|UDR
2018-03-31|USD|132256000|35155000||-7660000|-3560000|109827000|433000|||89225000|-24586000|-108647000|35940000|19988000|19988000||91956000|83051000|915000|0|0||-19988000||-977000||81756000|UDR
2017-12-31|USD|129639000|31340000||-5868000|1226000|111049000|-1846000|||75627000|-24035000|-105975000|-18950000||||91757000|83005000|932000|0|313803000||0||250000||69244000|UDR
2017-09-30|USD|149659000|28961000||17630000|-377000|108756000|1187000|||17570000|-100656000|-47815000|659000||||91750000|82948000|918000|0|45000000||0||377000||16190000|UDR
2017-06-30|USD|119356000|33584000||-1512000|12193000|110017000|810000|||11062000|-119892000|-668000|3918000||||91740000|82898000|933000|0|319292000||0||-1049000||10157000|UDR
2017-03-31|USD|120261000|32463000||-14528000|-4034000|106640000|1233000|||28396000|-162823000|42673000|14790000||||87343000|78942000|925000|0|220000000||0||348000||25967000|UDR
2016-12-31|USD|153446000|28827000||-13458000|18753000|103995000|-8000|||259746000|158882000|-314321000|-225575000||||87272000|78829000|934000|-27000|25000000||-27000||-1189000||237423000|UDR
2016-09-30|USD|156652000|31015000||14232000|2095000|107328000|2506000|||29466000|-149147000|-9371000|-12274000||||87062000|78582000|925000|-45000|300000000||-45000||-1866000||26956000|UDR
2016-06-30|USD|-10643000|32875000||-6480000|6698000|107423000|1277000|||19564000|-77501000|-34981000|182851000||||87281000|78808000|934000|-17000|0||-17000||1499000||17946000|UDR
