fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-12-31|USD|5396000000|213000000||-54000000|74000000|282000000|345000000|64000000||5119000000|790000000|-5475000000||4011000000|4011000000||1170000000|1170000000|||||-3884000000||||5119000000|V
2024-09-30|USD|6664000000|49000000||136000000|49000000|274000000|309000000|23000000||5318000000|584000000|-7069000000||5848000000|5848000000||1041000000|1041000000|||||-5780000000||||5318000000|V
2024-06-30|USD|5134000000|273000000||-2000000|163000000|264000000|400000000|248000000||4872000000|555000000|-5311000000||4527000000|4527000000||1056000000|1056000000|||||-4443000000||||4872000000|V
2024-03-31|USD|4538000000|48000000||-7000000|-175000000|249000000|281000000|-229000000||4663000000|-1176000000|-3874000000||2758000000|2758000000||1060000000|1060000000|||||-2679000000||||4663000000|V
2023-12-31|USD|3614000000|213000000||-18000000|399000000|247000000|267000000|195000000|-1308000000|4890000000|-1889000000|-4379000000||3580000000|3580000000||1060000000|1060000000|||||-3476000000||||4890000000|V
2023-09-30|USD|6927000000|49000000||85000000|-20000000|247000000|305000000|22000000|1480000000|4681000000|-1188000000|-4580000000|0|3751000000|3751000000||928000000|928000000|||||-3680000000||||4681000000|V
2023-06-30|USD|5797000000|275000000||-3000000|150000000|235000000|295000000|161000000|1054000000|4156000000|17000000|-3919000000|0|3041000000|3041000000||937000000|937000000|||||-2970000000||1895000000||4156000000|V
2023-03-31|USD|3860000000|49000000||16000000|244000000|234000000|210000000|7000000||4257000000|-325000000|-2926000000|0|2194000000|2194000000||941000000|941000000|||||-2132000000||609000000||4257000000|V
2022-12-31|USD|4171000000|244000000||-64000000|-100000000|227000000|249000000|60000000||4179000000|-510000000|-6347000000|0|3115000000|3115000000||945000000|945000000|||||-3059000000||-2686000000||4179000000|V
2022-09-30|USD|5876000000|59000000||96000000|228000000|226000000|295000000|17000000||3940000000|107000000|-4040000000|0|2103000000|2103000000||794000000|794000000|||||-2060000000||1943000000||3940000000|V
2022-06-30|USD|5252000000|244000000||46000000|71000000|230000000|235000000|-93000000||3411000000|-2063000000|-289000000|0|2433000000|2433000000||798000000|798000000|||||-2393000000||2900000000||3411000000|V
2022-03-31|USD|3489000000|60000000||-66000000|88000000|207000000|267000000|-40000000||3647000000|-1785000000|-3400000000|0|2949000000|2949000000||802000000|802000000|||||-2895000000||3647000000||3647000000|V
2021-12-31|USD|4232000000|244000000||-9000000|376000000|198000000|173000000|213000000||3959000000|-547000000|-4967000000|0|4104000000|4104000000||809000000|809000000|||||-4045000000||-1282000000||3959000000|V
2021-09-30|USD|3971000000|60000000||1016000000|106000000|202000000|208000000|123000000|379000000|3584000000|-1698000000|-3619000000|0|2967000000|2967000000||696000000|696000000|||||-2921000000||-1383000000|-37000000|3584000000|V
2021-06-30|USD|4414000000|243000000||42000000|103000000|204000000|179000000|55000000|785000000|2575000000|72000000|-2846000000|0|2200000000|2200000000||698000000|698000000|||||-2146000000||2575000000||2575000000|V
2021-03-31|USD|3329000000|59000000||-2000000|408000000|201000000|158000000|57000000|77000000|3026000000|835000000|-2373000000|0|1713000000|1713000000||701000000|701000000|||||-1666000000||3026000000||3026000000|V
2020-12-31|USD|3513000000|281000000||-39000000|-127000000|197000000|160000000|108000000|-178000000|3126000000|639000000|-5572000000|0|1796000000|1796000000||703000000|703000000|||||-1735000000||-1420000000||3126000000|V
2020-09-30|USD|2096000000|34000000||937000000|89000000|196000000|168000000|151000000|-546000000|2137000000|-881000000|755000000|0|1542000000|1542000000||662000000|662000000|||||-1494000000||2410000000|440000000|2137000000|V
2020-06-30|USD|3002000000|234000000||-7000000|-102000000|197000000|161000000|-70000000|840000000|2373000000|-133000000|1164000000|0|1069000000|1069000000||663000000|663000000|||||-1036000000||2373000000||2373000000|V
2020-03-31|USD|1467000000|35000000||26000000|474000000|192000000|216000000|-145000000|-1371000000|3084000000|1879000000|-2754000000|0|3133000000|3133000000||668000000|668000000|||||-3079000000||3084000000||3084000000|V
2019-12-31|USD|3875000000|234000000||-12000000|-16000000|182000000|191000000|107000000|720000000|3272000000|562000000|-3133000000|0|2370000000|2370000000||671000000|671000000|||||-2315000000||1304000000||3272000000|V
2019-09-30|USD|4042000000|34000000||625000000|152000000|172000000|249000000|14000000|823000000|3025000000|-1004000000|-2660000000|0|2127000000|2127000000||563000000|563000000|||||-2092000000||163000000|-215000000|3025000000|V
