fiscalDateEnding|reportedCurrency|operatingCashflow|paymentsForOperatingActivities|proceedsFromOperatingActivities|changeInOperatingLiabilities|changeInOperatingAssets|depreciationDepletionAndAmortization|capitalExpenditures|changeInReceivables|changeInInventory|profitLoss|cashflowFromInvestment|cashflowFromFinancing|proceedsFromRepaymentsOfShortTermDebt|paymentsForRepurchaseOfCommonStock|paymentsForRepurchaseOfEquity|paymentsForRepurchaseOfPreferredStock|dividendPayout|dividendPayoutCommonStock|dividendPayoutPreferredStock|proceedsFromIssuanceOfCommonStock|proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet|proceedsFromIssuanceOfPreferredStock|proceedsFromRepurchaseOfEquity|proceedsFromSaleOfTreasuryStock|changeInCashAndCashEquivalents|changeInExchangeRate|netIncome|ticker
2024-09-30|USD|1295000000|262000000||-3141000000|-3307000000|685000000|152000000|-2183000000|-1077000000|393000000|-408000000|-1074000000||560000000|560000000||453000000|342000000|||||-560000000||||364000000|VLO
2024-06-30|USD|2472000000|338000000||1862000000|1073000000|696000000|119000000|1058000000|147000000|926000000|-392000000|-1547000000||1033000000|1033000000||349000000|347000000|||||-1033000000||||880000000|VLO
2024-03-31|USD|1846000000|253000000||-147000000|13000000|695000000|128000000|-257000000|356000000|1330000000|-637000000|-1644000000||1023000000|1023000000||356000000|356000000|||||-1023000000||||1245000000|VLO
2023-12-31|USD|1239000000|328000000||-995000000|-364000000|690000000|1448000000|-322000000|-36000000|1218000000|-483000000|-1296000000||956000000|956000000||346000000|346000000|||||-956000000||||1202000000|VLO
2023-09-30|USD|3308000000|236000000||2599000000|2566000000|682000000|157000000|1934000000|647000000|2663000000|-304000000|-2125000000|0|1787000000|1787000000||423000000|360000000|||0||-1787000000||||2622000000|VLO
2023-06-30|USD|1512000000|322000000||-588000000|606000000|669000000|136000000|1156000000|-568000000|2122000000|-529000000|-1522000000|0|942000000|942000000||468000000|367000000|||0||-942000000||-539000000||1944000000|VLO
2023-03-31|USD|3170000000|211000000||-2237000000|-1703000000|660000000|175000000|-2381000000|641000000|3146000000|-549000000|-1998000000|0|1451000000|1451000000||379000000|379000000|||0||-1451000000||623000000||3067000000|VLO
2022-12-31|USD|4096000000|310000000||123000000|132000000|633000000|2185000000|184000000|-31000000|3232000000|-735000000|-2580000000|0|1808000000|1808000000||376000000|376000000|||0||-1808000000||781000000||3113000000|VLO
2022-09-30|USD|2045000000|212000000||-4477000000|-2988000000|632000000|228000000|-2728000000|-353000000|2912000000|-610000000|-2627000000|0|877000000|877000000||476000000|386000000|||0||-877000000||-1192000000||2817000000|VLO
2022-06-30|USD|5845000000|316000000||2251000000|1657000000|602000000|172000000|1510000000|116000000|4768000000|-619000000|-2414000000|0|1748000000|1748000000||402000000|399000000|||500000000||-1748000000||2812000000||4693000000|VLO
2022-03-31|USD|588000000|210000000||2948000000|3670000000|606000000|152000000|2653000000|940000000|967000000|-841000000|-1228000000|0|144000000|144000000||401000000|401000000|||939000000||-144000000||-1481000000||905000000|VLO
2021-12-31|USD|2454000000|321000000||2405000000|1810000000|598000000|2090000000|1739000000|21000000|1110000000|-747000000|-1107000000|0|12000000|12000000||401000000|401000000|||1446000000||-12000000||600000000||1009000000|VLO
2021-09-30|USD|1449000000|222000000||22000000|-372000000|641000000|107000000|-426000000|185000000|508000000|-576000000|-873000000|0|0|0||400000000|400000000|||0||0||508000000||463000000|VLO
2021-06-30|USD|2008000000|303000000||1427000000|424000000|588000000|101000000|123000000|222000000|292000000|-256000000|-427000000|0|1000000|1000000||403000000|401000000|||0||-1000000||292000000||162000000|VLO
2021-03-31|USD|-52000000|221000000||3028000000|2795000000|578000000|160000000|2946000000|-175000000|-622000000|-580000000|-439000000|0|14000000|14000000||400000000|400000000|||0||-14000000||-1071000000||-704000000|VLO
2020-12-31|USD|96000000|326000000||894000000|995000000|2384000000|1661000000|456000000|570000000|-309000000|-573000000|-393000000|0|9000000|9000000||400000000|400000000|||0||-9000000||-309000000||-359000000|VLO
2020-09-30|USD|165000000|227000000||748000000|493000000|34000000|220000000|948000000|-441000000|-379000000|-513000000|2035000000|0|0|0||480000000|399000000|||2521000000||0||-53000000||-464000000|VLO
2020-06-30|USD|736000000|298000000||-1138000000|-1782000000|32000000|256000000|-1209000000|-509000000|1335000000|-582000000|630000000|0|0|0||527000000|400000000|||1499000000||0||1335000000||1253000000|VLO
2020-03-31|USD|-49000000|216000000||-4730000000|-3587000000|26000000|299000000|-2968000000|-627000000|-1754000000|-757000000|-195000000|0|147000000|147000000||401000000|401000000|||300000000||-147000000||-1001000000||-1851000000|VLO
2019-12-31|USD|1708000000|273000000||822000000|1256000000|2275000000|1667000000|800000000|511000000|1330000000|-811000000|-523000000|0|222000000|222000000||382000000|369000000|||0||-222000000||1330000000||1060000000|VLO
2019-09-30|USD|1429000000|202000000||-495000000|-810000000|14000000|679000000|-1423000000|152000000|639000000|-635000000|-649000000|0|307000000|307000000||429000000|372000000|||0||-307000000||639000000||609000000|VLO
2019-06-30|USD|1517000000|372000000||412000000|129000000|14000000|280000000|769000000|-250000000|648000000|-808000000|-1447000000|0|212000000|212000000||376000000|376000000|||0||-212000000||648000000||612000000|VLO
2019-03-31|USD|877000000|96000000||981000000|851000000|10000000|220000000|895000000|-28000000|167000000|-747000000|-378000000|0|36000000|36000000||375000000|375000000|||1892000000||-36000000||-248000000||141000000|VLO
2018-12-31|USD|1678000000|119000000||-1898000000|-1775000000|531000000|2208000000|-847000000|-937000000|1022000000|-1160000000|-987000000|0|627000000|627000000||338000000|338000000|||-71000000||-627000000||-569000000|-100000000|952000000|VLO
2018-09-30|USD|496000000|96000000||1101000000|1830000000|517000000|428000000|712000000|1088000000|874000000|-636000000|-779000000|0|434000000|434000000||341000000|341000000|||15000000||-434000000||-900000000|19000000|856000000|VLO
2018-06-30|USD|2059000000|121000000||1197000000|616000000|523000000|384000000|740000000|-80000000|875000000|-1380000000|-829000000|0|327000000|327000000||345000000|345000000|||816000000||-327000000||-207000000|-57000000|845000000|VLO
2018-03-31|USD|138000000|127000000||-966000000|60000000|498000000|356000000|-145000000|126000000|582000000|-752000000|-573000000|0|320000000|320000000||345000000|345000000|||498000000||-320000000||-1192000000|-5000000|469000000|VLO
2017-12-31|USD|1660000000|101000000||1907000000|1162000000|490000000|1035000000|944000000|231000000|2400000000|-642000000|-329000000|0|421000000|421000000||277000000|306000000|||380000000||-411000000||674000000|-15000000|2371000000|VLO
2017-09-30|USD|1037000000|121000000||1363000000|1633000000|497000000|341000000|1322000000|408000000|863000000|-566000000|-615000000|0|291000000|291000000||320000000|309000000|||0||-291000000||-31000000|113000000|841000000|VLO
2017-06-30|USD|1797000000|107000000||-318000000|-1022000000|499000000|293000000|-579000000|-414000000|572000000|-460000000|-676000000|0|346000000|346000000||321000000|312000000|||0||-345000000||744000000|83000000|548000000|VLO
2017-03-31|USD|988000000|128000000||-428000000|-538000000|500000000|279000000|-817000000|291000000|321000000|-714000000|-652000000|0|314000000|314000000||324000000|315000000|||0||-279000000||-353000000|25000000|305000000|VLO
2016-12-31|USD|998000000|115000000||1152000000|1120000000|449000000|1084000000|1253000000|-214000000|416000000|-622000000|-1433000000|0|169000000|169000000||279000000|271000000|||500000000||-163000000||-1133000000|-76000000|367000000|VLO
2016-09-30|USD|863000000|99000000||-455000000|-282000000|470000000|302000000|-189000000|-135000000|645000000|-453000000|658000000|0|502000000|502000000||284000000|276000000|||1456000000||-505000000||1024000000|-44000000|613000000|VLO
2016-06-30|USD|2319000000|118000000||1188000000|5000000|471000000|294000000|420000000|-275000000|843000000|-450000000|-693000000|0|400000000|400000000||289000000|282000000|||197000000||-400000000||1147000000|-29000000|814000000|VLO
2016-03-31|USD|640000000|95000000||-196000000|26000000|485000000|316000000|47000000|-147000000|513000000|-481000000|-544000000|0|265000000|265000000||289000000|282000000|||0||-262000000||-336000000|49000000|495000000|VLO
